CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
EVALUATION AND MANAGEMENT,99254,,184,514.74,374.6
EVALUATION AND MANAGEMENT,99255,TOTAL,N/A,124.43,99.54
EVALUATION AND MANAGEMENT,99255,,N/A,124.43,99.54
EVALUATION AND MANAGEMENT,99281,TOTAL,81426,1661609.68,1219003.59
EVALUATION AND MANAGEMENT,99281,,81426,1661609.68,1219003.59
EVALUATION AND MANAGEMENT,99282,TOTAL,533649,21268450.5,15487159.47
EVALUATION AND MANAGEMENT,99282,,533649,21268450.5,15487159.47
EVALUATION AND MANAGEMENT,99283,TOTAL,3833077,232543077.49,170978307.08
EVALUATION AND MANAGEMENT,99283,,3833077,232543077.49,170978307.08
EVALUATION AND MANAGEMENT,99284,TOTAL,5555820.1,644387725.81,487968152.01
EVALUATION AND MANAGEMENT,99284,,5555820.1,644387725.81,487968152.01
EVALUATION AND MANAGEMENT,99285,TOTAL,9188378,1591242088.86,1234747028.02
EVALUATION AND MANAGEMENT,99285,,9188378,1591242088.86,1234747028.02
EVALUATION AND MANAGEMENT,99288,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99288,,N/A,0,0
EVALUATION AND MANAGEMENT,99289,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99289,,N/A,0,0
EVALUATION AND MANAGEMENT,99290,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99290,,N/A,0,0
EVALUATION AND MANAGEMENT,99291,TOTAL,4752553.4,1057185996.06,837552023.29
EVALUATION AND MANAGEMENT,99291,,4752553.4,1057185996.06,837552023.29
EVALUATION AND MANAGEMENT,99292,TOTAL,416378,45756370.58,36451514.26
EVALUATION AND MANAGEMENT,99292,,416378,45756370.58,36451514.26
EVALUATION AND MANAGEMENT,99293,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99293,,N/A,0,0
EVALUATION AND MANAGEMENT,99294,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99294,,N/A,0,0
EVALUATION AND MANAGEMENT,99295,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99295,,N/A,0,0
EVALUATION AND MANAGEMENT,99298,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99298,,N/A,0,0
EVALUATION AND MANAGEMENT,99299,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99299,,N/A,0,0
EVALUATION AND MANAGEMENT,99300,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99300,,N/A,0,0
EVALUATION AND MANAGEMENT,99304,TOTAL,295379,25556786.48,19756019.25
EVALUATION AND MANAGEMENT,99304,,295379,25556786.48,19756019.25
EVALUATION AND MANAGEMENT,99305,TOTAL,837531,101966173.86,79489949.77
EVALUATION AND MANAGEMENT,99305,,837531,101966173.86,79489949.77
EVALUATION AND MANAGEMENT,99306,TOTAL,1271511.1,198174838.42,154610026.72
EVALUATION AND MANAGEMENT,99306,,1271511.1,198174838.42,154610026.72
EVALUATION AND MANAGEMENT,99307,TOTAL,3792516.1,154568878.01,112952839.12
EVALUATION AND MANAGEMENT,99307,,3792516.1,154568878.01,112952839.12
EVALUATION AND MANAGEMENT,99308,TOTAL,9319037,581548494.02,432737658.56
EVALUATION AND MANAGEMENT,99308,,9319037,581548494.02,432737658.56
EVALUATION AND MANAGEMENT,99309,TOTAL,6686014.2,547048984.12,411760223.17
EVALUATION AND MANAGEMENT,99309,,6686014.2,547048984.12,411760223.17
EVALUATION AND MANAGEMENT,99310,TOTAL,1122902,134387838.31,101303087.49
EVALUATION AND MANAGEMENT,99310,,1122902,134387838.31,101303087.49
EVALUATION AND MANAGEMENT,99315,TOTAL,276264,16366313.39,12803681.38
EVALUATION AND MANAGEMENT,99315,,276264,16366313.39,12803681.38
EVALUATION AND MANAGEMENT,99316,TOTAL,236732,18082654.7,14196819.41
EVALUATION AND MANAGEMENT,99316,,236732,18082654.7,14196819.41
EVALUATION AND MANAGEMENT,99318,TOTAL,139628,11881197.52,8285235.75
EVALUATION AND MANAGEMENT,99318,,139628,11881197.52,8285235.75
EVALUATION AND MANAGEMENT,99324,TOTAL,51616,2835589.99,2107099
EVALUATION AND MANAGEMENT,99324,,51616,2835589.99,2107099
EVALUATION AND MANAGEMENT,99325,TOTAL,43077,3471030.44,2586125.42
EVALUATION AND MANAGEMENT,99325,,43077,3471030.44,2586125.42
