Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 50010 to 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,14,"$10,031","$8,025"
,TOTAL,,16,"$10,304","$8,243"
50541,80'S,,24,"$3,212","$2,453"
,OTHER,,97,"$77,371","$61,824"
,TOTAL,,121,"$80,583","$64,277"
50544,OTHER,,16,"$17,864","$14,291"
,TOTAL,,16,"$17,864","$14,291"
50546,80'S,,180,"$30,774","$24,639"
,OTHER,,585,"$598,652","$477,799"
,TOTAL,,765,"$629,426","$502,438"
50547,80'S,,131,"$33,049","$27,792"
,OTHER,,772,"$1,019,612","$988,660"
,TOTAL,,903,"$1,052,661","$1,016,452"
50548,80'S,,36,"$7,366","$5,892"
,OTHER,,174,"$212,979","$169,386"
,TOTAL,,210,"$220,344","$175,279"
50549,80'S,,6,"$1,020",$816
,OTHER,,122,"$127,036","$101,586"
,TOTAL,,128,"$128,056","$102,402"
50551,SG,,4,"$1,223",$978
,OTHER,,176,"$45,551","$35,773"
,TOTAL,,180,"$46,774","$36,751"
50553,80'S,,1,$26,$21
,OTHER,,146,"$41,027","$32,797"
,TOTAL,,147,"$41,053","$32,818"
50555,80'S,,1,$60,$48
,OTHER,,61,"$22,174","$17,452"
,TOTAL,,62,"$22,234","$17,500"
50557,OTHER,,96,"$32,569","$25,945"
,TOTAL,,96,"$32,569","$25,945"
50559,OTHER,,22,"$4,655","$3,724"
,TOTAL,,22,"$4,655","$3,724"
50561,SG,,7,"$1,994","$1,595"
,80'S,,2,$146,$117
,OTHER,,287,"$120,337","$95,794"
,TOTAL,,296,"$122,477","$97,506"
50570,OTHER,,76,"$26,837","$21,373"
,TOTAL,,76,"$26,837","$21,373"
50572,80'S,,1,$51,$40
,OTHER,,52,"$29,550","$23,640"
,TOTAL,,53,"$29,600","$23,680"
50574,80'S,,1,$106,$84
,OTHER,,7,"$4,397","$3,518"
,TOTAL,,8,"$4,503","$3,602"
50575,80'S,,3,$386,$308
,OTHER,,465,"$367,873","$292,159"
,TOTAL,,468,"$368,259","$292,467"
50576,OTHER,,33,"$21,011","$16,078"
,TOTAL,,33,"$21,011","$16,078"
50578,OTHER,,3,"$1,435","$1,148"
,TOTAL,,3,"$1,435","$1,148"
50580,SG,,1,$300,$240
,80'S,,2,$105,$84
,OTHER,,61,"$32,557","$25,630"
,TOTAL,,64,"$32,962","$25,955"
50590,SG,,3,"$16,468","$13,108"
,OTHER,,"37,522","$23,174,472","$18,350,736"
,TOTAL,,"37,525","$23,190,939","$18,363,843"
50600,80'S,,29,"$3,816","$3,021"
,OTHER,,116,"$89,899","$71,250"
,TOTAL,,145,"$93,715","$74,271"
50605,80'S,,71,"$5,937","$4,750"
,OTHER,,415,"$226,245","$178,306"
,TOTAL,,486,"$232,182","$183,056"
50610,80'S,,70,"$9,916","$7,845"
,OTHER,,171,"$133,293","$104,896"
,TOTAL,,241,"$143,210","$112,741"
50620,80'S,,32,"$4,417","$3,533"
,OTHER,,85,"$69,346","$54,944"
,TOTAL,,117,"$73,762","$58,477"
50630,80'S,,58,"$8,035","$6,348"
