Medicare Part B Physician/Supplier BESS Data ,,,,,
For Calendar Year 2000,,,,,
Code Ranges 00100 - 01999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,AD,,2,$101,$81
,QK,,64,"$6,890","$5,352"
,QZ,,14,"$2,277","$1,718"
,OTHER,,120,"$14,011","$11,195"
,TOTAL,,285,"$41,504","$32,735"
00214,AA,,"3,704","$1,048,070","$829,647"
,AD,,46,"$3,704","$2,892"
,QK,,"3,353","$493,347","$390,094"
,QZ,,473,"$121,407","$95,707"
,OTHER,,"3,892","$554,329","$440,073"
,TOTAL,,"11,468","$2,220,857","$1,758,413"
00215,AA,,90,"$34,619","$27,247"
,AD,,3,$195,$156
,QK,,117,"$21,744","$17,387"
,QZ,,11,"$3,536","$2,829"
,OTHER,,97,"$16,609","$13,064"
,TOTAL,,318,"$76,702","$60,682"
00216,AA,,"1,703","$1,024,907","$811,851"
,AD,,17,"$1,800","$1,440"
,QK,,"1,567","$501,795","$397,149"
,QZ,,179,"$82,107","$65,308"
,OTHER,,"1,396","$408,136","$324,908"
,TOTAL,,"4,862","$2,018,745","$1,600,656"
00218,AA,,"1,820","$903,240","$716,342"
,AD,,33,"$2,063","$1,650"
,QK,,"2,180","$557,930","$441,956"
,QZ,,200,"$92,404","$73,713"
,OTHER,,"1,877","$460,042","$366,293"
,TOTAL,,"6,110","$2,015,679","$1,599,955"
00220,AA,,"3,303","$1,056,667","$834,891"
,AD,,61,"$4,107","$3,242"
,QK,,"3,270","$547,316","$434,636"
,QZ,,299,"$87,355","$69,487"
,OTHER,,"2,926","$475,874","$379,213"
,TOTAL,,"9,859","$2,171,318","$1,721,468"
00222,AA,,341,"$67,749","$53,450"
,AD,,5,$339,$272
,QK,,376,"$35,905","$28,023"
,QZ,,31,"$5,888","$4,679"
,OTHER,,241,"$24,519","$19,231"
,TOTAL,,994,"$134,401","$105,654"
00300,AA,,"38,255","$7,178,750","$5,677,417"
,AD,,583,"$41,848","$33,292"
,QK,,"34,285","$3,362,272","$2,651,966"
,QZ,,"11,376","$1,906,441","$1,505,987"
,OTHER,,"37,187","$3,540,192","$2,810,875"
,TOTAL,,"121,686","$16,029,503","$12,679,536"
00320,AA,,"52,592","$11,286,799","$8,948,462"
,AD,,644,"$49,938","$39,622"
,QK,,"44,475","$5,283,346","$4,182,897"
,QZ,,"8,765","$1,774,454","$1,405,641"
,OTHER,,"47,508","$5,361,201","$4,264,763"
,TOTAL,,"153,984","$23,755,739","$18,841,385"
00322,AA,,40,"$6,992","$5,522"
,QK,,34,"$2,430","$1,905"
,QZ,,11,"$1,701","$1,315"
,OTHER,,33,"$2,638","$2,110"
,TOTAL,,118,"$13,762","$10,853"
00350,AA,,"48,900","$17,195,369","$13,664,535"
,AD,,614,"$47,150","$37,459"
,QK,,"37,365","$6,754,480","$5,360,844"
,QZ,,"6,789","$2,239,640","$1,782,571"
,OTHER,,"40,741","$7,197,718","$5,735,686"
,TOTAL,,"134,409","$33,434,357","$26,581,095"
00352,AA,,"3,910","$667,868","$529,235"
,AD,,58,"$3,876","$3,101"
,QK,,"3,724","$318,513","$252,501"
,QZ,,789,"$124,026","$98,752"
,OTHER,,"4,029","$344,325","$273,670"
,TOTAL,,"12,510","$1,458,608","$1,157,258"
00400,AA,,"110,614","$15,187,041","$11,990,874"
,AD,,"1,716","$119,333","$94,522"
,QK,,"102,508","$7,220,227","$5,696,390"
,QZ,,"30,171","$3,746,956","$2,963,799"
,OTHER,,"117,652","$8,132,940","$6,445,327"
,TOTAL,,"362,661","$34,406,499","$27,190,913"
00402,AA,,"4,501","$1,208,096","$945,258"
,AD,,81,"$6,780","$5,330"
,QK,,"3,848","$536,580","$417,742"
