CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2548 ,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
RADIOLOGY,70330,TC,207,7608.87,5118.58,,,
RADIOLOGY,70330,GLOBL,2618,130681.86,96759.86,,,
RADIOLOGY,70330,TOTAL,4805,163768.93,119982.78,,,
RADIOLOGY,70332,26,28,866.74,611.79999999999995,,,
RADIOLOGY,70332,GLOBL,172,14429.88,11044.98,,,
RADIOLOGY,70332,TOTAL,200,15296.62,11656.78,,,
RADIOLOGY,70336,26,1469,107279.52,80279.289999999994,,,
RADIOLOGY,70336,TC,232,56118.64,42871.93,,,
RADIOLOGY,70336,GLOBL,1400,461768.75,349290.15,,,
RADIOLOGY,70336,TOTAL,3101,625166.91,472441.37,,,
RADIOLOGY,70350,26,70,696.04,465.82,,,
RADIOLOGY,70350,TC,N/A,12.87,10.09,,,
RADIOLOGY,70350,GLOBL,1505,32939.9,25020.18,,,
RADIOLOGY,70350,TOTAL,1576,33648.81,25496.09,,,
RADIOLOGY,70355,26,14750,163087.19,121004.81,,,
RADIOLOGY,70355,TC,162,1696.42,1290.81,,,
RADIOLOGY,70355,GLOBL,16406,348897.31,259444.6,,,
RADIOLOGY,70355,TOTAL,31318,513680.92,381740.22,,,
RADIOLOGY,70360,26,57935,496730.23,367983.4,,,
RADIOLOGY,70360,TC,1397,29187.42,21521.05,,,
RADIOLOGY,70360,GLOBL,12589,361682.43,275657.31,,,
RADIOLOGY,70360,TOTAL,71921,887600.08000000007,665161.76,,,
RADIOLOGY,70370,26,1304,20199.18,15669.53,,,
RADIOLOGY,70370,TC,N/A,142.38,111.62,,,
RADIOLOGY,70370,GLOBL,1077,80176.429999999993,61962.23,,,
RADIOLOGY,70370,TOTAL,2383,100517.99,77743.38,,,
RADIOLOGY,70371,26,6093,266565.7,205151.46,,,
RADIOLOGY,70371,TC,550,28668.799999999999,22412.240000000002,,,
RADIOLOGY,70371,GLOBL,2837,269314.09000000003,208709.47,,,
RADIOLOGY,70371,TOTAL,9480,564548.59000000008,436273.17,,,
RADIOLOGY,70373,26,3193,71647.02,55794.49,,,
RADIOLOGY,70373,TC,525,35605.879999999997,27916.799999999999,,,
RADIOLOGY,70373,GLOBL,949,77003.47,59816.74,,,
RADIOLOGY,70373,TOTAL,4667,184256.37,143528.03,,,
RADIOLOGY,70380,26,39,403.9,308.43,,,
RADIOLOGY,70380,TC,N/A,0,0,,,
RADIOLOGY,70380,GLOBL,63,2500.2399999999998,1877.5,,,
RADIOLOGY,70380,TOTAL,102,2904.14,2185.9299999999998,,,
RADIOLOGY,70390,26,184,3543.69,2681.35,,,
RADIOLOGY,70390,TC,N/A,82.53,64.7,,,
RADIOLOGY,70390,GLOBL,27,2708.34,1936.39,,,
RADIOLOGY,70390,TOTAL,212,6334.56,4682.4400000000014,,,
RADIOLOGY,70450,26,5344210,214966528.74000001,160226130.03999999,,,
RADIOLOGY,70450,TC,33823,2555011.84,1870571.89,,,
RADIOLOGY,70450,GLOBL,133718,16593681.289999999,12177826.26,,,
RADIOLOGY,70450,TOTAL,5511751,234115221.87,174274528.19,,,
RADIOLOGY,70460,26,30376,1572119.01,1192875.18,,,
RADIOLOGY,70460,TC,2329,169852.6,127867.88,,,
RADIOLOGY,70460,GLOBL,3740,589054.99,446337.94,,,
RADIOLOGY,70460,TOTAL,36445,2331026.6,1767081,,,
RADIOLOGY,70470,26,116537,7162718.3300000001,5378930.6699999999,,,
RADIOLOGY,70470,TC,8088,947314.75,713866.79,,,
RADIOLOGY,70470,GLOBL,21676,4180321.7,3138682.97,,,
RADIOLOGY,70470,TOTAL,146301,12290354.779999999,9231480.4299999997,,,
RADIOLOGY,70480,26,37414,2434371.9300000002,1825604.52,,,
RADIOLOGY,70480,TC,2620,325201.40999999997,244866.26,,,
RADIOLOGY,70480,GLOBL,12233,2393053.0499999998,1813534.9,,,
RADIOLOGY,70480,TOTAL,52267,5152626.3900000006,3884005.68,,,
RADIOLOGY,70481,26,7248,508413.65,382576.95,,,
RADIOLOGY,70481,TC,281,60402.32,45905.42,,,
RADIOLOGY,70481,GLOBL,1207,361529.72,277144.48,,,
RADIOLOGY,70481,TOTAL,8736,930345.69,705626.85,,,
RADIOLOGY,70482,26,3404,246222.63,186932.31,,,
RADIOLOGY,70482,TC,313,75129.399999999994,57358.54,,,
