CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-319,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99201,,334032,13200705.18,8813783.8699999992,,,
EVALUATION AND MANAGEMENT,99201,TOTAL,334032,13200705.18,8813783.8699999992,,,
EVALUATION AND MANAGEMENT,99202,,3019233,211243386.53,141529820.59999999,,,
EVALUATION AND MANAGEMENT,99202,TOTAL,3019233,211243386.53,141529820.59999999,,,
EVALUATION AND MANAGEMENT,99203,,10548008,1094650101.24,752135621.30999994,,,
EVALUATION AND MANAGEMENT,99203,TOTAL,10548008,1094650101.24,752135621.30999994,,,
EVALUATION AND MANAGEMENT,99204,,9128717.8000000007,1470799092.9200001,1049345049.34,,,
EVALUATION AND MANAGEMENT,99204,TOTAL,9128717.8000000007,1470799092.9200001,1049345049.34,,,
EVALUATION AND MANAGEMENT,99205,,2876356.1,576582675.28999996,425708334.74000001,,,
EVALUATION AND MANAGEMENT,99205,TOTAL,2876356.1,576582675.28999996,425708334.74000001,,,
EVALUATION AND MANAGEMENT,99211,,5364040.4000000004,103664646.36,72090423.069999993,,,
EVALUATION AND MANAGEMENT,99211,TOTAL,5364040.4000000004,103664646.36,72090423.069999993,,,
EVALUATION AND MANAGEMENT,99212,,15861843.300000001,654541178.27999997,460797795.77999997,,,
EVALUATION AND MANAGEMENT,99212,TOTAL,15861843.300000001,654541178.27999997,460797795.77999997,,,
EVALUATION AND MANAGEMENT,99213,,100632242.3,7041179194.5900002,4867046677.2399998,,,
EVALUATION AND MANAGEMENT,99213,TOTAL,100632242.3,7041179194.5900002,4867046677.2399998,,,
EVALUATION AND MANAGEMENT,99214,,91503141.099999994,9471789772.4899998,6585415110.71,,,
EVALUATION AND MANAGEMENT,99214,TOTAL,91503141.099999994,9471789772.4899998,6585415110.71,,,
EVALUATION AND MANAGEMENT,99215,,9318722.1999999993,1291719321.04,922250321.34000003,,,
EVALUATION AND MANAGEMENT,99215,TOTAL,9318722.1999999993,1291719321.04,922250321.34000003,,,
EVALUATION AND MANAGEMENT,99217,,1236842,88298160.5,67986214.780000001,,,
EVALUATION AND MANAGEMENT,99217,TOTAL,1236842,88298160.5,67986214.780000001,,,
EVALUATION AND MANAGEMENT,99218,,147103,14368435.960000001,10940073.529999999,,,
EVALUATION AND MANAGEMENT,99218,TOTAL,147103,14368435.960000001,10940073.529999999,,,
EVALUATION AND MANAGEMENT,99219,,577886,77452179,58703373.829999998,,,
EVALUATION AND MANAGEMENT,99219,TOTAL,577886,77452179,58703373.829999998,,,
EVALUATION AND MANAGEMENT,99220,,1144313,210588345.53,160786186.55000001,,,
EVALUATION AND MANAGEMENT,99220,TOTAL,1144313,210588345.53,160786186.55000001,,,
EVALUATION AND MANAGEMENT,99221,,1819746,183734992.03,141485187.49000001,,,
EVALUATION AND MANAGEMENT,99221,TOTAL,1819746,183734992.03,141485187.49000001,,,
EVALUATION AND MANAGEMENT,99222,,6965146.9000000004,964528622.84000003,741687236.19000006,,,
EVALUATION AND MANAGEMENT,99222,TOTAL,6965146.9000000004,964528622.84000003,741687236.19000006,,,
EVALUATION AND MANAGEMENT,99223,,10957790,2240891637.3699999,1729767459.5699999,,,
