CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33220,TOTAL,130,46608.97,35892.54,,,
CARDIOVASCULAR,33221,80S,N/A,0,0,,,
CARDIOVASCULAR,33221,OTHER,396,139884.17000000001,108101.38,,,
CARDIOVASCULAR,33221,TOTAL,396,139884.17000000001,108101.38,,,
CARDIOVASCULAR,33222,80S,N/A,0,0,,,
CARDIOVASCULAR,33222,SG,N/A,849.01,665.63,,,
CARDIOVASCULAR,33222,OTHER,1413,427137.77,331993.17,,,
CARDIOVASCULAR,33222,TOTAL,1414,427986.78,332658.8,,,
CARDIOVASCULAR,33223,80S,11,563.1,441.48,,,
CARDIOVASCULAR,33223,SG,N/A,822.73,645.02,,,
CARDIOVASCULAR,33223,OTHER,1297,510446.7,395552.8,,,
CARDIOVASCULAR,33223,TOTAL,1309,511832.53,396639.3,,,
CARDIOVASCULAR,33224,80S,N/A,0,0,,,
CARDIOVASCULAR,33224,SG,N/A,10407.780000000001,8159.7,,,
CARDIOVASCULAR,33224,OTHER,1946,855578.45,665143.76,,,
CARDIOVASCULAR,33224,TOTAL,1947,865986.23,673303.46,,,
CARDIOVASCULAR,33225,80S,N/A,0,0,,,
CARDIOVASCULAR,33225,SG,N/A,19961.28,15649.64,,,
CARDIOVASCULAR,33225,OTHER,32191,15366473.83,11980145.800000001,,,
CARDIOVASCULAR,33225,TOTAL,32193,15386435.109999999,11995795.439999999,,,
CARDIOVASCULAR,33226,80S,N/A,0,0,,,
CARDIOVASCULAR,33226,OTHER,546,261248.04,203380.37,,,
CARDIOVASCULAR,33226,TOTAL,546,261248.04,203380.37,,,
CARDIOVASCULAR,33227,80S,N/A,0,0,,,
