CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,
"""2014 Part B National Summary Data File
Code Range: 05) Medicine (90000 - 99199, 99500 - 99999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1959,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
MEDICINE,90667,,N/A,0,0,
MEDICINE,90667,TOTAL,N/A,0,0,
MEDICINE,90668,,65,1880.15,1441.93,
MEDICINE,90668,TOTAL,65,1880.15,1441.93,
MEDICINE,90669,,1721,156047.51,152551.91,
MEDICINE,90669,TOTAL,1721,156047.51,152551.91,
MEDICINE,90670,,645076.5,98114843.290000007,95702377.269999996,
MEDICINE,90670,TOTAL,645076.5,98114843.290000007,95702377.269999996,
MEDICINE,90672,,2540,60685.73,58620.3,
MEDICINE,90672,TOTAL,2540,60685.73,58620.3,
MEDICINE,90673,,6472,200617.41,195991.36,
MEDICINE,90673,TOTAL,6472,200617.41,195991.36,
MEDICINE,90675,,847,188242.65,144646.04999999999,
MEDICINE,90675,TOTAL,847,188242.65,144646.04999999999,
MEDICINE,90676,,N/A,0,0,
MEDICINE,90676,TOTAL,N/A,0,0,
MEDICINE,90680,,N/A,0,0,
MEDICINE,90680,TOTAL,N/A,0,0,
MEDICINE,90681,,N/A,0,0,
MEDICINE,90681,TOTAL,N/A,0,0,
MEDICINE,90685,,1073,24120.75,23613.59,
MEDICINE,90685,TOTAL,1073,24120.75,23613.59,
MEDICINE,90686,,1006682.5,17987770.469999999,17502905.25,
MEDICINE,90686,TOTAL,1006682.5,17987770.469999999,17502905.25,
MEDICINE,90687,,79,721.27,707.05,
MEDICINE,90687,TOTAL,79,721.27,707.05,
MEDICINE,90688,,545848,9139168.8699999992,8889162.3599999994,
MEDICINE,90688,TOTAL,545848,9139168.8699999992,8889162.3599999994,
MEDICINE,90690,,N/A,0,0,
MEDICINE,90690,TOTAL,N/A,0,0,
MEDICINE,90691,,157,10418.93,6769.8,
MEDICINE,90691,TOTAL,157,10418.93,6769.8,
MEDICINE,90692,,N/A,0,0,
MEDICINE,90692,TOTAL,N/A,0,0,
MEDICINE,90693,,N/A,0,0,
MEDICINE,90693,TOTAL,N/A,0,0,
MEDICINE,90696,,N/A,0,0,
MEDICINE,90696,TOTAL,N/A,0,0,
MEDICINE,90698,,N/A,0,0,
MEDICINE,90698,TOTAL,N/A,0,0,
MEDICINE,90700,,N/A,2,1.56,
MEDICINE,90700,TOTAL,N/A,2,1.56,
MEDICINE,90701,,N/A,0,0,
MEDICINE,90701,TOTAL,N/A,0,0,
MEDICINE,90702,,N/A,0,0,
MEDICINE,90702,TOTAL,N/A,0,0,
MEDICINE,90703,,25981.5,975888.42,704442.45,
MEDICINE,90703,TOTAL,25981.5,975888.42,704442.45,
MEDICINE,90704,,N/A,0,0,
MEDICINE,90704,TOTAL,N/A,0,0,
MEDICINE,90705,,N/A,0,0,
MEDICINE,90705,TOTAL,N/A,0,0,
MEDICINE,90706,,N/A,0,0,
MEDICINE,90706,TOTAL,N/A,0,0,
MEDICINE,90707,,N/A,0,0,
MEDICINE,90707,TOTAL,N/A,0,0,
MEDICINE,90708,,N/A,0,0,
MEDICINE,90708,TOTAL,N/A,0,0,
MEDICINE,90710,,N/A,0,0,
MEDICINE,90710,TOTAL,N/A,0,0,
MEDICINE,90712,,N/A,0,0,
MEDICINE,90712,TOTAL,N/A,0,0,
MEDICINE,90713,,N/A,28.14,22.06,
MEDICINE,90713,TOTAL,N/A,28.14,22.06,
MEDICINE,90714,,56761,1183975.58,854301.15,
MEDICINE,90714,TOTAL,56761,1183975.58,854301.15,
MEDICINE,90715,,43504,1449860.88,1044665.44,
MEDICINE,90715,TOTAL,43504,1449860.88,1044665.44,
MEDICINE,90716,,N/A,0,0,
MEDICINE,90716,TOTAL,N/A,0,0,
MEDICINE,90717,,N/A,0,0,
MEDICINE,90717,TOTAL,N/A,0,0,
MEDICINE,90718,,N/A,0,0,
MEDICINE,90718,TOTAL,N/A,0,0,
MEDICINE,90719,,N/A,0,0,
MEDICINE,90719,TOTAL,N/A,0,0,
MEDICINE,90720,,N/A,0,0,
MEDICINE,90720,TOTAL,N/A,0,0,
MEDICINE,90721,,N/A,23.9,18.739999999999998,
MEDICINE,90721,TOTAL,N/A,23.9,18.739999999999998,
MEDICINE,90723,,N/A,0,0,
MEDICINE,90723,TOTAL,N/A,0,0,
MEDICINE,90725,,N/A,0,0,
MEDICINE,90725,TOTAL,N/A,0,0,
MEDICINE,90732,,1434402,105495519.11,102726634.06,
MEDICINE,90732,TOTAL,1434402,105495519.11,102726634.06,
MEDICINE,90733,,N/A,212.98,166.98,
MEDICINE,90733,TOTAL,N/A,212.98,166.98,
MEDICINE,90734,,N/A,0,0,
MEDICINE,90734,TOTAL,N/A,0,0,
MEDICINE,90735,,N/A,0,0,
MEDICINE,90735,TOTAL,N/A,0,0,
MEDICINE,90736,,N/A,160,125.44,
MEDICINE,90736,TOTAL,N/A,160,125.44,
MEDICINE,90738,,N/A,0,0,
MEDICINE,90738,TOTAL,N/A,0,0,
MEDICINE,90739,,N/A,70,68.599999999999994,
MEDICINE,90739,TOTAL,N/A,70,68.599999999999994,
MEDICINE,90740,,1936,221702.21,215202.4,
MEDICINE,90740,TOTAL,1936,221702.21,215202.4,
MEDICINE,90743,,273,6544.09,6390.63,
MEDICINE,90743,TOTAL,273,6544.09,6390.63,
MEDICINE,90744,,368,8795.5300000000007,8621.2000000000007,
MEDICINE,90744,TOTAL,368,8795.5300000000007,8621.2000000000007,
MEDICINE,90746,,72845,4273836.04,4151687.87,
MEDICINE,90746,TOTAL,72845,4273836.04,4151687.87,
MEDICINE,90747,,1050,120425.69,117315.29,
MEDICINE,90747,TOTAL,1050,120425.69,117315.29,
MEDICINE,90748,,N/A,0,0,
MEDICINE,90748,TOTAL,N/A,0,0,
MEDICINE,90749,,N/A,144.69999999999999,113.42,
MEDICINE,90749,TOTAL,N/A,144.69999999999999,113.42,
MEDICINE,90785,,252473,3196194.79,2459767.69,
MEDICINE,90785,TOTAL,252473,3196194.79,2459767.69,
MEDICINE,90791,,899955.5,111285839.23999999,82432452.879999995,
MEDICINE,90791,TOTAL,899955.5,111285839.23999999,82432452.879999995,
MEDICINE,90792,,542671.1,75090829.030000001,55402455.920000002,
MEDICINE,90792,TOTAL,542671.1,75090829.030000001,55402455.920000002,
MEDICINE,90801,,N/A,0,0,
MEDICINE,90801,TOTAL,N/A,0,0,
MEDICINE,90802,,N/A,0,0,
MEDICINE,90802,TOTAL,N/A,0,0,
MEDICINE,90804,,N/A,0,0,
MEDICINE,90804,TOTAL,N/A,0,0,
MEDICINE,90805,,N/A,0,0,
MEDICINE,90805,TOTAL,N/A,0,0,
MEDICINE,90806,,N/A,0,0,
MEDICINE,90806,TOTAL,N/A,0,0,
MEDICINE,90807,,N/A,0,0,
MEDICINE,90807,TOTAL,N/A,0,0,
MEDICINE,90808,,N/A,0,0,
MEDICINE,90808,TOTAL,N/A,0,0,
MEDICINE,90809,,N/A,0,0,
MEDICINE,90809,TOTAL,N/A,0,0,
MEDICINE,90810,,N/A,0,0,
MEDICINE,90810,TOTAL,N/A,0,0,
MEDICINE,90811,,N/A,0,0,
MEDICINE,90811,TOTAL,N/A,0,0,
MEDICINE,90813,,N/A,0,0,
MEDICINE,90813,TOTAL,N/A,0,0,
MEDICINE,90814,,N/A,0,0,
MEDICINE,90814,TOTAL,N/A,0,0,
MEDICINE,90815,,N/A,0,0,
MEDICINE,90815,TOTAL,N/A,0,0,
MEDICINE,90816,,N/A,0,0,
MEDICINE,90816,TOTAL,N/A,0,0,
MEDICINE,90817,,N/A,0,0,
MEDICINE,90817,TOTAL,N/A,0,0,
MEDICINE,90818,,N/A,0,0,
MEDICINE,90818,TOTAL,N/A,0,0,
MEDICINE,90821,,N/A,0,0,
MEDICINE,90821,TOTAL,N/A,0,0,
MEDICINE,90822,,N/A,0,0,
MEDICINE,90822,TOTAL,N/A,0,0,
MEDICINE,90823,,N/A,0,0,
MEDICINE,90823,TOTAL,N/A,0,0,
MEDICINE,90824,,N/A,0,0,
MEDICINE,90824,TOTAL,N/A,0,0,
MEDICINE,90826,,N/A,0,0,
MEDICINE,90826,TOTAL,N/A,0,0,
MEDICINE,90827,,N/A,0,0,
MEDICINE,90827,TOTAL,N/A,0,0,
MEDICINE,90829,,N/A,0,0,
MEDICINE,90829,TOTAL,N/A,0,0,
MEDICINE,90832,,2302072,138312986.63,105003144.39,
MEDICINE,90832,TOTAL,2302072,138312986.63,105003144.39,
MEDICINE,90833,,1282968.2,80133593.859999999,59763636.380000003,
MEDICINE,90833,TOTAL,1282968.2,80133593.859999999,59763636.380000003,
MEDICINE,90834,,5757073.7000000002,447739630.18000001,338241858.60000002,
MEDICINE,90834,TOTAL,5757073.7000000002,447739630.18000001,338241858.60000002,
MEDICINE,90836,,576081.19999999995,47553852.340000004,36206423.270000003,
MEDICINE,90836,TOTAL,576081.19999999995,47553852.340000004,36206423.270000003,
MEDICINE,90837,,3952777.9,445204071.82999998,338768976.76999998,
MEDICINE,90837,TOTAL,3952777.9,445204071.82999998,338768976.76999998,
MEDICINE,90838,,95208,10233914.460000001,7839176.5700000003,
