Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Range 69000 - 69990,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,352,"$315,494","$250,442"
69636,SG,,15,"$14,102","$11,281"
,OTHER,,128,"$129,459","$103,098"
,TOTAL,,143,"$143,561","$114,379"
69637,SG,,11,"$10,370","$8,296"
,OTHER,,116,"$120,545","$95,485"
,TOTAL,,127,"$130,915","$103,782"
69641,SG,,137,"$130,355","$102,471"
,OTHER,,875,"$735,344","$576,877"
,TOTAL,,"1,012","$865,699","$679,348"
69642,SG,,43,"$40,444","$31,226"
,OTHER,,318,"$352,089","$278,191"
,TOTAL,,361,"$392,533","$309,417"
69643,SG,,75,"$71,159","$56,256"
,OTHER,,666,"$683,952","$539,307"
,TOTAL,,741,"$755,112","$595,563"
69644,SG,,34,"$32,196","$25,122"
,OTHER,,355,"$406,243","$318,724"
,TOTAL,,389,"$438,440","$343,846"
69645,SG,,36,"$34,094","$25,533"
,OTHER,,346,"$381,201","$300,096"
,TOTAL,,382,"$415,296","$325,629"
69646,SG,,20,"$19,150","$15,320"
,OTHER,,288,"$345,672","$273,383"
,TOTAL,,308,"$364,822","$288,703"
69650,SG,,12,"$10,657","$8,525"
,OTHER,,75,"$39,603","$31,349"
,TOTAL,,87,"$50,260","$39,875"
69660,SG,,115,"$78,428","$61,532"
,OTHER,,"1,048","$736,449","$577,621"
,TOTAL,,"1,163","$814,877","$639,153"
69661,SG,,44,"$30,363","$23,083"
,OTHER,,137,"$140,026","$111,261"
,TOTAL,,181,"$170,389","$134,344"
69662,SG,,50,"$33,619","$26,895"
,OTHER,,240,"$241,849","$190,274"
,TOTAL,,290,"$275,468","$217,170"
69666,SG,,23,"$9,896","$7,685"
,OTHER,,136,"$80,162","$63,406"
,TOTAL,,159,"$90,058","$71,091"
69667,SG,,15,"$7,131","$5,627"
,OTHER,,94,"$41,586","$32,538"
,TOTAL,,109,"$48,717","$38,165"
69670,SG,,5,"$1,999","$1,600"
,OTHER,,37,"$19,122","$15,022"
,TOTAL,,42,"$21,122","$16,622"
69676,SG,,2,$964,$771
,OTHER,,11,"$7,826","$6,261"
,TOTAL,,13,"$8,789","$7,032"
69700,SG,,1,$481,$385
,OTHER,,25,"$9,074","$7,259"
,TOTAL,,26,"$9,555","$7,644"
69711,OTHER,,13,"$4,714","$3,268"
