Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Range 65091 - 68899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
65091,SG,EYE,23,"$10,637","$8,385"
,80'S,,1,$139,$111
,OTHER,,141,"$86,355","$68,740"
,TOTAL,,165,"$97,131","$77,236"
65093,SG,,168,"$78,459","$61,909"
,OTHER,,717,"$454,575","$360,032"
,TOTAL,,885,"$533,034","$421,941"
65101,SG,,21,"$10,079","$7,777"
,OTHER,,155,"$95,722","$76,453"
,TOTAL,,176,"$105,801","$84,230"
65103,SG,,54,"$25,484","$20,146"
,OTHER,,354,"$244,773","$194,287"
,TOTAL,,408,"$270,258","$214,433"
65105,SG,,188,"$112,108","$89,147"
,80'S,,56,"$7,012","$5,610"
,OTHER,,"1,095","$811,221","$641,011"
,TOTAL,,"1,339","$930,341","$735,768"
65110,SG,,8,"$5,469","$4,375"
,80'S,,6,"$1,094",$875
,OTHER,,108,"$109,900","$87,804"
,TOTAL,,122,"$116,463","$93,055"
65112,80'S,,4,$742,$593
,OTHER,,39,"$42,477","$33,889"
,TOTAL,,43,"$43,219","$34,482"
65114,80'S,,1,$221,$177
,OTHER,,28,"$37,124","$29,699"
,TOTAL,,29,"$37,345","$29,876"
65125,OTHER,,39,"$6,722","$5,248"
,TOTAL,,39,"$6,722","$5,248"
65130,SG,,13,"$5,761","$4,549"
,OTHER,,27,"$15,727","$12,494"
,TOTAL,,40,"$21,488","$17,043"
65135,SG,,10,"$3,413","$2,731"
,OTHER,,48,"$30,666","$24,453"
,TOTAL,,58,"$34,079","$27,184"
65140,SG,,13,"$5,746","$4,597"
,OTHER,,35,"$23,144","$18,487"
,TOTAL,,48,"$28,890","$23,083"
65150,SG,,6,"$2,340","$1,872"
,OTHER,,45,"$24,450","$18,829"
,TOTAL,,51,"$26,789","$20,701"
65155,SG,,18,"$7,619","$6,065"
,OTHER,,82,"$55,224","$42,820"
,TOTAL,,100,"$62,844","$48,884"
65175,SG,,26,"$6,065","$4,852"
,OTHER,,158,"$73,596","$58,427"
,TOTAL,,184,"$79,661","$63,279"
65205,OTHER,,"20,280","$930,981","$656,169"
,TOTAL,,"20,280","$930,981","$656,169"
65210,OTHER,,"21,171","$1,215,025","$881,928"
,TOTAL,,"21,171","$1,215,025","$881,928"
65220,OTHER,,"3,568","$571,547","$435,425"
,TOTAL,,"3,568","$571,547","$435,425"
65222,OTHER,,"31,603","$1,926,629","$1,362,392"
,TOTAL,,"31,603","$1,926,629","$1,362,392"
65235,SG,,113,"$45,085","$35,810"
,OTHER,,182,"$76,301","$60,793"
,TOTAL,,295,"$121,386","$96,603"
65260,SG,,3,"$1,290","$1,032"
,80'S,,1,$66,$53
,OTHER,,24,"$14,541","$11,428"
,TOTAL,,28,"$15,898","$12,514"
65265,SG,,24,"$10,865","$8,692"
,80'S,,21,"$2,402","$1,921"
,OTHER,,181,"$136,761","$108,264"
,TOTAL,,226,"$150,028","$118,877"
65270,SG,,33,"$12,753","$10,197"
,OTHER,,127,"$19,760","$15,528"
,TOTAL,,160,"$32,513","$25,725"
65272,SG,,17,"$6,213","$4,971"
,OTHER,,55,"$14,269","$11,083"
,TOTAL,,72,"$20,483","$16,054"
65273,OTHER,,19,"$5,195","$4,126"
,TOTAL,,19,"$5,195","$4,126"
65275,SG,,25,"$13,927","$11,141"
,OTHER,,140,"$42,340","$32,949"
