Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Ranges 20000 - 29999 ,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
20000,OTHER,MUSCULOSKELETAL,"3,662","$514,855","$394,742"
,TOTAL,,"3,662","$514,855","$394,742"
20005,SG,,56,"$22,836","$18,116"
,80'S,,1,$17,$13
,OTHER,,"2,965","$584,754","$459,378"
,TOTAL,,"3,022","$607,607","$477,507"
20100,AS,,1,$70,$56
,80'S,,15,"$1,197",$957
,OTHER,,240,"$114,281","$90,442"
,TOTAL,,256,"$115,548","$91,456"
20101,OTHER,,115,"$17,447","$13,728"
,TOTAL,,115,"$17,447","$13,728"
20102,AS,,9,$243,$194
,80'S,,17,$493,$366
,OTHER,,465,"$89,246","$70,749"
,TOTAL,,491,"$89,982","$71,309"
20103,AS,,3,$128,$103
,80'S,,3,$120,$96
,OTHER,,"1,210","$318,748","$249,969"
,TOTAL,,"1,216","$318,996","$250,167"
20150,80'S,,1,$149,$119
,OTHER,,14,"$4,164","$3,331"
,TOTAL,,15,"$4,313","$3,450"
20200,SG,,49,"$20,041","$15,860"
,OTHER,,"1,189","$90,371","$70,603"
,TOTAL,,"1,238","$110,412","$86,462"
20205,SG,,182,"$89,124","$70,897"
,80'S,,1,$11,$9
,OTHER,,"3,575","$456,527","$358,742"
,TOTAL,,"3,758","$545,663","$429,648"
20206,SG,,19,"$5,212","$4,154"
,OTHER,,"6,261","$443,368","$347,902"
,TOTAL,,"6,280","$448,580","$352,055"
20220,SG,,33,"$8,801","$6,951"
,OTHER,,"7,317","$1,179,238","$934,055"
,TOTAL,,"7,350","$1,188,039","$941,007"
20225,AS,,1,$13,$11
,SG,,45,"$17,689","$14,151"
,80'S,,2,$43,$34
,OTHER,,"15,025","$2,409,455","$1,913,679"
,TOTAL,,"15,073","$2,427,200","$1,927,875"
20240,SG,,62,"$21,730","$17,384"
,OTHER,,"1,339","$323,013","$255,143"
,TOTAL,,"1,401","$344,743","$272,527"
20245,SG,,32,"$14,759","$11,727"
,OTHER,,"1,567","$664,889","$526,445"
,TOTAL,,"1,599","$679,648","$538,172"
20250,AS,,3,$94,$75
,SG,,1,$586,$469
,80'S,,6,$169,$135
,OTHER,,519,"$119,847","$95,805"
,TOTAL,,529,"$120,695","$96,483"
20251,AS,,46,"$2,027","$1,621"
,SG,,2,$894,$715
,80'S,,62,"$2,845","$2,276"
,OTHER,,774,"$222,923","$177,831"
,TOTAL,,884,"$228,689","$182,443"
20500,OTHER,,736,"$114,852","$88,675"
,TOTAL,,736,"$114,852","$88,675"
20501,OTHER,,"8,810","$326,650","$257,630"
,TOTAL,,"8,810","$326,650","$257,630"
20520,OTHER,,"2,664","$519,857","$397,853"
,TOTAL,,"2,664","$519,857","$397,853"
20525,SG,,238,"$111,035","$86,180"
,OTHER,,"1,799","$480,547","$374,719"
,TOTAL,,"2,037","$591,582","$460,899"
20526,OTHER,,"19,848","$1,091,514","$840,420"
,TOTAL,,"19,848","$1,091,514","$840,420"
20550,OTHER,,"908,135","$49,487,245","$37,164,681"
,TOTAL,,"908,135","$49,487,245","$37,164,681"
20551,OTHER,,"75,154","$3,555,654","$2,750,419"
,TOTAL,,"75,154","$3,555,654","$2,750,419"
20552,OTHER,,"197,044","$10,416,113","$8,062,006"
,TOTAL,,"197,044","$10,416,113","$8,062,006"
20553,OTHER,,"55,811","$2,699,878","$2,086,547"
,TOTAL,,"55,811","$2,699,878","$2,086,547"
20600,OTHER,,"338,642","$15,692,425","$11,732,372"
,TOTAL,,"338,642","$15,692,425","$11,732,372"
20605,OTHER,,"417,894","$20,998,348","$15,661,539"
,TOTAL,,"417,894","$20,998,348","$15,661,539"
20610,OTHER,,"3,426,810","$213,397,646","$161,573,844"
,TOTAL,,"3,426,810","$213,397,646","$161,573,844"
20615,OTHER,,"1,662","$391,888","$308,080"
,TOTAL,,"1,662","$391,888","$308,080"
20650,AS,,3,$45,$36
,SG,,176,"$56,226","$44,953"
,OTHER,,"2,679","$361,412","$285,701"
,TOTAL,,"2,858","$417,683","$330,690"
20660,AS,,1,$23,$18
,SG,,21,"$7,558","$5,967"
,OTHER,,"2,714","$418,907","$331,035"
,TOTAL,,"2,736","$426,488","$337,020"
20661,AS,,1,$33,$26
,OTHER,,"1,418","$504,375","$400,082"
,TOTAL,,"1,419","$504,407","$400,108"
20662,SG,,1,$512,$410
,OTHER,,25,"$5,323","$4,091"
,TOTAL,,26,"$5,835","$4,500"
20663,OTHER,,1,$360,$288
,TOTAL,,1,$360,$288
20664,OTHER,,35,"$19,695","$15,756"
,TOTAL,,35,"$19,695","$15,756"
20665,OTHER,,129,"$14,044","$11,016"
,TOTAL,,129,"$14,044","$11,016"
20670,SG,,762,"$209,074","$165,494"
,OTHER,,"14,826","$3,035,683","$2,378,276"
,TOTAL,,"15,588","$3,244,757","$2,543,769"
20680,AS,,262,"$8,744","$6,957"
,SG,,"6,339","$2,826,509","$2,234,964"
,80'S,,235,"$8,422","$6,736"
,OTHER,,"44,046","$10,710,459","$8,440,221"
,TOTAL,,"50,882","$13,554,135","$10,688,879"
20690,AS,,2,$43,$34
,SG,,185,"$49,444","$39,429"
,80'S,,2,$37,$29
,OTHER,,"3,620","$431,878","$342,471"
,TOTAL,,"3,809","$481,402","$381,963"
20692,AS,,57,"$2,083","$1,620"
,80'S,,91,"$3,570","$2,851"
,OTHER,,"1,135","$258,688","$205,065"
,TOTAL,,"1,283","$264,341","$209,537"
20693,OTHER,,537,"$280,206","$222,659"
,TOTAL,,537,"$280,206","$222,659"
20694,SG,,780,"$231,924","$183,735"
,OTHER,,"4,602","$1,557,310","$1,230,950"
,TOTAL,,"5,382","$1,789,234","$1,414,685"
