MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
90849,TOTAL,,422,"$12,059.23 ","$5,593.67 "
90853,TOTAL,,"1,507,613","$41,819,360.01 ","$20,845,079.76 "
90857,TOTAL,,"19,992","$567,583.21 ","$280,091.53 "
90862,TOTAL,,"5,263,874","$248,133,200.53 ","$123,082,399.51 "
90865,TOTAL,,146,"$12,527.94 ","$6,635.38 "
90870,TOTAL,,"136,857","$11,952,427.16 ","$7,537,296.42 "
90880,TOTAL,,"6,955","$789,090.71 ","$437,191.48 "
90882,TOTAL,,13,$14.30 ,$7.15 
90899,TOTAL,,59,"$3,965.11 ","$2,669.38 "
90901,TOTAL,,"29,490","$1,167,027.11 ","$923,038.36 "
90911,TOTAL,,"23,412","$2,053,875.63 ","$1,598,231.28 "
90921,TOTAL,,75,"$34,362.64 ","$22,528.74 "
90925,TOTAL,,219,"$3,141.50 ","$2,168.00 "
90935,TOTAL,,"1,613,590","$109,320,938.28 ","$86,841,439.70 "
90937,TOTAL,,"105,778","$11,788,007.80 ","$9,382,060.05 "
90945,TOTAL,,"144,156","$10,100,183.59 ","$7,991,336.01 "
90947,TOTAL,,"17,412","$1,953,696.08 ","$1,551,384.54 "
90989,TOTAL,,"3,821","$1,706,350.72 ","$1,331,736.47 "
90993,TOTAL,,"1,868","$41,622.80 ","$32,784.68 "
90997,TOTAL,,528,"$49,231.60 ","$39,218.90 "
90999,TOTAL,,"9,394","$111,851.01 ","$89,317.63 "
91000,TOTAL,,158,"$5,015.28 ","$3,484.88 "
91010,TOTAL,,"15,705","$1,369,823.07 ","$1,059,003.79 "
91011,TOTAL,,137,"$12,777.97 ","$10,106.85 "
91012,TOTAL,,249,"$24,532.61 ","$19,263.70 "
91020,TOTAL,,733,"$68,843.29 ","$51,816.90 "
91022,TOTAL,,75,"$7,010.47 ","$5,539.96 "
91030,TOTAL,,192,"$9,566.42 ","$7,375.03 "
91034,TOTAL,,"5,546","$547,197.70 ","$424,987.25 "
91035,TOTAL,,"6,551","$1,071,564.50 ","$842,355.25 "
91037,TOTAL,,686,"$52,026.01 ","$40,162.68 "
91038,TOTAL,,"1,134","$73,785.39 ","$56,762.09 "
91040,TOTAL,,24,"$2,660.27 ","$2,128.25 "
91052,TOTAL,,83,"$4,923.53 ","$3,868.99 "
91055,TOTAL,,276,"$17,468.73 ","$13,751.54 "
91065,TOTAL,,"23,474","$1,279,331.66 ","$986,907.76 "
91100,TOTAL,,85,"$4,928.59 ","$3,903.34 "
91105,TOTAL,,"11,244","$179,105.18 ","$141,757.40 "
91110,TOTAL,,"46,862","$32,901,097.54 ","$26,025,079.72 "
91111,TOTAL,,453,"$226,857.05 ","$180,253.98 "
91120,TOTAL,,"1,102","$286,126.31 ","$226,321.13 "
91122,TOTAL,,"41,786","$9,288,751.64 ","$7,327,270.56 "
91132,TOTAL,,36,$896.63 ,$717.17 
91133,TOTAL,,100,"$3,818.80 ","$2,837.99 "
91299,TOTAL,,67,"$13,906.85 ","$11,090.27 "
92002,TOTAL,,"223,310","$14,189,931.29 ","$9,078,259.39 "
92004,TOTAL,,"2,021,272","$233,478,250.43 ","$155,007,877.80 "
92012,TOTAL,,"6,514,742","$402,348,523.76 ","$280,174,505.71 "
92014,TOTAL,,"9,987,765","$897,314,649.57 ","$603,313,567.12 "
92015,TOTAL,,49,$82.51 ,$63.57 
92018,TOTAL,,"1,954","$249,376.55 ","$192,392.92 "
92019,TOTAL,,"1,162","$71,717.23 ","$54,908.07 "
92020,TOTAL,,"843,614","$21,536,745.99 ","$15,966,964.05 "
92025,TOTAL,,"89,986","$2,517,058.63 ","$1,938,869.65 "
92060,TOTAL,,"75,716","$3,857,273.47 ","$2,944,205.90 "
92065,TOTAL,,"16,179","$577,450.35 ","$449,892.49 "
92070,TOTAL,,"34,790","$2,100,340.85 ","$1,602,303.01 "
92081,TOTAL,,"123,771","$5,403,945.42 ","$4,032,385.91 "
92082,TOTAL,,"168,295","$9,543,790.55 ","$7,097,171.35 "
92083,TOTAL,,"2,643,793","$180,902,147.46 ","$132,476,204.54 "
92100,TOTAL,,"35,749","$2,690,998.88 ","$2,035,197.58 "
92120,TOTAL,,"56,964","$3,869,899.81 ","$2,957,478.84 "
92130,TOTAL,,476,"$39,292.96 ","$30,254.17 "
92135,TOTAL,,"5,665,420","$245,101,028.68 ","$185,421,519.89 "
92136,TOTAL,,"1,073,190","$56,836,979.58 ","$43,174,892.32 "
92140,TOTAL,,"24,328","$1,336,197.99 ","$1,003,010.22 "
92225,TOTAL,,"921,913","$23,046,079.70 ","$17,679,517.57 "
92226,TOTAL,,"1,906,125","$45,544,264.42 ","$34,317,616.16 "
92230,TOTAL,,705,"$59,440.82 ","$46,342.45 "
92235,TOTAL,,"1,280,980","$175,921,739.73 ","$138,060,535.36 "
92240,TOTAL,,"37,568","$10,464,195.33 ","$8,339,538.33 "
92250,TOTAL,,"2,145,056","$143,658,402.95 ","$109,535,351.61 "
92260,TOTAL,,"3,514","$64,245.77 ","$50,124.25 "
92265,TOTAL,,269,"$23,427.14 ","$18,482.26 "
92270,TOTAL,,"9,323","$745,165.96 ","$588,991.62 "
92275,TOTAL,,"2,855","$272,420.12 ","$207,905.80 "
92283,TOTAL,,"8,666","$320,162.06 ","$248,025.03 "
92284,TOTAL,,"5,192","$341,093.12 ","$256,219.33 "
92285,TOTAL,,"245,524","$9,767,278.87 ","$7,440,170.09 "
92286,TOTAL,,"83,125","$9,903,571.68 ","$7,707,547.85 "
92287,TOTAL,,859,"$96,817.74 ","$76,184.40 "
92310,TOTAL,,7,$7.60 ,$5.20 
92311,TOTAL,,"1,044","$77,435.27 ","$56,892.70 "
92312,TOTAL,,518,"$40,648.65 ","$29,671.54 "
92313,TOTAL,,153,"$10,745.12 ","$7,978.35 "
92315,TOTAL,,342,"$16,400.71 ","$12,120.26 "
92316,TOTAL,,76,"$4,237.14 ","$2,770.47 "
92317,TOTAL,,8,$379.09 ,$303.27 
92325,TOTAL,,326,"$6,015.56 ","$4,317.24 "
92326,TOTAL,,"1,138","$48,293.39 ","$35,498.71 "
92340,TOTAL,,2,$2.20 ,$0.88 
92341,TOTAL,,3,$3.30 ,$2.64 
92499,TOTAL,,"6,618","$456,263.56 ","$338,563.88 "
92502,TOTAL,,853,"$72,444.10 ","$56,689.13 "
92504,TOTAL,,"156,808","$4,046,257.28 ","$3,020,225.11 "
92506,TOTAL,,"11,187","$1,439,986.80 ","$1,117,965.39 "
92507,TOTAL,,"23,652","$1,447,845.40 ","$1,125,114.05 "
92508,TOTAL,,421,"$12,423.80 ","$9,789.48 "
92511,TOTAL,,"52,761","$7,483,855.93 ","$5,781,843.56 "
92512,TOTAL,,"7,322","$492,966.27 ","$388,541.33 "
92516,TOTAL,,298,"$12,495.75 ","$9,588.44 "
92520,TOTAL,,"6,502","$303,399.10 ","$237,541.28 "
92526,TOTAL,,"7,054","$555,895.52 ","$437,835.42 "
92541,TOTAL,,"140,718","$7,342,021.29 ","$5,729,052.73 "
92542,TOTAL,,"146,386","$7,741,635.08 ","$6,085,304.90 "
92543,TOTAL,,"441,052","$11,263,120.34 ","$8,939,795.74 "
92544,TOTAL,,"126,738","$5,441,094.17 ","$4,327,831.35 "
92545,TOTAL,,"146,931","$5,789,819.94 ","$4,608,830.40 "
92546,TOTAL,,"118,854","$9,373,497.67 ","$7,470,932.56 "
92547,TOTAL,,"318,546","$2,018,956.69 ","$1,606,038.64 "
92548,TOTAL,,"20,802","$1,993,091.49 ","$1,574,865.93 "
92551,TOTAL,,20,$67.62 ,$53.21 
92552,TOTAL,,"88,550","$1,697,423.79 ","$1,232,542.18 "
92553,TOTAL,,"49,100","$1,377,382.49 ","$1,028,020.25 "
92555,TOTAL,,"14,934","$228,115.34 ","$166,645.71 "
92556,TOTAL,,"32,059","$722,916.91 ","$520,069.15 "
92557,TOTAL,,"1,040,633","$52,468,070.10 ","$38,877,391.85 "
92560,TOTAL,,1,$1.10 ,$0.88 
92561,TOTAL,,"1,524","$48,167.77 ","$36,785.60 "
92562,TOTAL,,"2,949","$65,378.54 ","$50,635.93 "
92563,TOTAL,,"26,482","$530,458.66 ","$414,143.35 "
92564,TOTAL,,"2,365","$51,704.46 ","$40,486.69 "
92565,TOTAL,,"2,603","$37,935.13 ","$29,432.65 "
92567,TOTAL,,"946,977","$20,646,402.02 ","$15,662,871.44 "
92568,TOTAL,,"354,766","$5,162,610.14 ","$3,978,418.89 "
92569,TOTAL,,"46,996","$737,010.15 ","$569,369.81 "
92571,TOTAL,,"1,703","$31,600.12 ","$24,640.09 "
92572,TOTAL,,327,"$2,180.43 ","$1,599.62 "
92575,TOTAL,,736,"$15,011.50 ","$11,632.56 "
92576,TOTAL,,225,"$5,332.14 ","$4,053.63 "
92577,TOTAL,,"1,168","$27,426.11 ","$20,861.74 "
92579,TOTAL,,"1,728","$55,369.31 ","$38,870.74 "
92582,TOTAL,,660,"$20,707.13 ","$14,068.21 "
92583,TOTAL,,138,"$4,682.39 ","$3,282.76 "
92584,TOTAL,,"15,204","$1,356,003.10 ","$1,064,556.34 "
92585,TOTAL,,"48,074","$4,468,282.03 ","$3,494,327.71 "
92586,TOTAL,,"1,095","$78,754.14 ","$62,048.61 "
92587,TOTAL,,"41,960","$2,325,118.88 ","$1,794,225.94 "
92588,TOTAL,,"107,905","$7,936,286.88 ","$6,191,322.92 "
92590,TOTAL,,1,$1.10 ,$0.88 
92591,TOTAL,,2,$2.20 ,$1.76 
92592,TOTAL,,1,$1.10 ,$0.88 
92593,TOTAL,,1,$1.10 ,$0.88 
92594,TOTAL,,1,$1.10 ,$0.88 
92596,TOTAL,,22,$574.42 ,$440.26 
92597,TOTAL,,"1,833","$165,143.20 ","$123,111.23 "
92601,TOTAL,,2,$320.35 ,$256.28 
92602,TOTAL,,9,$919.23 ,$735.38 
92603,TOTAL,,"1,117","$101,456.45 ","$75,551.17 "
92604,TOTAL,,"10,021","$599,237.42 ","$425,939.85 "
92607,TOTAL,,306,"$41,348.54 ","$31,935.35 "
92608,TOTAL,,94,"$3,042.55 ","$2,423.83 "
92609,TOTAL,,204,"$14,848.85 ","$11,687.68 "
92610,TOTAL,,"4,478","$535,079.13 ","$420,313.88 "
92611,TOTAL,,"5,956","$687,015.17 ","$540,127.60 "
92612,TOTAL,,"1,962","$251,291.89 ","$194,926.89 "
92613,TOTAL,,875,"$35,988.50 ","$28,488.01 "
92614,TOTAL,,702,"$97,033.61 ","$73,683.33 "
92615,TOTAL,,494,"$18,145.92 ","$14,111.33 "
92616,TOTAL,,"2,907","$519,651.31 ","$410,628.35 "
92617,TOTAL,,"1,876","$90,862.11 ","$72,085.16 "
92620,TOTAL,,"1,156","$61,300.77 ","$47,222.89 "
92621,TOTAL,,15,$197.59 ,$137.24 
92625,TOTAL,,"2,384","$117,196.01 ","$91,346.38 "
92626,TOTAL,,"4,669","$404,808.92 ","$306,869.42 "
92627,TOTAL,,684,"$13,573.15 ","$10,378.30 "
92640,TOTAL,,9,$443.59 ,$354.87 
92700,TOTAL,,"7,228","$253,303.82 ","$197,839.43 "
92950,TOTAL,,"79,835","$13,993,226.27 ","$11,051,236.68 "
92953,TOTAL,,891,"$10,185.79 ","$8,013.04 "
92960,TOTAL,,"108,542","$13,777,570.19 ","$10,816,206.51 "
92961,TOTAL,,827,"$204,881.87 ","$162,273.23 "
92970,TOTAL,,48,"$8,054.63 ","$6,350.29 "
92971,TOTAL,,"2,993","$283,801.70 ","$202,304.26 "
92973,TOTAL,,"7,062","$1,220,929.12 ","$969,028.34 "
92974,TOTAL,,154,"$25,382.45 ","$19,692.89 "
92975,TOTAL,,875,"$193,631.69 ","$154,058.94 "
92977,TOTAL,,24,"$5,501.41 ","$4,401.11 "
92978,TOTAL,,"36,030","$3,431,111.57 ","$2,720,552.11 "
92979,TOTAL,,"4,631","$350,311.92 ","$278,207.18 "
92980,TOTAL,,"329,844","$259,284,060.28 ","$205,414,962.18 "
92981,TOTAL,,"39,104","$8,539,105.51 ","$6,783,810.57 "
92982,TOTAL,,"28,885","$16,426,481.41 ","$13,015,132.29 "
92984,TOTAL,,"7,666","$1,190,270.95 ","$944,925.93 "
92986,TOTAL,,986,"$1,337,662.72 ","$1,067,113.69 "
92987,TOTAL,,191,"$257,847.90 ","$204,535.69 "
92990,TOTAL,,26,"$26,229.08 ","$20,908.47 "
92992,TOTAL,,1,"$1,358.57 ","$1,086.86 "
