MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,38,"$37,055.18 ","$29,510.78 "
57110,80'S,,177,"$21,878.93 ","$17,503.23 "
,OTHER,,676,"$527,944.12 ","$420,975.68 "
,TOTAL,,853,"$549,823.05 ","$438,478.91 "
57111,80'S,,14,"$3,088.71 ","$2,470.99 "
,OTHER,,42,"$56,538.91 ","$45,036.17 "
,TOTAL,,56,"$59,627.62 ","$47,507.16 "
57112,OTHER,,6,"$8,889.36 ","$7,111.50 "
,TOTAL,,6,"$8,889.36 ","$7,111.50 "
57120,80'S,,600,"$35,058.17 ","$27,687.83 "
,OTHER,,"2,233","$779,497.12 ","$620,311.82 "
,TOTAL,,"2,833","$814,555.29 ","$647,999.65 "
57130,SG,,3,$904.32 ,$723.45 
,80'S,,5,$89.28 ,$71.44 
,OTHER,,74,"$10,214.94 ","$7,743.97 "
,TOTAL,,82,"$11,208.54 ","$8,538.86 "
57135,SG,,151,"$61,794.72 ","$48,552.81 "
,OTHER,,"1,171","$175,523.64 ","$137,043.19 "
,TOTAL,,"1,322","$237,318.36 ","$185,596.00 "
57150,OTHER,,"26,872","$1,494,792.95 ","$1,102,934.68 "
,TOTAL,,"26,872","$1,494,792.95 ","$1,102,934.68 "
57155,SG,,46,"$18,406.84 ","$14,725.47 "
,OTHER,,"4,435","$1,801,002.03 ","$1,433,826.86 "
,TOTAL,,"4,481","$1,819,408.87 ","$1,448,552.33 "
57160,OTHER,,"102,822","$7,115,862.06 ","$5,232,804.45 "
,TOTAL,,"102,822","$7,115,862.06 ","$5,232,804.45 "
57170,OTHER,,97,"$7,206.62 ","$5,277.18 "
,TOTAL,,97,"$7,206.62 ","$5,277.18 "
57180,OTHER,,713,"$91,952.37 ","$71,762.04 "
,TOTAL,,713,"$91,952.37 ","$71,762.04 "
57200,SG,,23,"$6,537.94 ","$5,194.49 "
,80'S,,44,"$1,127.12 ",$901.67 
,OTHER,,374,"$79,895.66 ","$63,500.07 "
,TOTAL,,441,"$87,560.72 ","$69,596.23 "
57210,SG,,4,"$1,572.92 ","$1,153.55 "
,80'S,,44,"$1,441.14 ","$1,074.10 "
,OTHER,,458,"$92,782.66 ","$73,578.32 "
,TOTAL,,506,"$95,796.72 ","$75,805.97 "
57220,SG,,2,$516.65 ,$413.32 
,80'S,,35,$861.64 ,$689.29 
,OTHER,,147,"$22,688.90 ","$18,056.14 "
,TOTAL,,184,"$24,067.19 ","$19,158.75 "
57230,SG,,3,$981.05 ,$784.84 
,80'S,,3,$91.61 ,$73.29 
,OTHER,,59,"$13,222.58 ","$10,410.88 "
,TOTAL,,65,"$14,295.24 ","$11,269.01 "
57240,SG,,276,"$138,779.66 ","$109,183.81 "
,80'S,,"4,726","$282,702.35 ","$223,539.01 "
,OTHER,,"16,464","$5,892,430.72 ","$4,660,933.08 "
,TOTAL,,"21,466","$6,313,912.73 ","$4,993,655.90 "
57250,SG,,64,"$39,016.83 ","$30,399.24 "
,80'S,,"2,682","$180,386.24 ","$142,222.35 "
,OTHER,,"8,752","$3,616,676.63 ","$2,850,907.55 "
,TOTAL,,"11,498","$3,836,079.70 ","$3,023,529.14 "
57260,SG,,92,"$46,803.79 ","$36,790.97 "
,80'S,,"5,463","$414,855.14 ","$327,569.74 "
,OTHER,,"15,224","$6,972,915.85 ","$5,510,178.20 "
,TOTAL,,"20,779","$7,434,574.78 ","$5,874,538.91 "
57265,SG,,19,"$17,747.43 ","$14,197.93 "
,80'S,,"2,293","$267,673.26 ","$211,233.40 "
,OTHER,,"6,481","$4,655,228.86 ","$3,680,385.15 "
,TOTAL,,"8,793","$4,940,649.55 ","$3,905,816.48 "
57267,SG,,76,"$72,102.90 ","$57,606.05 "
,80'S,,"5,276","$214,044.81 ","$169,986.72 "
,OTHER,,"23,016","$5,747,198.80 ","$4,555,527.59 "
,TOTAL,,"28,368","$6,033,346.51 ","$4,783,120.36 "
57268,SG,,14,"$4,805.29 ","$3,844.24 "
,80'S,,474,"$20,092.42 ","$15,837.31 "
,OTHER,,"1,364","$349,118.51 ","$274,326.21 "
,TOTAL,,"1,852","$374,016.22 ","$294,007.76 "
57270,80'S,,104,"$8,142.91 ","$6,514.26 "
,OTHER,,389,"$178,579.00 ","$140,551.15 "
,TOTAL,,493,"$186,721.91 ","$147,065.41 "
57280,80'S,,"1,078","$135,284.23 ","$107,025.75 "
,OTHER,,"2,977","$2,306,576.58 ","$1,821,112.11 "
,TOTAL,,"4,055","$2,441,860.81 ","$1,928,137.86 "
57282,80'S,,"3,530","$138,697.29 ","$109,702.64 "
,OTHER,,"11,430","$2,706,745.83 ","$2,140,371.56 "
,TOTAL,,"14,960","$2,845,443.12 ","$2,250,074.20 "
57283,80'S,,844,"$49,455.24 ","$39,384.31 "
,OTHER,,"2,945","$1,033,448.67 ","$820,553.05 "
,TOTAL,,"3,789","$1,082,903.91 ","$859,937.36 "
57284,80'S,,"1,033","$99,082.71 ","$78,509.22 "
,OTHER,,"3,844","$2,257,145.14 ","$1,788,062.00 "
,TOTAL,,"4,877","$2,356,227.85 ","$1,866,571.22 "
57287,80'S,,177,"$16,383.56 ","$13,101.84 "
,OTHER,,"1,702","$951,723.12 ","$750,829.29 "
,TOTAL,,"1,879","$968,106.68 ","$763,931.13 "
57288,SG,,"1,234","$830,999.94 ","$651,219.85 "
,80'S,,"9,283","$956,141.40 ","$752,212.12 "
,OTHER,,"46,169","$30,925,710.31 ","$24,372,023.65 "
,TOTAL,,"56,686","$32,712,851.65 ","$25,775,455.62 "
57289,SG,,1,$752.30 ,$601.84 
,80'S,,7,$764.83 ,$611.87 
,OTHER,,69,"$41,292.28 ","$32,370.67 "
,TOTAL,,77,"$42,809.41 ","$33,584.38 "
57291,80'S,,5,$320.17 ,$256.14 
,OTHER,,12,"$4,652.32 ","$3,721.85 "
,TOTAL,,17,"$4,972.49 ","$3,977.99 "
57292,80'S,,5,$467.30 ,$373.85 
,OTHER,,50,"$35,660.85 ","$28,423.94 "
,TOTAL,,55,"$36,128.15 ","$28,797.79 "
57295,80'S,,124,"$6,985.57 ","$5,526.86 "
,OTHER,,893,"$334,639.17 ","$263,593.68 "
,TOTAL,,"1,017","$341,624.74 ","$269,120.54 "
57296,80'S,,12,"$1,272.97 ","$1,018.37 "
,OTHER,,39,"$25,147.39 ","$20,109.07 "
,TOTAL,,51,"$26,420.36 ","$21,127.44 "
57300,SG,,7,"$3,379.51 ","$2,598.81 "
,80'S,,31,"$1,789.54 ","$1,428.52 "
,OTHER,,236,"$92,975.58 ","$73,771.46 "
,TOTAL,,274,"$98,144.63 ","$77,798.79 "
57305,80'S,,103,"$8,040.63 ","$6,427.19 "
,OTHER,,332,"$151,727.65 ","$121,272.73 "
,TOTAL,,435,"$159,768.28 ","$127,699.92 "
57307,80'S,,8,"$1,117.61 ",$894.09 
,OTHER,,34,"$20,936.52 ","$16,712.40 "
,TOTAL,,42,"$22,054.13 ","$17,606.49 "
57308,80'S,,10,$762.21 ,$609.77 
,OTHER,,63,"$29,750.92 ","$23,580.78 "
,TOTAL,,73,"$30,513.13 ","$24,190.55 "
57310,80'S,,11,$455.21 ,$364.18 
,OTHER,,51,"$15,513.40 ","$12,410.71 "
,TOTAL,,62,"$15,968.61 ","$12,774.89 "
57311,OTHER,,16,"$6,062.11 ","$4,637.55 "
,TOTAL,,16,"$6,062.11 ","$4,637.55 "
57320,80'S,,17,"$1,271.67 ",$988.35 
,OTHER,,95,"$42,612.97 ","$33,390.07 "
,TOTAL,,112,"$43,884.64 ","$34,378.42 "
57330,80'S,,9,$872.16 ,$697.74 
,OTHER,,27,"$16,189.14 ","$12,895.22 "
,TOTAL,,36,"$17,061.30 ","$13,592.96 "
57335,80'S,,1,$169.88 ,$135.90 
,OTHER,,10,"$9,764.14 ","$7,570.92 "
,TOTAL,,11,"$9,934.02 ","$7,706.82 "
57400,SG,,17,"$6,040.26 ","$4,832.20 "
,80'S,,1,$21.49 ,$17.19 
,OTHER,,123,"$13,415.19 ","$10,482.36 "
,TOTAL,,141,"$19,476.94 ","$15,331.75 "
57410,SG,,292,"$104,600.70 ","$82,372.98 "
,OTHER,,"3,954","$341,223.13 ","$260,444.97 "
,TOTAL,,"4,246","$445,823.83 ","$342,817.95 "
57415,SG,,60,"$24,754.87 ","$19,682.65 "
,80'S,,5,$103.97 ,$83.16 
,OTHER,,585,"$79,042.40 ","$61,221.28 "
,TOTAL,,650,"$103,901.24 ","$80,987.09 "
57420,OTHER,,"5,242","$530,859.97 ","$393,725.90 "
,TOTAL,,"5,242","$530,859.97 ","$393,725.90 "
57421,OTHER,,"4,025","$574,977.41 ","$430,666.79 "
,TOTAL,,"4,025","$574,977.41 ","$430,666.79 "
57425,80'S,,390,"$50,727.36 ","$40,188.25 "
,OTHER,,963,"$768,185.23 ","$607,704.19 "
,TOTAL,,"1,353","$818,912.59 ","$647,892.44 "
57452,OTHER,,"11,842","$1,131,698.56 ","$825,637.46 "
