MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
61070,SG,,53,"$9,479.93 ","$7,374.29 "
,OTHER,,"3,078","$224,744.63 ","$174,809.72 "
,TOTAL,,"3,131","$234,224.56 ","$182,184.01 "
61105,OTHER,,102,"$31,642.26 ","$25,208.93 "
,TOTAL,,102,"$31,642.26 ","$25,208.93 "
61107,OTHER,,"3,035","$929,683.13 ","$737,402.28 "
,TOTAL,,"3,035","$929,683.13 ","$737,402.28 "
61108,OTHER,,658,"$449,705.46 ","$358,141.77 "
,TOTAL,,658,"$449,705.46 ","$358,141.77 "
61120,OTHER,,110,"$50,234.46 ","$40,116.16 "
,TOTAL,,110,"$50,234.46 ","$40,116.16 "
61140,80'S,,24,"$3,654.66 ","$2,923.71 "
,OTHER,,421,"$398,899.85 ","$317,959.01 "
,TOTAL,,445,"$402,554.51 ","$320,882.72 "
61150,OTHER,,107,"$111,705.07 ","$88,594.71 "
,TOTAL,,107,"$111,705.07 ","$88,594.71 "
61151,OTHER,,17,"$11,850.42 ","$9,480.35 "
,TOTAL,,17,"$11,850.42 ","$9,480.35 "
61154,80'S,,285,"$48,649.69 ","$38,644.28 "
,OTHER,,"8,065","$7,967,470.81 ","$6,346,297.59 "
,TOTAL,,"8,350","$8,016,120.50 ","$6,384,941.87 "
61156,80'S,,14,"$2,031.49 ","$1,625.17 "
,OTHER,,98,"$92,779.00 ","$72,636.69 "
,TOTAL,,112,"$94,810.49 ","$74,261.86 "
61210,OTHER,,"1,942","$694,792.42 ","$551,153.30 "
,TOTAL,,"1,942","$694,792.42 ","$551,153.30 "
61215,OTHER,,278,"$102,989.95 ","$82,035.52 "
,TOTAL,,278,"$102,989.95 ","$82,035.52 "
61250,80'S,,7,$969.59 ,$775.67 
,OTHER,,32,"$23,993.58 ","$19,194.84 "
,TOTAL,,39,"$24,963.17 ","$19,970.51 "
61253,OTHER,,19,"$10,263.03 ","$8,210.42 "
,TOTAL,,19,"$10,263.03 ","$8,210.42 "
61304,80'S,,28,"$6,444.36 ","$5,127.86 "
,OTHER,,354,"$463,680.75 ","$370,666.23 "
,TOTAL,,382,"$470,125.11 ","$375,794.09 "
61305,80'S,,3,$701.99 ,$561.59 
,OTHER,,40,"$58,189.41 ","$45,321.78 "
,TOTAL,,43,"$58,891.40 ","$45,883.37 "
61312,80'S,,756,"$212,546.64 ","$169,121.81 "
,OTHER,,"11,710","$17,813,304.75 ","$14,204,192.82 "
,TOTAL,,"12,466","$18,025,851.39 ","$14,373,314.63 "
61313,80'S,,132,"$35,329.96 ","$28,093.74 "
,OTHER,,"2,126","$3,119,831.70 ","$2,476,331.29 "
,TOTAL,,"2,258","$3,155,161.66 ","$2,504,425.03 "
61314,80'S,,29,"$7,051.43 ","$5,641.11 "
,OTHER,,355,"$468,450.43 ","$374,359.76 "
,TOTAL,,384,"$475,501.86 ","$380,000.87 "
61315,80'S,,41,"$11,516.71 ","$9,108.62 "
,OTHER,,625,"$1,011,983.83 ","$805,963.97 "
,TOTAL,,666,"$1,023,500.54 ","$815,072.59 "
61316,OTHER,,123,"$10,363.49 ","$8,149.26 "
,TOTAL,,123,"$10,363.49 ","$8,149.26 "
61320,80'S,,26,"$6,847.45 ","$5,477.95 "
,OTHER,,335,"$469,738.12 ","$375,091.06 "
,TOTAL,,361,"$476,585.57 ","$380,569.01 "
61321,80'S,,1,$356.98 ,$285.58 
,OTHER,,27,"$36,854.61 ","$28,406.04 "
,TOTAL,,28,"$37,211.59 ","$28,691.62 "
61322,80'S,,27,"$8,096.65 ","$6,477.32 "
,OTHER,,249,"$476,161.79 ","$376,748.88 "
,TOTAL,,276,"$484,258.44 ","$383,226.20 "
61323,OTHER,,151,"$300,604.49 ","$240,378.84 "
,TOTAL,,151,"$300,604.49 ","$240,378.84 "
61330,80'S,,1,$230.42 ,$184.34 
,OTHER,,22,"$29,545.16 ","$23,426.52 "
,TOTAL,,23,"$29,775.58 ","$23,610.86 "
61332,80'S,,1,$256.80 ,$205.44 
,OTHER,,17,"$28,374.71 ","$22,699.77 "
,TOTAL,,18,"$28,631.51 ","$22,905.21 "
61333,80'S,,1,$146.89 ,$117.51 
,OTHER,,32,"$42,354.71 ","$32,196.09 "
,TOTAL,,33,"$42,501.60 ","$32,313.60 "
61334,OTHER,,7,"$5,160.20 ","$4,069.42 "
,TOTAL,,7,"$5,160.20 ","$4,069.42 "
61340,80'S,,5,$864.61 ,$691.69 
,OTHER,,37,"$35,339.32 ","$27,660.77 "
,TOTAL,,42,"$36,203.93 ","$28,352.46 "
61343,80'S,,67,"$20,798.51 ","$16,566.45 "
,OTHER,,434,"$743,298.56 ","$589,703.02 "
,TOTAL,,501,"$764,097.07 ","$606,269.47 "
61345,80'S,,7,"$1,732.94 ","$1,386.35 "
,OTHER,,60,"$86,892.09 ","$69,513.72 "
,TOTAL,,67,"$88,625.03 ","$70,900.07 "
61440,OTHER,,1,"$1,918.22 ","$1,534.58 "
,TOTAL,,1,"$1,918.22 ","$1,534.58 "
61450,80'S,,6,"$1,257.54 ",$997.06 
,OTHER,,32,"$41,880.03 ","$33,399.28 "
,TOTAL,,38,"$43,137.57 ","$34,396.34 "
61458,80'S,,81,"$22,753.11 ","$18,198.61 "
,OTHER,,633,"$1,012,548.51 ","$801,693.34 "
,TOTAL,,714,"$1,035,301.62 ","$819,891.95 "
61460,80'S,,4,"$1,156.52 ",$925.20 
,OTHER,,40,"$56,566.25 ","$44,096.37 "
,TOTAL,,44,"$57,722.77 ","$45,021.57 "
61470,80'S,,1,$215.60 ,$172.48 
,OTHER,,3,"$4,130.51 ","$3,304.41 "
,TOTAL,,4,"$4,346.11 ","$3,476.89 "
61490,80'S,,1,$318.42 ,$254.74 
,OTHER,,8,"$8,130.79 ","$6,404.62 "
,TOTAL,,9,"$8,449.21 ","$6,659.36 "
61500,80'S,,50,"$8,706.22 ","$6,964.96 "
,OTHER,,551,"$555,980.36 ","$440,832.22 "
,TOTAL,,601,"$564,686.58 ","$447,797.18 "
61501,80'S,,15,"$1,998.52 ","$1,598.80 "
,OTHER,,122,"$101,203.48 ","$79,908.49 "
,TOTAL,,137,"$103,202.00 ","$81,507.29 "
61510,80'S,,894,"$270,932.46 ","$214,152.00 "
,OTHER,,"7,938","$13,161,999.21 ","$10,452,943.58 "
,TOTAL,,"8,832","$13,432,931.67 ","$10,667,095.58 "
61512,80'S,,428,"$154,271.69 ","$122,470.45 "
,OTHER,,"3,018","$5,967,614.31 ","$4,745,383.92 "
,TOTAL,,"3,446","$6,121,886.00 ","$4,867,854.37 "
61514,80'S,,15,"$3,925.47 ","$3,140.37 "
,OTHER,,199,"$274,379.13 ","$216,643.37 "
,TOTAL,,214,"$278,304.60 ","$219,783.74 "
61516,80'S,,8,"$2,085.37 ","$1,563.50 "
,OTHER,,110,"$144,815.90 ","$114,412.69 "
,TOTAL,,118,"$146,901.27 ","$115,976.19 "
61517,OTHER,,494,"$40,744.87 ","$32,222.33 "
,TOTAL,,494,"$40,744.87 ","$32,222.33 "
61518,80'S,,171,"$67,687.36 ","$53,584.12 "
,OTHER,,"1,275","$2,719,408.10 ","$2,155,614.14 "
,TOTAL,,"1,446","$2,787,095.46 ","$2,209,198.26 "
61519,80'S,,46,"$19,216.02 ","$14,947.65 "
,OTHER,,318,"$729,856.25 ","$576,367.17 "
,TOTAL,,364,"$749,072.27 ","$591,314.82 "
61520,80'S,,30,"$16,034.97 ","$12,828.02 "
,OTHER,,300,"$839,240.95 ","$671,096.94 "
,TOTAL,,330,"$855,275.92 ","$683,924.96 "
61521,80'S,,14,"$6,200.91 ","$4,960.71 "
,OTHER,,75,"$188,945.98 ","$151,156.81 "
,TOTAL,,89,"$195,146.89 ","$156,117.52 "
61522,80'S,,5,"$1,421.57 ","$1,137.26 "
,OTHER,,38,"$61,197.20 ","$48,957.76 "
,TOTAL,,43,"$62,618.77 ","$50,095.02 "
61524,80'S,,7,"$1,922.68 ","$1,538.16 "
,OTHER,,79,"$109,926.60 ","$86,863.08 "
,TOTAL,,86,"$111,849.28 ","$88,401.24 "
61526,OTHER,,78,"$189,333.72 ","$151,374.70 "
,TOTAL,,78,"$189,333.72 ","$151,374.70 "
61530,OTHER,,20,"$44,562.13 ","$35,649.71 "
,TOTAL,,20,"$44,562.13 ","$35,649.71 "
61531,80'S,,1,$79.00 ,$63.20 
,OTHER,,40,"$28,181.16 ","$22,200.19 "
,TOTAL,,41,"$28,260.16 ","$22,263.39 "
61533,80'S,,11,"$2,245.37 ","$1,796.27 "
,OTHER,,149,"$190,823.89 ","$147,184.98 "
,TOTAL,,160,"$193,069.26 ","$148,981.25 "
61534,80'S,,1,$217.24 ,$173.79 
,OTHER,,23,"$26,315.64 ","$20,807.94 "
,TOTAL,,24,"$26,532.88 ","$20,981.73 "
61535,80'S,,4,$495.02 ,$396.01 
,OTHER,,51,"$39,463.22 ","$30,737.36 "
,TOTAL,,55,"$39,958.24 ","$31,133.37 "
61536,80'S,,3,"$1,202.70 ",$962.16 
,OTHER,,51,"$119,897.69 ","$90,565.05 "
,TOTAL,,54,"$121,100.39 ","$91,527.21 "
61537,80'S,,11,"$3,495.70 ","$2,535.12 "
,OTHER,,175,"$315,970.10 ","$246,635.19 "
,TOTAL,,186,"$319,465.80 ","$249,170.31 "
61538,80'S,,12,"$4,249.61 ","$3,399.68 "
,OTHER,,86,"$164,804.75 ","$129,787.87 "
,TOTAL,,98,"$169,054.36 ","$133,187.55 "
61539,80'S,,1,$317.49 ,$253.99 
,OTHER,,12,"$24,850.52 ","$19,880.42 "
,TOTAL,,13,"$25,168.01 ","$20,134.41 "
61540,80'S,,3,"$1,107.55 ",$886.04 
,OTHER,,35,"$60,326.81 ","$48,261.45 "
,TOTAL,,38,"$61,434.36 ","$49,147.49 "
61541,80'S,,1,$326.52 ,$261.22 
,OTHER,,17,"$31,099.99 ","$24,836.21 "
,TOTAL,,18,"$31,426.51 ","$25,097.43 "
61542,OTHER,,1,"$2,104.55 ","$1,683.64 "
,TOTAL,,1,"$2,104.55 ","$1,683.64 "
61543,80'S,,2,$549.27 ,$439.42 
,OTHER,,8,"$13,981.49 ","$11,185.18 "
,TOTAL,,10,"$14,530.76 ","$11,624.60 "
61545,80'S,,6,"$2,544.70 ","$2,035.75 "
,OTHER,,45,"$117,383.41 ","$93,906.69 "
,TOTAL,,51,"$119,928.11 ","$95,942.44 "
61546,80'S,,14,"$4,448.16 ","$3,558.53 "
,OTHER,,75,"$119,806.61 ","$94,610.11 "
,TOTAL,,89,"$124,254.77 ","$98,168.64 "
61548,80'S,,135,"$29,726.85 ","$23,676.73 "
,OTHER,,"2,116","$2,190,214.18 ","$1,737,375.18 "
,TOTAL,,"2,251","$2,219,941.03 ","$1,761,051.91 "
61550,OTHER,,4,"$2,361.82 ","$1,889.46 "
,TOTAL,,4,"$2,361.82 ","$1,889.46 "
61552,OTHER,,1,$978.45 ,$782.76 
,TOTAL,,1,$978.45 ,$782.76 
61556,80'S,,1,$232.93 ,$186.34 
,OTHER,,9,"$9,225.65 ","$7,380.53 "
,TOTAL,,10,"$9,458.58 ","$7,566.87 "
61557,OTHER,,4,"$5,901.98 ","$4,721.58 "
,TOTAL,,4,"$5,901.98 ","$4,721.58 "
61558,OTHER,,1,"$1,727.96 ","$1,382.37 "
,TOTAL,,1,"$1,727.96 ","$1,382.37 "
61559,OTHER,,1,"$2,258.59 ","$1,806.87 "
,TOTAL,,1,"$2,258.59 ","$1,806.87 "
61563,80'S,,5,"$1,218.90 ",$975.12 
,OTHER,,24,"$28,453.59 ","$22,658.09 "
,TOTAL,,29,"$29,672.49 ","$23,633.21 "
61564,80'S,,9,"$2,239.30 ","$1,791.45 "
,OTHER,,11,"$16,686.08 ","$13,348.86 "
,TOTAL,,20,"$18,925.38 ","$15,140.31 "
61566,80'S,,1,$178.46 ,$142.77 
,OTHER,,31,"$56,308.24 ","$45,046.57 "
,TOTAL,,32,"$56,486.70 ","$45,189.34 "
61567,80'S,,1,$327.46 ,$261.97 
,OTHER,,6,"$10,243.04 ","$7,233.88 "
,TOTAL,,7,"$10,570.50 ","$7,495.85 "
