Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges 54000 - 55899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
54000,SG,MALE GENITAL,5,"$2,205.04 ","$1,764.03 "
,OTHER,,62,"$5,897.18 ","$4,664.53 "
,TOTAL,,67,"$8,102.22 ","$6,428.56 "
54001,SG,,126,"$50,111.58 ","$39,848.78 "
,OTHER,,"2,077","$318,632.05 ","$249,354.94 "
,TOTAL,,"2,203","$368,743.63 ","$289,203.72 "
54015,SG,,2,"$1,263.08 ","$1,010.47 "
,80'S,,3,$156.21 ,$124.97 
,OTHER,,150,"$41,145.32 ","$32,808.94 "
,TOTAL,,155,"$42,564.61 ","$33,944.38 "
54050,OTHER,,964,"$99,499.92 ","$73,453.88 "
,TOTAL,,964,"$99,499.92 ","$73,453.88 "
54055,OTHER,,785,"$76,684.47 ","$57,563.36 "
,TOTAL,,785,"$76,684.47 ","$57,563.36 "
54056,OTHER,,"2,415","$319,226.22 ","$240,182.03 "
,TOTAL,,"2,415","$319,226.22 ","$240,182.03 "
54057,SG,,30,"$9,069.10 ","$7,102.31 "
,OTHER,,309,"$20,320.65 ","$15,670.01 "
,TOTAL,,339,"$29,389.75 ","$22,772.32 "
54060,SG,,109,"$31,325.44 ","$24,775.61 "
,OTHER,,843,"$124,983.54 ","$97,171.12 "
,TOTAL,,952,"$156,308.98 ","$121,946.73 "
54065,SG,,42,"$11,732.41 ","$9,125.34 "
,OTHER,,"1,075","$161,698.73 ","$125,117.32 "
,TOTAL,,"1,117","$173,431.14 ","$134,242.66 "
54100,SG,,101,"$26,100.86 ","$20,757.57 "
,OTHER,,"2,306","$316,297.90 ","$244,004.57 "
,TOTAL,,"2,407","$342,398.76 ","$264,762.14 "
54105,SG,,27,"$7,764.22 ","$5,964.43 "
,OTHER,,304,"$59,030.42 ","$46,612.49 "
,TOTAL,,331,"$66,794.64 ","$52,576.92 "
54110,SG,,6,"$2,442.27 ","$1,873.81 "
,80'S,,7,$565.67 ,$452.55 
,OTHER,,89,"$40,223.18 ","$31,680.74 "
,TOTAL,,102,"$43,231.12 ","$34,007.10 "
54111,SG,,3,"$1,305.93 ","$1,044.75 "
,80'S,,4,$437.67 ,$350.14 
,OTHER,,39,"$28,362.46 ","$21,614.49 "
,TOTAL,,46,"$30,106.06 ","$23,009.38 "
54112,SG,,1,$427.93 ,$342.34 
,80'S,,5,$756.68 ,$567.42 
,OTHER,,44,"$37,456.80 ","$29,250.81 "
,TOTAL,,50,"$38,641.41 ","$30,160.57 "
54115,80'S,,2,$103.28 ,$82.63 
,OTHER,,57,"$23,380.89 ","$18,589.60 "
,TOTAL,,59,"$23,484.17 ","$18,672.23 "
54120,SG,,13,"$5,260.84 ","$4,208.67 "
,80'S,,77,"$7,252.55 ","$5,802.00 "
,OTHER,,538,"$304,699.13 ","$240,148.56 "
,TOTAL,,628,"$317,212.52 ","$250,159.23 "
54125,80'S,,24,"$2,792.74 ","$2,234.21 "
,OTHER,,115,"$81,672.34 ","$65,241.04 "
,TOTAL,,139,"$84,465.08 ","$67,475.25 "
54130,80'S,,5,$919.26 ,$735.42 
,OTHER,,20,"$19,485.26 ","$15,588.20 "
,TOTAL,,25,"$20,404.52 ","$16,323.62 "
54135,80'S,,3,$711.19 ,$568.96 
,OTHER,,4,"$5,667.94 ","$4,534.35 "
,TOTAL,,7,"$6,379.13 ","$5,103.31 "
54150,SG,,1,$329.23 ,$263.38 
,OTHER,,4,$360.38 ,$288.31 
,TOTAL,,5,$689.61 ,$551.69 
54152,SG,,104,"$32,569.68 ","$25,532.52 "
,OTHER,,310,"$38,750.28 ","$30,199.34 "
,TOTAL,,414,"$71,319.96 ","$55,731.86 "
54160,SG,,10,"$3,735.25 ","$2,988.19 "
,OTHER,,27,"$3,304.53 ","$2,643.62 "
,TOTAL,,37,"$7,039.78 ","$5,631.81 "
54161,SG,,"2,201","$937,754.07 ","$738,125.56 "
,OTHER,,"13,284","$2,313,571.62 ","$1,804,730.30 "
,TOTAL,,"15,485","$3,251,325.69 ","$2,542,855.86 "
54162,SG,,28,"$11,493.00 ","$8,975.75 "
,OTHER,,197,"$34,664.07 ","$27,164.30 "
,TOTAL,,225,"$46,157.07 ","$36,140.05 "
54163,SG,,12,"$4,797.78 ","$3,837.18 "
,OTHER,,146,"$26,695.10 ","$20,790.60 "
,TOTAL,,158,"$31,492.88 ","$24,627.78 "
54164,SG,,12,"$4,854.80 ","$3,562.61 "
