,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges 20000 - 29999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
20000,OTHER,MUSCULOSKELETAL,"3,875","$596,129.00 ","$460,291.43 "
,TOTAL,,"3,875","$596,129.00 ","$460,291.43 "
20005,SG,,66,"$26,715.42 ","$21,290.82 "
,OTHER,,"3,908","$821,879.86 ","$647,198.80 "
,TOTAL,,"3,974","$848,595.28 ","$668,489.62 "
20100,AS,,2,$157.90 ,$126.32 
,80'S,,22,"$1,795.90 ","$1,436.71 "
,OTHER,,273,"$136,594.82 ","$109,029.68 "
,TOTAL,,297,"$138,548.62 ","$110,592.71 "
20101,80'S,,2,$61.20 ,$48.96 
,OTHER,,98,"$15,753.09 ","$12,602.48 "
,TOTAL,,100,"$15,814.29 ","$12,651.44 "
20102,AS,,5,$138.39 ,$110.72 
,80'S,,13,$361.76 ,$289.41 
,OTHER,,469,"$95,049.52 ","$74,585.10 "
,TOTAL,,487,"$95,549.67 ","$74,985.23 "
20103,AS,,4,$171.94 ,$137.56 
,OTHER,,"1,377","$375,192.09 ","$295,003.37 "
,TOTAL,,"1,381","$375,364.03 ","$295,140.93 "
20150,80'S,,1,$127.79 ,$102.23 
,OTHER,,11,"$3,612.31 ","$2,866.26 "
,TOTAL,,12,"$3,740.10 ","$2,968.49 "
20200,SG,,48,"$19,513.67 ","$15,610.95 "
,OTHER,,"1,163","$105,373.25 ","$81,443.21 "
,TOTAL,,"1,211","$124,886.92 ","$97,054.16 "
20205,SG,,251,"$122,623.63 ","$95,863.17 "
,OTHER,,"3,578","$497,598.45 ","$390,565.75 "
,TOTAL,,"3,829","$620,222.08 ","$486,428.92 "
20206,SG,,23,"$6,746.10 ","$5,396.86 "
,OTHER,,"6,716","$461,856.54 ","$363,919.12 "
,TOTAL,,"6,739","$468,602.64 ","$369,315.98 "
20220,SG,,32,"$8,879.91 ","$7,103.94 "
,OTHER,,"6,612","$1,026,409.27 ","$814,261.82 "
,TOTAL,,"6,644","$1,035,289.18 ","$821,365.76 "
20225,SG,,90,"$36,119.08 ","$28,895.39 "
,80'S,,1,$13.69 ,$10.95 
,OTHER,,"23,351","$3,668,250.63 ","$2,916,045.85 "
,TOTAL,,"23,442","$3,704,383.40 ","$2,944,952.19 "
20240,SG,,71,"$25,380.92 ","$19,996.83 "
,OTHER,,"1,572","$307,287.76 ","$242,791.48 "
,TOTAL,,"1,643","$332,668.68 ","$262,788.31 "
20245,SG,,40,"$17,673.82 ","$13,449.62 "
,OTHER,,"1,752","$746,052.41 ","$591,854.65 "
,TOTAL,,"1,792","$763,726.23 ","$605,304.27 "
20250,AS,,1,$24.73 ,$19.78 
,SG,,2,$996.43 ,$797.14 
,80'S,,1,$32.99 ,$26.39 
,OTHER,,906,"$223,325.55 ","$178,246.98 "
,TOTAL,,910,"$224,379.70 ","$179,090.29 "
20251,AS,,125,"$5,693.21 ","$4,554.54 "
,SG,,2,"$1,002.42 ",$801.94 
,80'S,,76,"$3,575.52 ","$2,854.38 "
,OTHER,,"1,387","$405,274.85 ","$323,730.76 "
,TOTAL,,"1,590","$415,546.00 ","$331,941.62 "
20500,OTHER,,644,"$115,019.21 ","$90,334.46 "
,TOTAL,,644,"$115,019.21 ","$90,334.46 "
20501,OTHER,,"7,755","$299,255.27 ","$236,004.38 "
,TOTAL,,"7,755","$299,255.27 ","$236,004.38 "
20520,OTHER,,"2,788","$377,946.93 ","$287,857.12 "
,TOTAL,,"2,788","$377,946.93 ","$287,857.12 "
20525,SG,,286,"$136,968.43 ","$108,181.97 "
,OTHER,,"2,110","$433,273.90 ","$339,082.33 "
,TOTAL,,"2,396","$570,242.33 ","$447,264.30 "
20526,OTHER,,"38,166","$2,627,584.18 ","$2,009,057.02 "
,TOTAL,,"38,166","$2,627,584.18 ","$2,009,057.02 "
20550,OTHER,,"791,115","$40,089,889.44 ","$30,281,729.17 "
,TOTAL,,"791,115","$40,089,889.44 ","$30,281,729.17 "
20551,OTHER,,"97,392","$4,430,351.92 ","$3,344,415.46 "
,TOTAL,,"97,392","$4,430,351.92 ","$3,344,415.46 "
20552,OTHER,,"287,838","$13,646,209.72 ","$10,399,797.32 "
,TOTAL,,"287,838","$13,646,209.72 ","$10,399,797.32 "
20553,OTHER,,"92,069","$4,845,164.07 ","$3,701,593.09 "
,TOTAL,,"92,069","$4,845,164.07 ","$3,701,593.09 "
20600,OTHER,,"352,110","$16,541,836.49 ","$12,476,325.50 "
,TOTAL,,"352,110","$16,541,836.49 ","$12,476,325.50 "
20605,OTHER,,"456,253","$23,251,528.14 ","$17,490,899.35 "
,TOTAL,,"456,253","$23,251,528.14 ","$17,490,899.35 "
20610,AS,,2,$7.61 ,$6.08 
,80'S,,1,$7.34 ,$5.87 
,OTHER,,"4,248,296","$274,662,173.80 ","$209,415,754.86 "
,TOTAL,,"4,248,299","$274,662,188.75 ","$209,415,766.81 "
20612,OTHER,,"14,233","$729,649.71 ","$541,825.44 "
,TOTAL,,"14,233","$729,649.71 ","$541,825.44 "
20615,OTHER,,"1,402","$237,632.03 ","$185,442.47 "
,TOTAL,,"1,402","$237,632.03 ","$185,442.47 "
20650,SG,,272,"$83,821.50 ","$65,883.25 "
,OTHER,,"3,135","$325,540.81 ","$256,313.06 "
,TOTAL,,"3,407","$409,362.31 ","$322,196.31 "
20660,OTHER,,"3,131","$557,039.58 ","$439,416.85 "
,TOTAL,,"3,131","$557,039.58 ","$439,416.85 "
20661,AS,,1,$67.18 ,$53.74 
,OTHER,,"1,483","$481,245.10 ","$381,872.87 "
,TOTAL,,"1,484","$481,312.28 ","$381,926.61 "
20662,OTHER,,32,"$11,427.06 ","$9,141.61 "
,TOTAL,,32,"$11,427.06 ","$9,141.61 "
20663,OTHER,,4,$356.24 ,$284.99 
,TOTAL,,4,$356.24 ,$284.99 
20664,AS,,1,$76.22 ,$60.98 
,OTHER,,31,"$16,535.34 ","$13,228.25 "
,TOTAL,,32,"$16,611.56 ","$13,289.23 "
20665,AS,,1,$7.35 ,$5.88 
,OTHER,,216,"$24,113.87 ","$19,034.34 "
,TOTAL,,217,"$24,121.22 ","$19,040.22 "
20670,AS,,1,$29.52 ,$23.62 
,SG,,866,"$242,292.55 ","$191,418.92 "
,OTHER,,"15,727","$3,755,292.86 ","$2,943,419.74 "
,TOTAL,,"16,594","$3,997,614.93 ","$3,134,862.28 "
20680,AS,,945,"$25,770.85 ","$20,500.54 "
,SG,,"8,240","$3,726,118.07 ","$2,938,589.77 "
,80'S,,525,"$14,768.10 ","$11,650.75 "
,OTHER,,"51,051","$10,220,449.64 ","$8,050,700.46 "
,TOTAL,,"60,761","$13,987,106.66 ","$11,021,441.52 "
20690,AS,,3,$78.80 ,$63.05 
,SG,,176,"$46,004.31 ","$36,269.55 "
,80'S,,1,$37.08 ,$29.66 
,OTHER,,"4,167","$569,404.65 ","$451,892.45 "
,TOTAL,,"4,347","$615,524.84 ","$488,254.71 "
20692,AS,,101,"$4,068.45 ","$3,254.78 "
,SG,,24,"$9,735.45 ","$7,762.81 "
,80'S,,115,"$5,243.75 ","$4,169.67 "
,OTHER,,"1,530","$374,589.43 ","$296,818.32 "
,TOTAL,,"1,770","$393,637.08 ","$312,005.58 "
20693,SG,,39,"$17,539.01 ","$14,008.75 "
,OTHER,,681,"$233,232.73 ","$184,086.50 "
,TOTAL,,720,"$250,771.74 ","$198,095.25 "
20694,SG,,"1,034","$318,198.40 ","$251,337.43 "
,OTHER,,"5,435","$1,586,613.25 ","$1,251,830.15 "
,TOTAL,,"6,469","$1,904,811.65 ","$1,503,167.58 "
20805,OTHER,,20,"$16,381.18 ","$12,955.95 "
,TOTAL,,20,"$16,381.18 ","$12,955.95 "
20808,OTHER,,1,"$3,731.37 ","$2,985.10 "
,TOTAL,,1,"$3,731.37 ","$2,985.10 "
20816,OTHER,,18,"$38,894.68 ","$31,035.74 "
,TOTAL,,18,"$38,894.68 ","$31,035.74 "
20822,AS,,1,$311.12 ,$248.90 
,80'S,,1,$490.49 ,$392.39 
,OTHER,,20,"$42,186.31 ","$33,499.51 "
,TOTAL,,22,"$42,987.92 ","$34,140.80 "
20824,80'S,,1,$545.90 ,$436.72 
,OTHER,,9,"$20,486.01 ","$16,379.08 "
,TOTAL,,10,"$21,031.91 ","$16,815.80 "
20827,AS,,1,$343.79 ,$275.03 
,OTHER,,14,"$32,630.67 ","$26,024.50 "
,TOTAL,,15,"$32,974.46 ","$26,299.53 "
