Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges 60000 - 64999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
60000,SG,ENDOCRINE,1,$176.35 ,$141.08 
,80'S,,1,$12.39 ,$9.91 
,OTHER,,36,"$2,915.66 ","$2,117.55 "
,TOTAL,,38,"$3,104.40 ","$2,268.54 "
60001,OTHER,,"5,184","$163,246.20 ","$122,460.20 "
,TOTAL,,"5,184","$163,246.20 ","$122,460.20 "
60100,OTHER,,"19,658","$1,745,883.31 ","$1,363,818.51 "
,TOTAL,,"19,658","$1,745,883.31 ","$1,363,818.51 "
60200,SG,,16,"$6,928.84 ","$5,504.37 "
,80'S,,182,"$13,113.04 ","$10,406.22 "
,OTHER,,"1,862","$968,583.18 ","$769,666.76 "
,TOTAL,,"2,060","$988,625.06 ","$785,577.35 "
60210,80'S,,472,"$43,004.07 ","$34,057.94 "
,OTHER,,"1,794","$980,079.65 ","$775,848.27 "
,TOTAL,,"2,266","$1,023,083.72 ","$809,906.21 "
60212,80'S,,71,"$9,888.97 ","$7,911.17 "
,OTHER,,293,"$255,789.49 ","$202,104.22 "
,TOTAL,,364,"$265,678.46 ","$210,015.39 "
60220,80'S,,"2,199","$243,867.50 ","$192,140.62 "
,OTHER,,"7,911","$5,187,537.95 ","$4,091,878.48 "
,TOTAL,,"10,110","$5,431,405.45 ","$4,284,019.10 "
60225,80'S,,355,"$47,762.43 ","$37,663.78 "
,OTHER,,"1,295","$1,059,141.32 ","$837,686.89 "
,TOTAL,,"1,650","$1,106,903.75 ","$875,350.67 "
60240,80'S,,"1,569","$233,072.95 ","$183,516.91 "
,OTHER,,"5,792","$5,113,936.19 ","$4,029,718.68 "
,TOTAL,,"7,361","$5,347,009.14 ","$4,213,235.59 "
60252,80'S,,242,"$46,803.12 ","$37,161.01 "
,OTHER,,842,"$996,341.13 ","$788,578.30 "
,TOTAL,,"1,084","$1,043,144.25 ","$825,739.31 "
60254,80'S,,45,"$11,345.05 ","$9,076.01 "
,OTHER,,216,"$337,201.25 ","$264,924.88 "
,TOTAL,,261,"$348,546.30 ","$274,000.89 "
60260,80'S,,205,"$33,398.28 ","$26,638.66 "
,OTHER,,946,"$905,872.45 ","$717,041.39 "
,TOTAL,,"1,151","$939,270.73 ","$743,680.05 "
60270,80'S,,61,"$11,720.08 ","$9,376.07 "
,OTHER,,251,"$259,572.06 ","$204,820.08 "
,TOTAL,,312,"$271,292.14 ","$214,196.15 "
60271,80'S,,228,"$35,821.38 ","$28,434.69 "
,OTHER,,935,"$896,702.02 ","$711,684.06 "
,TOTAL,,"1,163","$932,523.40 ","$740,118.75 "
60280,SG,,31,"$19,181.07 ","$15,306.17 "
,80'S,,54,"$3,436.88 ","$2,746.47 "
,OTHER,,360,"$139,381.74 ","$110,677.94 "
,TOTAL,,445,"$161,999.69 ","$128,730.58 "
60281,80'S,,2,$191.26 ,$153.01 
,OTHER,,16,"$8,279.64 ","$6,623.70 "
,TOTAL,,18,"$8,470.90 ","$6,776.71 "
60500,80'S,,"3,141","$471,457.25 ","$373,965.10 "
,OTHER,,"12,899","$11,696,360.80 ","$9,268,685.84 "
,TOTAL,,"16,040","$12,167,818.05 ","$9,642,650.94 "
60502,80'S,,98,"$19,049.85 ","$15,159.81 "
,OTHER,,576,"$662,817.16 ","$522,121.48 "
,TOTAL,,674,"$681,867.01 ","$537,281.29 "
60505,80'S,,28,"$5,779.76 ","$4,623.78 "
,OTHER,,136,"$154,893.80 ","$122,224.30 "
,TOTAL,,164,"$160,673.56 ","$126,848.08 "
60512,80'S,,276,"$10,728.66 ","$8,425.87 "
,OTHER,,"1,667","$398,307.39 ","$315,472.69 "
,TOTAL,,"1,943","$409,036.05 ","$323,898.56 "
60520,80'S,,52,"$7,029.75 ","$5,623.77 "
,OTHER,,237,"$213,095.96 ","$169,414.11 "
,TOTAL,,289,"$220,125.71 ","$175,037.88 "
60521,80'S,,62,"$8,877.78 ","$7,102.22 "
,OTHER,,335,"$278,732.39 ","$220,963.71 "
,TOTAL,,397,"$287,610.17 ","$228,065.93 "
60522,80'S,,24,"$4,648.66 ","$3,638.91 "
,OTHER,,159,"$182,263.42 ","$141,320.48 "
,TOTAL,,183,"$186,912.08 ","$144,959.39 "
60540,80'S,,291,"$37,892.90 ","$30,307.93 "
,OTHER,,808,"$633,892.22 ","$503,474.58 "
,TOTAL,,"1,099","$671,785.12 ","$533,782.51 "
60545,80'S,,59,"$9,023.44 ","$7,098.30 "
,OTHER,,185,"$173,678.76 ","$138,530.98 "
,TOTAL,,244,"$182,702.20 ","$145,629.28 "
60600,80'S,,45,"$8,109.31 ","$6,487.43 "
,OTHER,,126,"$133,004.87 ","$105,559.70 "
,TOTAL,,171,"$141,114.18 ","$112,047.13 "
60605,80'S,,6,"$1,113.05 ",$890.44 
,OTHER,,34,"$38,529.99 ","$30,744.01 "
,TOTAL,,40,"$39,643.04 ","$31,634.45 "
60650,80'S,,211,"$37,755.07 ","$29,607.69 "
,OTHER,,652,"$703,062.48 ","$552,836.90 "
,TOTAL,,863,"$740,817.55 ","$582,444.59 "
60659,80'S,,2,$312.72 ,$250.18 
,OTHER,,16,"$11,127.15 ","$8,901.74 "
,TOTAL,,18,"$11,439.87 ","$9,151.92 "
60699,80'S,,18,"$1,226.28 ",$981.02 
,OTHER,,162,"$68,783.76 ","$55,018.93 "
,TOTAL,,180,"$70,010.04 ","$55,999.95 "
61000,OTHER,,92,"$2,586.43 ","$2,030.32 "
,TOTAL,,92,"$2,586.43 ","$2,030.32 "
61001,OTHER,,35,$591.02 ,$408.28 
,TOTAL,,35,$591.02 ,$408.28 
61020,OTHER,,453,"$49,090.13 ","$37,839.65 "
,TOTAL,,453,"$49,090.13 ","$37,839.65 "
61026,OTHER,,415,"$48,011.32 ","$37,471.23 "
,TOTAL,,415,"$48,011.32 ","$37,471.23 "
61050,OTHER,,242,"$26,777.70 ","$20,734.68 "
,TOTAL,,242,"$26,777.70 ","$20,734.68 "
61055,SG,,36,"$11,926.68 ","$9,485.30 "
,OTHER,,"1,846","$242,606.41 ","$190,335.86 "
,TOTAL,,"1,882","$254,533.09 ","$199,821.16 "
61070,SG,,5,"$1,515.44 ","$1,132.35 "
,OTHER,,"2,313","$167,322.08 ","$130,037.73 "
,TOTAL,,"2,318","$168,837.52 ","$131,170.08 "
61105,OTHER,,126,"$35,890.72 ","$28,678.93 "
,TOTAL,,126,"$35,890.72 ","$28,678.93 "
61107,OTHER,,"3,461","$1,216,802.85 ","$966,065.69 "
,TOTAL,,"3,461","$1,216,802.85 ","$966,065.69 "
61108,OTHER,,633,"$415,742.72 ","$331,372.19 "
,TOTAL,,633,"$415,742.72 ","$331,372.19 "
61120,OTHER,,91,"$42,426.26 ","$33,900.15 "
,TOTAL,,91,"$42,426.26 ","$33,900.15 "
61140,80'S,,39,"$6,117.99 ","$4,894.37 "
,OTHER,,459,"$411,000.99 ","$327,073.14 "
,TOTAL,,498,"$417,118.98 ","$331,967.51 "
61150,OTHER,,96,"$101,887.03 ","$80,398.97 "
,TOTAL,,96,"$101,887.03 ","$80,398.97 "
61151,OTHER,,19,"$10,769.92 ","$8,615.94 "
,TOTAL,,19,"$10,769.92 ","$8,615.94 "
61154,80'S,,362,"$58,116.54 ","$46,383.80 "
,OTHER,,"8,311","$8,013,584.94 ","$6,381,463.84 "
,TOTAL,,"8,673","$8,071,701.48 ","$6,427,847.64 "
61156,80'S,,34,"$4,978.76 ","$3,983.01 "
,OTHER,,134,"$128,533.49 ","$102,730.05 "
,TOTAL,,168,"$133,512.25 ","$106,713.06 "
61210,80'S,,1,$58.52 ,$46.82 
,OTHER,,"1,901","$761,831.01 ","$604,189.15 "
,TOTAL,,"1,902","$761,889.53 ","$604,235.97 "
61215,SG,,2,$964.26 ,$771.40 
,OTHER,,298,"$101,698.50 ","$79,470.53 "
,TOTAL,,300,"$102,662.76 ","$80,241.93 "
61250,OTHER,,18,"$12,722.51 ","$10,178.02 "
,TOTAL,,18,"$12,722.51 ","$10,178.02 "
