Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges 70010 - 79999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"29,986","$714,952.34 ","$543,200.61 "
70360,TC,,697,"$10,306.23 ","$7,665.24 "
,26,,"54,688","$488,378.00 ","$370,801.01 "
,GLOBL,,"11,771","$273,361.12 ","$207,130.59 "
,TOTAL,,"67,156","$772,045.35 ","$585,596.84 "
70370,TC,,18,$974.74 ,$775.01 
,26,,"3,259","$54,419.50 ","$42,942.56 "
,GLOBL,,"2,282","$156,257.48 ","$124,185.33 "
,TOTAL,,"5,559","$211,651.72 ","$167,902.90 "
70371,TC,,845,"$68,333.97 ","$54,533.00 "
,26,,"31,073","$1,358,734.23 ","$1,064,266.34 "
,GLOBL,,"7,901","$974,858.38 ","$764,745.58 "
,TOTAL,,"39,819","$2,401,926.58 ","$1,883,544.92 "
70373,TC,,33,"$2,203.91 ","$1,739.16 "
,26,,"4,455","$98,839.42 ","$77,750.56 "
,GLOBL,,"2,689","$231,050.82 ","$184,620.12 "
,TOTAL,,"7,177","$332,094.15 ","$264,109.84 "
70380,TC,,6,$141.62 ,$113.29 
,26,,88,$734.66 ,$544.90 
,GLOBL,,481,"$15,448.57 ","$11,835.60 "
,TOTAL,,575,"$16,324.85 ","$12,493.79 "
70390,TC,,12,$836.35 ,$669.10 
,26,,639,"$12,521.07 ","$9,675.70 "
,GLOBL,,133,"$11,776.77 ","$9,213.55 "
,TOTAL,,784,"$25,134.19 ","$19,558.35 "
70450,TC,,"23,601","$4,127,912.09 ","$3,214,331.91 "
,26,,"3,919,643","$173,253,921.05 ","$134,029,022.37 "
,GLOBL,,"147,072","$34,201,648.31 ","$26,634,310.32 "
,TOTAL,,"4,090,316","$211,583,481.45 ","$163,877,664.60 "
70460,TC,,"1,265","$269,044.25 ","$211,826.78 "
,26,,"49,373","$2,900,644.26 ","$2,265,646.25 "
,GLOBL,,"9,077","$2,548,308.71 ","$1,996,749.34 "
,TOTAL,,"59,715","$5,717,997.22 ","$4,474,222.37 "
70470,TC,,"13,162","$3,370,783.33 ","$2,649,333.11 "
,26,,"328,290","$21,219,424.88 ","$16,446,272.68 "
,GLOBL,,"55,340","$18,672,463.37 ","$14,638,776.15 "
,TOTAL,,"396,792","$43,262,671.58 ","$33,734,381.94 "
70480,TC,,"1,632","$283,188.07 ","$221,901.29 "
,26,,"43,475","$2,858,593.05 ","$2,221,561.04 "
,GLOBL,,"13,495","$3,439,707.45 ","$2,691,033.79 "
,TOTAL,,"58,602","$6,581,488.57 ","$5,134,496.12 "
70481,TC,,234,"$49,260.18 ","$38,245.87 "
,26,,"6,367","$456,150.55 ","$355,853.99 "
,GLOBL,,"1,719","$507,295.51 ","$399,625.49 "
,TOTAL,,"8,320","$1,012,706.24 ","$793,725.35 "
70482,TC,,255,"$65,427.68 ","$51,632.69 "
,26,,"4,934","$367,709.02 ","$287,576.55 "
,GLOBL,,"1,839","$646,279.51 ","$509,617.73 "
,TOTAL,,"7,028","$1,079,416.21 ","$848,826.97 "
70486,TC,,"14,763","$2,504,743.75 ","$1,944,866.89 "
,26,,"274,664","$15,960,621.77 ","$12,339,727.77 "
,GLOBL,,"97,918","$23,561,746.48 ","$18,321,575.69 "
,TOTAL,,"387,345","$42,027,112.00 ","$32,606,170.35 "
70487,TC,,223,"$47,291.38 ","$37,144.31 "
,26,,"7,404","$499,461.99 ","$387,140.16 "
,GLOBL,,"1,328","$395,057.18 ","$310,442.68 "
,TOTAL,,"8,955","$941,810.55 ","$734,727.15 "
70488,TC,,189,"$48,065.97 ","$37,891.81 "
,26,,"3,072","$221,403.29 ","$171,713.32 "
,GLOBL,,"1,060","$377,621.87 ","$297,449.37 "
,TOTAL,,"4,321","$647,091.13 ","$507,054.50 "
70490,TC,,"1,657","$291,302.73 ","$228,812.24 "
,26,,"35,405","$2,357,230.61 ","$1,846,997.30 "
,GLOBL,,"10,624","$2,786,598.51 ","$2,186,515.84 "
,TOTAL,,"47,686","$5,435,131.85 ","$4,262,325.38 "
70491,TC,,"8,290","$1,728,124.29 ","$1,360,953.30 "
,26,,"151,359","$10,732,504.41 ","$8,357,578.55 "
,GLOBL,,"39,833","$11,736,684.65 ","$9,210,116.60 "
,TOTAL,,"199,482","$24,197,313.35 ","$18,928,648.45 "
70492,TC,,"1,578","$426,875.59 ","$333,448.57 "
,26,,"17,054","$1,258,350.83 ","$981,984.80 "
,GLOBL,,"7,812","$2,765,816.95 ","$2,177,779.12 "
,TOTAL,,"26,444","$4,451,043.37 ","$3,493,212.49 "
70496,TC,,756,"$295,718.46 ","$233,487.55 "
,26,,"26,673","$2,413,952.10 ","$1,896,303.91 "
,GLOBL,,"3,200","$1,627,508.62 ","$1,290,210.91 "
,TOTAL,,"30,629","$4,337,179.18 ","$3,420,002.37 "
70498,TC,,"1,426","$565,414.59 ","$447,288.12 "
,26,,"30,649","$2,757,369.55 ","$2,178,522.15 "
,GLOBL,,"6,831","$3,485,738.51 ","$2,757,999.80 "
,TOTAL,,"38,906","$6,808,522.65 ","$5,383,810.07 "
70540,TC,,850,"$352,392.56 ","$278,428.98 "
,26,,"7,641","$526,838.42 ","$412,274.00 "
,GLOBL,,"5,895","$3,068,265.05 ","$2,425,412.45 "
,TOTAL,,"14,386","$3,947,496.03 ","$3,116,115.43 "
70542,TC,,72,"$35,676.88 ","$28,339.93 "
,26,,"1,726","$141,795.34 ","$110,833.50 "
,GLOBL,,"1,109","$691,812.81 ","$547,311.44 "
,TOTAL,,"2,907","$869,285.03 ","$686,484.87 "
70543,TC,,"3,727","$3,418,664.98 ","$2,710,408.62 "
,26,,"29,148","$3,217,357.05 ","$2,524,260.68 "
,GLOBL,,"23,466","$25,771,918.91 ","$20,409,637.47 "
,TOTAL,,"56,341","$32,407,940.94 ","$25,644,306.77 "
70544,TC,,"14,898","$6,416,679.96 ","$5,081,293.24 "
,26,,"259,822","$16,039,608.48 ","$12,649,730.80 "
,GLOBL,,"67,433","$34,449,432.17 ","$27,293,046.22 "
,TOTAL,,"342,153","$56,905,720.61 ","$45,024,070.26 "
70545,TC,,165,"$68,386.49 ","$54,240.11 "
,26,,"5,638","$350,543.46 ","$277,291.29 "
,GLOBL,,930,"$470,969.23 ","$372,812.08 "
,TOTAL,,"6,733","$889,899.18 ","$704,343.48 "
70546,TC,,"1,242","$1,091,592.79 ","$865,351.43 "
,26,,"11,512","$1,086,964.84 ","$857,510.31 "
,GLOBL,,"2,861","$2,778,083.70 ","$2,206,552.67 "
,TOTAL,,"15,615","$4,956,641.33 ","$3,929,414.41 "
70547,TC,,"5,183","$2,284,557.32 ","$1,812,116.70 "
,26,,"77,759","$4,837,486.80 ","$3,824,255.74 "
,GLOBL,,"31,205","$16,296,167.43 ","$12,913,840.81 "
,TOTAL,,"114,147","$23,418,211.55 ","$18,550,213.25 "
70548,TC,,"1,609","$679,606.68 ","$539,285.93 "
,26,,"41,176","$2,519,968.45 ","$1,988,699.17 "
,GLOBL,,"6,815","$3,442,617.56 ","$2,729,661.13 "
,TOTAL,,"49,600","$6,642,192.69 ","$5,257,646.23 "
70549,TC,,"5,944","$4,983,962.93 ","$3,954,220.22 "
,26,,"70,223","$6,549,994.81 ","$5,179,604.80 "
,GLOBL,,"22,751","$21,906,978.60 ","$17,387,928.52 "
,TOTAL,,"98,918","$33,440,936.34 ","$26,521,753.54 "
70551,TC,,"31,198","$13,416,783.41 ","$10,588,992.02 "
,26,,"425,210","$32,601,079.76 ","$25,480,307.20 "
,GLOBL,,"164,061","$87,474,391.71 ","$68,969,144.05 "
,TOTAL,,"620,469","$133,492,254.88 ","$105,038,443.27 "
70552,TC,,861,"$436,981.30 ","$345,211.24 "
,26,,"25,473","$2,343,558.60 ","$1,841,801.48 "
,GLOBL,,"5,905","$3,578,917.08 ","$2,825,956.41 "
,TOTAL,,"32,239","$6,359,456.98 ","$5,012,969.13 "
70553,TC,,"60,472","$56,658,571.59 ","$44,767,498.93 "
,26,,"779,666","$94,592,880.11 ","$74,102,220.02 "
,GLOBL,,"278,340","$308,429,898.19 ","$243,364,525.96 "
,TOTAL,,"1,118,478","$459,681,349.89 ","$362,234,244.91 "
70557,26,,47,"$6,739.48 ","$5,324.15 "
,GLOBL,,2,"$1,000.32 ",$800.26 
,TOTAL,,49,"$7,739.80 ","$6,124.41 "
70558,26,,18,"$2,738.82 ","$1,874.73 "
,GLOBL,,1,$405.90 ,$286.02 
,TOTAL,,19,"$3,144.72 ","$2,160.75 "
70559,TC,,1,$828.38 ,$662.70 
,26,,94,"$15,119.95 ","$11,880.61 "
,GLOBL,,1,$408.28 ,$326.62 
,TOTAL,,96,"$16,356.61 ","$12,869.93 "
71010,TC,,"443,155","$8,197,231.13 ","$6,355,238.83 "
,26,,"17,714,400","$166,261,298.65 ","$130,160,970.66 "
,GLOBL,,"568,703","$15,204,483.50 ","$11,312,106.65 "
,TOTAL,,"18,726,258","$189,663,013.28 ","$147,828,316.14 "
71015,TC,,19,$360.74 ,$245.56 
,26,,506,"$5,457.32 ","$4,315.93 "
,GLOBL,,182,"$5,520.56 ","$4,226.93 "
,TOTAL,,707,"$11,338.62 ","$8,788.42 "
71020,TC,,"814,654","$18,668,338.67 ","$13,493,908.73 "
,26,,"11,936,391","$133,342,874.30 ","$101,482,440.28 "
,GLOBL,,"3,742,109","$132,574,774.08 ","$97,033,178.04 "
