Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges 69000 -  69990,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
69554,OTHER,,5,"$10,216.30 ","$8,132.22 "
,TOTAL,,5,"$10,216.30 ","$8,132.22 "
69601,SG,,13,"$12,254.07 ","$9,723.25 "
,OTHER,,81,"$70,919.64 ","$56,280.35 "
,TOTAL,,94,"$83,173.71 ","$66,003.60 "
69602,SG,,7,"$6,423.35 ","$5,138.69 "
,OTHER,,84,"$73,531.96 ","$58,042.55 "
,TOTAL,,91,"$79,955.31 ","$63,181.24 "
69603,SG,,1,$491.82 ,$393.46 
,OTHER,,53,"$48,714.45 ","$38,891.58 "
,TOTAL,,54,"$49,206.27 ","$39,285.04 "
69604,SG,,12,"$11,011.84 ","$8,809.46 "
,OTHER,,74,"$67,802.64 ","$50,373.35 "
,TOTAL,,86,"$78,814.48 ","$59,182.81 "
69605,OTHER,,7,"$8,362.11 ","$6,689.69 "
,TOTAL,,7,"$8,362.11 ","$6,689.69 "
69610,OTHER,,"2,704","$923,622.78 ","$723,471.35 "
,TOTAL,,"2,704","$923,622.78 ","$723,471.35 "
69620,SG,,130,"$51,971.00 ","$40,188.03 "
,OTHER,,616,"$241,094.23 ","$189,035.44 "
,TOTAL,,746,"$293,065.23 ","$229,223.47 "
69631,SG,,671,"$467,731.44 ","$367,525.83 "
,OTHER,,"2,881","$1,879,597.62 ","$1,479,388.61 "
,TOTAL,,"3,552","$2,347,329.06 ","$1,846,914.44 "
69632,SG,,65,"$45,305.82 ","$34,834.04 "
,OTHER,,393,"$331,912.20 ","$262,457.07 "
,TOTAL,,458,"$377,218.02 ","$297,291.11 "
69633,SG,,131,"$87,469.93 ","$69,204.56 "
,OTHER,,676,"$545,560.70 ","$425,107.06 "
,TOTAL,,807,"$633,030.63 ","$494,311.62 "
69635,SG,,47,"$46,275.48 ","$36,545.20 "
,OTHER,,261,"$224,855.74 ","$177,804.28 "
,TOTAL,,308,"$271,131.22 ","$214,349.48 "
69636,SG,,19,"$18,508.08 ","$14,806.47 "
,80'S,,1,$193.24 ,$154.59 
,OTHER,,103,"$102,578.25 ","$80,365.78 "
,TOTAL,,123,"$121,279.57 ","$95,326.84 "
69637,SG,,31,"$29,938.86 ","$23,359.93 "
,OTHER,,114,"$111,447.43 ","$87,246.03 "
,TOTAL,,145,"$141,386.29 ","$110,605.96 "
69641,SG,,182,"$178,405.96 ","$140,728.92 "
,OTHER,,817,"$682,485.63 ","$537,783.93 "
,TOTAL,,999,"$860,891.59 ","$678,512.85 "
69642,SG,,60,"$58,463.11 ","$46,690.50 "
,OTHER,,309,"$336,224.95 ","$264,094.03 "
,TOTAL,,369,"$394,688.06 ","$310,784.53 "
69643,SG,,71,"$69,359.15 ","$54,311.39 "
,OTHER,,660,"$658,475.14 ","$517,004.24 "
,TOTAL,,731,"$727,834.29 ","$571,315.63 "
69644,SG,,49,"$47,931.73 ","$38,345.37 "
,OTHER,,373,"$412,436.62 ","$322,821.35 "
,TOTAL,,422,"$460,368.35 ","$361,166.72 "
69645,SG,,56,"$54,872.52 ","$43,163.29 "
,OTHER,,346,"$372,747.76 ","$295,755.45 "
