CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2662,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70355,TOTAL,33291,580347.28,431797.25
RADIOLOGY,70355,26,12993,137624.16,103187.12
RADIOLOGY,70355,TC,266,3187.41,2389.52
RADIOLOGY,70355,GLOBL,20032,439535.71,326220.61
RADIOLOGY,70360,TOTAL,73360,902377.17,688026.02
RADIOLOGY,70360,26,58004,494502.99,373221.68
RADIOLOGY,70360,TC,1002,18782.32,13290.64
RADIOLOGY,70360,GLOBL,14354,389091.86,301513.7
RADIOLOGY,70370,TOTAL,8073,317445.25,252346.15
RADIOLOGY,70370,26,5124,81493.31,64303.81
RADIOLOGY,70370,TC,11,707.23,565.82
RADIOLOGY,70370,GLOBL,2938,235244.71,187476.52
RADIOLOGY,70371,TOTAL,28676,1629642.33,1286374.77
RADIOLOGY,70371,26,20065,834586.71,656579.84
RADIOLOGY,70371,TC,648,34516.7,27487.98
RADIOLOGY,70371,GLOBL,7963,760538.92,602306.95
RADIOLOGY,70373,TOTAL,5114,230106.35,181586.44
RADIOLOGY,70373,26,3026,63546.73,49863.05
RADIOLOGY,70373,TC,20,1149.33,919.49
RADIOLOGY,70373,GLOBL,2068,165410.29,130803.9
RADIOLOGY,70380,TOTAL,174,5859.3,4361.84
RADIOLOGY,70380,26,40,408.57,319.64
RADIOLOGY,70380,TC,N/A,197.76,134.89
RADIOLOGY,70380,GLOBL,134,5252.97,3907.31
RADIOLOGY,70390,TOTAL,281,7923.94,6173.36
RADIOLOGY,70390,26,250,4686.26,3663.73
RADIOLOGY,70390,TC,N/A,82.97,66.38
RADIOLOGY,70390,GLOBL,31,3154.71,2443.25
RADIOLOGY,70450,TOTAL,5319751.4,254342596.33,193650317.88
RADIOLOGY,70450,26,5129618.4,218396130.38,166383388.6
RADIOLOGY,70450,TC,39851,5816771.73,4405238.96
RADIOLOGY,70450,GLOBL,150282,30129694.22,22861690.32
RADIOLOGY,70460,TOTAL,41316,3467029.17,2686921.28
RADIOLOGY,70460,26,33422,1881837.56,1452985.1
RADIOLOGY,70460,TC,2880,363621.69,282834.74
RADIOLOGY,70460,GLOBL,5014,1221569.92,951101.44
RADIOLOGY,70470,TOTAL,211002,23180302.38,17834263.45
RADIOLOGY,70470,26,165726,10497270.52,8032356.85
RADIOLOGY,70470,TC,12620,2726737.64,2117238.17
RADIOLOGY,70470,GLOBL,32656,9956294.22,7684668.43
RADIOLOGY,70480,TOTAL,55381,6736145.65,5201675.16
RADIOLOGY,70480,26,38677,2509546.68,1919537.09
RADIOLOGY,70480,TC,2911,560736.23,437428.85
RADIOLOGY,70480,GLOBL,13793,3665862.74,2844709.22
RADIOLOGY,70481,TOTAL,8345,1084911.34,839482.6
RADIOLOGY,70481,26,6643,464445.3,353270.64
RADIOLOGY,70481,TC,246,71982.23,56271.69
RADIOLOGY,70481,GLOBL,1456,548483.81,429940.27
RADIOLOGY,70482,TOTAL,6120,1187443.08,927704.34
RADIOLOGY,70482,26,3852,277131.16,211984.49
RADIOLOGY,70482,TC,339,109329.24,86274.97
