,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2008,,
,,,Code Ranges 65000 - 68999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
65091,SG,EYE,10,"$7,175.34 ","$5,740.26 "
,OTHER,,107,"$58,045.52 ","$46,242.48 "
,TOTAL,,117,"$65,220.86 ","$51,982.74 "
65093,SG,,39,"$29,081.68 ","$22,111.91 "
,OTHER,,754,"$405,520.47 ","$322,026.30 "
,TOTAL,,793,"$434,602.15 ","$344,138.21 "
65101,SG,,2,"$1,418.72 ","$1,134.98 "
,OTHER,,103,"$61,022.27 ","$48,591.30 "
,TOTAL,,105,"$62,440.99 ","$49,726.28 "
65103,SG,,20,"$14,023.55 ","$10,708.29 "
,OTHER,,323,"$205,437.51 ","$162,520.00 "
,TOTAL,,343,"$219,461.06 ","$173,228.29 "
65105,SG,,33,"$27,839.33 ","$22,055.44 "
,80'S,,34,"$3,904.16 ","$3,123.33 "
,OTHER,,"1,188","$844,522.21 ","$666,481.02 "
,TOTAL,,"1,255","$876,265.70 ","$691,659.79 "
65110,80'S,,7,"$1,168.44 ",$934.76 
,OTHER,,116,"$105,965.66 ","$84,399.61 "
,TOTAL,,123,"$107,134.10 ","$85,334.37 "
65112,SG,,2,"$2,286.32 ","$1,829.06 "
,80'S,,8,"$1,537.77 ","$1,230.21 "
,OTHER,,49,"$49,440.03 ","$39,461.83 "
,TOTAL,,59,"$53,264.12 ","$42,521.10 "
65114,SG,,1,"$1,019.06 ",$815.25 
,80'S,,1,$221.99 ,$177.59 
,OTHER,,14,"$17,226.74 ","$13,781.40 "
,TOTAL,,16,"$18,467.79 ","$14,774.24 "
65125,OTHER,,43,"$9,317.29 ","$7,089.84 "
,TOTAL,,43,"$9,317.29 ","$7,089.84 "
65130,SG,,1,$545.59 ,$436.47 
,OTHER,,36,"$19,790.76 ","$15,577.54 "
,TOTAL,,37,"$20,336.35 ","$16,014.01 "
65135,SG,,3,"$1,406.34 ","$1,125.07 "
,OTHER,,35,"$19,002.20 ","$14,591.74 "
,TOTAL,,38,"$20,408.54 ","$15,716.81 "
65140,SG,,1,$742.97 ,$594.38 
,OTHER,,30,"$18,597.33 ","$14,769.87 "
,TOTAL,,31,"$19,340.30 ","$15,364.25 "
65150,SG,,5,"$3,077.67 ","$2,462.13 "
,OTHER,,50,"$20,170.44 ","$15,531.35 "
,TOTAL,,55,"$23,248.11 ","$17,993.48 "
65155,SG,,1,$371.49 ,$297.19 
,OTHER,,53,"$35,145.44 ","$27,830.59 "
,TOTAL,,54,"$35,516.93 ","$28,127.78 "
65175,SG,,10,"$3,384.71 ","$2,707.76 "
,OTHER,,218,"$90,120.29 ","$71,056.27 "
,TOTAL,,228,"$93,505.00 ","$73,764.03 "
65205,SG,,2,$45.83 ,$36.66 
,OTHER,,"27,923","$1,246,113.79 ","$902,598.58 "
,TOTAL,,"27,925","$1,246,159.62 ","$902,635.24 "
65210,SG,,25,$730.77 ,$564.38 
,OTHER,,"24,300","$1,406,666.65 ","$1,025,355.43 "
,TOTAL,,"24,325","$1,407,397.42 ","$1,025,919.81 "
65220,SG,,6,$221.52 ,$177.20 
,OTHER,,"2,707","$112,530.78 ","$78,907.72 "
,TOTAL,,"2,713","$112,752.30 ","$79,084.92 "
65222,SG,,14,$450.68 ,$343.36 
,OTHER,,"32,672","$2,041,649.84 ","$1,451,619.36 "
,TOTAL,,"32,686","$2,042,100.52 ","$1,451,962.72 "
65235,SG,,29,"$12,089.03 ","$9,455.26 "
,OTHER,,309,"$136,040.88 ","$107,965.45 "
,TOTAL,,338,"$148,129.91 ","$117,420.71 "
65260,SG,,1,$597.86 ,$478.29 
,80'S,,2,$195.89 ,$156.71 
,OTHER,,29,"$11,764.46 ","$9,411.51 "
,TOTAL,,32,"$12,558.21 ","$10,046.51 "
65265,SG,,13,"$6,438.97 ","$5,151.17 "
,80'S,,19,"$2,165.14 ","$1,732.13 "
,OTHER,,338,"$224,115.22 ","$176,739.75 "
,TOTAL,,370,"$232,719.33 ","$183,623.05 "
65270,SG,,6,"$3,069.06 ","$2,455.25 "
,OTHER,,194,"$38,360.08 ","$29,782.36 "
,TOTAL,,200,"$41,429.14 ","$32,237.61 "
65272,SG,,5,"$1,798.87 ","$1,439.09 "
,OTHER,,73,"$20,055.86 ","$15,673.68 "
,TOTAL,,78,"$21,854.73 ","$17,112.77 "
65273,OTHER,,15,"$3,605.30 ","$2,884.25 "
,TOTAL,,15,"$3,605.30 ","$2,884.25 "
65275,SG,,9,"$5,175.19 ","$3,596.97 "
,OTHER,,104,"$37,608.29 ","$29,862.02 "
,TOTAL,,113,"$42,783.48 ","$33,458.99 "
65280,SG,,14,"$7,764.11 ","$6,211.27 "
,80'S,,2,$186.63 ,$149.30 
,OTHER,,289,"$137,912.78 ","$109,368.35 "
,TOTAL,,305,"$145,863.52 ","$115,728.92 "
65285,SG,,43,"$33,939.01 ","$27,030.09 "
,OTHER,,"1,231","$985,215.05 ","$782,179.16 "
,TOTAL,,"1,274","$1,019,154.06 ","$809,209.25 "
65286,SG,,4,$616.51 ,$493.21 
,OTHER,,633,"$284,939.17 ","$224,859.96 "
,TOTAL,,637,"$285,555.68 ","$225,353.17 "
65290,SG,,4,"$1,186.71 ",$949.37 
,OTHER,,64,"$17,423.06 ","$13,938.44 "
,TOTAL,,68,"$18,609.77 ","$14,887.81 "
65400,SG,,539,"$186,004.69 ","$146,583.92 "
,OTHER,,"5,706","$2,515,900.61 ","$1,982,903.23 "
,TOTAL,,"6,245","$2,701,905.30 ","$2,129,487.15 "
65410,SG,,22,"$9,315.46 ","$7,452.37 "
,OTHER,,193,"$26,256.00 ","$20,566.91 "
,TOTAL,,215,"$35,571.46 ","$28,019.28 "
65420,SG,,596,"$234,998.87 ","$185,554.45 "
,OTHER,,"4,969","$1,516,315.85 ","$1,194,376.93 "
,TOTAL,,"5,565","$1,751,314.72 ","$1,379,931.38 "
65426,SG,,"1,350","$1,009,932.32 ","$787,379.77 "
,OTHER,,"7,187","$3,484,959.13 ","$2,731,063.17 "
,TOTAL,,"8,537","$4,494,891.45 ","$3,518,442.94 "
65430,SG,,22,$805.34 ,$587.55 
,OTHER,,"5,201","$479,738.67 ","$366,750.24 "
,TOTAL,,"5,223","$480,544.01 ","$367,337.79 "
65435,SG,,62,"$1,478.19 ","$1,147.15 "
,OTHER,,"7,059","$427,411.00 ","$321,602.33 "
,TOTAL,,"7,121","$428,889.19 ","$322,749.48 "
65436,SG,,82,"$45,241.99 ","$36,085.56 "
,OTHER,,"1,458","$466,638.05 ","$367,017.34 "
,TOTAL,,"1,540","$511,880.04 ","$403,102.90 "
65450,SG,,33,"$2,866.83 ","$2,293.45 "
,OTHER,,770,"$149,944.48 ","$117,189.37 "
,TOTAL,,803,"$152,811.31 ","$119,482.82 "
65600,SG,,13,"$1,305.36 ","$1,044.31 "
,OTHER,,832,"$246,008.06 ","$192,324.09 "
,TOTAL,,845,"$247,313.42 ","$193,368.40 "
65710,SG,,220,"$247,629.36 ","$196,546.37 "
,80'S,,53,"$7,560.70 ","$6,016.57 "
,OTHER,,"1,588","$1,482,833.55 ","$1,178,329.00 "
,TOTAL,,"1,861","$1,738,023.61 ","$1,380,891.94 "
65730,SG,,725,"$819,361.51 ","$650,996.24 "
,80'S,,430,"$71,574.41 ","$56,363.66 "
,OTHER,,"6,154","$6,180,183.84 ","$4,888,107.73 "
,TOTAL,,"7,309","$7,071,119.76 ","$5,595,467.63 "
65750,SG,,135,"$154,579.06 ","$121,765.60 "
,80'S,,105,"$16,486.67 ","$13,189.40 "
,OTHER,,"1,058","$1,057,844.40 ","$840,297.53 "
,TOTAL,,"1,298","$1,228,910.13 ","$975,252.53 "
65755,SG,,"1,769","$1,979,689.77 ","$1,572,869.98 "
,80'S,,"1,026","$172,157.37 ","$136,578.25 "
,OTHER,,"15,814","$15,966,570.25 ","$12,657,153.72 "
,TOTAL,,"18,609","$18,118,417.39 ","$14,366,601.95 "
65760,OTHER,,1,$1.10 ,$0.88 
,TOTAL,,1,$1.10 ,$0.88 
65767,OTHER,,1,$1.00 ,$0.80 
,TOTAL,,1,$1.00 ,$0.80 
65770,SG,,4,"$7,852.73 ","$6,154.01 "
,80'S,,71,"$13,604.21 ","$10,776.41 "
,OTHER,,332,"$380,494.35 ","$302,153.67 "
,TOTAL,,407,"$401,951.29 ","$319,084.09 "
65771,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
65772,SG,,369,"$183,826.22 ","$146,136.72 "
,OTHER,,"4,387","$1,450,367.86 ","$1,141,944.28 "
,TOTAL,,"4,756","$1,634,194.08 ","$1,288,081.00 "
65775,SG,,15,"$8,647.49 ","$6,837.62 "
,OTHER,,163,"$72,893.64 ","$57,043.59 "
,TOTAL,,178,"$81,541.13 ","$63,881.21 "
65780,SG,,299,"$271,196.07 ","$214,103.81 "
,OTHER,,"3,205","$2,370,223.77 ","$1,876,734.52 "
,TOTAL,,"3,504","$2,641,419.84 ","$2,090,838.33 "
65781,SG,,3,"$2,344.08 ","$1,875.26 "
,80'S,,13,"$2,295.33 ","$1,828.62 "
,OTHER,,66,"$68,668.74 ","$53,187.90 "
,TOTAL,,82,"$73,308.15 ","$56,891.78 "
65782,SG,,40,"$35,418.12 ","$28,067.87 "
,OTHER,,382,"$350,475.30 ","$277,664.46 "
,TOTAL,,422,"$385,893.42 ","$305,732.33 "
65800,SG,,40,"$11,338.06 ","$8,567.33 "
,OTHER,,"2,843","$269,863.30 ","$213,737.23 "
,TOTAL,,"2,883","$281,201.36 ","$222,304.56 "
65805,SG,,152,"$55,910.99 ","$44,120.27 "
,OTHER,,"25,548","$2,213,879.63 ","$1,756,413.59 "
,TOTAL,,"25,700","$2,269,790.62 ","$1,800,533.86 "
65810,SG,,64,"$28,241.11 ","$22,567.11 "
,OTHER,,675,"$201,503.29 ","$160,397.88 "
,TOTAL,,739,"$229,744.40 ","$182,964.99 "
65815,SG,,84,"$38,292.12 ","$30,417.68 "
,OTHER,,775,"$251,885.90 ","$200,299.27 "
,TOTAL,,859,"$290,178.02 ","$230,716.95 "
65820,SG,,5,"$1,367.31 ","$1,093.85 "
,OTHER,,142,"$60,905.03 ","$48,249.73 "
,TOTAL,,147,"$62,272.34 ","$49,343.58 "
65850,SG,,104,"$62,041.16 ","$48,908.24 "
,OTHER,,"1,115","$707,466.97 ","$559,843.66 "
,TOTAL,,"1,219","$769,508.13 ","$608,751.90 "
65855,SG,,"12,010","$1,714,548.15 ","$1,334,900.04 "
,OTHER,,"172,206","$46,133,059.10 ","$35,810,713.61 "
,TOTAL,,"184,216","$47,847,607.25 ","$37,145,613.65 "
65860,SG,,75,"$9,026.93 ","$6,754.45 "
,OTHER,,"1,465","$308,382.20 ","$241,828.15 "
,TOTAL,,"1,540","$317,409.13 ","$248,582.60 "
65865,SG,,89,"$20,864.05 ","$16,691.37 "
,OTHER,,"1,022","$252,927.24 ","$200,992.99 "
,TOTAL,,"1,111","$273,791.29 ","$217,684.36 "
65870,SG,,104,"$44,301.93 ","$35,416.53 "
,OTHER,,"1,597","$518,877.95 ","$412,265.21 "
,TOTAL,,"1,701","$563,179.88 ","$447,681.74 "
65875,SG,,228,"$96,669.68 ","$75,975.86 "
,OTHER,,"2,570","$846,194.27 ","$672,529.54 "
,TOTAL,,"2,798","$942,863.95 ","$748,505.40 "
65880,SG,,9,"$4,183.40 ","$3,346.73 "
,OTHER,,139,"$50,738.27 ","$40,274.25 "
,TOTAL,,148,"$54,921.67 ","$43,620.98 "
65900,SG,,5,"$2,256.16 ","$1,804.92 "
,80'S,,6,$707.80 ,$458.25 
,OTHER,,89,"$50,086.64 ","$39,933.27 "
,TOTAL,,100,"$53,050.60 ","$42,196.44 "
65920,SG,,88,"$78,748.41 ","$62,851.03 "
,OTHER,,"1,025","$538,285.13 ","$428,487.11 "
,TOTAL,,"1,113","$617,033.54 ","$491,338.14 "
65930,SG,,68,"$42,655.75 ","$34,124.60 "
,OTHER,,624,"$244,694.26 ","$195,409.22 "
,TOTAL,,692,"$287,350.01 ","$229,533.82 "
66020,SG,,98,"$32,837.05 ","$25,993.63 "
,OTHER,,"1,714","$238,911.58 ","$188,467.88 "
,TOTAL,,"1,812","$271,748.63 ","$214,461.51 "
66030,SG,,292,"$83,818.24 ","$66,800.33 "
,OTHER,,"2,157","$304,776.40 ","$241,891.55 "
,TOTAL,,"2,449","$388,594.64 ","$308,691.88 "
66130,SG,,7,"$7,265.74 ","$5,812.58 "
,OTHER,,112,"$58,747.46 ","$46,477.03 "
,TOTAL,,119,"$66,013.20 ","$52,289.61 "
66150,SG,,34,"$12,403.58 ","$9,922.82 "
,OTHER,,204,"$124,087.44 ","$98,059.26 "
,TOTAL,,238,"$136,491.02 ","$107,982.08 "
66155,SG,,13,"$5,092.73 ","$4,074.17 "
,OTHER,,512,"$368,549.11 ","$294,351.48 "
,TOTAL,,525,"$373,641.84 ","$298,425.65 "
66160,SG,,26,"$10,079.52 ","$8,004.29 "
,80'S,,1,$70.65 ,$56.52 
,OTHER,,207,"$137,574.51 ","$109,665.79 "
,TOTAL,,234,"$147,724.68 ","$117,726.60 "
66165,SG,,1,$363.51 ,$290.81 
,OTHER,,24,"$12,962.47 ","$10,369.94 "
,TOTAL,,25,"$13,325.98 ","$10,660.75 "
66170,SG,,"3,536","$1,892,751.57 ","$1,496,250.68 "
,80'S,,735,"$121,215.11 ","$96,348.82 "
,OTHER,,"25,960","$21,120,895.80 ","$16,734,647.35 "
,TOTAL,,"30,231","$23,134,862.48 ","$18,327,246.85 "
66172,SG,,"1,364","$875,395.09 ","$692,123.60 "
,80'S,,460,"$95,346.55 ","$75,773.53 "
,OTHER,,"11,097","$11,914,287.48 ","$9,442,526.18 "
,TOTAL,,"12,921","$12,885,029.12 ","$10,210,423.31 "
66180,SG,,"1,457","$1,247,016.13 ","$990,728.87 "
,80'S,,544,"$82,366.12 ","$65,597.32 "
,OTHER,,"14,450","$12,888,283.43 ","$10,210,499.26 "
,TOTAL,,"16,451","$14,217,665.68 ","$11,266,825.45 "
66185,SG,,188,"$121,158.59 ","$96,650.95 "
,80'S,,71,"$5,488.86 ","$4,349.92 "
,OTHER,,"1,887","$965,531.85 ","$765,717.93 "
,TOTAL,,"2,146","$1,092,179.30 ","$866,718.80 "
66220,SG,,4,"$2,659.44 ","$1,554.58 "
,80'S,,1,$87.28 ,$69.82 
,OTHER,,28,"$14,498.43 ","$11,285.19 "
,TOTAL,,33,"$17,245.15 ","$12,909.59 "
66225,SG,,46,"$26,528.39 ","$21,114.77 "
,OTHER,,644,"$309,135.50 ","$245,454.11 "
,TOTAL,,690,"$335,663.89 ","$266,568.88 "
66250,SG,,"1,207","$565,274.90 ","$447,392.82 "
,80'S,,1,$61.90 ,$49.52 
,OTHER,,"12,735","$5,672,662.96 ","$4,480,700.88 "
,TOTAL,,"13,943","$6,237,999.76 ","$4,928,143.22 "
66500,SG,,20,"$4,101.62 ","$3,281.33 "
,OTHER,,384,"$64,900.00 ","$51,471.98 "
,TOTAL,,404,"$69,001.62 ","$54,753.31 "
66505,SG,,1,$290.45 ,$232.36 
,OTHER,,8,"$1,787.03 ","$1,429.63 "
,TOTAL,,9,"$2,077.48 ","$1,661.99 "
66600,SG,,3,"$1,286.15 ","$1,028.92 "
,OTHER,,75,"$38,122.37 ","$29,900.95 "
,TOTAL,,78,"$39,408.52 ","$30,929.87 "
66605,SG,,1,$295.94 ,$236.75 
,OTHER,,14,"$11,509.58 ","$9,150.46 "
,TOTAL,,15,"$11,805.52 ","$9,387.21 "
66625,SG,,107,"$24,448.53 ","$19,558.84 "
,OTHER,,"1,628","$425,621.06 ","$335,569.21 "
,TOTAL,,"1,735","$450,069.59 ","$355,128.05 "
66630,SG,,5,"$1,921.40 ","$1,537.11 "
,OTHER,,90,"$31,257.57 ","$24,618.87 "
,TOTAL,,95,"$33,178.97 ","$26,155.98 "
66635,SG,,19,"$6,554.00 ","$5,220.22 "
,OTHER,,290,"$90,940.82 ","$72,113.43 "
,TOTAL,,309,"$97,494.82 ","$77,333.65 "
66680,SG,,125,"$53,399.40 ","$42,044.85 "
,OTHER,,744,"$237,820.08 ","$188,724.88 "
,TOTAL,,869,"$291,219.48 ","$230,769.73 "
66682,SG,,202,"$65,446.43 ","$51,648.71 "
,OTHER,,"1,691","$516,107.04 ","$408,651.06 "
,TOTAL,,"1,893","$581,553.47 ","$460,299.77 "
66700,SG,,3,$992.73 ,$794.18 
,OTHER,,58,"$16,735.93 ","$13,147.17 "
,TOTAL,,61,"$17,728.66 ","$13,941.35 "
66710,SG,,879,"$307,136.59 ","$243,092.38 "
,OTHER,,"5,650","$1,661,427.15 ","$1,312,110.35 "
,TOTAL,,"6,529","$1,968,563.74 ","$1,555,202.73 "
66711,SG,,"2,666","$690,483.98 ","$550,427.97 "
,OTHER,,"14,407","$4,044,598.26 ","$3,216,799.60 "
,TOTAL,,"17,073","$4,735,082.24 ","$3,767,227.57 "
66720,SG,,24,"$11,772.07 ","$9,043.65 "
,OTHER,,487,"$150,575.96 ","$118,888.64 "
,TOTAL,,511,"$162,348.03 ","$127,932.29 "
66740,SG,,31,"$9,101.17 ","$7,226.17 "
,OTHER,,273,"$60,832.86 ","$48,488.99 "
,TOTAL,,304,"$69,934.03 ","$55,715.16 "
