CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,
,,,,,
"2012 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2641,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70010,TOTAL,35,3173.58,2523.4
RADIOLOGY,70010,26,N/A,0,0
RADIOLOGY,70010,GLOBL,35,3173.58,2523.4
RADIOLOGY,70015,TOTAL,121,9151.18,7039.48
RADIOLOGY,70015,26,103,6065.92,4571.29
RADIOLOGY,70015,GLOBL,18,3085.26,2468.19
RADIOLOGY,70030,TOTAL,27918,361409.55,269775.91
RADIOLOGY,70030,26,21131,172657.29,129784.68
RADIOLOGY,70030,TC,1208,24137.76,18197.31
RADIOLOGY,70030,GLOBL,5579,164614.5,121793.92
RADIOLOGY,70100,TOTAL,23548,444588.52,350512.72
RADIOLOGY,70100,26,13716,119209.72,93531.42
RADIOLOGY,70100,TC,494,12475.56,9553.62
RADIOLOGY,70100,GLOBL,9338,312903.24,247427.68
RADIOLOGY,70110,TOTAL,12169,225500.03,165926.72
RADIOLOGY,70110,26,9194,112615.57,83132.91
RADIOLOGY,70110,TC,596,16115.58,11763.75
RADIOLOGY,70110,GLOBL,2379,96768.88,71030.06
RADIOLOGY,70120,TOTAL,442,10936.82,8353.28
RADIOLOGY,70120,26,168,1524.45,1140.14
RADIOLOGY,70120,TC,49,1234.68,924.74
RADIOLOGY,70120,GLOBL,225,8177.69,6288.4
RADIOLOGY,70130,TOTAL,623,21962.97,16096.68
RADIOLOGY,70130,26,325,5410.01,4046.33
RADIOLOGY,70130,TC,32,1283.39,820.51
RADIOLOGY,70130,GLOBL,266,15269.57,11229.84
RADIOLOGY,70134,TOTAL,47,2622.94,2011.88
RADIOLOGY,70134,26,N/A,102.71,82.16
RADIOLOGY,70134,GLOBL,47,2520.23,1929.72
RADIOLOGY,70140,TOTAL,9894,201923.96,153685.39
RADIOLOGY,70140,26,4642,45985.6,34539.75
RADIOLOGY,70140,TC,1147,24668.62,18922.92
RADIOLOGY,70140,GLOBL,4105,131269.74,100222.72
RADIOLOGY,70150,TOTAL,23924,547002.13,403938.56
RADIOLOGY,70150,26,14973,187430.22,138472.02
RADIOLOGY,70150,TC,2177,63959.2,47240.99
RADIOLOGY,70150,GLOBL,6774,295612.71,218225.55
RADIOLOGY,70160,TOTAL,23338,359358.73,264257.35
RADIOLOGY,70160,26,16540,141119.46,103748.53
RADIOLOGY,70160,TC,1431,35051.41,25784.2
RADIOLOGY,70160,GLOBL,5367,183187.86,134724.62
RADIOLOGY,70170,TOTAL,205,5843.73,4589.19
RADIOLOGY,70170,26,147,2171.6,1664.41
RADIOLOGY,70170,TC,N/A,122.94,98.34
RADIOLOGY,70170,GLOBL,58,3549.19,2826.44
RADIOLOGY,70190,TOTAL,367,9728.08,7338.65
RADIOLOGY,70190,26,135,1441.43,1090.47
RADIOLOGY,70190,TC,27,713.29,551.58
RADIOLOGY,70190,GLOBL,205,7573.36,5696.6
RADIOLOGY,70200,TOTAL,9229,233378.74,173670.8
RADIOLOGY,70200,26,5499,74705.47,55678.31
RADIOLOGY,70200,TC,650,19774.16,14787.96
RADIOLOGY,70200,GLOBL,3080,138899.11,103204.53
RADIOLOGY,70210,TOTAL,66408,1560212.37,1116233.75
RADIOLOGY,70210,26,16668,138350.91,100074.92
RADIOLOGY,70210,TC,7877,168331.85,116678.98
RADIOLOGY,70210,GLOBL,41863,1253529.61,899479.85
RADIOLOGY,70220,TOTAL,109082,2858467.52,2055778.03
RADIOLOGY,70220,26,45111,544935.64,395737.43
RADIOLOGY,70220,TC,11503,298089.76,213546.55
RADIOLOGY,70220,GLOBL,52468,2015442.12,1446494.05
RADIOLOGY,70240,TOTAL,150,2751.6,2119.19
RADIOLOGY,70240,26,92,890.78,691.22
RADIOLOGY,70240,TC,N/A,157.08,125.67
RADIOLOGY,70240,GLOBL,58,1703.74,1302.3
RADIOLOGY,70250,TOTAL,55107,1080550.2,824804.46
RADIOLOGY,70250,26,36241,432400.59,330454.61
RADIOLOGY,70250,TC,5156,131851.79,101218.63
RADIOLOGY,70250,GLOBL,13710,516297.82,393131.22
RADIOLOGY,70260,TOTAL,18781,530759.18,395206.41
RADIOLOGY,70260,26,10876,180884.23,135508.82
RADIOLOGY,70260,TC,2013,62197.55,46832.94
RADIOLOGY,70260,GLOBL,5892,287677.4,212864.65
RADIOLOGY,70300,TOTAL,624,8537.58,6342.07
RADIOLOGY,70300,26,85,498.33,389.76
RADIOLOGY,70300,TC,N/A,85.34,68.29
RADIOLOGY,70300,GLOBL,539,7953.91,5884.02
RADIOLOGY,70310,TOTAL,14156,289252.98,230993.57
RADIOLOGY,70310,26,7949,63258.41,50547.73
RADIOLOGY,70310,TC,13,391.58,287.55
RADIOLOGY,70310,GLOBL,6194,225602.99,180158.29
RADIOLOGY,70320,TOTAL,970,27888.82,20745.24
RADIOLOGY,70320,26,435,4897.83,3627.19
RADIOLOGY,70320,TC,N/A,36.75,29.4
RADIOLOGY,70320,GLOBL,535,22954.24,17088.65
RADIOLOGY,70328,TOTAL,982,21600.92,16130.88
RADIOLOGY,70328,26,401,3542.34,2581.68
RADIOLOGY,70328,TC,78,1698.92,1240.53
RADIOLOGY,70328,GLOBL,503,16359.66,12308.67
RADIOLOGY,70330,TOTAL,5296,176734.85,132293.7
RADIOLOGY,70330,26,2202,26933.5,19775.38
RADIOLOGY,70330,TC,203,7308.96,5052.83
RADIOLOGY,70330,GLOBL,2891,142492.39,107465.49
RADIOLOGY,70332,TOTAL,182,12543,9885.43
RADIOLOGY,70332,26,28,725.06,521.23
RADIOLOGY,70332,TC,N/A,40.8,32.64
RADIOLOGY,70332,GLOBL,154,11777.14,9331.56
RADIOLOGY,70336,TOTAL,3316,837108.18,650183.73
RADIOLOGY,70336,26,1485,104478.96,79156.83
RADIOLOGY,70336,TC,176,54691.3,42549.51
RADIOLOGY,70336,GLOBL,1655,677937.92,528477.39
RADIOLOGY,70350,TOTAL,1386,28473.57,22138.45
RADIOLOGY,70350,26,69,673.6,499.31
RADIOLOGY,70350,TC,14,181.07,134.62
RADIOLOGY,70350,GLOBL,1303,27618.9,21504.52
RADIOLOGY,70355,TOTAL,34395,581926.75,439782.25
RADIOLOGY,70355,26,13623,143502.59,108991.66
RADIOLOGY,70355,TC,364,4143.23,3249.46
RADIOLOGY,70355,GLOBL,20408,434280.93,327541.13
RADIOLOGY,70360,TOTAL,66137,765896.1,580890.97
RADIOLOGY,70360,26,53359,435574.92,328077.69
RADIOLOGY,70360,TC,1103,20511.05,14901.7
RADIOLOGY,70360,GLOBL,11675,309810.13,237911.58
RADIOLOGY,70370,TOTAL,7109,264083.33,208818.79
RADIOLOGY,70370,26,4820,74211.78,58280.65
RADIOLOGY,70370,TC,18,1242.59,994.05
RADIOLOGY,70370,GLOBL,2271,188628.96,149544.09
RADIOLOGY,70371,TOTAL,12585,714594.69,554913.12
RADIOLOGY,70371,26,9000,372200.96,289498.14
RADIOLOGY,70371,TC,144,7623.92,6037.48
RADIOLOGY,70371,GLOBL,3441,334769.81,259377.5
RADIOLOGY,70373,TOTAL,4717,193222.17,151037.07
RADIOLOGY,70373,26,3013,62578.28,49002.64
RADIOLOGY,70373,TC,183,11387.45,9109.97
RADIOLOGY,70373,GLOBL,1521,119256.44,92924.46
RADIOLOGY,70380,TOTAL,173,5161.22,3970.86
RADIOLOGY,70380,26,63,652.58,478.13
RADIOLOGY,70380,TC,N/A,144.39,115.5
RADIOLOGY,70380,GLOBL,110,4364.25,3377.23
RADIOLOGY,70390,TOTAL,261,9069.56,6925.04
RADIOLOGY,70390,26,212,3830.65,3005.45
RADIOLOGY,70390,TC,N/A,176.78,141.42
RADIOLOGY,70390,GLOBL,49,5062.13,3778.17
RADIOLOGY,70450,TOTAL,5394766,236854552.8,181126933.43
RADIOLOGY,70450,26,5219318,206486649.19,158020865
RADIOLOGY,70450,TC,35600,4675539.8,3552455.38
RADIOLOGY,70450,GLOBL,139848,25692363.81,19553613.05
RADIOLOGY,70460,TOTAL,40272,3078433.13,2392541.14
RADIOLOGY,70460,26,32837,1671581.89,1296585.27
RADIOLOGY,70460,TC,2579,287455.08,223308.22
RADIOLOGY,70460,GLOBL,4856,1119396.16,872647.65
