Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 20000 - 29999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
20000,OTHER,MUSCULOSKELETAL,"3,525","$462,801","$350,847"
,TOTAL,,"3,525","$462,801","$350,847"
20005,SG,,56,"$21,673","$17,195"
,OTHER,,"2,689","$548,520","$431,291"
,TOTAL,,"2,745","$570,193","$448,486"
20100,AS,,1,$78,$63
,80'S,,18,"$1,603","$1,283"
,OTHER,,215,"$111,439","$88,258"
,TOTAL,,234,"$113,120","$89,604"
20101,80'S,,1,$15,$12
,OTHER,,98,"$14,467","$11,334"
,TOTAL,,99,"$14,482","$11,346"
20102,AS,,4,$98,$79
,80'S,,15,$468,$374
,OTHER,,408,"$84,979","$67,211"
,TOTAL,,427,"$85,545","$67,664"
20103,AS,,1,$43,$35
,80'S,,1,$26,$20
,OTHER,,"1,071","$294,149","$230,782"
,TOTAL,,"1,073","$294,218","$230,837"
20150,OTHER,,12,"$4,672","$3,730"
,TOTAL,,12,"$4,672","$3,730"
20200,SG,,55,"$21,201","$16,953"
,OTHER,,"1,360","$111,604","$85,896"
,TOTAL,,"1,415","$132,805","$102,848"
20205,SG,,130,"$62,188","$48,426"
,OTHER,,"3,434","$491,846","$385,541"
,TOTAL,,"3,564","$554,034","$433,967"
20206,SG,,19,"$4,747","$3,757"
,OTHER,,"6,277","$474,347","$372,148"
,TOTAL,,"6,296","$479,094","$375,905"
20220,SG,,34,"$9,854","$7,857"
,OTHER,,"8,442","$1,278,392","$1,013,659"
,TOTAL,,"8,476","$1,288,246","$1,021,516"
20225,SG,,30,"$10,997","$8,718"
,80'S,,2,$43,$34
,OTHER,,"12,630","$2,091,663","$1,660,196"
,TOTAL,,"12,662","$2,102,703","$1,668,948"
20240,SG,,38,"$13,849","$11,079"
,OTHER,,"1,316","$283,226","$223,162"
,TOTAL,,"1,354","$297,075","$234,242"
20245,SG,,33,"$14,070","$11,256"
,80'S,,1,$29,$23
,OTHER,,"1,630","$418,353","$331,253"
,TOTAL,,"1,664","$432,452","$342,532"
20250,AS,,2,$50,$40
,SG,,1,$504,$403
,80'S,,3,$89,$71
,OTHER,,263,"$67,207","$53,441"
,TOTAL,,269,"$67,850","$53,956"
20251,AS,,43,"$1,847","$1,437"
,80'S,,38,"$1,683","$1,346"
,OTHER,,437,"$136,432","$108,689"
,TOTAL,,518,"$139,962","$111,473"
20500,OTHER,,"1,083","$132,833","$102,583"
,TOTAL,,"1,083","$132,833","$102,583"
20501,OTHER,,"9,449","$399,894","$314,908"
,TOTAL,,"9,449","$399,894","$314,908"
20520,OTHER,,"2,657","$451,145","$341,834"
,TOTAL,,"2,657","$451,145","$341,834"
20525,SG,,166,"$75,581","$59,474"
,OTHER,,"1,780","$445,165","$349,692"
,TOTAL,,"1,946","$520,746","$409,165"
20550,SG,,2,"$1,380","$1,104"
,OTHER,,"1,261,158","$90,417,686","$69,079,852"
,TOTAL,,"1,261,160","$90,419,066","$69,080,956"
20600,OTHER,,"355,210","$22,941,470","$17,276,651"
,TOTAL,,"355,210","$22,941,470","$17,276,651"
20605,OTHER,,"437,942","$31,229,830","$23,482,032"
,TOTAL,,"437,942","$31,229,830","$23,482,032"
20610,80'S,,1,$10,$8
,OTHER,,"3,085,336","$270,559,017","$206,388,744"
,TOTAL,,"3,085,337","$270,559,026","$206,388,751"
20615,OTHER,,"1,354","$225,543","$175,704"
,TOTAL,,"1,354","$225,543","$175,704"
20650,SG,,263,"$82,269","$65,617"
,80'S,,2,$40,$32
,OTHER,,"3,192","$377,640","$297,850"
,TOTAL,,"3,457","$459,949","$363,498"
20660,AS,,2,$44,$35
,SG,,33,"$11,030","$8,824"
,80'S,,1,$27,$22
,OTHER,,"2,693","$431,991","$342,182"
,TOTAL,,"2,729","$443,092","$351,063"
20661,80'S,,1,$34,$27
,OTHER,,"1,351","$481,261","$379,074"
,TOTAL,,"1,352","$481,295","$379,101"
20662,OTHER,,9,"$1,898","$1,519"
,TOTAL,,9,"$1,898","$1,519"
20664,OTHER,,32,"$17,503","$13,922"
,TOTAL,,32,"$17,503","$13,922"
20665,SG,,1,$375,$300
,80'S,,1,$19,$15
,OTHER,,145,"$14,530","$11,407"
,TOTAL,,147,"$14,924","$11,723"
20670,SG,,616,"$166,931","$131,127"
