Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 50010 - 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,43,"$40,781","$32,625"
50545,80'S,,351,"$73,746","$58,864"
,OTHER,,832,"$1,064,370","$844,753"
,TOTAL,,"1,183","$1,138,116","$903,617"
50546,80'S,,224,"$40,145","$31,804"
,OTHER,,693,"$750,673","$590,254"
,TOTAL,,917,"$790,818","$622,058"
50547,80'S,,262,"$67,581","$57,037"
,OTHER,,"1,290","$1,792,759","$1,723,267"
,TOTAL,,"1,552","$1,860,340","$1,780,303"
50548,80'S,,91,"$19,643","$15,622"
,OTHER,,245,"$315,702","$252,203"
,TOTAL,,336,"$335,345","$267,825"
50549,80'S,,20,"$3,145","$2,503"
,OTHER,,162,"$186,041","$146,943"
,TOTAL,,182,"$189,186","$149,446"
50551,SG,,1,$310,$248
,OTHER,,155,"$43,926","$35,060"
,TOTAL,,156,"$44,235","$35,308"
50553,OTHER,,292,"$87,718","$69,120"
,TOTAL,,292,"$87,718","$69,120"
50555,OTHER,,64,"$21,568","$17,116"
,TOTAL,,64,"$21,568","$17,116"
50557,SG,,1,$316,$253
,80'S,,2,$117,$94
,OTHER,,85,"$29,994","$23,995"
,TOTAL,,88,"$30,427","$24,342"
50559,OTHER,,11,"$2,666","$2,133"
,TOTAL,,11,"$2,666","$2,133"
50561,SG,,2,$458,$366
,80'S,,4,$241,$193
,OTHER,,313,"$125,256","$99,170"
,TOTAL,,319,"$125,955","$99,730"
50570,80'S,,2,$73,$58
,OTHER,,50,"$19,609","$15,524"
,TOTAL,,52,"$19,682","$15,582"
50572,80'S,,1,$48,$38
,OTHER,,53,"$34,107","$27,285"
,TOTAL,,54,"$34,154","$27,324"
50574,OTHER,,12,"$5,130","$4,104"
,TOTAL,,12,"$5,130","$4,104"
50575,OTHER,,302,"$224,555","$178,453"
,TOTAL,,302,"$224,555","$178,453"
50576,SG,,1,$308,$246
,OTHER,,32,"$18,362","$14,254"
,TOTAL,,33,"$18,669","$14,501"
50578,OTHER,,3,"$1,793","$1,435"
,TOTAL,,3,"$1,793","$1,435"
50580,OTHER,,75,"$41,016","$32,581"
,TOTAL,,75,"$41,016","$32,581"
50590,SG,,2,"$1,011",$809
,OTHER,,"41,256","$24,697,626","$19,518,927"
,TOTAL,,"41,258","$24,698,637","$19,519,736"
50600,80'S,,13,"$1,579","$1,231"
,OTHER,,123,"$97,711","$77,832"
,TOTAL,,136,"$99,290","$79,063"
50605,80'S,,128,"$12,639","$10,054"
,OTHER,,665,"$391,884","$309,026"
,TOTAL,,793,"$404,523","$319,080"
50610,80'S,,38,"$5,693","$4,555"
,OTHER,,143,"$104,509","$83,256"
,TOTAL,,181,"$110,202","$87,810"
50620,80'S,,27,"$3,867","$3,094"
,OTHER,,68,"$57,686","$45,853"
,TOTAL,,95,"$61,553","$48,947"
50630,80'S,,52,"$7,478","$5,697"
,OTHER,,134,"$106,153","$84,136"
,TOTAL,,186,"$113,632","$89,832"
50650,80'S,,209,"$26,928","$21,435"
,OTHER,,480,"$369,933","$295,671"
,TOTAL,,689,"$396,861","$317,105"
50660,80'S,,21,"$3,235","$2,588"
,OTHER,,49,"$46,921","$37,537"
,TOTAL,,70,"$50,156","$40,125"
50684,SG,,181,"$29,047","$23,238"
,OTHER,,"1,846","$69,475","$55,149"
,TOTAL,,"2,027","$98,521","$78,387"
50686,OTHER,,25,"$1,917","$1,428"
,TOTAL,,25,"$1,917","$1,428"
50688,SG,,8,"$2,288","$1,830"
,OTHER,,"1,147","$100,197","$78,832"
,TOTAL,,"1,155","$102,484","$80,662"
50690,SG,,17,"$4,832","$3,829"
,OTHER,,"3,214","$371,185","$292,202"
,TOTAL,,"3,231","$376,017","$296,031"
50700,80'S,,17,"$2,341","$1,873"
,OTHER,,167,"$145,822","$115,901"
,TOTAL,,184,"$148,163","$117,774"
50715,80'S,,579,"$103,705","$82,706"
,OTHER,,"1,949","$2,230,300","$1,775,264"
,TOTAL,,"2,528","$2,334,006","$1,857,971"
50722,80'S,,5,$682,$546
,OTHER,,22,"$17,463","$13,751"
,TOTAL,,27,"$18,145","$14,297"
50725,80'S,,1,$103,$82
,OTHER,,15,"$14,025","$10,777"
,TOTAL,,16,"$14,128","$10,859"
50727,80'S,,40,"$3,149","$2,463"
,OTHER,,178,"$86,993","$67,715"
,TOTAL,,218,"$90,143","$70,178"
50728,80'S,,13,"$1,243",$994
,OTHER,,73,"$50,159","$39,060"
,TOTAL,,86,"$51,401","$40,055"
50740,80'S,,13,"$2,381","$1,905"
,OTHER,,64,"$60,795","$48,636"
,TOTAL,,77,"$63,176","$50,541"
50750,80'S,,1,$195,$156
,OTHER,,6,"$5,724","$4,579"
,TOTAL,,7,"$5,919","$4,735"
50760,80'S,,103,"$16,317","$13,054"
,OTHER,,421,"$425,520","$338,891"
,TOTAL,,524,"$441,837","$351,944"
50770,80'S,,10,"$1,685","$1,348"
,OTHER,,38,"$38,454","$30,763"
,TOTAL,,48,"$40,138","$32,111"
50780,80'S,,233,"$40,290","$31,631"
,OTHER,,935,"$1,006,608","$793,341"
,TOTAL,,"1,168","$1,046,898","$824,972"
50782,80'S,,2,$310,$248
,OTHER,,28,"$11,101","$8,861"
,TOTAL,,30,"$11,411","$9,109"
50783,80'S,,5,"$1,140",$912
,OTHER,,20,"$21,279","$17,023"
,TOTAL,,25,"$22,419","$17,935"
50785,80'S,,133,"$26,369","$20,845"
,OTHER,,340,"$390,921","$308,987"
,TOTAL,,473,"$417,290","$329,833"
50800,80'S,,33,"$4,749","$3,799"
,OTHER,,130,"$115,593","$91,810"
,TOTAL,,163,"$120,342","$95,609"
50810,80'S,,2,$468,$374
,OTHER,,26,"$28,494","$22,793"
,TOTAL,,28,"$28,962","$23,168"
50815,80'S,,20,"$4,205","$3,364"
,OTHER,,55,"$67,916","$54,333"
,TOTAL,,75,"$72,121","$57,697"
50820,80'S,,348,"$76,093","$60,556"
,OTHER,,950,"$1,255,724","$999,989"
,TOTAL,,"1,298","$1,331,817","$1,060,545"
50825,80'S,,45,"$11,338","$9,003"
,OTHER,,182,"$310,818","$246,745"
,TOTAL,,227,"$322,156","$255,748"
50830,80'S,,21,"$6,609","$5,287"
,OTHER,,70,"$125,668","$100,535"
,TOTAL,,91,"$132,278","$105,822"
50840,80'S,,3,$397,$318
,OTHER,,28,"$32,413","$25,930"
,TOTAL,,31,"$32,810","$26,248"
50845,80'S,,21,"$3,324","$2,398"
,OTHER,,64,"$60,399","$46,234"
,TOTAL,,85,"$63,724","$48,632"
50860,80'S,,14,"$1,990","$1,592"
,OTHER,,48,"$41,283","$33,027"
,TOTAL,,62,"$43,273","$34,618"
50900,80'S,,17,"$1,768","$1,414"
,OTHER,,124,"$83,094","$65,688"
,TOTAL,,141,"$84,862","$67,102"
50920,80'S,,1,$140,$112
,OTHER,,12,"$9,786","$7,829"
,TOTAL,,13,"$9,927","$7,941"
50930,80'S,,6,$937,$750
,OTHER,,14,"$12,502","$10,001"
,TOTAL,,20,"$13,439","$10,751"
50940,80'S,,2,$297,$238
,OTHER,,11,"$8,541","$6,833"
,TOTAL,,13,"$8,838","$7,071"
50945,80'S,,4,$603,$381
,OTHER,,21,"$18,751","$14,361"
,TOTAL,,25,"$19,354","$14,742"
50947,OTHER,,9,"$13,351","$10,681"
,TOTAL,,9,"$13,351","$10,681"
50948,80'S,,2,$440,$352
,OTHER,,5,"$6,809","$5,447"
,TOTAL,,7,"$7,249","$5,799"
50949,OTHER,,16,"$11,365","$9,092"
,TOTAL,,16,"$11,365","$9,092"
50951,SG,,79,"$14,011","$11,195"
,OTHER,,221,"$54,464","$43,132"
,TOTAL,,300,"$68,475","$54,327"
50953,SG,,8,"$1,930","$1,544"
,OTHER,,146,"$42,667","$34,010"
