Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Range 90281 - 99199 ,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
91030,TOTAL,,199,"$9,539","$7,319"
91032,TOTAL,,"1,578","$114,646","$89,277"
91033,TOTAL,,"10,643","$949,361","$734,070"
91052,TOTAL,,351,"$18,211","$14,425"
91055,TOTAL,,277,"$15,029","$11,986"
91060,TOTAL,,24,$769,$519
91065,TOTAL,,"4,457","$92,180","$70,016"
91100,TOTAL,,390,"$25,351","$19,982"
91105,TOTAL,,"21,640","$548,960","$433,462"
91122,TOTAL,,"12,175","$1,478,334","$1,160,926"
91132,TOTAL,,11,"$1,099",$828
91133,TOTAL,,82,"$7,840","$6,170"
91299,TOTAL,,46,"$3,679","$2,943"
92002,TOTAL,,"306,965","$18,835,801","$11,889,027"
92004,TOTAL,,"1,859,021","$195,903,518","$131,060,008"
92012,TOTAL,,"6,093,097","$359,418,935","$247,173,268"
92014,TOTAL,,"7,873,133","$651,166,195","$431,098,600"
92015,TOTAL,,54,$512,$346
92018,TOTAL,,"1,598","$113,082","$84,927"
92019,TOTAL,,"1,492","$99,738","$71,057"
92020,TOTAL,,"619,039","$23,296,206","$17,589,755"
92060,TOTAL,,"50,469","$3,425,888","$2,650,771"
92065,TOTAL,,"11,481","$440,716","$344,368"
92070,TOTAL,,"19,662","$1,242,166","$955,895"
92081,TOTAL,,"92,791","$4,503,489","$3,382,723"
92082,TOTAL,,"162,181","$8,421,747","$6,235,106"
92083,TOTAL,,"2,019,651","$122,726,156","$89,749,528"
92100,TOTAL,,"46,416","$2,447,076","$1,824,895"
92120,TOTAL,,"21,539","$1,170,101","$879,658"
92130,TOTAL,,661,"$42,968","$33,512"
92135,TOTAL,,"964,918","$62,773,920","$48,241,048"
92140,TOTAL,,"15,286","$757,402","$581,760"
92225,TOTAL,,"716,333","$54,913,516","$42,845,510"
92226,TOTAL,,"1,246,767","$109,743,948","$85,325,763"
92230,TOTAL,,"1,420","$115,258","$90,151"
92235,TOTAL,,"982,620","$135,374,343","$106,107,042"
92240,TOTAL,,"27,825","$4,387,152","$3,472,314"
92250,TOTAL,,"1,190,274","$77,795,448","$60,478,001"
92260,TOTAL,,"3,400","$74,033","$56,984"
92265,TOTAL,,291,"$21,284","$16,824"
92270,TOTAL,,"4,515","$268,675","$210,672"
92275,TOTAL,,"2,768","$197,345","$152,644"
92283,TOTAL,,"4,985","$133,688","$102,345"
92284,TOTAL,,"2,409","$158,167","$121,105"
92285,TOTAL,,"100,159","$5,764,487","$4,448,452"
92286,TOTAL,,"62,980","$5,845,281","$4,572,011"
92287,TOTAL,,560,"$39,135","$30,401"
92311,TOTAL,,"2,180","$156,898","$116,736"
92312,TOTAL,,711,"$56,384","$42,295"
92313,TOTAL,,206,"$13,797","$10,300"
92315,TOTAL,,363,"$14,898","$10,908"
92316,TOTAL,,151,"$6,394","$4,655"
92317,TOTAL,,62,"$2,727","$2,041"
92325,TOTAL,,593,"$8,340","$5,505"
92326,TOTAL,,"1,323","$78,203","$56,188"
92330,TOTAL,,52,"$3,748","$2,414"
92335,TOTAL,,55,"$2,675","$2,020"
92499,TOTAL,,"96,260","$5,735,831","$4,521,724"
92502,TOTAL,,478,"$49,552","$38,403"
92504,TOTAL,,"111,947","$4,229,724","$3,177,899"
92506,TOTAL,,"12,373","$916,475","$706,707"
92507,TOTAL,,"18,881","$1,098,595","$854,752"
92508,TOTAL,,909,"$22,922","$17,884"
92510,TOTAL,,"4,560","$552,523","$418,233"
92511,TOTAL,,"36,488","$2,695,553","$2,035,453"
92512,TOTAL,,"1,927","$112,338","$87,809"
92516,TOTAL,,501,"$19,173","$14,735"
92520,TOTAL,,"2,190","$112,658","$89,440"
92525,TOTAL,,"1,423","$148,859","$116,128"
92526,TOTAL,,"14,274","$940,333","$748,180"
92541,TOTAL,,"66,685","$2,244,941","$1,740,644"
92542,TOTAL,,"69,308","$2,071,044","$1,617,340"
92543,TOTAL,,"170,338","$1,837,486","$1,446,011"
