Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 65091 - 68899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
65772,OTHER,,"4,444","$1,308,620","$1,025,854"
,TOTAL,,"4,444","$1,308,620","$1,025,854"
65775,OTHER,,121,"$54,540","$43,043"
,TOTAL,,121,"$54,540","$43,043"
65800,SG,,101,"$26,536","$21,149"
,OTHER,,"1,348","$137,843","$108,905"
,TOTAL,,"1,449","$164,379","$130,053"
65805,SG,,74,"$21,770","$17,214"
,80'S,,4,$41,$33
,OTHER,,"4,931","$467,308","$368,593"
,TOTAL,,"5,009","$489,119","$385,840"
65810,SG,,217,"$67,585","$53,942"
,80'S,,2,$116,$93
,OTHER,,873,"$224,981","$179,266"
,TOTAL,,"1,092","$292,683","$233,302"
65815,SG,,81,"$28,098","$22,382"
,OTHER,,468,"$134,772","$106,643"
,TOTAL,,549,"$162,870","$129,025"
65820,OTHER,,170,"$105,553","$83,751"
,TOTAL,,170,"$105,553","$83,751"
65850,SG,,399,"$177,370","$141,315"
,OTHER,,657,"$497,344","$395,494"
,TOTAL,,"1,056","$674,715","$536,809"
65855,SG,,2,$680,$544
,80'S,,1,$50,$40
,OTHER,,"77,439","$27,815,217","$21,829,562"
,TOTAL,,"77,442","$27,815,947","$21,830,146"
65860,SG,,8,"$2,415","$1,932"
,80'S,,1,$23,$19
,OTHER,,"1,702","$408,151","$320,040"
,TOTAL,,"1,711","$410,589","$321,990"
65865,SG,,185,"$39,451","$31,401"
,80'S,,1,$40,$32
,OTHER,,"1,628","$440,915","$351,119"
,TOTAL,,"1,814","$480,407","$382,552"
65870,SG,,199,"$76,697","$61,198"
,80'S,,2,$83,$66
,OTHER,,"1,419","$477,485","$379,391"
,TOTAL,,"1,620","$554,265","$440,655"
65875,SG,,"1,329","$455,670","$363,163"
,80'S,,9,$400,$285
,OTHER,,"5,551","$1,570,822","$1,251,569"
,TOTAL,,"6,889","$2,026,892","$1,615,017"
65880,SG,,38,"$19,619","$15,616"
,OTHER,,216,"$83,542","$66,627"
,TOTAL,,254,"$103,161","$82,242"
65900,SG,,10,"$5,218","$4,172"
,80'S,,5,$487,$389
,OTHER,,65,"$37,228","$29,392"
,TOTAL,,80,"$42,933","$33,953"
65920,SG,,251,"$223,677","$176,530"
,80'S,,4,$224,$179
,OTHER,,"1,224","$577,268","$458,166"
,TOTAL,,"1,479","$801,168","$634,875"
65930,SG,,67,"$38,717","$30,560"
,80'S,,6,$332,$266
,OTHER,,384,"$157,607","$124,316"
,TOTAL,,457,"$196,656","$155,141"
66020,SG,,172,"$35,054","$27,442"
,OTHER,,"1,325","$132,701","$104,221"
,TOTAL,,"1,497","$167,754","$131,663"
66030,SG,,104,"$19,567","$14,953"
,OTHER,,681,"$52,197","$41,043"
,TOTAL,,785,"$71,764","$55,996"
66130,SG,,32,"$29,637","$23,710"
,OTHER,,158,"$73,694","$58,204"
,TOTAL,,190,"$103,331","$81,913"
66150,SG,,21,"$10,500","$8,400"
,OTHER,,99,"$49,107","$38,954"
,TOTAL,,120,"$59,608","$47,354"
66155,SG,,246,"$144,088","$115,031"
,OTHER,,119,"$58,839","$46,615"
,TOTAL,,365,"$202,928","$161,647"
66160,SG,,60,"$18,424","$14,739"
,80'S,,19,"$1,377","$1,102"
,OTHER,,396,"$285,160","$226,618"
,TOTAL,,475,"$304,961","$242,459"
66165,OTHER,,16,"$6,158","$4,926"
,TOTAL,,16,"$6,158","$4,926"
66170,SG,,"9,898","$4,119,888","$3,277,829"
,80'S,,"1,725","$266,546","$211,856"
,OTHER,,"32,083","$26,768,755","$21,280,162"
,TOTAL,,"43,706","$31,155,188","$24,769,846"
66172,SG,,"2,492","$1,200,835","$955,542"
,80'S,,739,"$129,511","$102,698"
,OTHER,,"11,766","$11,849,497","$9,412,708"
,TOTAL,,"14,997","$13,179,843","$10,470,949"
66180,SG,,893,"$572,772","$455,433"
,80'S,,380,"$69,950","$55,646"
,OTHER,,"4,889","$4,966,049","$3,937,629"
,TOTAL,,"6,162","$5,608,771","$4,448,709"
66185,SG,,110,"$39,930","$31,944"
,80'S,,44,"$4,048","$3,146"
,OTHER,,773,"$381,283","$302,661"
,TOTAL,,927,"$425,261","$337,751"
66220,SG,,1,$518,$415
,80'S,,1,$93,$75
,OTHER,,28,"$11,811","$9,249"
,TOTAL,,30,"$12,423","$9,738"
66225,SG,,43,"$16,746","$13,317"
,80'S,,25,"$2,096","$1,645"
,OTHER,,449,"$234,760","$185,372"
,TOTAL,,517,"$253,602","$200,334"
66250,SG,,"1,826","$739,954","$588,256"
,80'S,,6,$257,$205
,OTHER,,"9,640","$3,790,305","$2,999,132"
,TOTAL,,"11,472","$4,530,516","$3,587,593"
66500,SG,,15,"$3,627","$2,901"
,OTHER,,109,"$24,325","$19,155"
,TOTAL,,124,"$27,951","$22,056"
66505,SG,,11,"$2,944","$2,355"
,OTHER,,19,"$3,454","$2,763"
,TOTAL,,30,"$6,398","$5,119"
66600,SG,,16,"$5,219","$4,175"
,OTHER,,94,"$46,999","$37,288"
,TOTAL,,110,"$52,218","$41,464"
66605,SG,,3,$951,$761
,OTHER,,30,"$22,950","$17,586"
,TOTAL,,33,"$23,901","$18,347"
66625,SG,,460,"$183,489","$144,704"
,80'S,,4,$157,$126
,OTHER,,"1,905","$718,735","$567,531"
,TOTAL,,"2,369","$902,380","$712,360"
66630,SG,,21,"$7,527","$6,022"
,80'S,,1,$97,
,OTHER,,209,"$73,486","$57,692"
,TOTAL,,231,"$81,111","$63,714"
66635,SG,,139,"$42,892","$34,313"
,OTHER,,865,"$245,356","$195,071"
,TOTAL,,"1,004","$288,247","$229,384"
66680,SG,,161,"$64,612","$51,530"
,80'S,,4,$146,$93
,OTHER,,714,"$220,652","$173,556"
,TOTAL,,879,"$285,410","$225,179"
66682,SG,,243,"$73,942","$58,637"
,OTHER,,"1,194","$378,112","$300,875"
,TOTAL,,"1,437","$452,055","$359,512"
66700,SG,,20,"$4,591","$3,673"
,80'S,,1,$33,$27
,OTHER,,111,"$31,872","$25,192"
,TOTAL,,132,"$36,497","$28,891"
66710,SG,,"1,328","$391,690","$311,244"
,80'S,,1,$36,$29
,OTHER,,"4,225","$1,406,720","$1,110,881"
,TOTAL,,"5,554","$1,798,447","$1,422,155"
66720,SG,,132,"$48,706","$38,300"
,80'S,,1,$36,$29
,OTHER,,"1,093","$355,171","$278,883"
,TOTAL,,"1,226","$403,913","$317,212"
66740,SG,,98,"$24,543","$19,635"
,OTHER,,289,"$67,215","$53,269"
,TOTAL,,387,"$91,758","$72,904"
66761,SG,,2,$611,$489
,OTHER,,"64,933","$20,240,272","$15,894,325"
,TOTAL,,"64,935","$20,240,883","$15,894,813"
66762,SG,,4,$956,$765
,OTHER,,"2,990","$942,661","$741,501"
,TOTAL,,"2,994","$943,617","$742,266"
66770,OTHER,,227,"$81,966","$64,274"
,TOTAL,,227,"$81,966","$64,274"
66820,80'S,,1,$31,$25
,OTHER,,"1,001","$296,805","$234,677"
,TOTAL,,"1,002","$296,836","$234,702"
66821,SG,,"170,399","$71,374,615","$56,472,286"
,80'S,,1,$27,$22
,OTHER,,"674,739","$131,645,122","$102,037,302"
,TOTAL,,"845,139","$203,019,764","$158,509,610"
66825,80'S,,57,"$3,805","$3,044"
,OTHER,,"3,606","$1,770,750","$1,404,091"
,TOTAL,,"3,663","$1,774,555","$1,407,135"
66830,SG,,125,"$51,909","$41,246"
,80'S,,4,$236,$189
,OTHER,,"1,654","$671,961","$529,962"
,TOTAL,,"1,783","$724,106","$571,397"
66840,SG,,343,"$193,644","$154,754"
,80'S,,2,$105,$84
,OTHER,,"1,423","$607,694","$483,321"
,TOTAL,,"1,768","$801,443","$638,159"
66850,SG,,696,"$657,363","$525,471"
,80'S,,39,"$2,475","$1,980"
,OTHER,,"3,859","$2,060,237","$1,637,794"
,TOTAL,,"4,594","$2,720,074","$2,165,245"
66852,SG,,221,"$101,464","$81,043"
,80'S,,12,"$1,911","$1,529"
,OTHER,,"1,979","$1,018,207","$812,469"
,TOTAL,,"2,212","$1,121,581","$895,041"
66920,SG,,31,"$18,195","$14,556"
,OTHER,,176,"$92,638","$73,744"
,TOTAL,,207,"$110,833","$88,300"
66930,SG,,54,"$64,873","$51,819"
,OTHER,,263,"$142,334","$112,730"
,TOTAL,,317,"$207,207","$164,549"
66940,SG,,231,"$147,306","$117,100"
,80'S,,1,$115,$92
,OTHER,,"1,134","$683,846","$542,820"
,TOTAL,,"1,366","$831,268","$660,012"
66983,SG,,403,"$367,433","$291,717"
,OTHER,,"1,853","$840,400","$664,205"
,TOTAL,,"2,256","$1,207,833","$955,923"
66984,SG,,"626,712","$579,706,859","$461,020,929"
,80'S,,15,"$1,736","$1,384"
,OTHER,,"2,085,378","$1,300,620,895","$1,032,259,638"
,TOTAL,,"2,712,105","$1,880,329,489","$1,493,281,951"
66985,SG,,"2,977","$2,291,648","$1,819,611"
,80'S,,4,$342,$274
,OTHER,,"10,324","$5,320,238","$4,220,415"
,TOTAL,,"13,305","$7,612,227","$6,040,300"
66986,SG,,"2,228","$1,545,779","$1,230,609"
,80'S,,11,"$1,160",$805
,OTHER,,"7,225","$4,679,960","$3,714,295"
,TOTAL,,"9,464","$6,226,899","$4,945,709"
66999,SG,,27,"$14,729","$11,784"
,80'S,,8,"$1,494","$1,195"
,OTHER,,"5,284","$707,329","$561,302"
,TOTAL,,"5,319","$723,552","$574,280"
67005,SG,,486,"$186,231","$148,180"
,OTHER,,"1,871","$445,336","$354,851"
,TOTAL,,"2,357","$631,568","$503,031"
67010,SG,,"1,370","$509,080","$406,160"
,80'S,,207,"$14,733","$11,521"
,OTHER,,"5,195","$1,444,249","$1,149,796"
,TOTAL,,"6,772","$1,968,063","$1,567,477"
67015,SG,,221,"$56,650","$44,609"
,80'S,,2,$140,$112
,OTHER,,"2,061","$914,993","$729,121"
,TOTAL,,"2,284","$971,783","$773,842"
67025,SG,,211,"$39,397","$30,842"
,80'S,,3,$233,$186
,OTHER,,"1,952","$853,371","$676,629"
,TOTAL,,"2,166","$893,000","$707,656"
67027,80'S,,34,"$3,751","$3,001"
,OTHER,,286,"$207,707","$164,739"
,TOTAL,,320,"$211,458","$167,740"
67028,SG,,4,"$1,193",$955
,80'S,,1,$16,$12
,OTHER,,"2,922","$636,299","$503,165"
,TOTAL,,"2,927","$637,508","$504,132"
67030,SG,,14,"$3,489","$2,711"
,80'S,,5,$221,$177
,OTHER,,319,"$100,270","$79,573"
,TOTAL,,338,"$103,980","$82,461"
67031,SG,,550,"$231,804","$183,247"
,80'S,,1,$29,$23
,OTHER,,"3,927","$1,054,208","$827,639"
,TOTAL,,"4,478","$1,286,041","$1,010,910"
67036,SG,,"1,878","$878,673","$698,565"
,80'S,,"1,706","$242,825","$192,576"
,OTHER,,"12,902","$10,348,308","$8,223,570"
,TOTAL,,"16,486","$11,469,806","$9,114,711"
67038,SG,,"3,908","$2,092,258","$1,658,352"
,80'S,,"5,845","$1,380,511","$1,097,297"
,OTHER,,"40,371","$54,167,913","$42,933,424"
,TOTAL,,"50,124","$57,640,683","$45,689,072"
67039,SG,,688,"$614,328","$486,782"
,80'S,,298,"$39,692","$31,461"
,OTHER,,"2,568","$1,985,003","$1,580,558"
,TOTAL,,"3,554","$2,639,023","$2,098,802"
67040,SG,,"1,668","$1,525,560","$1,202,053"
,80'S,,"2,079","$326,067","$259,286"
,OTHER,,"15,198","$13,868,110","$10,981,867"
,TOTAL,,"18,945","$15,719,737","$12,443,205"
67101,80'S,,2,$104,$83
