Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 60000 - 64999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
60000,SG,ENDOCRINE,2,$659.51 ,$527.61 
,OTHER,,16,"$1,561.60 ","$1,202.17 "
,TOTAL,,18,"$2,221.11 ","$1,729.78 "
60001,OTHER,,"2,272","$137,574.83 ","$105,531.49 "
,TOTAL,,"2,272","$137,574.83 ","$105,531.49 "
60100,OTHER,,"21,484","$1,958,893.78 ","$1,533,338.08 "
,TOTAL,,"21,484","$1,958,893.78 ","$1,533,338.08 "
60200,SG,,23,"$9,542.01 ","$7,633.60 "
,80'S,,151,"$10,597.95 ","$8,403.59 "
,OTHER,,"1,985","$1,041,841.05 ","$830,497.69 "
,TOTAL,,"2,159","$1,061,981.01 ","$846,534.88 "
60210,80'S,,468,"$44,948.31 ","$35,698.90 "
,OTHER,,"1,742","$976,067.88 ","$774,213.58 "
,TOTAL,,"2,210","$1,021,016.19 ","$809,912.48 "
60212,80'S,,55,"$8,167.83 ","$6,534.25 "
,OTHER,,273,"$238,265.76 ","$190,180.64 "
,TOTAL,,328,"$246,433.59 ","$196,714.89 "
60220,80'S,,"2,334","$263,786.04 ","$207,233.95 "
,OTHER,,"8,757","$5,829,224.12 ","$4,584,273.72 "
,TOTAL,,"11,091","$6,093,010.16 ","$4,791,507.67 "
60225,80'S,,314,"$43,091.07 ","$33,805.62 "
,OTHER,,"1,201","$987,298.92 ","$782,905.90 "
,TOTAL,,"1,515","$1,030,389.99 ","$816,711.52 "
60240,80'S,,"1,839","$274,948.43 ","$217,502.88 "
,OTHER,,"6,811","$6,085,823.78 ","$4,795,132.09 "
,TOTAL,,"8,650","$6,360,772.21 ","$5,012,634.97 "
60252,80'S,,222,"$44,117.87 ","$35,028.98 "
,OTHER,,968,"$1,148,489.57 ","$907,272.46 "
,TOTAL,,"1,190","$1,192,607.44 ","$942,301.44 "
60254,80'S,,58,"$15,252.14 ","$12,184.09 "
,OTHER,,240,"$379,991.13 ","$303,896.67 "
,TOTAL,,298,"$395,243.27 ","$316,080.76 "
60260,80'S,,266,"$44,578.43 ","$35,490.45 "
,OTHER,,"1,134","$1,121,158.10 ","$882,537.96 "
,TOTAL,,"1,400","$1,165,736.53 ","$918,028.41 "
60270,80'S,,73,"$14,691.15 ","$11,499.32 "
,OTHER,,287,"$301,313.75 ","$236,928.80 "
,TOTAL,,360,"$316,004.90 ","$248,428.12 "
60271,80'S,,271,"$42,518.17 ","$33,665.76 "
,OTHER,,"1,213","$1,170,442.99 ","$925,521.97 "
,TOTAL,,"1,484","$1,212,961.16 ","$959,187.73 "
60280,SG,,37,"$22,758.02 ","$18,025.26 "
,80'S,,53,"$3,256.28 ","$2,499.64 "
,OTHER,,401,"$154,122.00 ","$120,793.62 "
,TOTAL,,491,"$180,136.30 ","$141,318.52 "
60281,SG,,2,"$1,218.26 ",$974.60 
,80'S,,1,$100.52 ,$80.42 
,OTHER,,12,"$5,596.90 ","$4,477.53 "
,TOTAL,,15,"$6,915.68 ","$5,532.55 "
60500,80'S,,"2,772","$420,820.06 ","$333,419.46 "
,OTHER,,"12,462","$11,407,800.12 ","$9,029,743.21 "
,TOTAL,,"15,234","$11,828,620.18 ","$9,363,162.67 "
60502,80'S,,86,"$16,527.89 ","$13,139.76 "
,OTHER,,516,"$599,804.48 ","$471,706.57 "
,TOTAL,,602,"$616,332.37 ","$484,846.33 "
60505,80'S,,32,"$6,798.13 ","$5,438.52 "
,OTHER,,145,"$174,104.27 ","$136,807.81 "
,TOTAL,,177,"$180,902.40 ","$142,246.33 "
60512,80'S,,194,"$7,673.41 ","$6,109.40 "
,OTHER,,"1,450","$350,325.08 ","$276,711.19 "
,TOTAL,,"1,644","$357,998.49 ","$282,820.59 "
60520,80'S,,32,"$4,720.82 ","$3,776.62 "
,OTHER,,239,"$218,272.85 ","$174,348.89 "
,TOTAL,,271,"$222,993.67 ","$178,125.51 "
60521,80'S,,71,"$10,809.96 ","$8,548.50 "
,OTHER,,358,"$306,259.47 ","$242,534.66 "
,TOTAL,,429,"$317,069.43 ","$251,083.16 "
60522,80'S,,27,"$5,371.65 ","$4,297.32 "
,OTHER,,175,"$202,897.19 ","$161,092.17 "
,TOTAL,,202,"$208,268.84 ","$165,389.49 "
60540,80'S,,281,"$37,474.76 ","$29,251.26 "
,OTHER,,741,"$598,148.89 ","$474,893.32 "
,TOTAL,,"1,022","$635,623.65 ","$504,144.58 "
60545,80'S,,74,"$11,925.97 ","$9,345.08 "
,OTHER,,186,"$172,721.32 ","$135,763.42 "
,TOTAL,,260,"$184,647.29 ","$145,108.50 "
60600,80'S,,39,"$7,125.48 ","$5,612.39 "
,OTHER,,147,"$148,314.25 ","$116,916.39 "
,TOTAL,,186,"$155,439.73 ","$122,528.78 "
60605,80'S,,8,"$1,664.19 ","$1,331.36 "
,OTHER,,33,"$38,335.64 ","$30,668.49 "
,TOTAL,,41,"$39,999.83 ","$31,999.85 "
60650,80'S,,256,"$45,164.92 ","$35,659.14 "
,OTHER,,797,"$854,982.67 ","$681,221.68 "
,TOTAL,,"1,053","$900,147.59 ","$716,880.82 "
60659,OTHER,,9,"$4,362.37 ","$3,489.89 "
,TOTAL,,9,"$4,362.37 ","$3,489.89 "
60699,80'S,,7,$712.96 ,$570.36 
,OTHER,,142,"$59,624.61 ","$46,916.97 "
,TOTAL,,149,"$60,337.57 ","$47,487.33 "
61000,OTHER,,55,"$1,894.32 ","$1,364.49 "
,TOTAL,,55,"$1,894.32 ","$1,364.49 "
61001,OTHER,,11,$367.38 ,$267.80 
,TOTAL,,11,$367.38 ,$267.80 
61020,OTHER,,475,"$51,314.84 ","$40,717.08 "
,TOTAL,,475,"$51,314.84 ","$40,717.08 "
61026,OTHER,,579,"$65,908.45 ","$52,188.74 "
,TOTAL,,579,"$65,908.45 ","$52,188.74 "
61050,OTHER,,205,"$22,642.00 ","$17,492.17 "
,TOTAL,,205,"$22,642.00 ","$17,492.17 "
61055,SG,,40,"$12,465.25 ","$9,962.66 "
,OTHER,,"1,986","$268,359.18 ","$209,471.56 "
,TOTAL,,"2,026","$280,824.43 ","$219,434.22 "
61070,SG,,16,"$5,514.50 ","$4,257.30 "
,80'S,,1,$7.36 ,$5.89 
,OTHER,,"2,814","$209,245.75 ","$163,358.05 "
,TOTAL,,"2,831","$214,767.61 ","$167,621.24 "
61105,OTHER,,134,"$41,436.12 ","$32,995.53 "
,TOTAL,,134,"$41,436.12 ","$32,995.53 "
61107,OTHER,,"3,393","$1,108,940.34 ","$879,609.27 "
,TOTAL,,"3,393","$1,108,940.34 ","$879,609.27 "
61108,OTHER,,636,"$429,114.26 ","$340,251.86 "
,TOTAL,,636,"$429,114.26 ","$340,251.86 "
61120,80'S,,6,$300.81 ,$240.63 
,OTHER,,95,"$45,878.63 ","$36,702.90 "
,TOTAL,,101,"$46,179.44 ","$36,943.53 "
61140,80'S,,37,"$5,863.88 ","$4,474.19 "
,OTHER,,460,"$419,230.48 ","$330,710.03 "
,TOTAL,,497,"$425,094.36 ","$335,184.22 "
61150,OTHER,,71,"$76,861.64 ","$61,401.35 "
,TOTAL,,71,"$76,861.64 ","$61,401.35 "
61151,OTHER,,28,"$17,420.84 ","$13,936.67 "
,TOTAL,,28,"$17,420.84 ","$13,936.67 "
61154,80'S,,356,"$59,373.62 ","$47,193.45 "
,OTHER,,"8,647","$8,441,793.89 ","$6,714,886.30 "
,TOTAL,,"9,003","$8,501,167.51 ","$6,762,079.75 "
61156,80'S,,29,"$4,119.36 ","$3,295.41 "
,OTHER,,140,"$137,406.05 ","$109,281.16 "
,TOTAL,,169,"$141,525.41 ","$112,576.57 "
61210,OTHER,,"1,994","$769,040.17 ","$610,098.69 "
,TOTAL,,"1,994","$769,040.17 ","$610,098.69 "
61215,OTHER,,320,"$109,624.96 ","$86,990.49 "
,TOTAL,,320,"$109,624.96 ","$86,990.49 "
61250,80'S,,2,$281.10 ,$224.88 
,OTHER,,36,"$26,340.36 ","$21,072.28 "
,TOTAL,,38,"$26,621.46 ","$21,297.16 "
