Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 00100 - 01999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
00100,AA,ANESTHESIA,"3,631","$936,220.45 ","$737,724.11 "
,AD,,87,"$6,495.87 ","$5,007.31 "
,QK,,"3,893","$552,693.27 ","$436,521.23 "
,QZ,,"1,556","$366,521.46 ","$290,861.59 "
,OTHER,,"4,358","$571,797.20 ","$453,617.05 "
,TOTAL,,"13,525","$2,433,728.25 ","$1,923,731.29 "
00102,AA,,17,"$4,109.21 ","$3,287.39 "
,QK,,21,"$2,366.43 ","$1,893.12 "
,QZ,,7,"$1,256.73 ","$1,005.38 "
,OTHER,,28,"$2,881.23 ","$2,256.16 "
,TOTAL,,73,"$10,613.60 ","$8,442.05 "
00103,AA,,"23,926","$4,030,029.76 ","$3,174,549.89 "
,AD,,320,"$23,478.58 ","$18,478.95 "
,QK,,"20,045","$1,774,958.28 ","$1,392,817.83 "
,QZ,,"20,480","$3,222,575.74 ","$2,533,428.42 "
,OTHER,,"23,375","$2,035,683.86 ","$1,607,053.89 "
,TOTAL,,"88,146","$11,086,726.22 ","$8,726,328.98 "
00104,AA,,"102,817","$9,691,535.71 ","$6,109,241.52 "
,AD,,743,"$45,799.44 ","$29,891.24 "
,QK,,"24,496","$1,175,402.20 ","$758,180.87 "
,QZ,,"13,402","$1,230,399.83 ","$738,127.02 "
,OTHER,,"45,074","$2,065,022.58 ","$1,284,726.84 "
,TOTAL,,"186,532","$14,208,159.76 ","$8,920,167.49 "
00120,AA,,"6,608","$1,423,182.93 ","$1,117,294.96 "
,AD,,94,"$7,747.57 ","$6,198.09 "
,QK,,"6,511","$787,227.48 ","$616,641.32 "
,QZ,,"2,781","$519,453.71 ","$409,071.16 "
,OTHER,,"6,927","$792,278.07 ","$628,137.61 "
,TOTAL,,"22,921","$3,529,889.76 ","$2,777,343.14 "
00124,AA,,183,"$22,484.47 ","$17,332.60 "
,AD,,2,$125.73 ,$100.58 
,QK,,214,"$12,037.84 ","$9,410.99 "
,QZ,,117,"$11,861.99 ","$9,406.81 "
,OTHER,,262,"$15,451.42 ","$12,054.37 "
,TOTAL,,778,"$61,961.45 ","$48,305.35 "
00126,AA,,"2,790","$308,238.43 ","$240,861.88 "
,AD,,75,"$5,024.07 ","$3,977.00 "
,QK,,"2,593","$147,069.90 ","$115,600.36 "
,QZ,,"1,109","$120,817.44 ","$95,391.02 "
,OTHER,,"3,217","$187,427.99 ","$148,439.01 "
,TOTAL,,"9,784","$768,577.83 ","$604,269.27 "
00140,AA,,"47,708","$7,837,075.32 ","$6,199,502.41 "
,AD,,459,"$32,412.04 ","$25,577.55 "
,QK,,"27,896","$2,507,683.87 ","$1,974,153.33 "
,QZ,,"33,568","$5,002,270.50 ","$3,956,391.45 "
,OTHER,,"33,973","$3,033,470.05 ","$2,403,600.56 "
,TOTAL,,"143,604","$18,412,911.78 ","$14,559,225.30 "
00142,AA,,"618,154","$72,369,027.01 ","$57,320,415.20 "
,AD,,"13,492","$897,197.72 ","$713,095.02 "
,QK,,"416,900","$24,686,518.18 ","$19,532,443.01 "
,QZ,,"572,895","$61,563,971.17 ","$48,758,667.15 "
,OTHER,,"540,784","$31,920,335.32 ","$25,326,304.02 "
,TOTAL,,"2,162,225","$191,437,049.40 ","$151,650,924.40 "
00144,AA,,"4,817","$1,052,673.42 ","$832,686.41 "
,AD,,127,"$8,497.19 ","$6,797.80 "
,QK,,"5,693","$652,879.22 ","$516,308.60 "
,QZ,,"3,563","$701,743.05 ","$555,291.41 "
,OTHER,,"6,060","$678,417.19 ","$538,498.28 "
,TOTAL,,"20,260","$3,094,210.07 ","$2,449,582.50 "
00145,AA,,"37,138","$8,053,075.64 ","$6,362,837.28 "
,AD,,803,"$57,678.82 ","$45,152.52 "
,QK,,"35,187","$3,960,222.28 ","$3,124,232.86 "
,QZ,,"15,983","$3,266,088.67 ","$2,583,811.74 "
,OTHER,,"39,168","$4,343,999.31 ","$3,449,656.05 "
,TOTAL,,"128,279","$19,681,064.72 ","$15,565,690.45 "
00147,AA,,307,"$46,837.31 ","$36,538.93 "
,AD,,1,$70.32 ,$56.26 
,QK,,256,"$17,959.56 ","$13,641.05 "
,QZ,,341,"$42,183.68 ","$33,215.32 "
,OTHER,,257,"$18,851.79 ","$14,580.78 "
,TOTAL,,"1,162","$125,902.66 ","$98,032.34 "
00148,AA,,399,"$45,792.19 ","$35,877.91 "
,AD,,2,$140.36 ,$112.29 
,QK,,303,"$19,039.67 ","$14,664.96 "
,QZ,,47,"$6,126.46 ","$4,568.20 "
,OTHER,,257,"$16,769.69 ","$13,110.15 "
,TOTAL,,"1,008","$87,868.37 ","$68,333.51 "
0016T,OTHER,,"1,876","$1,193,595.52 ","$949,541.90 "
,TOTAL,,"1,876","$1,193,595.52 ","$949,541.90 "
00160,AA,,"20,988","$4,036,094.69 ","$3,167,418.20 "
,AD,,337,"$24,097.00 ","$19,024.19 "
,QK,,"18,081","$1,826,080.49 ","$1,432,674.59 "
,QZ,,"7,833","$1,453,296.83 ","$1,143,754.86 "
,OTHER,,"20,785","$2,055,065.15 ","$1,624,393.29 "
,TOTAL,,"68,024","$9,394,634.16 ","$7,387,265.13 "
00162,AA,,521,"$150,884.06 ","$118,879.04 "
,AD,,11,$728.32 ,$582.67 
,QK,,521,"$108,585.42 ","$86,211.96 "
,QZ,,257,"$58,455.21 ","$46,502.48 "
,OTHER,,433,"$79,877.80 ","$63,497.30 "
,TOTAL,,"1,743","$398,530.81 ","$315,673.45 "
00164,AA,,127,"$19,140.57 ","$15,131.99 "
,AD,,4,$280.56 ,$224.45 
,QK,,110,"$7,953.72 ","$6,204.74 "
,QZ,,140,"$20,282.43 ","$16,105.01 "
,OTHER,,318,"$27,486.94 ","$21,663.18 "
,TOTAL,,699,"$75,144.22 ","$59,329.37 "
0017T,OTHER,,3,"$1,868.70 ","$1,494.96 "
,TOTAL,,3,"$1,868.70 ","$1,494.96 "
00170,AA,,"9,306","$1,714,776.99 ","$1,332,896.54 "
,AD,,173,"$12,159.20 ","$9,592.43 "
,QK,,"9,733","$974,833.80 ","$748,747.87 "
,QZ,,"3,783","$645,989.48 ","$501,087.17 "
,OTHER,,"10,667","$1,020,490.65 ","$799,767.53 "
,TOTAL,,"33,662","$4,368,250.12 ","$3,392,091.54 "
00172,AA,,27,"$6,215.08 ","$4,841.09 "
,QK,,24,"$2,828.36 ","$2,262.66 "
,QZ,,13,"$3,634.05 ","$2,833.53 "
,OTHER,,20,"$2,160.61 ","$1,660.11 "
,TOTAL,,84,"$14,838.10 ","$11,597.39 "
00174,AA,,48,"$10,547.31 ","$8,437.85 "
,AD,,2,$140.72 ,$112.57 
,QK,,37,"$3,969.13 ","$3,113.78 "
,QZ,,11,"$2,075.15 ","$1,660.12 "
,OTHER,,50,"$5,389.60 ","$4,299.70 "
,TOTAL,,148,"$22,121.91 ","$17,624.02 "
00176,AA,,359,"$183,542.70 ","$137,907.96 "
,AD,,17,"$1,376.31 ","$1,023.05 "
,QK,,750,"$237,147.34 ","$188,155.48 "
,QZ,,65,"$28,807.35 ","$22,957.90 "
,OTHER,,537,"$151,365.03 ","$120,815.34 "
,TOTAL,,"1,728","$602,238.73 ","$470,859.73 "
00190,AA,,"2,867","$651,755.86 ","$511,130.53 "
,AD,,62,"$4,598.24 ","$3,566.56 "
,QK,,"3,593","$470,001.59 ","$367,256.40 "
,QZ,,868,"$189,877.33 ","$150,303.02 "
,OTHER,,"3,583","$439,333.00 ","$345,965.74 "
,TOTAL,,"10,973","$1,755,566.02 ","$1,378,222.25 "
00192,AA,,598,"$206,743.84 ","$162,319.33 "
,AD,,19,"$1,796.28 ","$1,437.02 "
,QK,,865,"$173,740.48 ","$136,847.52 "
,QZ,,125,"$38,730.27 ","$30,650.33 "
,OTHER,,711,"$129,762.85 ","$102,789.94 "
,TOTAL,,"2,318","$550,773.72 ","$434,044.14 "
0020T,OTHER,,505,"$186,961.30 ","$147,914.44 "
,TOTAL,,505,"$186,961.30 ","$147,914.44 "
