Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 69000 - 69990,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
69000,OTHER,EAR,"2,075","$292,968.33 ","$225,403.77 "
,TOTAL,,"2,075","$292,968.33 ","$225,403.77 "
69005,OTHER,,873,"$147,045.84 ","$115,086.06 "
,TOTAL,,873,"$147,045.84 ","$115,086.06 "
69020,OTHER,,"1,519","$289,365.91 ","$225,563.29 "
,TOTAL,,"1,519","$289,365.91 ","$225,563.29 "
69100,OTHER,,"63,980","$5,516,173.21 ","$4,197,097.54 "
,TOTAL,,"63,980","$5,516,173.21 ","$4,197,097.54 "
69105,OTHER,,"1,273","$137,460.65 ","$106,646.96 "
,TOTAL,,"1,273","$137,460.65 ","$106,646.96 "
69110,SG,,308,"$82,773.32 ","$64,957.43 "
,OTHER,,"2,815","$852,787.72 ","$673,432.03 "
,TOTAL,,"3,123","$935,561.04 ","$738,389.46 "
69120,SG,,9,"$2,818.39 ","$2,254.70 "
,OTHER,,287,"$58,399.53 ","$46,025.52 "
,TOTAL,,296,"$61,217.92 ","$48,280.22 "
69140,SG,,25,"$10,450.79 ","$8,360.65 "
,OTHER,,181,"$135,896.34 ","$107,830.15 "
,TOTAL,,206,"$146,347.13 ","$116,190.80 "
69145,SG,,245,"$94,286.72 ","$75,211.96 "
,OTHER,,"2,366","$660,430.66 ","$520,286.85 "
,TOTAL,,"2,611","$754,717.38 ","$595,498.81 "
69150,SG,,29,"$13,542.37 ","$10,438.48 "
,80'S,,1,$172.18 ,$123.97 
,OTHER,,266,"$253,955.53 ","$200,147.04 "
,TOTAL,,296,"$267,670.08 ","$210,709.49 "
69155,80'S,,4,"$1,039.83 ",$831.86 
,OTHER,,18,"$24,899.16 ","$19,919.33 "
,TOTAL,,22,"$25,938.99 ","$20,751.19 "
69200,OTHER,,"24,435","$2,508,568.61 ","$1,901,136.58 "
,TOTAL,,"24,435","$2,508,568.61 ","$1,901,136.58 "
69205,SG,,75,"$21,240.15 ","$16,991.64 "
,OTHER,,565,"$47,963.89 ","$36,766.91 "
,TOTAL,,640,"$69,204.04 ","$53,758.55 "
69210,OTHER,,"1,336,544","$62,086,220.19 ","$43,923,369.75 "
,TOTAL,,"1,336,544","$62,086,220.19 ","$43,923,369.75 "
69220,OTHER,,"52,556","$6,199,953.59 ","$4,590,773.81 "
,TOTAL,,"52,556","$6,199,953.59 ","$4,590,773.81 "
69222,OTHER,,"7,839","$1,553,275.30 ","$1,189,678.51 "
,TOTAL,,"7,839","$1,553,275.30 ","$1,189,678.51 "
69300,SG,,15,"$6,165.65 ","$4,932.52 "
,OTHER,,30,"$12,289.53 ","$9,831.60 "
,TOTAL,,45,"$18,455.18 ","$14,764.12 "
69310,SG,,113,"$50,012.40 ","$39,713.72 "
,OTHER,,767,"$678,267.33 ","$535,289.84 "
,TOTAL,,880,"$728,279.73 ","$575,003.56 "
69320,SG,,2,"$2,047.52 ","$1,638.01 "
,OTHER,,49,"$73,279.95 ","$57,652.99 "
,TOTAL,,51,"$75,327.47 ","$59,291.00 "
69399,OTHER,,77,"$9,766.88 ","$7,813.55 "
,TOTAL,,77,"$9,766.88 ","$7,813.55 "
69400,OTHER,,"1,199","$131,606.48 ","$102,236.28 "
,TOTAL,,"1,199","$131,606.48 ","$102,236.28 "
69401,OTHER,,"4,398","$286,229.97 ","$221,321.78 "
,TOTAL,,"4,398","$286,229.97 ","$221,321.78 "
69405,OTHER,,38,"$6,629.81 ","$5,215.81 "
,TOTAL,,38,"$6,629.81 ","$5,215.81 "
69410,OTHER,,156,"$11,533.09 ","$8,800.90 "
,TOTAL,,156,"$11,533.09 ","$8,800.90 "
69420,OTHER,,"13,112","$2,212,565.25 ","$1,705,470.49 "
,TOTAL,,"13,112","$2,212,565.25 ","$1,705,470.49 "
69421,SG,,171,"$76,954.33 ","$60,775.29 "
,OTHER,,498,"$64,816.87 ","$50,778.81 "
,TOTAL,,669,"$141,771.20 ","$111,554.10 "
69424,OTHER,,"1,036","$104,597.97 ","$79,313.47 "
,TOTAL,,"1,036","$104,597.97 ","$79,313.47 "
69433,OTHER,,"40,626","$7,203,817.40 ","$5,552,962.67 "
,TOTAL,,"40,626","$7,203,817.40 ","$5,552,962.67 "
69436,SG,,"3,539","$1,643,321.34 ","$1,296,618.10 "
,OTHER,,"11,589","$2,018,803.59 ","$1,584,146.54 "
,TOTAL,,"15,128","$3,662,124.93 ","$2,880,764.64 "
69440,SG,,117,"$46,883.03 ","$36,431.55 "
,OTHER,,"1,085","$634,826.27 ","$500,311.80 "
,TOTAL,,"1,202","$681,709.30 ","$536,743.35 "
69450,SG,,52,"$10,423.16 ","$8,057.89 "
,OTHER,,372,"$176,090.12 ","$138,881.95 "
,TOTAL,,424,"$186,513.28 ","$146,939.84 "
69501,SG,,3,"$2,936.94 ","$2,349.55 "
,OTHER,,67,"$41,033.04 ","$32,692.49 "
,TOTAL,,70,"$43,969.98 ","$35,042.04 "
69502,SG,,12,"$11,655.17 ","$9,324.13 "
,80'S,,1,$75.15 ,$60.12 
,OTHER,,240,"$194,501.44 ","$154,952.48 "
,TOTAL,,253,"$206,231.76 ","$164,336.73 "
69505,SG,,14,"$13,843.89 ","$11,075.12 "
,80'S,,2,$429.24 ,$343.39 
,OTHER,,97,"$107,962.32 ","$85,385.82 "
,TOTAL,,113,"$122,235.45 ","$96,804.33 "
69511,SG,,9,"$8,768.56 ","$7,014.85 "
,OTHER,,76,"$88,172.64 ","$70,407.92 "
,TOTAL,,85,"$96,941.20 ","$77,422.77 "
69530,OTHER,,17,"$25,843.75 ","$20,587.00 "
,TOTAL,,17,"$25,843.75 ","$20,587.00 "
69535,80'S,,1,$435.20 ,$348.16 
,OTHER,,163,"$417,619.64 ","$334,035.07 "
,TOTAL,,164,"$418,054.84 ","$334,383.23 "
69540,OTHER,,588,"$93,353.70 ","$71,728.97 "
,TOTAL,,588,"$93,353.70 ","$71,728.97 "
69550,SG,,14,"$8,560.14 ","$6,848.11 "
,OTHER,,72,"$66,164.10 ","$51,290.80 "
,TOTAL,,86,"$74,724.24 ","$58,138.91 "
69552,SG,,2,"$1,934.13 ","$1,547.31 "
,OTHER,,31,"$47,285.99 ","$37,780.30 "
,TOTAL,,33,"$49,220.12 ","$39,327.61 "
69554,80'S,,1,$449.25 ,$359.40 
,OTHER,,15,"$37,438.56 ","$29,950.86 "
,TOTAL,,16,"$37,887.81 ","$30,310.26 "
69601,SG,,17,"$16,909.69 ","$13,527.74 "
,OTHER,,83,"$78,154.69 ","$60,430.31 "
,TOTAL,,100,"$95,064.38 ","$73,958.05 "
69602,SG,,5,"$4,943.75 ","$3,955.00 "
,OTHER,,87,"$87,566.91 ","$67,497.98 "
,TOTAL,,92,"$92,510.66 ","$71,452.98 "
69603,SG,,3,"$2,959.84 ","$2,367.88 "
,OTHER,,54,"$71,072.95 ","$55,888.54 "
,TOTAL,,57,"$74,032.79 ","$58,256.42 "
69604,SG,,16,"$15,392.82 ","$12,314.26 "
,OTHER,,58,"$59,626.54 ","$46,794.41 "
,TOTAL,,74,"$75,019.36 ","$59,108.67 "
69605,OTHER,,8,"$10,761.67 ","$8,609.32 "
,TOTAL,,8,"$10,761.67 ","$8,609.32 "
69610,OTHER,,"2,766","$1,011,183.12 ","$792,474.74 "
,TOTAL,,"2,766","$1,011,183.12 ","$792,474.74 "
69620,SG,,125,"$49,795.34 ","$38,774.14 "
,OTHER,,607,"$313,750.02 ","$246,820.64 "
,TOTAL,,732,"$363,545.36 ","$285,594.78 "
69631,SG,,573,"$392,265.87 ","$307,958.22 "
,OTHER,,"2,690","$2,093,335.44 ","$1,640,162.42 "
,TOTAL,,"3,263","$2,485,601.31 ","$1,948,120.64 "
69632,SG,,56,"$39,159.26 ","$31,300.21 "
,OTHER,,385,"$378,619.86 ","$297,622.11 "
,TOTAL,,441,"$417,779.12 ","$328,922.32 "
69633,SG,,158,"$104,656.67 ","$82,261.85 "
,OTHER,,662,"$627,836.39 ","$489,247.22 "
,TOTAL,,820,"$732,493.06 ","$571,509.07 "
