Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 56405 - 58999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
56405,OTHER,FEMALE GENITAL,"4,246","$439,616.55 ","$330,737.73 "
,TOTAL,,"4,246","$439,616.55 ","$330,737.73 "
56420,OTHER,,"1,806","$221,498.36 ","$165,166.88 "
,TOTAL,,"1,806","$221,498.36 ","$165,166.88 "
56440,SG,,34,"$14,335.98 ","$11,259.89 "
,OTHER,,414,"$71,018.79 ","$54,435.46 "
,TOTAL,,448,"$85,354.77 ","$65,695.35 "
56441,SG,,37,"$9,453.36 ","$7,513.42 "
,80'S,,1,$10.20 ,$8.16 
,OTHER,,372,"$43,864.03 ","$34,003.78 "
,TOTAL,,410,"$53,327.59 ","$41,525.36 "
56501,OTHER,,"3,702","$436,636.27 ","$328,351.97 "
,TOTAL,,"3,702","$436,636.27 ","$328,351.97 "
56515,SG,,108,"$52,761.62 ","$41,119.78 "
,OTHER,,"1,621","$299,144.12 ","$232,499.21 "
,TOTAL,,"1,729","$351,905.74 ","$273,618.99 "
56605,OTHER,,"26,459","$2,113,704.48 ","$1,587,763.33 "
,TOTAL,,"26,459","$2,113,704.48 ","$1,587,763.33 "
56606,OTHER,,"4,763","$182,813.77 ","$144,087.62 "
,TOTAL,,"4,763","$182,813.77 ","$144,087.62 "
56620,SG,,120,"$84,644.98 ","$65,949.87 "
,80'S,,98,"$6,752.58 ","$5,395.18 "
,OTHER,,"2,144","$998,967.75 ","$786,051.09 "
,TOTAL,,"2,362","$1,090,365.31 ","$857,396.14 "
56625,SG,,3,"$3,022.20 ","$2,417.76 "
,80'S,,19,"$1,496.94 ","$1,197.55 "
,OTHER,,229,"$113,614.80 ","$89,945.62 "
,TOTAL,,251,"$118,133.94 ","$93,560.93 "
56630,80'S,,74,"$8,951.87 ","$7,161.52 "
,OTHER,,719,"$529,553.67 ","$422,574.24 "
,TOTAL,,793,"$538,505.54 ","$429,735.76 "
56631,80'S,,44,"$7,029.48 ","$5,623.60 "
,OTHER,,289,"$279,308.14 ","$223,227.35 "
,TOTAL,,333,"$286,337.62 ","$228,850.95 "
56632,80'S,,31,"$5,922.36 ","$4,737.88 "
,OTHER,,243,"$266,028.76 ","$211,563.11 "
,TOTAL,,274,"$271,951.12 ","$216,300.99 "
56633,80'S,,24,"$3,636.21 ","$2,908.93 "
,OTHER,,188,"$176,245.80 ","$140,421.33 "
,TOTAL,,212,"$179,882.01 ","$143,330.26 "
56634,80'S,,19,"$3,452.46 ","$2,761.96 "
,OTHER,,79,"$82,634.08 ","$66,019.30 "
,TOTAL,,98,"$86,086.54 ","$68,781.26 "
56637,80'S,,36,"$7,839.41 ","$6,198.82 "
,OTHER,,240,"$303,517.47 ","$240,432.70 "
,TOTAL,,276,"$311,356.88 ","$246,631.52 "
56640,80'S,,5,"$1,171.28 ",$937.02 
,OTHER,,27,"$33,352.15 ","$26,681.73 "
,TOTAL,,32,"$34,523.43 ","$27,618.75 "
56700,SG,,8,"$1,781.05 ","$1,336.83 "
,80'S,,2,$28.85 ,$23.08 
,OTHER,,58,"$7,308.97 ","$5,755.20 "
,TOTAL,,68,"$9,118.87 ","$7,115.11 "
56720,SG,,5,$833.47 ,$666.79 
,OTHER,,36,"$1,157.35 ",$925.88 
,TOTAL,,41,"$1,990.82 ","$1,592.67 "
56740,SG,,52,"$25,173.62 ","$19,848.72 "
,OTHER,,474,"$125,615.95 ","$98,989.75 "
,TOTAL,,526,"$150,789.57 ","$118,838.47 "
56800,SG,,9,"$4,383.40 ","$3,489.11 "
,80'S,,34,$797.86 ,$638.37 
,OTHER,,199,"$35,283.40 ","$27,520.19 "
,TOTAL,,242,"$40,464.66 ","$31,647.67 "
56805,OTHER,,2,"$1,520.45 ","$1,216.36 "
,TOTAL,,2,"$1,520.45 ","$1,216.36 "
56810,SG,,30,"$21,350.68 ","$17,080.53 "
,80'S,,180,"$4,502.77 ","$3,585.45 "
,OTHER,,950,"$156,074.10 ","$123,215.48 "
,TOTAL,,"1,160","$181,927.55 ","$143,881.46 "
56820,OTHER,,"3,779","$376,954.31 ","$280,321.74 "
,TOTAL,,"3,779","$376,954.31 ","$280,321.74 "
56821,OTHER,,"2,375","$330,441.70 ","$251,670.79 "
,TOTAL,,"2,375","$330,441.70 ","$251,670.79 "
57000,SG,,4,"$1,132.42 ",$895.60 
,OTHER,,93,"$14,495.69 ","$11,006.97 "
,TOTAL,,97,"$15,628.11 ","$11,902.57 "
57010,SG,,3,$901.15 ,$720.92 
,80'S,,3,$231.05 ,$184.84 
,OTHER,,104,"$36,508.43 ","$29,030.72 "
,TOTAL,,110,"$37,640.63 ","$29,936.48 "
57020,80'S,,1,$6.89 ,$5.51 
,OTHER,,93,"$7,606.28 ","$6,017.85 "
,TOTAL,,94,"$7,613.17 ","$6,023.36 "
57022,OTHER,,6,$856.92 ,$685.54 
,TOTAL,,6,$856.92 ,$685.54 
57023,SG,,3,$807.40 ,$645.92 
,80'S,,1,$45.29 ,$36.23 
,OTHER,,66,"$17,056.35 ","$13,477.37 "
,TOTAL,,70,"$17,909.04 ","$14,159.52 "
57061,OTHER,,"2,079","$215,403.08 ","$160,732.05 "
,TOTAL,,"2,079","$215,403.08 ","$160,732.05 "
57065,SG,,81,"$24,323.53 ","$19,398.78 "
,OTHER,,"1,330","$224,774.62 ","$175,710.88 "
,TOTAL,,"1,411","$249,098.15 ","$195,109.66 "
57100,OTHER,,"6,159","$505,547.64 ","$382,404.11 "
,TOTAL,,"6,159","$505,547.64 ","$382,404.11 "
57105,SG,,53,"$19,884.68 ","$15,907.72 "
,OTHER,,951,"$109,691.01 ","$85,396.01 "
,TOTAL,,"1,004","$129,575.69 ","$101,303.73 "
57106,80'S,,222,"$9,434.56 ","$7,547.58 "
,OTHER,,"1,264","$366,297.41 ","$290,647.18 "
,TOTAL,,"1,486","$375,731.97 ","$298,194.76 "
57107,80'S,,35,"$6,346.47 ","$5,064.90 "
,OTHER,,154,"$179,582.45 ","$143,577.97 "
,TOTAL,,189,"$185,928.92 ","$148,642.87 "
57109,80'S,,2,$498.78 ,$399.03 
,OTHER,,33,"$41,238.48 ","$32,990.76 "
,TOTAL,,35,"$41,737.26 ","$33,389.79 "
57110,80'S,,185,"$24,021.68 ","$19,082.03 "
,OTHER,,661,"$536,080.60 ","$427,134.41 "
,TOTAL,,846,"$560,102.28 ","$446,216.44 "
57111,80'S,,15,"$3,554.08 ","$2,843.27 "
,OTHER,,41,"$55,872.58 ","$44,698.09 "
,TOTAL,,56,"$59,426.66 ","$47,541.36 "
57112,80'S,,3,$511.06 ,$408.84 
,OTHER,,9,"$13,885.98 ","$11,108.79 "
,TOTAL,,12,"$14,397.04 ","$11,517.63 "
57120,80'S,,645,"$42,500.85 ","$33,624.85 "
,OTHER,,"2,268","$885,496.50 ","$704,203.57 "
,TOTAL,,"2,913","$927,997.35 ","$737,828.42 "
57130,SG,,2,$705.98 ,$564.78 
,80'S,,4,$81.82 ,$65.46 
,OTHER,,61,"$7,843.33 ","$6,109.03 "
,TOTAL,,67,"$8,631.13 ","$6,739.27 "
57135,SG,,148,"$60,759.10 ","$46,569.46 "
,OTHER,,"1,293","$206,156.72 ","$161,088.18 "
,TOTAL,,"1,441","$266,915.82 ","$207,657.64 "
57150,OTHER,,"23,062","$1,427,848.79 ","$1,066,133.00 "
,TOTAL,,"23,062","$1,427,848.79 ","$1,066,133.00 "
57155,SG,,3,"$1,343.94 ","$1,075.14 "
,OTHER,,"3,915","$1,651,838.99 ","$1,314,403.63 "
,TOTAL,,"3,918","$1,653,182.93 ","$1,315,478.77 "
57160,OTHER,,"111,816","$8,034,653.65 ","$5,963,293.12 "
,TOTAL,,"111,816","$8,034,653.65 ","$5,963,293.12 "
57170,OTHER,,120,"$9,473.43 ","$7,128.28 "
,TOTAL,,120,"$9,473.43 ","$7,128.28 "
57180,OTHER,,512,"$64,488.58 ","$50,458.47 "
,TOTAL,,512,"$64,488.58 ","$50,458.47 "
57200,SG,,9,"$2,649.26 ","$2,119.42 "
