Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 54000 - 55899,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
54000,SG,MALE GENITAL,3,"$1,335.50 ","$1,068.40 "
,OTHER,,49,"$5,050.57 ","$4,017.13 "
,TOTAL,,52,"$6,386.07 ","$5,085.53 "
54001,SG,,136,"$55,434.38 ","$44,066.87 "
,OTHER,,"2,103","$291,984.99 ","$227,486.09 "
,TOTAL,,"2,239","$347,419.37 ","$271,552.96 "
54015,SG,,1,$611.01 ,$488.81 
,80'S,,2,$104.41 ,$83.53 
,OTHER,,117,"$33,559.80 ","$26,615.26 "
,TOTAL,,120,"$34,275.22 ","$27,187.60 "
54050,OTHER,,875,"$91,098.91 ","$66,336.84 "
,TOTAL,,875,"$91,098.91 ","$66,336.84 "
54055,OTHER,,725,"$69,524.75 ","$50,262.65 "
,TOTAL,,725,"$69,524.75 ","$50,262.65 "
54056,OTHER,,"2,664","$281,892.71 ","$209,133.61 "
,TOTAL,,"2,664","$281,892.71 ","$209,133.61 "
54057,SG,,40,"$12,242.42 ","$9,635.52 "
,OTHER,,291,"$20,461.96 ","$15,949.30 "
,TOTAL,,331,"$32,704.38 ","$25,584.82 "
54060,SG,,112,"$31,566.34 ","$24,744.28 "
,OTHER,,783,"$106,468.22 ","$81,766.97 "
,TOTAL,,895,"$138,034.56 ","$106,511.25 "
54065,SG,,61,"$16,610.22 ","$12,841.03 "
,OTHER,,"1,214","$207,489.60 ","$161,015.97 "
,TOTAL,,"1,275","$224,099.82 ","$173,857.00 "
54100,SG,,124,"$33,958.31 ","$26,552.14 "
,OTHER,,"2,513","$349,386.60 ","$270,447.91 "
,TOTAL,,"2,637","$383,344.91 ","$297,000.05 "
54105,SG,,26,"$7,188.41 ","$5,610.60 "
,OTHER,,311,"$64,243.53 ","$50,262.43 "
,TOTAL,,337,"$71,431.94 ","$55,873.03 "
54110,SG,,6,"$2,408.75 ","$1,927.00 "
,80'S,,5,$305.79 ,$244.63 
,OTHER,,66,"$28,540.42 ","$22,282.78 "
,TOTAL,,77,"$31,254.96 ","$24,454.41 "
54111,SG,,1,$426.03 ,$340.82 
,80'S,,10,"$1,074.05 ",$859.23 
,OTHER,,36,"$25,640.70 ","$20,447.60 "
,TOTAL,,47,"$27,140.78 ","$21,647.65 "
54112,SG,,1,$430.77 ,$344.62 
,80'S,,11,"$1,367.27 ","$1,093.82 "
,OTHER,,78,"$60,547.73 ","$47,816.46 "
,TOTAL,,90,"$62,345.77 ","$49,254.90 "
54115,SG,,5,"$1,681.95 ","$1,257.56 "
,80'S,,2,$122.08 ,$97.67 
,OTHER,,56,"$20,176.47 ","$16,141.17 "
,TOTAL,,63,"$21,980.50 ","$17,496.40 "
54120,SG,,13,"$5,668.48 ","$4,534.79 "
,80'S,,62,"$5,589.53 ","$4,471.67 "
,OTHER,,506,"$272,161.66 ","$214,495.01 "
,TOTAL,,581,"$283,419.67 ","$223,501.47 "
54125,80'S,,26,"$3,181.92 ","$2,545.55 "
,OTHER,,145,"$102,484.60 ","$80,451.61 "
,TOTAL,,171,"$105,666.52 ","$82,997.16 "
54130,80'S,,4,$690.21 ,$552.16 
,OTHER,,11,"$10,540.22 ","$8,432.17 "
,TOTAL,,15,"$11,230.43 ","$8,984.33 "
54135,80'S,,1,$217.19 ,$173.75 
,OTHER,,1,"$1,427.43 ","$1,141.94 "
,TOTAL,,2,"$1,644.62 ","$1,315.69 "
54150,SG,,2,$649.43 ,$519.54 
,OTHER,,15,"$1,778.45 ","$1,352.36 "
,TOTAL,,17,"$2,427.88 ","$1,871.90 "
54152,SG,,91,"$28,162.61 ","$22,117.15 "
,OTHER,,321,"$40,374.24 ","$31,154.32 "
,TOTAL,,412,"$68,536.85 ","$53,271.47 "
54160,SG,,6,"$2,613.72 ","$2,090.98 "
,OTHER,,18,"$2,893.06 ","$2,314.44 "
,TOTAL,,24,"$5,506.78 ","$4,405.42 "
54161,SG,,"2,227","$942,254.45 ","$738,312.24 "
,OTHER,,"13,027","$2,301,283.39 ","$1,789,081.50 "
,TOTAL,,"15,254","$3,243,537.84 ","$2,527,393.74 "
54162,SG,,40,"$16,116.45 ","$12,421.64 "
,OTHER,,277,"$49,092.62 ","$38,463.86 "
,TOTAL,,317,"$65,209.07 ","$50,885.50 "
54163,SG,,21,"$8,789.97 ","$6,795.74 "
,OTHER,,129,"$23,084.55 ","$18,200.60 "
,TOTAL,,150,"$31,874.52 ","$24,996.34 "
54164,SG,,14,"$5,473.14 ","$4,324.14 "
,OTHER,,80,"$10,873.50 ","$8,449.15 "
,TOTAL,,94,"$16,346.64 ","$12,773.29 "
54200,OTHER,,"2,421","$253,932.30 ","$190,477.32 "
,TOTAL,,"2,421","$253,932.30 ","$190,477.32 "
54205,80'S,,2,$70.08 ,$55.49 
,OTHER,,9,"$2,355.05 ","$1,884.04 "
,TOTAL,,11,"$2,425.13 ","$1,939.53 "
54220,SG,,5,"$1,591.61 ","$1,273.28 "
,OTHER,,419,"$60,933.48 ","$47,489.61 "
,TOTAL,,424,"$62,525.09 ","$48,762.89 "
54230,OTHER,,103,"$8,219.13 ","$6,359.72 "
,TOTAL,,103,"$8,219.13 ","$6,359.72 "
54231,OTHER,,445,"$61,367.17 ","$48,346.44 "
,TOTAL,,445,"$61,367.17 ","$48,346.44 "
54235,OTHER,,"12,057","$972,333.61 ","$735,683.81 "
,TOTAL,,"12,057","$972,333.61 ","$735,683.81 "
54240,OTHER,,913,"$60,278.02 ","$47,663.75 "
,TOTAL,,913,"$60,278.02 ","$47,663.75 "
54250,OTHER,,"1,171","$137,782.64 ","$108,131.74 "
,TOTAL,,"1,171","$137,782.64 ","$108,131.74 "
54300,SG,,5,"$2,540.10 ","$2,023.00 "
,80'S,,5,$396.54 ,$317.22 
,OTHER,,77,"$40,296.78 ","$30,912.43 "
,TOTAL,,87,"$43,233.42 ","$33,252.65 "
54304,80'S,,1,$110.78 ,$88.62 
,OTHER,,18,"$12,752.34 ","$9,799.52 "
,TOTAL,,19,"$12,863.12 ","$9,888.14 "
54308,SG,,1,$536.21 ,$428.97 
,80'S,,1,$56.70 ,$45.36 
,OTHER,,1,$354.39 ,$283.51 
,TOTAL,,3,$947.30 ,$757.84 
54312,OTHER,,1,$910.01 ,$728.01 
,TOTAL,,1,$910.01 ,$728.01 
54316,OTHER,,1,$507.87 ,$406.30 
,TOTAL,,1,$507.87 ,$406.30 
54318,OTHER,,1,$666.67 ,$533.34 
,TOTAL,,1,$666.67 ,$533.34 
54322,SG,,1,$518.42 ,$414.74 
,80'S,,4,$535.62 ,$428.51 
,OTHER,,18,"$13,404.81 ","$10,333.42 "
,TOTAL,,23,"$14,458.85 ","$11,176.67 "
54324,80'S,,2,$300.81 ,$240.65 
,OTHER,,13,"$10,515.81 ","$8,412.65 "
,TOTAL,,15,"$10,816.62 ","$8,653.30 "
54326,SG,,1,$510.44 ,$408.35 
,OTHER,,4,"$3,414.73 ","$2,176.90 "
,TOTAL,,5,"$3,925.17 ","$2,585.25 "
54328,OTHER,,5,"$3,299.69 ","$2,612.16 "
,TOTAL,,5,"$3,299.69 ","$2,612.16 "
54332,OTHER,,4,"$3,880.56 ","$3,104.45 "
,TOTAL,,4,"$3,880.56 ","$3,104.45 "
54336,80'S,,1,$187.55 ,$150.04 
,OTHER,,1,"$1,172.20 ",$937.76 
,TOTAL,,2,"$1,359.75 ","$1,087.80 "
54340,SG,,1,$540.87 ,$432.70 
,OTHER,,7,"$3,586.21 ","$2,868.97 "
,TOTAL,,8,"$4,127.08 ","$3,301.67 "
54344,SG,,2,$982.49 ,$785.99 
,80'S,,1,$144.16 ,$115.33 
,OTHER,,7,"$6,390.99 ","$5,112.77 "
,TOTAL,,10,"$7,517.64 ","$6,014.09 "
54352,OTHER,,2,"$3,074.63 ","$2,459.71 "
,TOTAL,,2,"$3,074.63 ","$2,459.71 "
54360,SG,,15,"$7,306.41 ","$5,757.12 "
,80'S,,47,"$3,953.10 ","$3,043.30 "
,OTHER,,559,"$261,371.38 ","$205,797.87 "
