Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L5000 - L9900,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L5679,TOTAL,,"20,109","$9,882,620.23 ","$7,760,794.53 "
L5680,TOTAL,,491,"$131,304.02 ","$102,689.31 "
L5681,TOTAL,,"1,656","$1,737,723.61 ","$1,373,025.31 "
L5682,TOTAL,,233,"$125,268.45 ","$98,586.53 "
L5683,TOTAL,,"3,946","$4,145,239.42 ","$3,264,727.76 "
L5684,TOTAL,,"1,175","$48,136.39 ","$37,474.80 "
L5685,TOTAL,,"31,436","$3,062,188.94 ","$2,393,287.85 "
L5686,TOTAL,,355,"$16,459.88 ","$12,751.06 "
L5688,TOTAL,,"1,137","$60,470.95 ","$46,346.84 "
L5690,TOTAL,,682,"$51,387.15 ","$39,107.39 "
L5692,TOTAL,,321,"$37,761.45 ","$29,761.49 "
L5694,TOTAL,,"1,159","$183,051.26 ","$143,749.78 "
L5695,TOTAL,,"4,208","$623,830.82 ","$490,402.58 "
L5696,TOTAL,,685,"$109,838.82 ","$87,201.41 "
L5697,TOTAL,,658,"$45,121.82 ","$35,414.29 "
L5698,TOTAL,,"1,189","$116,316.16 ","$89,413.36 "
L5699,TOTAL,,72,"$12,307.57 ","$9,649.15 "
L5700,TOTAL,,"10,649","$25,784,659.33 ","$20,279,247.11 "
L5701,TOTAL,,"3,535","$10,485,406.07 ","$8,267,185.70 "
L5702,TOTAL,,169,"$593,613.72 ","$469,203.55 "
L5704,TOTAL,,"25,962","$12,014,351.21 ","$9,472,849.00 "
L5705,TOTAL,,"6,876","$5,668,896.97 ","$4,486,218.95 "
L5706,TOTAL,,140,"$113,862.60 ","$88,116.59 "
L5707,TOTAL,,116,"$127,575.39 ","$100,237.89 "
L5710,TOTAL,,35,"$10,884.94 ","$8,529.94 "
L5711,TOTAL,,59,"$27,060.28 ","$21,648.12 "
L5712,TOTAL,,137,"$53,304.32 ","$42,544.83 "
L5714,TOTAL,,16,"$5,919.08 ","$4,735.25 "
L5716,TOTAL,,5,"$3,312.21 ","$2,649.77 "
L5718,TOTAL,,10,"$7,907.96 ","$6,326.37 "
L5724,TOTAL,,8,"$10,267.86 ","$8,214.29 "
L5726,TOTAL,,6,"$9,328.45 ","$7,374.75 "
L5728,TOTAL,,50,"$98,718.65 ","$77,314.87 "
L5780,TOTAL,,2,"$2,142.42 ","$1,713.92 "
L5781,TOTAL,,913,"$2,917,595.72 ","$2,280,369.13 "
L5782,TOTAL,,146,"$489,490.17 ","$383,565.94 "
L5785,TOTAL,,"1,588","$711,109.90 ","$562,542.94 "
L5790,TOTAL,,418,"$268,867.39 ","$213,001.54 "
L5795,TOTAL,,51,"$55,159.56 ","$43,863.56 "
L5810,TOTAL,,426,"$181,219.49 ","$143,368.38 "
L5811,TOTAL,,"1,067","$687,200.64 ","$548,681.96 "
L5812,TOTAL,,"4,032","$1,955,853.81 ","$1,557,677.51 "
L5814,TOTAL,,775,"$2,276,276.55 ","$1,805,464.32 "
L5816,TOTAL,,247,"$181,128.94 ","$143,559.21 "
L5818,TOTAL,,226,"$189,359.44 ","$149,802.07 "
L5822,TOTAL,,338,"$483,325.94 ","$379,359.96 "
L5824,TOTAL,,67,"$89,715.90 ","$71,001.87 "
L5826,TOTAL,,102,"$256,788.24 ","$201,775.58 "
L5828,TOTAL,,"1,632","$4,016,416.95 ","$3,181,834.89 "
L5830,TOTAL,,106,"$174,480.88 ","$134,549.49 "
L5840,TOTAL,,298,"$877,187.13 ","$696,322.95 "
L5845,TOTAL,,"4,187","$6,001,062.47 ","$4,741,410.05 "
L5848,TOTAL,,"1,122","$949,085.32 ","$750,773.20 "
L5850,TOTAL,,"6,746","$730,620.19 ","$577,447.54 "
L5855,TOTAL,,119,"$33,001.81 ","$25,914.19 "
L5856,TOTAL,,913,"$17,353,439.24 ","$13,784,914.92 "
L5857,TOTAL,,72,"$491,878.95 ","$387,977.13 "
L5910,TOTAL,,"35,216","$11,184,181.09 ","$8,831,089.36 "
L5920,TOTAL,,"11,415","$5,339,279.67 ","$4,233,744.63 "
L5925,TOTAL,,482,"$157,812.58 ","$124,709.53 "
L5930,TOTAL,,"1,744","$4,706,837.48 ","$3,711,625.63 "
L5940,TOTAL,,"35,930","$15,966,132.83 ","$12,613,005.11 "
L5950,TOTAL,,"11,690","$7,941,950.27 ","$6,297,618.02 "
L5960,TOTAL,,166,"$143,642.54 ","$112,396.22 "
L5962,TOTAL,,"18,408","$9,549,107.73 ","$7,538,504.11 "
L5964,TOTAL,,"3,195","$2,590,230.23 ","$2,050,036.90 "
L5966,TOTAL,,73,"$77,168.22 ","$60,653.39 "
L5968,TOTAL,,112,"$319,760.35 ","$251,889.78 "
L5970,TOTAL,,"1,332","$230,473.13 ","$182,427.63 "
L5972,TOTAL,,"7,512","$2,386,458.32 ","$1,893,929.03 "
L5974,TOTAL,,"3,455","$740,791.94 ","$588,306.40 "
L5975,TOTAL,,"1,461","$548,028.97 ","$436,651.39 "
L5976,TOTAL,,"4,650","$2,318,444.57 ","$1,836,149.13 "
L5978,TOTAL,,"1,451","$384,001.38 ","$302,235.98 "
L5979,TOTAL,,"4,648","$9,200,314.69 ","$7,276,401.50 "
L5980,TOTAL,,"4,793","$15,348,235.51 ","$12,073,149.38 "
L5981,TOTAL,,"7,265","$18,400,973.63 ","$14,467,171.05 "
