Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 80048 - 89342,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
80400,GLOBL,,"1,127","$51,014.50 ","$50,333.17 "
,TOTAL,,"1,127","$51,014.50 ","$50,333.17 "
80402,GLOBL,,6,$727.44 ,$622.66 
,TOTAL,,6,$727.44 ,$622.66 
80406,GLOBL,,1,$109.34 ,$109.34 
,TOTAL,,1,$109.34 ,$109.34 
80408,GLOBL,,23,$999.64 ,$999.64 
,TOTAL,,23,$999.64 ,$999.64 
80410,GLOBL,,11,"$1,202.94 ","$1,202.94 "
,TOTAL,,11,"$1,202.94 ","$1,202.94 "
80412,GLOBL,,9,"$4,144.50 ","$4,144.50 "
,TOTAL,,9,"$4,144.50 ","$4,144.50 "
80414,GLOBL,,150,"$10,807.04 ","$10,807.04 "
,TOTAL,,150,"$10,807.04 ","$10,807.04 "
80415,GLOBL,,9,$663.26 ,$663.26 
,TOTAL,,9,$663.26 ,$663.26 
80418,GLOBL,,180,"$142,690.82 ","$142,188.14 "
,TOTAL,,180,"$142,690.82 ","$142,188.14 "
80420,GLOBL,,19,"$1,610.28 ","$1,610.28 "
,TOTAL,,19,"$1,610.28 ","$1,610.28 "
80422,GLOBL,,214,"$4,998.34 ","$4,998.34 "
,TOTAL,,214,"$4,998.34 ","$4,998.34 "
80424,GLOBL,,"2,694","$147,136.72 ","$146,995.58 "
,TOTAL,,"2,694","$147,136.72 ","$146,995.58 "
80426,GLOBL,,3,$458.66 ,$458.66 
,TOTAL,,3,$458.66 ,$458.66 
80428,GLOBL,,60,"$5,587.61 ","$5,363.45 "
,TOTAL,,60,"$5,587.61 ","$5,363.45 "
80430,GLOBL,,6,$476.53 ,$476.53 
,TOTAL,,6,$476.53 ,$476.53 
80432,GLOBL,,20,"$2,543.38 ","$2,543.38 "
,TOTAL,,20,"$2,543.38 ","$2,543.38 "
80434,GLOBL,,20,"$2,800.07 ","$2,679.97 "
,TOTAL,,20,"$2,800.07 ","$2,679.97 "
80435,GLOBL,,131,"$2,511.01 ","$2,511.01 "
,TOTAL,,131,"$2,511.01 ","$2,511.01 "
80436,GLOBL,,1,$125.98 ,$125.98 
,TOTAL,,1,$125.98 ,$125.98 
80438,GLOBL,,764,"$53,618.24 ","$53,590.08 "
,TOTAL,,764,"$53,618.24 ","$53,590.08 "
80439,GLOBL,,15,"$1,153.04 ","$1,141.84 "
,TOTAL,,15,"$1,153.04 ","$1,141.84 "
80440,GLOBL,,2,$164.28 ,$164.28 
,TOTAL,,2,$164.28 ,$164.28 
80500,GLOBL,,"57,463","$1,189,928.74 ","$926,253.10 "
,TOTAL,,"57,463","$1,189,928.74 ","$926,253.10 "
80502,GLOBL,,"31,983","$2,361,606.15 ","$1,804,252.71 "
,TOTAL,,"31,983","$2,361,606.15 ","$1,804,252.71 "
81000,GLOBL,,"6,582,833","$29,064,635.06 ","$28,853,248.28 "
,TOTAL,,"6,582,833","$29,064,635.06 ","$28,853,248.28 "
81001,GLOBL,,"5,295,095","$23,429,578.20 ","$23,346,100.31 "
,TOTAL,,"5,295,095","$23,429,578.20 ","$23,346,100.31 "
81002,GLOBL,,"4,450,232","$15,701,935.15 ","$15,606,563.95 "
,TOTAL,,"4,450,232","$15,701,935.15 ","$15,606,563.95 "
81003,26,,2,$6.28 ,$6.28 
,GLOBL,,"2,960,045","$9,257,108.74 ","$9,214,656.01 "
,TOTAL,,"2,960,047","$9,257,115.02 ","$9,214,662.29 "
81005,GLOBL,,"28,033","$84,572.67 ","$83,972.66 "
,TOTAL,,"28,033","$84,572.67 ","$83,972.66 "
81007,GLOBL,,"2,753","$9,827.19 ","$9,795.22 "
,TOTAL,,"2,753","$9,827.19 ","$9,795.22 "
81015,GLOBL,,"114,978","$481,852.96 ","$479,766.92 "
,TOTAL,,"114,978","$481,852.96 ","$479,766.92 "
81020,GLOBL,,"10,339","$49,797.78 ","$49,554.70 "
,TOTAL,,"10,339","$49,797.78 ","$49,554.70 "
81025,GLOBL,,"30,637","$248,098.71 ","$245,301.03 "
,TOTAL,,"30,637","$248,098.71 ","$245,301.03 "
81050,GLOBL,,"66,612","$275,421.06 ","$274,322.09 "
,TOTAL,,"66,612","$275,421.06 ","$274,322.09 "
81099,GLOBL,,231,"$2,058.77 ","$2,058.77 "
,TOTAL,,231,"$2,058.77 ","$2,058.77 "
82000,GLOBL,,77,"$1,278.26 ","$1,276.53 "
,TOTAL,,77,"$1,278.26 ","$1,276.53 "
82003,GLOBL,,"1,893","$48,027.53 ","$47,958.49 "
,TOTAL,,"1,893","$48,027.53 ","$47,958.49 "
82009,GLOBL,,"2,245","$13,868.84 ","$13,823.42 "
,TOTAL,,"2,245","$13,868.84 ","$13,823.42 "
82010,GLOBL,,"2,558","$27,263.58 ","$27,184.96 "
,TOTAL,,"2,558","$27,263.58 ","$27,184.96 "
82013,GLOBL,,68,$852.41 ,$842.53 
,TOTAL,,68,$852.41 ,$842.53 
82016,GLOBL,,1,$18.58 ,$18.58 
,TOTAL,,1,$18.58 ,$18.58 
82017,GLOBL,,61,"$1,303.13 ","$1,303.13 "
,TOTAL,,61,"$1,303.13 ","$1,303.13 "
82024,GLOBL,,"19,717","$1,051,276.35 ","$1,047,796.46 "
,TOTAL,,"19,717","$1,051,276.35 ","$1,047,796.46 "
82030,GLOBL,,388,"$13,541.49 ","$13,538.66 "
,TOTAL,,388,"$13,541.49 ","$13,538.66 "
82040,GLOBL,,"1,012,348","$2,036,968.36 ","$2,032,467.63 "
,TOTAL,,"1,012,348","$2,036,968.36 ","$2,032,467.63 "
82042,GLOBL,,"30,785","$205,673.23 ","$205,273.21 "
,TOTAL,,"30,785","$205,673.23 ","$205,273.21 "
82043,GLOBL,,"1,369,827","$10,286,129.80 ","$10,258,916.37 "
,TOTAL,,"1,369,827","$10,286,129.80 ","$10,258,916.37 "
82044,GLOBL,,"414,320","$2,350,955.75 ","$2,336,214.47 "
,TOTAL,,"414,320","$2,350,955.75 ","$2,336,214.47 "
82045,GLOBL,,334,"$15,328.09 ","$15,270.38 "
,TOTAL,,334,"$15,328.09 ","$15,270.38 "
82055,GLOBL,,"40,151","$600,589.33 ","$599,660.25 "
,TOTAL,,"40,151","$600,589.33 ","$599,660.25 "
82075,GLOBL,,432,"$7,253.09 ","$7,202.49 "
,TOTAL,,432,"$7,253.09 ","$7,202.49 "
82085,GLOBL,,"62,054","$839,038.55 ","$837,569.86 "
,TOTAL,,"62,054","$839,038.55 ","$837,569.86 "
82088,GLOBL,,"27,939","$1,579,557.13 ","$1,575,844.13 "
,TOTAL,,"27,939","$1,579,557.13 ","$1,575,844.13 "
82101,GLOBL,,634,"$21,798.94 ","$21,798.94 "
,TOTAL,,634,"$21,798.94 ","$21,798.94 "
82103,GLOBL,,"18,687","$339,540.86 ","$338,807.61 "
,TOTAL,,"18,687","$339,540.86 ","$338,807.61 "
82104,GLOBL,,"3,979","$80,273.78 ","$80,047.03 "
,TOTAL,,"3,979","$80,273.78 ","$80,047.03 "
82105,GLOBL,,"68,325","$1,592,818.22 ","$1,590,078.16 "
,TOTAL,,"68,325","$1,592,818.22 ","$1,590,078.16 "
82106,GLOBL,,233,"$5,424.94 ","$5,333.83 "
,TOTAL,,233,"$5,424.94 ","$5,333.83 "
82108,GLOBL,,"497,277","$17,689,710.64 ","$17,681,186.96 "
,TOTAL,,"497,277","$17,689,710.64 ","$17,681,186.96 "
82120,GLOBL,,"3,459","$17,448.25 ","$17,274.59 "
,TOTAL,,"3,459","$17,448.25 ","$17,274.59 "
82127,GLOBL,,"4,037","$78,196.69 ","$77,895.34 "
,TOTAL,,"4,037","$78,196.69 ","$77,895.34 "
82128,GLOBL,,"1,223","$23,684.41 ","$23,665.61 "
,TOTAL,,"1,223","$23,684.41 ","$23,665.61 "
82131,GLOBL,,"72,370","$1,691,043.25 ","$1,686,873.49 "
,TOTAL,,"72,370","$1,691,043.25 ","$1,686,873.49 "
82135,GLOBL,,196,"$4,501.64 ","$4,480.94 "
,TOTAL,,196,"$4,501.64 ","$4,480.94 "
82136,GLOBL,,"10,450","$186,726.31 ","$186,679.08 "
,TOTAL,,"10,450","$186,726.31 ","$186,679.08 "
82139,GLOBL,,"2,214","$44,373.85 ","$44,232.76 "
,TOTAL,,"2,214","$44,373.85 ","$44,232.76 "
82140,GLOBL,,"75,732","$1,512,895.49 ","$1,509,089.76 "
,TOTAL,,"75,732","$1,512,895.49 ","$1,509,089.76 "
82143,GLOBL,,7,$67.27 ,$67.27 
,TOTAL,,7,$67.27 ,$67.27 
82145,GLOBL,,"31,881","$603,397.61 ","$598,878.28 "
,TOTAL,,"31,881","$603,397.61 ","$598,878.28 "
82150,GLOBL,,"568,772","$5,142,725.54 ","$5,129,097.29 "
,TOTAL,,"568,772","$5,142,725.54 ","$5,129,097.29 "
82154,GLOBL,,115,"$3,800.40 ","$3,800.40 "
,TOTAL,,115,"$3,800.40 ","$3,800.40 "
82157,GLOBL,,"5,113","$195,223.51 ","$194,768.35 "
,TOTAL,,"5,113","$195,223.51 ","$194,768.35 "
82160,GLOBL,,286,"$8,530.14 ","$8,434.13 "
,TOTAL,,286,"$8,530.14 ","$8,434.13 "
82163,GLOBL,,162,"$4,634.83 ","$4,631.96 "
,TOTAL,,162,"$4,634.83 ","$4,631.96 "
82164,GLOBL,,"28,888","$587,658.54 ","$586,443.77 "
,TOTAL,,"28,888","$587,658.54 ","$586,443.77 "
82172,GLOBL,,"197,290","$4,010,475.96 ","$4,004,717.43 "
,TOTAL,,"197,290","$4,010,475.96 ","$4,004,717.43 "
82175,GLOBL,,"10,163","$265,776.47 ","$265,602.77 "
,TOTAL,,"10,163","$265,776.47 ","$265,602.77 "
82180,GLOBL,,"2,201","$30,050.16 ","$30,014.95 "
,TOTAL,,"2,201","$30,050.16 ","$30,014.95 "
82190,GLOBL,,125,"$2,425.67 ","$2,423.59 "
,TOTAL,,125,"$2,425.67 ","$2,423.59 "
82205,GLOBL,,"30,717","$491,492.01 ","$488,041.87 "
,TOTAL,,"30,717","$491,492.01 ","$488,041.87 "
82232,GLOBL,,"124,255","$2,794,288.05 ","$2,788,490.66 "
,TOTAL,,"124,255","$2,794,288.05 ","$2,788,490.66 "
82239,GLOBL,,"1,362","$30,935.24 ","$30,715.18 "
,TOTAL,,"1,362","$30,935.24 ","$30,715.18 "
82240,GLOBL,,"6,420","$235,408.86 ","$235,347.11 "
,TOTAL,,"6,420","$235,408.86 ","$235,347.11 "
82247,GLOBL,,"796,222","$1,107,326.36 ","$1,105,176.23 "
,TOTAL,,"796,222","$1,107,326.36 ","$1,105,176.23 "
82248,GLOBL,,"1,886,038","$3,994,732.14 ","$3,990,273.93 "
,TOTAL,,"1,886,038","$3,994,732.14 ","$3,990,273.93 "
82252,GLOBL,,233,$927.50 ,$924.35 
,TOTAL,,233,$927.50 ,$924.35 
82261,GLOBL,,75,"$1,721.71 ","$1,721.71 "
,TOTAL,,75,"$1,721.71 ","$1,721.71 "
82270,GLOBL,,"1,099,996","$4,910,767.60 ","$4,888,533.33 "
,TOTAL,,"1,099,996","$4,910,767.60 ","$4,888,533.33 "
82273,GLOBL,,"7,811","$35,361.91 ","$35,295.14 "
,TOTAL,,"7,811","$35,361.91 ","$35,295.14 "
82274,GLOBL,,"59,310","$1,220,004.96 ","$1,216,755.16 "
,TOTAL,,"59,310","$1,220,004.96 ","$1,216,755.16 "
82300,GLOBL,,"2,144","$61,161.52 ","$61,031.72 "
,TOTAL,,"2,144","$61,161.52 ","$61,031.72 "
82306,GLOBL,,"280,955","$11,543,493.83 ","$11,525,677.98 "
,TOTAL,,"280,955","$11,543,493.83 ","$11,525,677.98 "
82307,GLOBL,,"45,576","$2,051,688.91 ","$2,050,749.74 "
,TOTAL,,"45,576","$2,051,688.91 ","$2,050,749.74 "
82308,GLOBL,,"7,558","$282,305.42 ","$282,097.59 "
,TOTAL,,"7,558","$282,305.42 ","$282,097.59 "
82310,GLOBL,,"2,144,955","$7,274,512.34 ","$7,269,669.70 "
,TOTAL,,"2,144,955","$7,274,512.34 ","$7,269,669.70 "
82330,GLOBL,,"159,179","$2,960,226.35 ","$2,956,480.25 "
,TOTAL,,"159,179","$2,960,226.35 ","$2,956,480.25 "
82331,GLOBL,,"12,083","$87,359.77 ","$87,348.25 "
,TOTAL,,"12,083","$87,359.77 ","$87,348.25 "
82340,GLOBL,,"64,215","$531,522.49 ","$529,903.89 "
,TOTAL,,"64,215","$531,522.49 ","$529,903.89 "
82355,GLOBL,,"7,416","$119,009.41 ","$118,600.84 "
,TOTAL,,"7,416","$119,009.41 ","$118,600.84 "
82360,GLOBL,,"8,411","$139,004.55 ","$138,734.65 "
,TOTAL,,"8,411","$139,004.55 ","$138,734.65 "
82365,GLOBL,,"13,192","$230,107.55 ","$229,693.99 "
,TOTAL,,"13,192","$230,107.55 ","$229,693.99 "
82370,GLOBL,,967,"$16,383.00 ","$16,319.38 "
,TOTAL,,967,"$16,383.00 ","$16,319.38 "
82373,GLOBL,,161,"$3,041.05 ","$3,001.19 "
,TOTAL,,161,"$3,041.05 ","$3,001.19 "
82374,GLOBL,,"193,601","$260,696.94 ","$260,376.44 "
,TOTAL,,"193,601","$260,696.94 ","$260,376.44 "
82375,GLOBL,,"10,906","$165,633.24 ","$164,161.49 "
,TOTAL,,"10,906","$165,633.24 ","$164,161.49 "
82376,GLOBL,,418,"$3,459.77 ","$3,459.77 "
,TOTAL,,418,"$3,459.77 ","$3,459.77 "
82378,GLOBL,,"731,577","$19,373,463.28 ","$19,312,482.71 "
,TOTAL,,"731,577","$19,373,463.28 ","$19,312,482.71 "
82379,GLOBL,,"8,306","$192,146.34 ","$192,048.96 "
,TOTAL,,"8,306","$192,146.34 ","$192,048.96 "
82380,GLOBL,,"4,266","$54,910.04 ","$54,870.01 "
,TOTAL,,"4,266","$54,910.04 ","$54,870.01 "
82382,GLOBL,,339,"$8,133.81 ","$8,064.67 "
,TOTAL,,339,"$8,133.81 ","$8,064.67 "
82383,GLOBL,,149,"$5,086.45 ","$5,065.65 "
,TOTAL,,149,"$5,086.45 ","$5,065.65 "
82384,GLOBL,,"17,648","$618,280.87 ","$616,870.63 "
,TOTAL,,"17,648","$618,280.87 ","$616,870.63 "
