Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 65091 - 68899,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
65091,SG,EYE,20,"$9,518.54 ","$7,614.82 "
,80'S,,1,$84.35 ,$67.48 
,OTHER,,101,"$53,438.44 ","$42,640.62 "
,TOTAL,,122,"$63,041.33 ","$50,322.92 "
65093,SG,,194,"$92,581.23 ","$73,022.53 "
,OTHER,,709,"$396,780.80 ","$314,544.55 "
,TOTAL,,903,"$489,362.03 ","$387,567.08 "
65101,SG,,11,"$5,175.56 ","$4,116.66 "
,OTHER,,115,"$67,257.92 ","$53,634.97 "
,TOTAL,,126,"$72,433.48 ","$57,751.63 "
65103,SG,,60,"$28,794.59 ","$22,836.45 "
,OTHER,,287,"$181,279.32 ","$142,864.16 "
,TOTAL,,347,"$210,073.91 ","$165,700.61 "
65105,SG,,220,"$135,662.35 ","$107,912.80 "
,80'S,,57,"$6,712.45 ","$5,357.94 "
,OTHER,,"1,033","$727,712.17 ","$577,906.34 "
,TOTAL,,"1,310","$870,086.97 ","$691,177.08 "
65110,SG,,6,"$4,327.81 ","$3,462.25 "
,80'S,,6,"$1,066.76 ",$853.41 
,OTHER,,86,"$82,836.19 ","$66,252.37 "
,TOTAL,,98,"$88,230.76 ","$70,568.03 "
65112,80'S,,1,$191.53 ,$153.22 
,OTHER,,37,"$39,345.77 ","$31,308.93 "
,TOTAL,,38,"$39,537.30 ","$31,462.15 "
65114,80'S,,1,$230.97 ,$184.78 
,OTHER,,24,"$27,042.62 ","$20,645.22 "
,TOTAL,,25,"$27,273.59 ","$20,830.00 "
65125,OTHER,,46,"$13,077.39 ","$10,461.87 "
,TOTAL,,46,"$13,077.39 ","$10,461.87 "
65130,SG,,9,"$4,007.21 ","$3,205.77 "
,OTHER,,29,"$15,219.57 ","$11,857.75 "
,TOTAL,,38,"$19,226.78 ","$15,063.52 "
65135,SG,,9,"$3,548.44 ","$2,838.75 "
,OTHER,,45,"$26,281.28 ","$20,569.71 "
,TOTAL,,54,"$29,829.72 ","$23,408.46 "
65140,SG,,8,"$3,517.87 ","$2,396.43 "
,OTHER,,48,"$27,042.15 ","$21,630.24 "
,TOTAL,,56,"$30,560.02 ","$24,026.67 "
65150,SG,,19,"$6,692.55 ","$5,353.09 "
,OTHER,,51,"$22,948.14 ","$17,583.18 "
,TOTAL,,70,"$29,640.69 ","$22,936.27 "
65155,SG,,17,"$7,410.97 ","$5,636.64 "
,OTHER,,83,"$55,153.85 ","$43,081.96 "
,TOTAL,,100,"$62,564.82 ","$48,718.60 "
65175,SG,,41,"$9,494.94 ","$7,595.99 "
,OTHER,,161,"$64,261.57 ","$50,834.01 "
,TOTAL,,202,"$73,756.51 ","$58,430.00 "
65205,OTHER,,"23,603","$1,163,543.73 ","$832,494.11 "
,TOTAL,,"23,603","$1,163,543.73 ","$832,494.11 "
65210,OTHER,,"23,143","$1,450,387.80 ","$1,065,660.48 "
,TOTAL,,"23,143","$1,450,387.80 ","$1,065,660.48 "
65220,OTHER,,"3,090","$138,868.59 ","$97,351.82 "
,TOTAL,,"3,090","$138,868.59 ","$97,351.82 "
65222,OTHER,,"34,386","$2,352,820.27 ","$1,686,309.44 "
,TOTAL,,"34,386","$2,352,820.27 ","$1,686,309.44 "
65235,SG,,155,"$62,004.87 ","$49,136.03 "
,80'S,,1,$42.12 ,$33.70 
,OTHER,,225,"$96,487.35 ","$76,195.34 "
,TOTAL,,381,"$158,534.34 ","$125,365.07 "
65260,SG,,5,"$1,407.38 ","$1,125.91 "
,80'S,,1,$63.90 ,$51.12 
,OTHER,,15,"$6,866.59 ","$5,493.27 "
,TOTAL,,21,"$8,337.87 ","$6,670.30 "
65265,SG,,22,"$8,256.18 ","$6,604.91 "
,80'S,,18,"$2,027.81 ","$1,622.24 "
,OTHER,,257,"$171,607.92 ","$136,495.58 "
,TOTAL,,297,"$181,891.91 ","$144,722.73 "
65270,SG,,19,"$7,457.23 ","$5,877.79 "
,OTHER,,137,"$21,765.75 ","$16,858.85 "
,TOTAL,,156,"$29,222.98 ","$22,736.64 "
65272,SG,,16,"$4,503.80 ","$3,437.86 "
,OTHER,,68,"$19,243.09 ","$15,154.28 "
,TOTAL,,84,"$23,746.89 ","$18,592.14 "
65273,OTHER,,19,"$4,384.93 ","$3,419.94 "
,TOTAL,,19,"$4,384.93 ","$3,419.94 "
65275,SG,,25,"$13,644.79 ","$10,777.78 "
,OTHER,,93,"$32,637.41 ","$25,824.99 "
,TOTAL,,118,"$46,282.20 ","$36,602.77 "
65280,SG,,44,"$23,594.54 ","$18,875.67 "
,80'S,,3,$181.56 ,$145.25 
,OTHER,,297,"$134,365.44 ","$106,546.09 "
,TOTAL,,344,"$158,141.54 ","$125,567.01 "
65285,SG,,119,"$69,228.88 ","$55,165.66 "
,80'S,,39,"$5,101.76 ","$4,081.39 "
,OTHER,,"1,177","$970,552.03 ","$771,320.87 "
,TOTAL,,"1,335","$1,044,882.67 ","$830,567.92 "
65286,OTHER,,507,"$256,472.66 ","$203,732.35 "
,TOTAL,,507,"$256,472.66 ","$203,732.35 "
65290,SG,,4,"$1,980.22 ","$1,584.17 "
,OTHER,,50,"$13,914.76 ","$10,934.24 "
,TOTAL,,54,"$15,894.98 ","$12,518.41 "
65400,SG,,"1,214","$347,419.56 ","$273,942.34 "
,OTHER,,"4,310","$1,960,499.50 ","$1,543,842.50 "
,TOTAL,,"5,524","$2,307,919.06 ","$1,817,784.84 "
65410,SG,,44,"$16,101.09 ","$12,704.88 "
,OTHER,,138,"$12,606.73 ","$9,840.53 "
,TOTAL,,182,"$28,707.82 ","$22,545.41 "
65420,SG,,"2,327","$788,081.68 ","$619,252.27 "
,OTHER,,"5,289","$1,529,215.73 ","$1,196,807.97 "
,TOTAL,,"7,616","$2,317,297.41 ","$1,816,060.24 "
65426,SG,,"2,821","$1,947,832.71 ","$1,528,690.39 "
,OTHER,,"5,135","$1,973,848.58 ","$1,542,671.25 "
,TOTAL,,"7,956","$3,921,681.29 ","$3,071,361.64 "
65430,OTHER,,"5,072","$517,981.10 ","$398,030.77 "
,TOTAL,,"5,072","$517,981.10 ","$398,030.77 "
65435,OTHER,,"5,286","$364,107.14 ","$274,545.73 "
,TOTAL,,"5,286","$364,107.14 ","$274,545.73 "
65436,OTHER,,"1,157","$328,115.46 ","$256,948.74 "
,TOTAL,,"1,157","$328,115.46 ","$256,948.74 "
65450,OTHER,,760,"$175,984.41 ","$137,044.89 "
,TOTAL,,760,"$175,984.41 ","$137,044.89 "
65600,OTHER,,577,"$174,768.58 ","$135,856.02 "
,TOTAL,,577,"$174,768.58 ","$135,856.02 "
65710,SG,,500,"$478,785.27 ","$381,233.24 "
,80'S,,25,"$3,738.79 ","$2,990.99 "
,OTHER,,726,"$634,527.14 ","$504,239.97 "
,TOTAL,,"1,251","$1,117,051.20 ","$888,464.20 "
65730,SG,,"2,273","$2,211,505.29 ","$1,753,239.54 "
,80'S,,406,"$69,369.71 ","$54,962.56 "
,OTHER,,"4,820","$4,691,879.04 ","$3,712,394.31 "
,TOTAL,,"7,499","$6,972,754.04 ","$5,520,596.41 "
65750,SG,,413,"$406,682.78 ","$324,277.63 "
,80'S,,139,"$23,881.56 ","$18,835.54 "
,OTHER,,"1,038","$1,069,756.14 ","$851,093.27 "
,TOTAL,,"1,590","$1,500,320.48 ","$1,194,206.44 "
65755,SG,,"4,001","$3,928,679.01 ","$3,125,787.69 "
,80'S,,948,"$164,953.89 ","$130,770.97 "
,OTHER,,"9,870","$9,927,891.83 ","$7,878,882.09 "
,TOTAL,,"14,819","$14,021,524.73 ","$11,135,440.75 "
65770,SG,,32,"$28,233.93 ","$22,587.13 "
,80'S,,22,"$3,974.62 ","$3,091.72 "
,OTHER,,206,"$235,324.86 ","$187,955.52 "
,TOTAL,,260,"$267,533.41 ","$213,634.37 "
65772,SG,,"1,463","$660,864.70 ","$522,840.71 "
,OTHER,,"4,898","$1,372,842.64 ","$1,082,801.48 "
,TOTAL,,"6,361","$2,033,707.34 ","$1,605,642.19 "
