Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 70010 - 79999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
70010,TC,RADIOLOGY,2,$139.38 ,$64.21 
,26,,112,"$5,177.34 ","$4,068.28 "
,GLOBL,,10,$910.27 ,$728.22 
,TOTAL,,124,"$6,226.99 ","$4,860.71 "
70015,26,,278,"$17,241.54 ","$13,502.38 "
,GLOBL,,39,"$4,319.42 ","$3,321.36 "
,TOTAL,,317,"$21,560.96 ","$16,823.74 "
70030,TC,,"1,145","$18,058.67 ","$13,607.66 "
,26,,"26,709","$242,269.61 ","$186,216.13 "
,GLOBL,,"6,744","$169,524.63 ","$127,911.64 "
,TOTAL,,"34,598","$429,852.91 ","$327,735.43 "
70100,TC,,836,"$16,854.33 ","$12,644.72 "
,26,,"5,769","$54,814.75 ","$41,480.42 "
,GLOBL,,"1,965","$55,988.25 ","$41,784.42 "
,TOTAL,,"8,570","$127,657.33 ","$95,909.56 "
70110,TC,,621,"$14,568.26 ","$10,563.66 "
,26,,"13,282","$171,357.52 ","$128,791.16 "
,GLOBL,,"2,371","$80,898.76 ","$58,990.84 "
,TOTAL,,"16,274","$266,824.54 ","$198,345.66 "
70120,TC,,228,"$4,989.60 ","$3,418.96 "
,26,,504,"$4,701.98 ","$3,578.50 "
,GLOBL,,421,"$13,608.57 ","$10,131.71 "
,TOTAL,,"1,153","$23,300.15 ","$17,129.17 "
70130,TC,,159,"$4,264.22 ","$3,228.94 "
,26,,583,"$10,109.71 ","$7,722.44 "
,GLOBL,,543,"$26,343.41 ","$19,670.18 "
,TOTAL,,"1,285","$40,717.34 ","$30,621.56 "
70134,TC,,2,$55.24 ,$35.82 
,26,,70,"$1,215.20 ",$931.56 
,GLOBL,,48,"$2,308.92 ","$1,833.12 "
,TOTAL,,120,"$3,579.36 ","$2,800.50 "
70140,TC,,"1,981","$50,716.64 ","$38,971.50 "
,26,,"9,345","$92,733.08 ","$70,375.59 "
,GLOBL,,"3,690","$123,608.05 ","$93,845.26 "
,TOTAL,,"15,016","$267,057.77 ","$203,192.35 "
70150,TC,,"2,979","$90,558.17 ","$68,217.25 "
,26,,"29,452","$389,781.97 ","$293,573.11 "
,GLOBL,,"8,070","$320,731.67 ","$239,772.27 "
,TOTAL,,"40,501","$801,071.81 ","$601,562.63 "
70160,TC,,"2,376","$46,727.42 ","$34,835.87 "
,26,,"36,106","$330,099.63 ","$248,447.44 "
,GLOBL,,"6,226","$162,399.70 ","$119,849.37 "
,TOTAL,,"44,708","$539,226.75 ","$403,132.68 "
70170,26,,219,"$3,383.89 ","$2,613.88 "
,GLOBL,,50,"$2,712.18 ","$2,096.53 "
,TOTAL,,269,"$6,096.07 ","$4,710.41 "
70190,TC,,61,"$1,408.60 ","$1,047.29 "
,26,,558,"$6,238.90 ","$4,829.33 "
,GLOBL,,516,"$17,293.27 ","$13,117.60 "
,TOTAL,,"1,135","$24,940.77 ","$18,994.22 "
70200,TC,,"1,204","$36,534.79 ","$27,709.17 "
,26,,"15,579","$225,277.02 ","$171,315.43 "
,GLOBL,,"4,118","$180,547.17 ","$136,519.86 "
,TOTAL,,"20,901","$442,358.98 ","$335,544.46 "
70210,TC,,"16,983","$379,050.46 ","$272,236.77 "
,26,,"33,291","$294,938.84 ","$217,920.64 "
,GLOBL,,"64,550","$2,013,589.66 ","$1,456,986.01 "
,TOTAL,,"114,824","$2,687,578.96 ","$1,947,143.42 "
70220,TC,,"24,295","$690,502.31 ","$504,376.09 "
,26,,"78,598","$997,537.49 ","$742,439.37 "
,GLOBL,,"70,171","$2,885,876.02 ","$2,110,791.25 "
,TOTAL,,"173,064","$4,573,915.82 ","$3,357,606.71 "
70240,TC,,40,$613.86 ,$467.40 
,26,,203,"$1,974.52 ","$1,503.54 "
,GLOBL,,270,"$7,045.24 ","$5,529.42 "
,TOTAL,,513,"$9,633.62 ","$7,500.36 "
70250,TC,,"6,826","$171,475.68 ","$131,265.35 "
,26,,"41,919","$523,911.83 ","$403,865.40 "
,GLOBL,,"14,927","$524,868.16 ","$400,042.76 "
,TOTAL,,"63,672","$1,220,255.67 ","$935,173.51 "
70260,TC,,"4,366","$154,221.48 ","$118,259.67 "
,26,,"25,791","$455,518.71 ","$347,469.93 "
,GLOBL,,"10,367","$519,787.83 ","$391,926.38 "
,TOTAL,,"40,524","$1,129,528.02 ","$857,655.98 "
70300,TC,,15,$152.55 ,$122.07 
,26,,118,$721.46 ,$539.68 
,GLOBL,,763,"$12,097.45 ","$8,919.30 "
,TOTAL,,896,"$12,971.46 ","$9,581.05 "
70310,TC,,2,$32.98 ,$26.38 
,26,,126,"$1,203.24 ",$865.10 
,GLOBL,,259,"$5,835.32 ","$4,495.33 "
,TOTAL,,387,"$7,071.54 ","$5,386.81 "
70320,TC,,33,"$1,111.75 ",$889.40 
,26,,"1,480","$17,863.20 ","$13,864.42 "
,GLOBL,,"1,588","$69,408.58 ","$52,815.55 "
,TOTAL,,"3,101","$88,383.53 ","$67,569.37 "
70328,TC,,124,"$2,165.71 ","$1,549.08 "
,26,,521,"$4,926.61 ","$3,617.18 "
,GLOBL,,432,"$11,994.25 ","$9,060.73 "
,TOTAL,,"1,077","$19,086.57 ","$14,226.99 "
70330,TC,,378,"$11,522.36 ","$8,477.42 "
,26,,"2,702","$33,749.63 ","$25,205.66 "
,GLOBL,,"2,846","$124,775.89 ","$94,956.19 "
,TOTAL,,"5,926","$170,047.88 ","$128,639.27 "
70332,TC,,11,$828.64 ,$662.92 
,26,,66,"$2,046.16 ","$1,570.06 "
,GLOBL,,84,"$8,192.95 ","$6,170.98 "
,TOTAL,,161,"$11,067.75 ","$8,403.96 "
70336,TC,,214,"$94,223.13 ","$74,240.50 "
,26,,"1,344","$104,076.50 ","$80,270.00 "
,GLOBL,,"1,777","$964,722.83 ","$752,354.10 "
,TOTAL,,"3,335","$1,163,022.46 ","$906,864.60 "
70350,TC,,44,$674.95 ,$539.83 
,26,,134,"$1,228.46 ",$916.52 
,GLOBL,,962,"$22,905.79 ","$17,890.17 "
,TOTAL,,"1,140","$24,809.20 ","$19,346.52 "
70355,TC,,351,"$7,708.61 ","$5,934.12 "
,26,,"10,925","$115,210.20 ","$88,382.60 "
,GLOBL,,"19,900","$633,184.82 ","$483,279.87 "
,TOTAL,,"31,176","$756,103.63 ","$577,596.59 "
70360,TC,,"1,432","$21,329.58 ","$15,967.29 "
,26,,"57,136","$518,004.95 ","$394,535.08 "
,GLOBL,,"13,044","$292,377.06 ","$223,824.54 "
,TOTAL,,"71,612","$831,711.59 ","$634,326.91 "
70370,TC,,164,"$7,823.87 ","$6,233.33 "
,26,,"3,102","$51,507.52 ","$40,603.04 "
,GLOBL,,"2,191","$143,936.11 ","$114,563.62 "
,TOTAL,,"5,457","$203,267.50 ","$161,399.99 "
70371,TC,,"1,482","$118,442.67 ","$94,694.46 "
,26,,"30,610","$1,345,974.98 ","$1,059,187.72 "
,GLOBL,,"9,081","$1,104,344.78 ","$872,232.09 "
,TOTAL,,"41,173","$2,568,762.43 ","$2,026,114.27 "
70373,TC,,351,"$22,715.72 ","$18,165.77 "
,26,,"6,803","$152,828.41 ","$121,509.77 "
,GLOBL,,"4,756","$401,738.64 ","$321,062.58 "
,TOTAL,,"11,910","$577,282.77 ","$460,738.12 "
70380,TC,,20,$524.04 ,$380.27 
,26,,85,$784.89 ,$596.72 
,GLOBL,,461,"$15,153.69 ","$11,578.49 "
,TOTAL,,566,"$16,462.62 ","$12,555.48 "
70390,TC,,11,$717.93 ,$574.34 
,26,,593,"$11,602.99 ","$8,867.84 "
,GLOBL,,86,"$7,725.26 ","$5,867.72 "
,TOTAL,,690,"$20,046.18 ","$15,309.90 "
70450,TC,,"36,612","$6,362,883.87 ","$4,955,394.09 "
,26,,"4,121,598","$183,445,497.01 ","$141,788,975.89 "
,GLOBL,,"230,041","$38,699,803.00 ","$30,094,588.49 "
,TOTAL,,"4,388,251","$228,508,183.88 ","$176,838,958.47 "
70460,TC,,"1,749","$361,664.10 ","$284,893.74 "
