Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges E0100 - E2621,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
E0304,TOTAL,,859,"$545,755.45 ","$434,012.48 "
E0305,TOTAL,,"2,020","$28,512.45 ","$21,659.07 "
E0310,TOTAL,,"1,635","$107,891.60 ","$84,364.37 "
E0316,TOTAL,,341,"$58,389.64 ","$45,918.17 "
E0325,TOTAL,,"2,492","$20,769.99 ","$15,521.39 "
E0326,TOTAL,,252,"$1,435.25 ","$1,032.32 "
E0350,TOTAL,,1,$893.74 ,$714.99 
E0352,TOTAL,,675,"$27,825.60 ","$22,172.48 "
E0371,TOTAL,,"4,236","$1,540,517.16 ","$1,215,945.63 "
E0372,TOTAL,,"10,827","$4,898,948.92 ","$3,879,179.25 "
E0373,TOTAL,,"6,936","$3,330,537.12 ","$2,643,432.87 "
E0424,TOTAL,,"8,098","$1,632,370.90 ","$1,281,690.68 "
E0431,TOTAL,,"7,451,917","$239,860,346.33 ","$187,657,299.22 "
E0434,TOTAL,,"1,005,462","$32,478,891.25 ","$25,345,542.60 "
E0439,TOTAL,,"734,633","$145,813,761.00 ","$114,024,779.83 "
E0441,TOTAL,,"2,078","$119,477.91 ","$92,870.10 "
E0442,TOTAL,,"23,374","$240,062.81 ","$177,739.50 "
E0443,TOTAL,,"13,944","$175,857.30 ","$130,618.97 "
E0444,TOTAL,,"5,710","$6,713.12 ","$4,816.02 "
E0450,TOTAL,,"37,470","$34,469,642.12 ","$27,372,068.02 "
E0457,TOTAL,,44,"$3,995.43 ","$2,873.15 "
E0459,TOTAL,,29,"$1,078.35 ",$836.79 
E0460,TOTAL,,"1,488","$1,054,636.35 ","$836,217.89 "
E0461,TOTAL,,"9,020","$9,028,912.25 ","$7,207,927.38 "
E0462,TOTAL,,16,"$3,948.45 ","$3,070.75 "
E0463,TOTAL,,"7,290","$10,166,017.73 ","$8,083,864.59 "
E0464,TOTAL,,"6,637","$9,130,619.94 ","$7,303,993.74 "
E0470,TOTAL,,"399,428","$82,663,714.50 ","$64,745,786.67 "
E0471,TOTAL,,"90,799","$54,263,013.03 ","$43,034,948.54 "
E0472,TOTAL,,685,"$395,542.29 ","$311,133.53 "
E0480,TOTAL,,"4,228","$151,273.29 ","$115,973.88 "
E0482,TOTAL,,"5,824","$2,079,100.32 ","$1,636,000.21 "
E0483,TOTAL,,"10,488","$9,185,839.76 ","$7,316,432.73 "
E0484,TOTAL,,"1,486","$53,571.71 ","$42,017.16 "
E0500,TOTAL,,"10,717","$1,139,742.74 ","$878,599.54 "
E0550,TOTAL,,"3,097","$124,470.18 ","$95,161.27 "
E0555,TOTAL,,32,$78.40 ,$62.72 
E0560,TOTAL,,417,"$18,316.11 ","$14,263.48 "
E0561,TOTAL,,"45,582","$1,909,189.99 ","$1,487,826.55 "
E0562,TOTAL,,"497,503","$49,265,034.71 ","$38,807,336.93 "
E0565,TOTAL,,"36,266","$1,771,451.15 ","$1,374,211.33 "
E0570,TOTAL,,"5,435,993","$73,658,180.13 ","$54,880,957.23 "
E0571,TOTAL,,"21,314","$524,515.31 ","$412,860.73 "
E0572,TOTAL,,401,"$12,214.65 ","$9,317.85 "
E0574,TOTAL,,"1,177","$40,139.01 ","$29,542.73 "
E0575,TOTAL,,116,"$11,242.41 ","$8,897.64 "
E0580,TOTAL,,235,"$15,909.02 ","$12,321.78 "
E0585,TOTAL,,843,"$23,350.02 ","$18,020.55 "
E0600,TOTAL,,"161,332","$5,968,006.61 ","$4,568,951.46 "
E0601,TOTAL,,"2,238,876","$199,994,715.16 ","$151,833,529.85 "
E0605,TOTAL,,636,"$16,038.92 ","$12,076.55 "
E0607,TOTAL,,"500,623","$32,048,901.78 ","$24,182,524.67 "
E0610,TOTAL,,184,"$23,975.09 ","$18,838.68 "
E0615,TOTAL,,124,"$41,277.56 ","$32,871.05 "
E0616,TOTAL,,1,"$2,190.41 ","$1,752.33 "
E0617,TOTAL,,241,"$60,505.27 ","$48,115.28 "
E0618,TOTAL,,32,"$7,082.18 ","$5,499.41 "
E0620,TOTAL,,23,"$1,902.92 ","$1,522.26 "
E0621,TOTAL,,"1,563","$108,413.65 ","$82,623.37 "
E0627,TOTAL,,"38,216","$12,488,919.48 ","$9,867,351.49 "
E0628,TOTAL,,"11,342","$3,696,583.13 ","$2,932,068.84 "
E0629,TOTAL,,"4,276","$1,433,598.97 ","$1,135,857.12 "
E0630,TOTAL,,"336,572","$27,791,792.49 ","$21,303,412.41 "
E0635,TOTAL,,412,"$38,340.83 ","$30,096.40 "
E0636,TOTAL,,15,"$10,091.40 ","$8,073.15 "
E0650,TOTAL,,"1,221","$281,394.83 ","$223,938.27 "
E0651,TOTAL,,"5,611","$3,321,115.86 ","$2,641,453.81 "
E0652,TOTAL,,"1,579","$7,580,215.37 ","$6,057,988.62 "
E0655,TOTAL,,5,$243.64 ,$194.89 
E0660,TOTAL,,147,"$7,833.20 ","$6,206.32 "
E0665,TOTAL,,124,"$6,357.76 ","$4,944.69 "
E0666,TOTAL,,168,"$4,272.32 ","$3,332.37 "
E0667,TOTAL,,"6,281","$1,936,461.50 ","$1,547,439.74 "
E0668,TOTAL,,"1,281","$434,818.00 ","$347,130.96 "
E0669,TOTAL,,673,"$112,745.89 ","$90,197.38 "
E0671,TOTAL,,151,"$53,621.72 ","$42,871.38 "
E0672,TOTAL,,59,"$10,623.10 ","$8,409.74 "
E0673,TOTAL,,369,"$98,188.37 ","$78,550.56 "
E0675,TOTAL,,365,"$116,761.68 ","$92,515.49 "
E0691,TOTAL,,51,"$35,702.57 ","$28,474.03 "
E0692,TOTAL,,13,"$13,765.94 ","$10,821.04 "
E0693,TOTAL,,49,"$71,792.80 ","$56,342.16 "
E0694,TOTAL,,46,"$145,144.47 ","$114,329.16 "
E0701,TOTAL,,93,"$12,453.33 ","$9,469.13 "
E0720,TOTAL,,"17,048","$2,198,240.32 ","$1,746,149.96 "
E0730,TOTAL,,"101,006","$14,041,777.20 ","$11,156,383.38 "
E0731,TOTAL,,486,"$158,485.12 ","$126,382.31 "
E0740,TOTAL,,"1,251","$473,081.02 ","$375,907.12 "
E0744,TOTAL,,2,$183.14 ,$146.52 
E0745,TOTAL,,992,"$76,614.59 ","$60,911.78 "
E0746,TOTAL,,27,"$3,254.51 ","$2,603.62 "
E0747,TOTAL,,"5,412","$18,828,626.81 ","$14,990,775.65 "
E0748,TOTAL,,"11,392","$42,024,946.48 ","$33,318,704.61 "
E0752,TOTAL,,"19,599","$7,114,103.45 ","$5,628,583.43 "
E0754,TOTAL,,911,"$825,289.03 ","$652,877.96 "
E0756,TOTAL,,432,"$2,761,394.44 ","$2,170,670.01 "
E0757,TOTAL,,58,"$243,776.34 ","$194,933.07 "
E0758,TOTAL,,134,"$533,855.14 ","$427,084.30 "
E0760,TOTAL,,"2,086","$5,923,671.98 ","$4,725,923.55 "
E0765,TOTAL,,1,$84.13 ,$67.30 
E0776,TOTAL,,"433,727","$10,873,240.80 ","$8,612,330.87 "
E0779,TOTAL,,436,"$6,605.51 ","$5,256.98 "
E0780,TOTAL,,2,$20.74 ,$16.60 
E0781,TOTAL,,"87,470","$19,270,498.41 ","$15,372,247.23 "
E0782,TOTAL,,85,"$83,296.03 ","$66,609.65 "
E0783,TOTAL,,156,"$1,096,161.63 ","$862,138.53 "
E0784,TOTAL,,"53,844","$18,284,085.97 ","$14,526,272.33 "
E0785,TOTAL,,43,"$16,731.80 ","$13,197.40 "
E0786,TOTAL,,9,"$65,846.98 ","$52,677.60 "
E0791,TOTAL,,549,"$149,279.50 ","$119,317.56 "
E0840,TOTAL,,104,"$6,704.13 ","$5,146.39 "
E0849,TOTAL,,"7,885","$1,446,298.24 ","$1,150,977.10 "
E0850,TOTAL,,45,"$2,940.19 ","$2,029.90 "
E0855,TOTAL,,156,"$67,385.54 ","$52,768.16 "
E0860,TOTAL,,"8,046","$289,119.54 ","$223,962.04 "
E0870,TOTAL,,242,"$11,421.69 ","$9,056.85 "
E0880,TOTAL,,52,"$3,120.14 ","$2,384.96 "
E0890,TOTAL,,68,"$5,660.76 ","$4,397.10 "
E0900,TOTAL,,138,"$10,586.06 ","$8,362.95 "
E0910,TOTAL,,"273,736","$4,433,522.90 ","$3,444,464.93 "
E0920,TOTAL,,"2,008","$73,327.22 ","$56,002.90 "
E0930,TOTAL,,258,"$9,251.65 ","$6,871.51 "
E0935,TOTAL,,"817,075","$17,352,050.02 ","$13,803,001.24 "
E0940,TOTAL,,"59,256","$1,637,548.29 ","$1,235,514.97 "
E0941,TOTAL,,325,"$11,526.23 ","$8,567.15 "
E0942,TOTAL,,264,"$4,751.77 ","$3,704.85 "
E0944,TOTAL,,719,"$23,132.09 ","$18,231.39 "
E0945,TOTAL,,385,"$12,391.09 ","$9,725.29 "
E0946,TOTAL,,629,"$27,405.51 ","$21,041.91 "
E0947,TOTAL,,393,"$105,384.49 ","$82,890.39 "
E0948,TOTAL,,495,"$58,215.17 ","$45,887.78 "
E0950,TOTAL,,"3,966","$312,757.45 ","$245,704.08 "
E0951,TOTAL,,"95,876","$833,401.09 ","$658,385.75 "
E0952,TOTAL,,"1,567","$22,869.65 ","$18,071.78 "
E0955,TOTAL,,"9,515","$1,808,666.99 ","$1,428,883.87 "
E0956,TOTAL,,"6,581","$586,351.63 ","$462,881.53 "
E0957,TOTAL,,"1,357","$166,819.41 ","$131,836.10 "
E0958,TOTAL,,"3,775","$130,273.10 ","$100,327.58 "
E0959,TOTAL,,"3,025","$36,566.17 ","$28,705.29 "
E0960,TOTAL,,"2,348","$198,503.97 ","$155,525.28 "
E0961,TOTAL,,"114,015","$1,217,115.25 ","$962,616.24 "
E0966,TOTAL,,"8,475","$304,925.44 ","$242,099.62 "
E0967,TOTAL,,"1,015","$35,606.76 ","$27,723.95 "
E0968,TOTAL,,4,$71.34 ,$57.08 
E0971,TOTAL,,"263,257","$5,555,060.74 ","$4,389,681.53 "
E0972,TOTAL,,"9,062","$443,345.29 ","$349,168.69 "
E0973,TOTAL,,"188,312","$11,581,302.64 ","$9,198,488.91 "
E0974,TOTAL,,"6,102","$185,441.06 ","$146,583.39 "
E0978,TOTAL,,"230,186","$7,277,857.31 ","$5,772,290.20 "
E0981,TOTAL,,"2,216","$96,073.98 ","$72,187.37 "
E0982,TOTAL,,"1,513","$69,680.21 ","$52,711.57 "
E0985,TOTAL,,38,"$6,869.52 ","$5,477.75 "
E0986,TOTAL,,59,"$265,872.30 ","$203,587.92 "
E0990,TOTAL,,"119,598","$11,475,002.83 ","$9,139,406.02 "
E0992,TOTAL,,"8,431","$654,966.99 ","$520,321.75 "
E0995,TOTAL,,"1,674","$42,595.73 ","$33,525.07 "
E0997,TOTAL,,1,$47.85 ,$38.28 
E1002,TOTAL,,"4,524","$18,499,567.04 ","$14,619,496.78 "
E1003,TOTAL,,43,"$186,471.98 ","$148,826.30 "
E1004,TOTAL,,183,"$872,349.11 ","$690,104.23 "
E1005,TOTAL,,111,"$573,039.57 ","$451,044.09 "
E1006,TOTAL,,54,"$333,532.94 ","$262,775.55 "
E1007,TOTAL,,"1,167","$10,029,510.59 ","$7,866,662.73 "
E1008,TOTAL,,794,"$6,905,692.98 ","$5,475,117.27 "
E1009,TOTAL,,20,"$12,300.86 ","$9,814.27 "
E1010,TOTAL,,"2,842","$3,075,087.02 ","$2,429,465.37 "
