Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges G0000 - G9036,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
G0238,TOTAL,,"71,013","$1,479,787.56 ","$1,179,654.46 "
G0239,TOTAL,,"1,079","$14,242.88 ","$11,183.96 "
G0242,TOTAL,,2,"$1,887.45 ","$1,509.96 "
G0245,TOTAL,,"3,513","$212,290.24 ","$157,145.70 "
G0246,TOTAL,,"5,355","$192,516.32 ","$141,711.15 "
G0247,TOTAL,,"6,899","$257,863.49 ","$194,858.39 "
G0248,TOTAL,,910,"$233,081.80 ","$182,737.09 "
G0249,TOTAL,,"12,926","$1,964,375.94 ","$1,535,355.01 "
G0250,TOTAL,,"2,778","$25,861.50 ","$20,108.86 "
G0253,TOTAL,,"7,257","$9,849,093.28 ","$7,811,000.58 "
G0254,TOTAL,,680,"$991,306.08 ","$785,422.76 "
G0255,TOTAL,,1,$0.01 ,$0.01 
G0260,TOTAL,,"26,759","$7,050,910.17 ","$5,586,865.10 "
G0265,TOTAL,,316,"$4,259.27 ","$3,494.27 "
G0266,TOTAL,,85,"$1,152.25 ",$925.91 
G0267,TOTAL,,115,"$23,526.75 ","$18,821.30 "
G0268,TOTAL,,"76,856","$3,609,243.73 ","$2,719,899.09 "
G0270,TOTAL,,"3,534","$55,235.39 ","$42,720.27 "
G0271,TOTAL,,570,"$3,147.29 ","$2,391.25 "
G0275,TOTAL,,"19,236","$259,665.78 ","$206,754.17 "
G0278,TOTAL,,"15,844","$217,055.45 ","$172,832.80 "
G0279,TOTAL,,29,"$6,634.02 ","$5,131.26 "
G0281,TOTAL,,"30,571","$337,038.89 ","$267,921.16 "
G0283,TOTAL,,"5,383,901","$63,000,705.68 ","$49,789,440.26 "
G0288,TOTAL,,"2,476","$1,034,215.02 ","$823,028.95 "
G0289,TOTAL,,"39,180","$3,105,002.58 ","$2,469,364.05 "
G0290,TOTAL,,7,"$5,497.59 ","$4,327.55 "
G0291,TOTAL,,1,$217.95 ,$174.36 
G0296,TOTAL,,192,"$204,854.10 ","$159,479.49 "
G0300,TOTAL,,4,"$3,000.00 ","$2,400.00 "
G0306,TOTAL,,"149,337","$1,613,680.71 ","$1,611,025.39 "
G0307,TOTAL,,"68,513","$606,190.95 ","$606,024.29 "
G0308,TOTAL,,43,"$32,012.72 ","$25,041.58 "
G0309,TOTAL,,21,"$12,021.24 ","$9,529.03 "
G0310,TOTAL,,19,"$8,991.28 ","$5,680.43 "
G0311,TOTAL,,508,"$284,343.17 ","$223,591.66 "
G0312,TOTAL,,138,"$64,754.57 ","$51,359.41 "
G0313,TOTAL,,190,"$71,601.73 ","$56,900.08 "
G0314,TOTAL,,"3,203","$1,535,977.23 ","$1,211,129.68 "
G0315,TOTAL,,"1,223","$461,879.30 ","$362,851.04 "
G0316,TOTAL,,805,"$263,980.97 ","$206,997.22 "
G0317,TOTAL,,"1,817,156","$543,629,127.29 ","$429,498,741.65 "
G0318,TOTAL,,"631,545","$153,552,548.24 ","$121,449,737.14 "
G0319,TOTAL,,"202,236","$40,189,739.51 ","$31,721,970.77 "
G0320,TOTAL,,203,"$135,478.61 ","$101,239.35 "
G0321,TOTAL,,"1,106","$512,061.81 ","$393,837.52 "
G0322,TOTAL,,"2,017","$819,078.90 ","$634,314.71 "
G0323,TOTAL,,"174,528","$44,046,436.41 ","$34,267,330.88 "
G0324,TOTAL,,"1,535","$34,260.29 ","$26,485.49 "
G0325,TOTAL,,"6,232","$81,359.88 ","$64,033.39 "
G0326,TOTAL,,"11,083","$171,535.12 ","$135,007.21 "
G0327,TOTAL,,"1,098,700","$9,516,852.69 ","$7,511,798.77 "
G0328,TOTAL,,"109,991","$2,367,552.53 ","$2,363,276.64 "
G0329,TOTAL,,14,$127.40 ,$101.91 
G0336,TOTAL,,"1,411","$2,109,239.61 ","$1,674,768.25 "
G0338,TOTAL,,38,"$46,315.42 ","$37,052.33 "
G0339,TOTAL,,35,"$103,957.07 ","$83,165.66 "
G0340,TOTAL,,45,"$93,668.24 ","$74,934.60 "
G0341,TOTAL,,39,"$2,422.71 ","$1,468.06 "
G0342,TOTAL,,4,$353.17 ,$282.54 
G0343,TOTAL,,11,"$2,175.72 ","$1,638.48 "
G0344,TOTAL,,"37,614","$3,471,035.67 ","$1,712,253.33 "
G0345,TOTAL,,"281,999","$18,055,440.33 ","$14,262,784.59 "
G0346,TOTAL,,"637,741","$13,202,461.98 ","$10,505,245.62 "
G0347,TOTAL,,"1,357,577","$106,475,641.35 ","$83,981,981.96 "
G0348,TOTAL,,"1,085,584","$28,940,604.58 ","$22,971,898.61 "
G0349,TOTAL,,"2,170,313","$92,904,479.23 ","$74,019,640.73 "
G0350,TOTAL,,"720,544","$17,684,985.21 ","$14,089,687.11 "
G0351,TOTAL,,"7,509,546","$135,798,147.09 ","$104,482,639.61 "
G0353,TOTAL,,"251,914","$14,098,702.85 ","$11,131,425.18 "
G0354,TOTAL,,"1,546,824","$41,491,093.18 ","$33,054,336.21 "
G0355,TOTAL,,"421,231","$21,888,999.70 ","$17,320,754.81 "
