Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 90281 -  99199,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
90880,TOTAL,,"8,407","$1,062,566.52 ","$592,577.38 "
90899,TOTAL,,174,"$11,318.77 ","$7,217.14 "
90901,TOTAL,,"22,377","$918,592.46 ","$726,312.07 "
90911,TOTAL,,"25,662","$2,336,074.98 ","$1,826,035.13 "
90935,TOTAL,,"1,675,519","$123,077,775.15 ","$97,750,308.92 "
90937,TOTAL,,"124,663","$15,110,613.77 ","$12,009,148.11 "
90945,TOTAL,,"147,691","$11,262,193.36 ","$8,875,821.37 "
90947,TOTAL,,"17,870","$2,192,054.26 ","$1,734,005.31 "
90989,TOTAL,,"4,138","$1,757,195.41 ","$1,365,681.38 "
90993,TOTAL,,"1,832","$39,201.60 ","$30,991.52 "
90997,TOTAL,,226,"$21,811.65 ","$17,368.06 "
90999,TOTAL,,"36,726","$375,076.42 ","$298,614.80 "
91000,TOTAL,,327,"$7,538.27 ","$5,129.00 "
91010,TOTAL,,"16,314","$1,460,772.16 ","$1,133,949.49 "
91011,TOTAL,,180,"$18,944.78 ","$14,630.56 "
91012,TOTAL,,303,"$24,707.14 ","$19,370.75 "
91020,TOTAL,,"1,133","$113,093.99 ","$87,768.73 "
91030,TOTAL,,102,"$5,271.37 ","$4,109.17 "
91034,TOTAL,,"6,971","$637,192.41 ","$498,668.29 "
91035,TOTAL,,"6,983","$1,058,575.81 ","$829,925.85 "
91037,TOTAL,,532,"$40,020.90 ","$31,555.06 "
91038,TOTAL,,943,"$68,884.00 ","$53,692.20 "
91040,TOTAL,,11,"$1,914.07 ","$1,507.24 "
91052,TOTAL,,322,"$16,763.27 ","$13,294.56 "
91055,TOTAL,,349,"$23,827.49 ","$18,772.46 "
91060,TOTAL,,38,"$2,096.75 ","$1,644.03 "
91065,TOTAL,,"44,545","$2,809,159.99 ","$2,216,775.01 "
91100,TOTAL,,186,"$7,432.00 ","$5,738.91 "
91105,TOTAL,,"12,548","$237,566.91 ","$187,766.87 "
91110,TOTAL,,"38,031","$25,553,958.75 ","$20,241,715.24 "
91120,TOTAL,,539,"$108,644.97 ","$86,375.62 "
91122,TOTAL,,"60,766","$15,799,342.00 ","$12,578,570.21 "
91132,TOTAL,,164,"$4,303.36 ","$3,407.11 "
91133,TOTAL,,97,"$5,156.69 ","$4,060.22 "
91299,TOTAL,,309,"$85,796.17 ","$68,574.78 "
92002,TOTAL,,"266,956","$17,267,472.61 ","$11,148,660.63 "
92004,TOTAL,,"2,106,890","$251,668,605.20 ","$171,754,139.46 "
92012,TOTAL,,"6,964,410","$449,326,745.37 ","$314,552,612.25 "
92014,TOTAL,,"9,811,660","$916,631,144.99 ","$622,125,372.07 "
92015,TOTAL,,359,"$5,686.37 ","$4,187.79 "
92018,TOTAL,,"1,647","$218,211.50 ","$167,568.98 "
92019,TOTAL,,"1,170","$79,282.73 ","$59,755.03 "
92020,TOTAL,,"830,956","$23,059,867.97 ","$17,383,967.75 "
92060,TOTAL,,"71,191","$3,646,529.08 ","$2,811,586.38 "
92065,TOTAL,,"16,622","$558,183.03 ","$436,488.72 "
92070,TOTAL,,"29,362","$1,852,103.26 ","$1,426,888.67 "
92081,TOTAL,,"126,415","$5,528,703.54 ","$4,198,649.96 "
92082,TOTAL,,"178,494","$9,651,765.31 ","$7,274,662.20 "
92083,TOTAL,,"2,703,716","$181,284,303.59 ","$135,118,623.09 "
92100,TOTAL,,"46,413","$3,558,588.36 ","$2,721,211.22 "
92120,TOTAL,,"49,155","$3,499,764.62 ","$2,694,093.72 "
92130,TOTAL,,420,"$36,425.28 ","$28,507.88 "
92135,TOTAL,,"3,694,241","$165,841,662.55 ","$126,837,845.65 "
92136,TOTAL,,"810,622","$45,258,691.76 ","$34,868,530.35 "
92140,TOTAL,,"23,233","$1,294,819.46 ","$1,004,450.79 "
92225,TOTAL,,"891,160","$24,106,839.43 ","$18,672,539.02 "
92226,TOTAL,,"1,677,808","$42,620,983.05 ","$32,585,961.44 "
92230,TOTAL,,"1,303","$135,256.95 ","$104,415.98 "
92235,TOTAL,,"1,372,232","$197,286,447.11 ","$155,166,922.34 "
92240,TOTAL,,"51,236","$15,001,607.02 ","$11,951,456.92 "
92250,TOTAL,,"2,069,316","$138,291,652.26 ","$107,330,570.24 "
92260,TOTAL,,"3,352","$65,579.24 ","$50,914.43 "
92265,TOTAL,,360,"$34,464.42 ","$26,720.05 "
92270,TOTAL,,"5,577","$462,979.44 ","$366,130.96 "
92275,TOTAL,,"2,897","$275,473.47 ","$212,677.47 "
92283,TOTAL,,"7,326","$249,154.04 ","$194,064.30 "
92284,TOTAL,,"1,795","$125,950.24 ","$98,293.01 "
92285,TOTAL,,"193,554","$7,770,176.13 ","$5,989,002.20 "
92286,TOTAL,,"83,737","$10,669,672.24 ","$8,391,472.39 "
92287,TOTAL,,713,"$81,933.82 ","$64,992.28 "
92311,TOTAL,,"1,307","$98,959.53 ","$74,318.84 "
92312,TOTAL,,598,"$46,055.59 ","$34,945.13 "
92313,TOTAL,,167,"$12,189.55 ","$8,931.23 "
92314,TOTAL,,2,$0.02 ,$0.02 
92315,TOTAL,,321,"$14,770.69 ","$10,724.72 "
92316,TOTAL,,109,"$5,708.31 ","$4,398.99 "
92317,TOTAL,,15,$745.57 ,$576.79 
92325,TOTAL,,533,"$7,688.06 ","$5,463.38 "
92326,TOTAL,,"1,015","$58,712.42 ","$43,039.03 "
92330,TOTAL,,54,"$3,903.44 ","$2,906.89 "
92335,TOTAL,,27,"$1,374.22 ",$914.95 
92499,TOTAL,,"79,694","$6,399,949.89 ","$5,029,395.54 "
92502,TOTAL,,746,"$69,427.58 ","$53,202.33 "
92504,TOTAL,,"155,352","$4,054,340.05 ","$3,042,423.83 "
92506,TOTAL,,"13,972","$1,534,247.82 ","$1,196,755.56 "
92507,TOTAL,,"21,204","$1,320,096.70 ","$1,025,652.73 "
92508,TOTAL,,445,"$14,642.97 ","$11,634.49 "
92511,TOTAL,,"43,437","$6,194,871.13 ","$4,803,146.75 "
92512,TOTAL,,"6,901","$480,178.64 ","$378,407.69 "
92516,TOTAL,,394,"$18,903.14 ","$14,401.33 "
92520,TOTAL,,"4,142","$195,127.41 ","$154,599.42 "
92526,TOTAL,,"5,889","$471,072.18 ","$372,884.51 "
