Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 10040 - 19499,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
10040,OTHER,INTEGUMENTARY,"25,812","$2,058,831.13 ","$1,528,765.94 "
,TOTAL,,"25,812","$2,058,831.13 ","$1,528,765.94 "
10060,OTHER,,"593,851","$54,123,077.04 ","$40,334,134.28 "
,TOTAL,,"593,851","$54,123,077.04 ","$40,334,134.28 "
10061,OTHER,,"163,214","$26,443,464.75 ","$20,377,739.35 "
,TOTAL,,"163,214","$26,443,464.75 ","$20,377,739.35 "
10080,OTHER,,"2,199","$284,475.64 ","$210,299.94 "
,TOTAL,,"2,199","$284,475.64 ","$210,299.94 "
10081,OTHER,,744,"$144,068.44 ","$111,676.64 "
,TOTAL,,744,"$144,068.44 ","$111,676.64 "
10120,OTHER,,"40,955","$4,667,364.85 ","$3,470,476.54 "
,TOTAL,,"40,955","$4,667,364.85 ","$3,470,476.54 "
10121,SG,,274,"$109,540.19 ","$86,550.58 "
,OTHER,,"7,899","$1,586,745.29 ","$1,232,245.34 "
,TOTAL,,"8,173","$1,696,285.48 ","$1,318,795.92 "
10140,OTHER,,"75,574","$8,877,360.04 ","$6,870,322.36 "
,TOTAL,,"75,574","$8,877,360.04 ","$6,870,322.36 "
10160,OTHER,,"66,273","$6,560,657.31 ","$5,042,985.08 "
,TOTAL,,"66,273","$6,560,657.31 ","$5,042,985.08 "
10180,SG,,319,"$131,881.10 ","$104,247.23 "
,OTHER,,"16,905","$2,622,720.98 ","$2,066,123.72 "
,TOTAL,,"17,224","$2,754,602.08 ","$2,170,370.95 "
11000,OTHER,,"155,761","$6,806,519.42 ","$5,150,033.89 "
,TOTAL,,"155,761","$6,806,519.42 ","$5,150,033.89 "
11001,OTHER,,"3,477","$70,706.81 ","$54,717.91 "
,TOTAL,,"3,477","$70,706.81 ","$54,717.91 "
11004,80'S,,1,$88.90 ,$71.12 
,OTHER,,"2,172","$1,036,217.71 ","$822,733.56 "
,TOTAL,,"2,173","$1,036,306.61 ","$822,804.68 "
11005,80'S,,19,"$2,261.80 ","$1,809.42 "
,OTHER,,"3,299","$2,362,551.77 ","$1,872,835.06 "
,TOTAL,,"3,318","$2,364,813.57 ","$1,874,644.48 "
11006,OTHER,,575,"$363,526.89 ","$289,434.15 "
,TOTAL,,575,"$363,526.89 ","$289,434.15 "
11008,80'S,,10,$456.94 ,$365.57 
,OTHER,,"1,027","$291,638.33 ","$230,527.32 "
,TOTAL,,"1,037","$292,095.27 ","$230,892.89 "
11010,SG,,42,"$12,203.50 ","$9,483.60 "
,80'S,,4,$96.68 ,$77.36 
,OTHER,,"3,285","$709,889.95 ","$558,707.00 "
,TOTAL,,"3,331","$722,190.13 ","$568,267.96 "
11011,SG,,33,"$10,989.48 ","$8,791.56 "
,80'S,,8,$311.17 ,$204.61 
,OTHER,,"3,084","$827,750.74 ","$654,604.48 "
,TOTAL,,"3,125","$839,051.39 ","$663,600.65 "
11012,SG,,180,"$49,363.17 ","$39,344.00 "
,80'S,,31,"$1,569.73 ","$1,255.77 "
,OTHER,,"7,640","$2,377,356.73 ","$1,877,722.51 "
,TOTAL,,"7,851","$2,428,289.63 ","$1,918,322.28 "
11040,OTHER,,"1,277,235","$44,714,763.41 ","$33,681,028.29 "
,TOTAL,,"1,277,235","$44,714,763.41 ","$33,681,028.29 "
11041,OTHER,,"739,879","$38,346,246.11 ","$29,339,254.02 "
,TOTAL,,"739,879","$38,346,246.11 ","$29,339,254.02 "
11042,SG,,"7,869","$2,782,968.50 ","$2,209,428.75 "
,80'S,,2,$23.44 ,$18.76 
,OTHER,,"1,051,019","$67,218,648.51 ","$52,509,436.97 "
,TOTAL,,"1,058,890","$70,001,640.45 ","$54,718,884.48 "
11043,SG,,"1,668","$609,300.73 ","$485,142.47 "
,80'S,,1,$14.78 ,$11.82 
,OTHER,,"212,983","$38,364,560.94 ","$30,432,681.04 "
,TOTAL,,"214,652","$38,973,876.45 ","$30,917,835.33 "
11044,SG,,940,"$340,017.37 ","$270,576.94 "
,OTHER,,"54,978","$13,289,249.89 ","$10,549,187.43 "
,TOTAL,,"55,918","$13,629,267.26 ","$10,819,764.37 "
11055,OTHER,,"651,745","$24,914,092.25 ","$18,495,862.84 "
,TOTAL,,"651,745","$24,914,092.25 ","$18,495,862.84 "
11056,OTHER,,"1,299,405","$64,273,727.15 ","$47,914,879.46 "
,TOTAL,,"1,299,405","$64,273,727.15 ","$47,914,879.46 "
11057,OTHER,,"255,049","$15,544,348.36 ","$11,581,143.22 "
,TOTAL,,"255,049","$15,544,348.36 ","$11,581,143.22 "
11100,OTHER,,"2,139,949","$159,346,399.52 ","$119,163,061.08 "
,TOTAL,,"2,139,949","$159,346,399.52 ","$119,163,061.08 "
11101,OTHER,,"899,577","$25,680,630.01 ","$20,112,265.99 "
,TOTAL,,"899,577","$25,680,630.01 ","$20,112,265.99 "
11200,OTHER,,"116,870","$7,164,593.98 ","$5,162,211.24 "
,TOTAL,,"116,870","$7,164,593.98 ","$5,162,211.24 "
11201,OTHER,,"15,524","$261,987.41 ","$201,009.29 "
,TOTAL,,"15,524","$261,987.41 ","$201,009.29 "
11300,OTHER,,"91,606","$3,408,699.46 ","$2,539,017.50 "
,TOTAL,,"91,606","$3,408,699.46 ","$2,539,017.50 "
11301,80'S,,2,$11.28 ,$9.03 
,OTHER,,"171,929","$9,783,356.20 ","$7,370,712.11 "
,TOTAL,,"171,931","$9,783,367.48 ","$7,370,721.14 "
11302,80'S,,4,$17.80 ,$14.24 
,OTHER,,"106,720","$7,920,837.01 ","$6,007,580.33 "
,TOTAL,,"106,724","$7,920,854.81 ","$6,007,594.57 "
11303,OTHER,,"17,550","$1,713,559.95 ","$1,306,815.01 "
,TOTAL,,"17,550","$1,713,559.95 ","$1,306,815.01 "
11305,80'S,,1,$10.47 ,$8.38 
,OTHER,,"112,030","$5,421,819.10 ","$4,032,732.64 "
,TOTAL,,"112,031","$5,421,829.57 ","$4,032,741.02 "
11306,OTHER,,"100,275","$6,497,234.70 ","$4,910,109.06 "
,TOTAL,,"100,275","$6,497,234.70 ","$4,910,109.06 "
11307,OTHER,,"44,386","$3,521,831.15 ","$2,672,762.78 "
,TOTAL,,"44,386","$3,521,831.15 ","$2,672,762.78 "
11308,OTHER,,"9,481","$933,192.31 ","$716,895.24 "
,TOTAL,,"9,481","$933,192.31 ","$716,895.24 "
11310,80'S,,1,$3.29 ,$2.63 
,OTHER,,"100,270","$5,180,708.44 ","$3,859,621.06 "
,TOTAL,,"100,271","$5,180,711.73 ","$3,859,623.69 "
11311,OTHER,,"130,631","$9,137,174.66 ","$6,895,274.55 "
,TOTAL,,"130,631","$9,137,174.66 ","$6,895,274.55 "
11312,OTHER,,"54,882","$4,726,714.93 ","$3,587,333.03 "
,TOTAL,,"54,882","$4,726,714.93 ","$3,587,333.03 "
11313,OTHER,,"8,025","$968,790.00 ","$745,747.91 "
,TOTAL,,"8,025","$968,790.00 ","$745,747.91 "
11400,OTHER,,"59,082","$5,018,742.12 ","$3,783,063.29 "
,TOTAL,,"59,082","$5,018,742.12 ","$3,783,063.29 "
11401,OTHER,,"107,646","$10,496,526.22 ","$7,987,435.18 "
,TOTAL,,"107,646","$10,496,526.22 ","$7,987,435.18 "
11402,OTHER,,"126,114","$13,630,535.70 ","$10,425,091.34 "
,TOTAL,,"126,114","$13,630,535.70 ","$10,425,091.34 "
11403,OTHER,,"59,013","$7,189,295.99 ","$5,523,319.80 "
,TOTAL,,"59,013","$7,189,295.99 ","$5,523,319.80 "
11404,SG,,"1,344","$363,721.54 ","$286,341.90 "
,OTHER,,"24,302","$3,319,395.63 ","$2,559,008.25 "
,TOTAL,,"25,646","$3,683,117.17 ","$2,845,350.15 "
11406,SG,,"1,792","$694,862.22 ","$546,715.81 "
,OTHER,,"23,622","$3,920,856.30 ","$3,049,497.77 "
,TOTAL,,"25,414","$4,615,718.52 ","$3,596,213.58 "
11420,OTHER,,"37,217","$3,188,215.24 ","$2,422,513.58 "
