Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 40490 - 49999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
40490,OTHER,DIGESTIVE,"29,552","$2,997,607.18 ","$2,275,692.87 "
,TOTAL,,"29,552","$2,997,607.18 ","$2,275,692.87 "
40500,SG,,91,"$36,401.54 ","$28,759.42 "
,OTHER,,708,"$238,749.57 ","$188,064.68 "
,TOTAL,,799,"$275,151.11 ","$216,824.10 "
40510,SG,,192,"$79,058.52 ","$62,586.72 "
,OTHER,,"1,343","$483,613.70 ","$380,672.48 "
,TOTAL,,"1,535","$562,672.22 ","$443,259.20 "
40520,SG,,191,"$78,162.27 ","$60,311.69 "
,OTHER,,"1,832","$674,567.63 ","$531,027.08 "
,TOTAL,,"2,023","$752,729.90 ","$591,338.77 "
40525,SG,,83,"$34,325.79 ","$27,284.71 "
,OTHER,,363,"$176,336.74 ","$139,642.28 "
,TOTAL,,446,"$210,662.53 ","$166,926.99 "
40527,SG,,12,"$5,162.95 ","$4,130.36 "
,OTHER,,90,"$51,910.41 ","$41,271.93 "
,TOTAL,,102,"$57,073.36 ","$45,402.29 "
40530,SG,,58,"$19,522.19 ","$15,617.70 "
,OTHER,,234,"$72,180.81 ","$56,739.85 "
,TOTAL,,292,"$91,703.00 ","$72,357.55 "
40650,SG,,9,"$3,668.99 ","$2,935.20 "
,OTHER,,303,"$83,012.02 ","$65,282.03 "
,TOTAL,,312,"$86,681.01 ","$68,217.23 "
40652,SG,,16,"$8,173.98 ","$6,499.53 "
,OTHER,,212,"$74,316.63 ","$58,749.11 "
,TOTAL,,228,"$82,490.61 ","$65,248.64 "
40654,SG,,45,"$20,285.55 ","$16,227.59 "
,OTHER,,604,"$240,199.77 ","$190,170.65 "
,TOTAL,,649,"$260,485.32 ","$206,398.24 "
40700,SG,,1,"$1,153.57 ",$922.86 
,OTHER,,5,$800.00 ,$536.78 
,TOTAL,,6,"$1,953.57 ","$1,459.64 "
40701,OTHER,,1,"$1,050.48 ",$840.38 
,TOTAL,,1,"$1,050.48 ",$840.38 
40702,OTHER,,4,$887.10 ,$709.68 
,TOTAL,,4,$887.10 ,$709.68 
40720,SG,,2,"$1,948.21 ","$1,470.57 "
,OTHER,,12,"$8,799.47 ","$6,331.52 "
,TOTAL,,14,"$10,747.68 ","$7,802.09 "
40761,OTHER,,12,"$11,035.71 ","$8,828.57 "
,TOTAL,,12,"$11,035.71 ","$8,828.57 "
40799,OTHER,,9,"$2,226.60 ","$1,718.25 "
,TOTAL,,9,"$2,226.60 ","$1,718.25 "
40800,OTHER,,"1,002","$138,658.23 ","$104,817.05 "
,TOTAL,,"1,002","$138,658.23 ","$104,817.05 "
40801,SG,,12,"$4,625.26 ","$3,612.22 "
,OTHER,,514,"$108,381.71 ","$84,187.66 "
,TOTAL,,526,"$113,006.97 ","$87,799.88 "
40804,OTHER,,128,"$18,754.69 ","$14,043.04 "
,TOTAL,,128,"$18,754.69 ","$14,043.04 "
40805,OTHER,,96,"$17,214.41 ","$13,249.41 "
,TOTAL,,96,"$17,214.41 ","$13,249.41 "
40806,OTHER,,32,"$2,217.99 ","$1,698.96 "
,TOTAL,,32,"$2,217.99 ","$1,698.96 "
40808,OTHER,,"8,785","$1,104,706.75 ","$847,972.52 "
,TOTAL,,"8,785","$1,104,706.75 ","$847,972.52 "
40810,OTHER,,"2,379","$334,709.54 ","$256,463.76 "
,TOTAL,,"2,379","$334,709.54 ","$256,463.76 "
40812,OTHER,,"7,550","$1,637,915.15 ","$1,274,992.59 "
,TOTAL,,"7,550","$1,637,915.15 ","$1,274,992.59 "
40814,SG,,147,"$61,986.89 ","$49,251.53 "
,OTHER,,"1,786","$536,327.29 ","$420,605.23 "
,TOTAL,,"1,933","$598,314.18 ","$469,856.76 "
40816,SG,,36,"$13,483.85 ","$10,611.11 "
,OTHER,,"1,042","$287,294.10 ","$223,971.25 "
,TOTAL,,"1,078","$300,777.95 ","$234,582.36 "
40818,SG,,44,"$8,042.44 ","$6,433.96 "
,80'S,,4,$107.81 ,$86.24 
,OTHER,,241,"$40,164.25 ","$31,859.36 "
,TOTAL,,289,"$48,314.50 ","$38,379.56 "
40819,SG,,5,"$1,103.89 ",$883.11 
,80'S,,1,$17.73 ,$14.18 
,OTHER,,188,"$38,892.16 ","$30,467.22 "
,TOTAL,,194,"$40,013.78 ","$31,364.51 "
40820,OTHER,,"1,005","$162,835.50 ","$125,737.00 "
,TOTAL,,"1,005","$162,835.50 ","$125,737.00 "
40830,80'S,,2,$36.01 ,$28.81 
,OTHER,,332,"$47,241.41 ","$36,818.31 "
,TOTAL,,334,"$47,277.42 ","$36,847.12 "
40831,OTHER,,200,"$36,293.09 ","$28,732.40 "
,TOTAL,,200,"$36,293.09 ","$28,732.40 "
40840,SG,,2,$711.94 ,$569.56 
,80'S,,1,$101.99 ,$81.59 
,OTHER,,59,"$30,186.39 ","$24,056.88 "
,TOTAL,,62,"$31,000.32 ","$24,708.03 "
40842,SG,,1,$492.94 ,$394.35 
,OTHER,,18,"$9,402.60 ","$7,506.08 "
,TOTAL,,19,"$9,895.54 ","$7,900.43 "
40843,OTHER,,4,"$3,230.72 ","$2,584.58 "
,TOTAL,,4,"$3,230.72 ","$2,584.58 "
40844,OTHER,,13,"$13,510.12 ","$10,790.63 "
,TOTAL,,13,"$13,510.12 ","$10,790.63 "
40845,SG,,2,"$1,088.93 ",$871.14 
,80'S,,1,$100.23 ,$80.18 
,OTHER,,59,"$57,314.83 ","$45,279.05 "
,TOTAL,,62,"$58,503.99 ","$46,230.37 "
40899,OTHER,,52,"$8,453.81 ","$6,613.02 "
,TOTAL,,52,"$8,453.81 ","$6,613.02 "
41000,OTHER,,204,"$22,845.26 ","$17,636.16 "
,TOTAL,,204,"$22,845.26 ","$17,636.16 "
41005,OTHER,,64,"$8,203.91 ","$6,499.36 "
,TOTAL,,64,"$8,203.91 ","$6,499.36 "
41006,OTHER,,57,"$12,759.67 ","$10,079.29 "
,TOTAL,,57,"$12,759.67 ","$10,079.29 "
41007,SG,,1,$321.24 ,$256.99 
,OTHER,,48,"$10,384.25 ","$8,083.42 "
,TOTAL,,49,"$10,705.49 ","$8,340.41 "
41008,SG,,1,$319.86 ,$255.89 
,OTHER,,152,"$35,510.28 ","$27,239.69 "
,TOTAL,,153,"$35,830.14 ","$27,495.58 "
41009,SG,,2,$621.17 ,$496.94 
,OTHER,,175,"$47,287.83 ","$37,205.65 "
,TOTAL,,177,"$47,909.00 ","$37,702.59 "
41010,OTHER,,57,"$5,878.75 ","$4,294.53 "
,TOTAL,,57,"$5,878.75 ","$4,294.53 "
41015,SG,,1,$160.82 ,$128.66 
,OTHER,,67,"$16,556.81 ","$13,167.11 "
,TOTAL,,68,"$16,717.63 ","$13,295.77 "
41016,SG,,1,$330.51 ,$264.41 
,OTHER,,115,"$27,968.02 ","$22,254.73 "
,TOTAL,,116,"$28,298.53 ","$22,519.14 "
41017,SG,,2,$322.18 ,$257.75 
,OTHER,,220,"$65,437.27 ","$51,889.02 "
,TOTAL,,222,"$65,759.45 ","$52,146.77 "
41018,OTHER,,75,"$25,640.15 ","$20,424.14 "
,TOTAL,,75,"$25,640.15 ","$20,424.14 "
41100,OTHER,,"6,678","$970,108.52 ","$746,052.47 "
,TOTAL,,"6,678","$970,108.52 ","$746,052.47 "
41105,OTHER,,"1,917","$218,301.50 ","$169,155.76 "
,TOTAL,,"1,917","$218,301.50 ","$169,155.76 "
41108,OTHER,,"2,236","$234,258.50 ","$179,297.36 "
,TOTAL,,"2,236","$234,258.50 ","$179,297.36 "
41110,OTHER,,"1,579","$235,651.36 ","$181,184.42 "
,TOTAL,,"1,579","$235,651.36 ","$181,184.42 "
41112,SG,,313,"$128,578.69 ","$101,807.06 "
,OTHER,,"4,679","$1,098,878.65 ","$854,865.80 "
,TOTAL,,"4,992","$1,227,457.34 ","$956,672.86 "
41113,SG,,80,"$31,837.72 ","$24,886.95 "
,OTHER,,979,"$265,223.94 ","$207,316.61 "
,TOTAL,,"1,059","$297,061.66 ","$232,203.56 "
