Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 33010 - 37799,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
33010,OTHER,CARDIOVASCULAR,"4,503","$472,134.28 ","$373,047.90 "
,TOTAL,,"4,503","$472,134.28 ","$373,047.90 "
33011,OTHER,,116,"$12,930.87 ","$10,244.15 "
,TOTAL,,116,"$12,930.87 ","$10,244.15 "
33015,OTHER,,640,"$259,653.61 ","$206,661.44 "
,TOTAL,,640,"$259,653.61 ","$206,661.44 "
33020,80'S,,38,"$3,752.58 ","$3,002.07 "
,OTHER,,290,"$170,624.80 ","$135,586.43 "
,TOTAL,,328,"$174,377.38 ","$138,588.50 "
33025,80'S,,649,"$71,964.62 ","$57,476.43 "
,OTHER,,"7,302","$4,668,659.66 ","$3,713,173.36 "
,TOTAL,,"7,951","$4,740,624.28 ","$3,770,649.79 "
33030,80'S,,144,"$21,830.70 ","$17,378.09 "
,OTHER,,693,"$605,413.35 ","$480,310.71 "
,TOTAL,,837,"$627,244.05 ","$497,688.80 "
33031,80'S,,75,"$9,394.48 ","$7,515.60 "
,OTHER,,271,"$185,228.33 ","$147,919.43 "
,TOTAL,,346,"$194,622.81 ","$155,435.03 "
33050,80'S,,18,"$1,445.29 ","$1,156.21 "
,OTHER,,103,"$51,777.42 ","$41,182.36 "
,TOTAL,,121,"$53,222.71 ","$42,338.57 "
33120,80'S,,228,"$40,430.25 ","$31,922.30 "
,OTHER,,791,"$757,871.95 ","$600,862.06 "
,TOTAL,,"1,019","$798,302.20 ","$632,784.36 "
33130,80'S,,13,"$1,703.82 ","$1,363.05 "
,OTHER,,44,"$33,437.66 ","$26,682.75 "
,TOTAL,,57,"$35,141.48 ","$28,045.80 "
33140,80'S,,35,"$6,984.52 ","$5,448.48 "
,OTHER,,179,"$176,339.26 ","$140,764.39 "
,TOTAL,,214,"$183,323.78 ","$146,212.87 "
33141,80'S,,584,"$24,627.85 ","$19,529.04 "
,OTHER,,"2,363","$481,158.82 ","$379,762.41 "
,TOTAL,,"2,947","$505,786.67 ","$399,291.45 "
33200,OTHER,,"1,035","$664,631.20 ","$528,556.28 "
,TOTAL,,"1,035","$664,631.20 ","$528,556.28 "
33201,OTHER,,257,"$151,819.69 ","$120,973.02 "
,TOTAL,,257,"$151,819.69 ","$120,973.02 "
33206,OTHER,,"1,666","$650,192.07 ","$516,569.51 "
,TOTAL,,"1,666","$650,192.07 ","$516,569.51 "
33207,OTHER,,"32,410","$15,651,694.27 ","$12,468,409.86 "
,TOTAL,,"32,410","$15,651,694.27 ","$12,468,409.86 "
33208,OTHER,,"126,438","$61,981,543.06 ","$49,298,782.21 "
,TOTAL,,"126,438","$61,981,543.06 ","$49,298,782.21 "
33210,OTHER,,"24,354","$3,339,671.74 ","$2,648,915.40 "
,TOTAL,,"24,354","$3,339,671.74 ","$2,648,915.40 "
33211,OTHER,,"1,426","$173,213.96 ","$136,337.72 "
,TOTAL,,"1,426","$173,213.96 ","$136,337.72 "
33212,SG,,1,$498.49 ,$398.79 
,OTHER,,"12,005","$4,118,309.28 ","$3,272,724.12 "
,TOTAL,,"12,006","$4,118,807.77 ","$3,273,122.91 "
33213,SG,,8,"$4,001.61 ","$3,201.27 "
,OTHER,,"34,097","$13,336,221.87 ","$10,586,375.25 "
,TOTAL,,"34,105","$13,340,223.48 ","$10,589,576.52 "
33214,80'S,,6,$457.72 ,$366.18 
,OTHER,,"1,044","$474,028.00 ","$375,005.50 "
,TOTAL,,"1,050","$474,485.72 ","$375,371.68 "
33215,OTHER,,"4,909","$1,314,492.20 ","$1,044,442.42 "
,TOTAL,,"4,909","$1,314,492.20 ","$1,044,442.42 "
33216,OTHER,,"4,915","$1,530,894.54 ","$1,217,210.17 "
,TOTAL,,"4,915","$1,530,894.54 ","$1,217,210.17 "
33217,OTHER,,"3,319","$1,043,812.50 ","$829,981.53 "
,TOTAL,,"3,319","$1,043,812.50 ","$829,981.53 "
33218,OTHER,,834,"$259,630.78 ","$206,147.64 "
,TOTAL,,834,"$259,630.78 ","$206,147.64 "
33220,OTHER,,457,"$136,177.40 ","$108,228.03 "
,TOTAL,,457,"$136,177.40 ","$108,228.03 "
33222,SG,,10,"$3,978.14 ","$3,182.51 "
,80'S,,1,$39.91 ,$31.93 
,OTHER,,"3,646","$946,202.29 ","$752,236.88 "
,TOTAL,,"3,657","$950,220.34 ","$755,451.32 "
33223,SG,,1,$236.50 ,$189.20 
,80'S,,5,$258.71 ,$206.97 
,OTHER,,"5,188","$1,499,013.30 ","$1,190,685.24 "
,TOTAL,,"5,194","$1,499,508.51 ","$1,191,081.41 "
33224,OTHER,,"3,716","$1,674,387.26 ","$1,325,333.49 "
,TOTAL,,"3,716","$1,674,387.26 ","$1,325,333.49 "
33225,OTHER,,"37,617","$17,118,125.73 ","$13,601,004.58 "
,TOTAL,,"37,617","$17,118,125.73 ","$13,601,004.58 "
33226,OTHER,,"1,194","$565,898.81 ","$449,592.30 "
,TOTAL,,"1,194","$565,898.81 ","$449,592.30 "
33233,SG,,9,"$1,967.72 ","$1,574.21 "
,80'S,,1,$39.49 ,$31.59 
,OTHER,,"51,598","$7,042,371.05 ","$5,597,853.77 "
,TOTAL,,"51,608","$7,044,378.26 ","$5,599,459.57 "
33234,OTHER,,"3,970","$1,500,348.86 ","$1,193,659.26 "
,TOTAL,,"3,970","$1,500,348.86 ","$1,193,659.26 "
33235,OTHER,,"3,690","$2,063,787.03 ","$1,640,287.67 "
,TOTAL,,"3,690","$2,063,787.03 ","$1,640,287.67 "
33236,80'S,,3,$292.22 ,$233.78 
,OTHER,,94,"$65,846.19 ","$51,819.88 "
,TOTAL,,97,"$66,138.41 ","$52,053.66 "
33237,OTHER,,68,"$49,361.00 ","$38,921.97 "
,TOTAL,,68,"$49,361.00 ","$38,921.97 "
33238,80'S,,3,$330.83 ,$264.66 
,OTHER,,87,"$62,537.18 ","$50,029.78 "
,TOTAL,,90,"$62,868.01 ","$50,294.44 "
33240,OTHER,,"29,371","$13,686,267.28 ","$10,821,373.33 "
,TOTAL,,"29,371","$13,686,267.28 ","$10,821,373.33 "
33241,80'S,,31,$982.84 ,$786.29 
,OTHER,,"33,832","$4,520,641.84 ","$3,577,808.89 "
,TOTAL,,"33,863","$4,521,624.68 ","$3,578,595.18 "
33243,80'S,,50,"$7,751.91 ","$6,201.57 "
,OTHER,,425,"$440,356.87 ","$349,689.37 "
,TOTAL,,475,"$448,108.78 ","$355,890.94 "
33244,80'S,,1,$68.79 ,$55.03 
,OTHER,,"3,396","$2,856,397.34 ","$2,263,953.78 "
,TOTAL,,"3,397","$2,856,466.13 ","$2,264,008.81 "
33245,80'S,,240,"$24,006.00 ","$18,998.99 "
,OTHER,,"2,088","$1,367,620.20 ","$1,086,536.92 "
,TOTAL,,"2,328","$1,391,626.20 ","$1,105,535.91 "
33246,80'S,,47,"$8,360.52 ","$6,605.12 "
,OTHER,,678,"$714,192.72 ","$566,224.96 "
,TOTAL,,725,"$722,553.24 ","$572,830.08 "
33249,OTHER,,"81,127","$69,763,379.57 ","$55,381,355.21 "
,TOTAL,,"81,127","$69,763,379.57 ","$55,381,355.21 "
33250,80'S,,28,"$3,396.64 ","$2,717.31 "
,OTHER,,80,"$48,055.90 ","$37,986.16 "
,TOTAL,,108,"$51,452.54 ","$40,703.47 "
33251,80'S,,201,"$24,238.79 ","$19,391.09 "
,OTHER,,822,"$467,116.29 ","$372,218.32 "
,TOTAL,,"1,023","$491,355.08 ","$391,609.41 "
33253,80'S,,"3,379","$540,018.84 ","$429,765.36 "
,OTHER,,"13,284","$10,322,333.03 ","$8,203,116.63 "
,TOTAL,,"16,663","$10,862,351.87 ","$8,632,881.99 "
33261,80'S,,6,"$1,113.47 ",$890.78 
,OTHER,,52,"$35,538.54 ","$28,430.82 "
,TOTAL,,58,"$36,652.01 ","$29,321.60 "
33282,OTHER,,"3,611","$1,104,849.69 ","$874,783.30 "
,TOTAL,,"3,611","$1,104,849.69 ","$874,783.30 "
33284,OTHER,,"2,328","$464,013.42 ","$364,220.25 "
