Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L1710,TOTAL,,5,"$8,971.10 ","$7,156.50 "
L1730,TOTAL,,4,"$3,769.98 ","$3,015.98 "
L1750,TOTAL,,7,$150.50 ,$120.40 
L1755,TOTAL,,2,"$2,800.47 ","$2,240.38 "
L1800,TOTAL,,"41,816","$2,181,124.44 ","$1,693,728.04 "
L1810,TOTAL,,"30,236","$2,539,654.67 ","$1,984,316.17 "
L1815,TOTAL,,"27,863","$2,106,637.08 ","$1,635,321.83 "
L1820,TOTAL,,"22,951","$2,444,436.42 ","$1,905,116.29 "
L1825,TOTAL,,"42,213","$1,762,060.55 ","$1,358,853.57 "
L1830,TOTAL,,"28,890","$1,988,185.76 ","$1,550,352.28 "
L1831,TOTAL,,"3,480","$813,097.15 ","$642,975.77 "
L1832,TOTAL,,"38,873","$20,531,847.36 ","$16,305,687.11 "
L1834,TOTAL,,540,"$295,570.79 ","$234,592.43 "
L1836,TOTAL,,331,"$32,555.53 ","$25,550.16 "
L1840,TOTAL,,333,"$202,608.54 ","$159,460.83 "
L1843,TOTAL,,"4,103","$2,901,914.59 ","$2,296,307.59 "
L1844,TOTAL,,"4,930","$6,593,244.60 ","$5,205,796.98 "
L1845,TOTAL,,"10,802","$7,244,195.31 ","$5,724,150.63 "
L1846,TOTAL,,"2,600","$2,390,642.42 ","$1,895,548.88 "
L1847,TOTAL,,"6,661","$3,054,417.77 ","$2,430,544.87 "
L1850,TOTAL,,"1,661","$377,740.68 ","$298,317.05 "
L1855,TOTAL,,"1,622","$1,583,361.80 ","$1,255,467.98 "
L1858,TOTAL,,"3,155","$3,271,571.63 ","$2,581,358.22 "
L1860,TOTAL,,150,"$128,436.67 ","$102,619.32 "
L1870,TOTAL,,173,"$131,979.13 ","$105,224.14 "
L1880,TOTAL,,628,"$331,462.24 ","$262,287.31 "
L1900,TOTAL,,892,"$172,404.65 ","$136,750.13 "
L1901,TOTAL,,"4,615","$64,174.85 ","$49,753.60 "
L1902,TOTAL,,"214,746","$14,267,633.28 ","$11,293,318.35 "
L1904,TOTAL,,"2,359","$843,331.61 ","$665,051.12 "
L1906,TOTAL,,"22,863","$1,967,238.86 ","$1,535,795.25 "
L1907,TOTAL,,"1,818","$810,696.24 ","$640,765.34 "
L1910,TOTAL,,213,"$44,894.53 ","$35,656.67 "
L1920,TOTAL,,"1,168","$269,688.20 ","$212,982.70 "
L1930,TOTAL,,"29,112","$5,418,636.00 ","$4,259,330.25 "
L1932,TOTAL,,"3,992","$2,826,935.87 ","$2,221,788.68 "
L1940,TOTAL,,"16,916","$7,098,198.13 ","$5,595,342.89 "
L1945,TOTAL,,"1,700","$1,395,138.24 ","$1,088,965.39 "
L1950,TOTAL,,428,"$279,083.23 ","$219,412.36 "
L1951,TOTAL,,"2,205","$1,478,484.86 ","$1,166,417.95 "
L1960,TOTAL,,"39,602","$18,951,954.23 ","$14,845,827.86 "
L1970,TOTAL,,"35,522","$21,110,180.35 ","$16,610,827.40 "
L1971,TOTAL,,"1,921","$679,346.38 ","$536,844.21 "
L1980,TOTAL,,"1,418","$393,374.85 ","$307,987.24 "
L1990,TOTAL,,"12,917","$4,719,920.40 ","$3,684,181.27 "
L2000,TOTAL,,89,"$49,553.30 ","$39,345.26 "
L2005,TOTAL,,"1,516","$4,375,412.27 ","$3,488,837.63 "
L2010,TOTAL,,28,"$15,469.71 ","$12,267.86 "
L2020,TOTAL,,"1,845","$1,709,208.66 ","$1,330,776.11 "
L2030,TOTAL,,159,"$116,804.37 ","$91,463.35 "
L2035,TOTAL,,6,$271.94 ,$217.55 
L2036,TOTAL,,"5,049","$7,962,742.42 ","$6,256,985.03 "
L2037,TOTAL,,275,"$401,889.23 ","$315,864.94 "
L2038,TOTAL,,228,"$275,237.23 ","$218,518.35 "
L2039,TOTAL,,557,"$984,639.14 ","$784,476.73 "
L2040,TOTAL,,36,"$4,705.21 ","$3,676.17 "
L2050,TOTAL,,12,"$4,314.73 ","$3,451.81 "
L2060,TOTAL,,11,"$5,412.60 ","$4,330.07 "
L2070,TOTAL,,30,"$3,306.20 ","$2,611.07 "
L2080,TOTAL,,17,"$4,970.93 ","$3,976.72 "
L2090,TOTAL,,6,"$2,471.10 ","$1,800.88 "
L2106,TOTAL,,344,"$132,583.26 ","$105,362.10 "
L2108,TOTAL,,471,"$372,836.76 ","$294,447.26 "
L2112,TOTAL,,"6,144","$1,998,946.78 ","$1,572,318.50 "
L2114,TOTAL,,"14,193","$4,752,138.78 ","$3,741,404.93 "
L2116,TOTAL,,"5,721","$2,207,303.67 ","$1,750,625.38 "
L2126,TOTAL,,42,"$41,903.22 ","$33,497.08 "
L2128,TOTAL,,200,"$285,304.33 ","$224,469.19 "
L2132,TOTAL,,183,"$41,042.52 ","$32,432.20 "
L2134,TOTAL,,102,"$70,892.63 ","$55,922.16 "
L2136,TOTAL,,178,"$171,291.75 ","$135,873.34 "
L2180,TOTAL,,569,"$54,979.54 ","$43,320.28 "
L2182,TOTAL,,512,"$39,548.94 ","$30,811.31 "
L2184,TOTAL,,384,"$35,423.96 ","$28,126.32 "
L2186,TOTAL,,666,"$82,029.82 ","$64,671.01 "
L2188,TOTAL,,60,"$15,431.54 ","$12,035.24 "
L2190,TOTAL,,47,"$3,037.40 ","$2,383.57 "
L2192,TOTAL,,72,"$21,067.01 ","$16,849.38 "
L2200,TOTAL,,"16,621","$670,097.74 ","$526,160.27 "
L2210,TOTAL,,"25,114","$1,375,182.11 ","$1,083,693.57 "
L2220,TOTAL,,"29,036","$1,970,586.56 ","$1,551,715.72 "
