Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - J0000 - J8499,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J1020,TOTAL,,"478,237","$1,253,195.10 ","$944,949.44 "
J1030,TOTAL,,"2,229,792","$11,503,145.22 ","$8,741,365.33 "
J1040,TOTAL,,"2,239,975","$19,554,692.87 ","$14,890,060.34 "
J1051,TOTAL,,"19,793","$97,538.00 ","$70,162.81 "
J1056,TOTAL,,87,"$1,799.85 ","$1,273.90 "
J1060,TOTAL,,"16,888","$65,679.63 ","$46,407.80 "
J1070,TOTAL,,"107,986","$527,628.07 ","$377,473.53 "
J1080,TOTAL,,"272,855","$3,300,070.73 ","$2,408,894.87 "
J1094,TOTAL,,"1,324,466","$601,121.14 ","$453,066.98 "
J1100,TOTAL,,"20,557,310","$2,651,082.91 ","$2,068,487.20 "
J1110,TOTAL,,"3,531","$67,824.96 ","$49,511.55 "
J1120,TOTAL,,468,"$4,800.56 ","$3,715.04 "
J1160,TOTAL,,552,"$1,434.23 ","$1,127.42 "
J1165,TOTAL,,"1,460",$904.16 ,$701.33 
J1170,TOTAL,,"2,910,212","$4,365,202.65 ","$3,393,821.34 "
J1180,TOTAL,,545,"$3,342.61 ","$2,408.26 "
J1190,TOTAL,,"9,406","$1,917,118.32 ","$1,523,892.35 "
J1200,TOTAL,,"787,336","$610,112.36 ","$478,331.70 "
J1205,TOTAL,,10,$88.86 ,$71.10 
J1212,TOTAL,,"32,573","$821,015.76 ","$633,168.96 "
J1230,TOTAL,,"92,708","$297,556.33 ","$237,090.07 "
J1240,TOTAL,,"2,595","$6,229.28 ","$4,656.81 "
J1245,TOTAL,,"1,346,098","$2,321,152.40 ","$1,833,812.85 "
J1250,TOTAL,,"288,224","$850,063.11 ","$671,247.72 "
J1260,TOTAL,,"4,145,618","$26,633,357.86 ","$21,094,945.57 "
J1270,TOTAL,,"3,576","$8,885.42 ","$6,956.26 "
J1320,TOTAL,,419,$909.21 ,$721.21 
J1325,TOTAL,,"2,145,133","$27,110,940.70 ","$21,519,217.65 "
J1327,TOTAL,,192,"$2,386.84 ","$1,882.05 "
J1330,TOTAL,,12,$53.02 ,$32.61 
J1335,TOTAL,,"58,872","$1,268,869.92 ","$1,002,944.16 "
J1364,TOTAL,,258,$783.67 ,$613.40 
J1380,TOTAL,,"7,109","$71,077.15 ","$49,774.18 "
J1390,TOTAL,,"12,998","$140,060.25 ","$98,041.38 "
J1410,TOTAL,,"6,996","$259,849.24 ","$193,241.21 "
J1435,TOTAL,,"4,717",$800.05 ,$570.72 
J1438,TOTAL,,3,$141.48 ,$113.19 
J1440,TOTAL,,"522,379","$69,170,172.32 ","$55,086,097.61 "
J1441,TOTAL,,"1,121,141","$96,682,643.31 ","$76,795,563.48 "
J1450,TOTAL,,"11,401","$211,429.40 ","$168,366.08 "
J1452,TOTAL,,79,"$2,875.16 ","$2,268.13 "
J1455,TOTAL,,"20,450","$263,378.77 ","$209,685.50 "
J1457,TOTAL,,"9,127","$11,398.20 ","$9,113.27 "
J1460,TOTAL,,"1,936","$19,567.09 ","$15,377.09 "
J1470,TOTAL,,"9,518","$194,738.80 ","$153,932.32 "
J1480,TOTAL,,241,"$7,082.21 ","$5,166.53 "
J1490,TOTAL,,942,"$28,712.53 ","$22,362.11 "
J1500,TOTAL,,227,"$8,096.53 ","$6,302.07 "
J1510,TOTAL,,158,"$8,809.72 ","$6,900.60 "
J1520,TOTAL,,71,"$5,136.60 ","$4,109.28 "
J1530,TOTAL,,127,"$4,838.93 ","$3,757.22 "
J1540,TOTAL,,367,"$31,652.16 ","$25,321.74 "
J1550,TOTAL,,"858,842","$86,126,545.13 ","$68,896,354.90 "
J1560,TOTAL,,"197,495","$20,044,732.54 ","$16,034,279.95 "
J1563,TOTAL,,"711,696","$39,519,819.47 ","$30,956,847.31 "
J1564,TOTAL,,"27,668,638","$19,100,521.21 ","$15,265,851.85 "
J1565,TOTAL,,"10,041","$146,395.03 ","$117,116.00 "
J1570,TOTAL,,"45,219","$1,556,179.66 ","$1,243,853.76 "
J1580,TOTAL,,"155,358","$179,163.11 ","$134,915.15 "
J1590,TOTAL,,"39,825","$16,799.11 ","$13,286.48 "
J1595,TOTAL,,1,$36.00 ,$28.80 
J1600,TOTAL,,"14,763","$133,333.85 ","$94,872.05 "
J1610,TOTAL,,"4,684","$219,869.54 ","$173,855.03 "
J1620,TOTAL,,126,"$1,518.55 ","$1,022.84 "
J1626,TOTAL,,"4,489,332","$31,913,873.97 ","$25,222,662.21 "
J1630,TOTAL,,"13,122","$26,107.99 ","$15,830.75 "
J1631,TOTAL,,"151,580","$513,748.56 ","$326,047.22 "
J1642,TOTAL,,"21,958,464","$1,321,377.48 ","$1,030,029.69 "
J1644,TOTAL,,"1,382,778","$179,555.85 ","$139,920.51 "
J1645,TOTAL,,"34,487","$355,574.96 ","$281,374.63 "
J1650,TOTAL,,"478,904","$2,502,484.17 ","$1,976,402.86 "
J1652,TOTAL,,"38,512","$232,878.16 ","$185,722.64 "
J1655,TOTAL,,"212,728","$522,680.11 ","$413,852.31 "
J1670,TOTAL,,"12,119","$411,074.50 ","$305,233.26 "
