Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 20000 - 29999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
20000,OTHER,MUSCULOSKELETAL,"4,030","$663,481.68 ","$513,661.47 "
,TOTAL,,"4,030","$663,481.68 ","$513,661.47 "
20005,SG,,84,"$34,665.94 ","$27,574.72 "
,OTHER,,"4,010","$891,570.64 ","$701,184.34 "
,TOTAL,,"4,094","$926,236.58 ","$728,759.06 "
20100,AS,,2,$150.31 ,$120.24 
,80'S,,18,"$1,549.23 ","$1,239.39 "
,OTHER,,301,"$157,676.42 ","$125,422.30 "
,TOTAL,,321,"$159,375.96 ","$126,781.93 "
20101,OTHER,,79,"$13,937.89 ","$10,944.06 "
,TOTAL,,79,"$13,937.89 ","$10,944.06 "
20102,AS,,5,$142.46 ,$113.97 
,80'S,,12,$423.03 ,$338.43 
,OTHER,,414,"$89,828.73 ","$70,448.06 "
,TOTAL,,431,"$90,394.22 ","$70,900.46 "
20103,AS,,6,$236.50 ,$189.21 
,80'S,,5,$242.27 ,$193.81 
,OTHER,,"1,357","$423,254.50 ","$334,391.37 "
,TOTAL,,"1,368","$423,733.27 ","$334,774.39 "
20150,80'S,,2,$271.79 ,$217.43 
,OTHER,,6,"$4,292.78 ","$3,434.23 "
,TOTAL,,8,"$4,564.57 ","$3,651.66 "
20200,SG,,54,"$21,471.69 ","$16,770.65 "
,OTHER,,"1,130","$100,723.16 ","$79,018.35 "
,TOTAL,,"1,184","$122,194.85 ","$95,789.00 "
20205,SG,,247,"$120,301.62 ","$94,448.14 "
,OTHER,,"3,633","$521,239.90 ","$408,405.61 "
,TOTAL,,"3,880","$641,541.52 ","$502,853.75 "
20206,SG,,36,"$10,693.28 ","$8,438.28 "
,OTHER,,"7,190","$673,491.55 ","$530,706.28 "
,TOTAL,,"7,226","$684,184.83 ","$539,144.56 "
20220,SG,,48,"$12,061.85 ","$9,533.78 "
,OTHER,,"6,273","$600,020.86 ","$474,173.10 "
,TOTAL,,"6,321","$612,082.71 ","$483,706.88 "
20225,AS,,2,$17.42 ,$13.94 
,SG,,82,"$33,126.91 ","$25,962.98 "
,OTHER,,"22,828","$2,700,657.15 ","$2,142,794.06 "
,TOTAL,,"22,912","$2,733,801.48 ","$2,168,770.98 "
20240,SG,,86,"$31,975.04 ","$25,181.47 "
,OTHER,,"1,541","$300,478.74 ","$237,486.30 "
,TOTAL,,"1,627","$332,453.78 ","$262,667.77 "
20245,AS,,2,$120.89 ,$96.72 
,SG,,64,"$28,922.06 ","$21,764.69 "
,OTHER,,"1,815","$841,490.36 ","$664,215.57 "
,TOTAL,,"1,881","$870,533.31 ","$686,076.98 "
20250,OTHER,,960,"$226,955.50 ","$181,125.51 "
,TOTAL,,960,"$226,955.50 ","$181,125.51 "
20251,AS,,108,"$4,235.45 ","$3,388.38 "
,SG,,5,"$2,310.70 ","$1,848.55 "
,80'S,,100,"$4,029.13 ","$3,223.13 "
,OTHER,,"1,421","$397,674.33 ","$317,008.77 "
,TOTAL,,"1,634","$408,249.61 ","$325,468.83 "
20500,OTHER,,644,"$69,470.03 ","$54,270.12 "
,TOTAL,,644,"$69,470.03 ","$54,270.12 "
20501,OTHER,,"7,274","$282,064.42 ","$222,254.10 "
,TOTAL,,"7,274","$282,064.42 ","$222,254.10 "
20520,OTHER,,"2,850","$425,125.60 ","$324,589.82 "
,TOTAL,,"2,850","$425,125.60 ","$324,589.82 "
20525,SG,,311,"$147,949.37 ","$116,736.45 "
,OTHER,,"2,010","$500,931.11 ","$390,990.90 "
,TOTAL,,"2,321","$648,880.48 ","$507,727.35 "
20526,OTHER,,"44,835","$3,269,853.51 ","$2,492,017.47 "
,TOTAL,,"44,835","$3,269,853.51 ","$2,492,017.47 "
20550,OTHER,,"828,685","$42,810,107.47 ","$32,190,713.84 "
,TOTAL,,"828,685","$42,810,107.47 ","$32,190,713.84 "
20551,OTHER,,"114,270","$5,170,798.21 ","$3,897,050.45 "
,TOTAL,,"114,270","$5,170,798.21 ","$3,897,050.45 "
20552,OTHER,,"306,734","$14,464,978.55 ","$10,966,830.09 "
,TOTAL,,"306,734","$14,464,978.55 ","$10,966,830.09 "
20553,AS,,1,$8.49 ,$6.79 
,OTHER,,"109,745","$5,817,783.21 ","$4,436,978.37 "
,TOTAL,,"109,746","$5,817,791.70 ","$4,436,985.16 "
20600,OTHER,,"379,244","$18,225,290.74 ","$13,708,775.43 "
,TOTAL,,"379,244","$18,225,290.74 ","$13,708,775.43 "
20605,OTHER,,"482,548","$25,248,239.11 ","$18,938,065.11 "
,TOTAL,,"482,548","$25,248,239.11 ","$18,938,065.11 "
20610,AS,,7,$30.18 ,$24.13 
,80'S,,2,$21.11 ,$16.89 
,OTHER,,"4,688,235","$308,733,150.36 ","$234,466,382.66 "
,TOTAL,,"4,688,244","$308,733,201.65 ","$234,466,423.68 "
20612,OTHER,,"16,348","$862,826.12 ","$640,938.74 "
,TOTAL,,"16,348","$862,826.12 ","$640,938.74 "
20615,OTHER,,"1,118","$213,766.62 ","$167,310.39 "
,TOTAL,,"1,118","$213,766.62 ","$167,310.39 "
20650,SG,,358,"$106,408.11 ","$85,055.20 "
,OTHER,,"3,017","$299,446.49 ","$235,128.97 "
,TOTAL,,"3,375","$405,854.60 ","$320,184.17 "
20660,OTHER,,"3,300","$585,604.86 ","$462,189.80 "
,TOTAL,,"3,300","$585,604.86 ","$462,189.80 "
20661,OTHER,,"1,586","$519,452.28 ","$410,993.03 "
,TOTAL,,"1,586","$519,452.28 ","$410,993.03 "
20662,OTHER,,31,"$11,071.32 ","$8,680.99 "
,TOTAL,,31,"$11,071.32 ","$8,680.99 "
20663,OTHER,,4,$723.50 ,$578.80 
,TOTAL,,4,$723.50 ,$578.80 
20664,OTHER,,34,"$16,059.88 ","$12,614.89 "
,TOTAL,,34,"$16,059.88 ","$12,614.89 "
20665,AS,,1,$7.66 ,$6.13 
,80'S,,1,$8.52 ,$6.82 
,OTHER,,337,"$37,076.20 ","$29,298.69 "
,TOTAL,,339,"$37,092.38 ","$29,311.64 "
20670,SG,,955,"$263,514.08 ","$206,643.60 "
,OTHER,,"15,386","$4,633,016.12 ","$3,628,226.41 "
,TOTAL,,"16,341","$4,896,530.20 ","$3,834,870.01 "
20680,AS,,912,"$26,707.79 ","$21,131.03 "
,SG,,"9,187","$4,071,612.00 ","$3,197,693.12 "
,80'S,,417,"$13,022.95 ","$10,344.76 "
,OTHER,,"51,544","$12,064,843.61 ","$9,489,459.92 "
,TOTAL,,"62,060","$16,176,186.35 ","$12,718,628.83 "
20690,SG,,173,"$46,847.88 ","$37,095.73 "
,OTHER,,"4,143","$579,142.12 ","$459,197.21 "
,TOTAL,,"4,316","$625,990.00 ","$496,292.94 "
20692,AS,,105,"$4,547.91 ","$3,592.17 "
,SG,,16,"$6,571.56 ","$5,257.24 "
,80'S,,108,"$4,684.10 ","$3,741.82 "
,OTHER,,"1,626","$417,734.35 ","$331,979.77 "
,TOTAL,,"1,855","$433,537.92 ","$344,571.00 "
20693,SG,,29,"$13,683.59 ","$10,946.87 "
,OTHER,,750,"$256,128.85 ","$203,686.18 "
,TOTAL,,779,"$269,812.44 ","$214,633.05 "
20694,SG,,902,"$275,500.70 ","$216,972.98 "
,OTHER,,"5,303","$1,475,962.47 ","$1,166,300.00 "
,TOTAL,,"6,205","$1,751,463.17 ","$1,383,272.98 "
20802,OTHER,,1,$307.79 ,$246.23 
,TOTAL,,1,$307.79 ,$246.23 
20805,OTHER,,13,"$4,721.39 ","$3,753.74 "
,TOTAL,,13,"$4,721.39 ","$3,753.74 "
20808,AS,,1,$586.14 ,$468.91 
,OTHER,,2,"$8,070.52 ","$6,456.41 "
,TOTAL,,3,"$8,656.66 ","$6,925.32 "
20816,AS,,1,$375.80 ,$300.64 
,80'S,,2,$736.43 ,$589.14 
,OTHER,,9,"$22,710.82 ","$18,168.66 "
,TOTAL,,12,"$23,823.05 ","$19,058.44 "
20822,OTHER,,15,"$26,866.71 ","$21,479.09 "
,TOTAL,,15,"$26,866.71 ","$21,479.09 "
