Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 50010 - 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
50010,80'S,URINARY,67,"$4,642.83 ","$3,714.34 "
,OTHER,,256,"$118,156.77 ","$93,855.45 "
,TOTAL,,323,"$122,799.60 ","$97,569.79 "
50020,SG,,1,$445.66 ,$356.53 
,OTHER,,372,"$184,837.86 ","$146,046.75 "
,TOTAL,,373,"$185,283.52 ","$146,403.28 "
50021,80'S,,1,$45.94 ,$36.75 
,OTHER,,916,"$438,157.18 ","$347,624.35 "
,TOTAL,,917,"$438,203.12 ","$347,661.10 "
50040,OTHER,,183,"$150,178.49 ","$119,525.06 "
,TOTAL,,183,"$150,178.49 ","$119,525.06 "
50045,80'S,,5,$719.81 ,$575.84 
,OTHER,,29,"$18,527.28 ","$14,793.01 "
,TOTAL,,34,"$19,247.09 ","$15,368.85 "
50060,80'S,,20,"$2,742.75 ","$2,137.30 "
,OTHER,,80,"$73,885.75 ","$59,028.61 "
,TOTAL,,100,"$76,628.50 ","$61,165.91 "
50065,80'S,,2,$354.62 ,$283.70 
,OTHER,,5,"$5,168.14 ","$4,134.51 "
,TOTAL,,7,"$5,522.76 ","$4,418.21 "
50070,80'S,,3,$464.93 ,$371.94 
,OTHER,,7,"$6,875.99 ","$5,500.80 "
,TOTAL,,10,"$7,340.92 ","$5,872.74 "
50075,80'S,,20,"$4,219.67 ","$3,299.48 "
,OTHER,,49,"$64,351.54 ","$51,481.21 "
,TOTAL,,69,"$68,571.21 ","$54,780.69 "
50080,OTHER,,"1,352","$1,202,502.13 ","$954,802.77 "
,TOTAL,,"1,352","$1,202,502.13 ","$954,802.77 "
50081,80'S,,238,"$49,072.59 ","$38,971.44 "
,OTHER,,"2,340","$2,911,410.16 ","$2,301,728.19 "
,TOTAL,,"2,578","$2,960,482.75 ","$2,340,699.63 "
50100,80'S,,4,$509.01 ,$323.29 
,OTHER,,21,"$11,358.89 ","$9,063.22 "
,TOTAL,,25,"$11,867.90 ","$9,386.51 "
50120,80'S,,9,"$1,105.07 ",$884.04 
,OTHER,,37,"$28,603.44 ","$22,847.86 "
,TOTAL,,46,"$29,708.51 ","$23,731.90 "
50125,OTHER,,4,"$3,831.04 ","$3,064.84 "
,TOTAL,,4,"$3,831.04 ","$3,064.84 "
50130,80'S,,56,"$7,368.58 ","$5,883.25 "
,OTHER,,125,"$99,414.23 ","$79,253.83 "
,TOTAL,,181,"$106,782.81 ","$85,137.08 "
50135,80'S,,14,"$2,285.83 ","$1,828.68 "
,OTHER,,31,"$30,158.18 ","$24,126.55 "
,TOTAL,,45,"$32,444.01 ","$25,955.23 "
50200,SG,,32,"$10,117.43 ","$8,093.92 "
,OTHER,,"21,866","$2,891,098.69 ","$2,265,040.67 "
,TOTAL,,"21,898","$2,901,216.12 ","$2,273,134.59 "
50205,80'S,,94,"$7,785.02 ","$6,228.05 "
,OTHER,,944,"$445,433.76 ","$352,588.22 "
,TOTAL,,"1,038","$453,218.78 ","$358,816.27 "
50220,80'S,,"1,337","$200,323.41 ","$159,062.51 "
,OTHER,,"2,696","$2,407,632.82 ","$1,910,013.98 "
