Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 33010 - 37799,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
33010,OTHER,CARDIOVASCULAR,"4,606","$485,468.75 ","$384,600.27 "
,TOTAL,,"4,606","$485,468.75 ","$384,600.27 "
33011,OTHER,,153,"$15,598.92 ","$12,381.64 "
,TOTAL,,153,"$15,598.92 ","$12,381.64 "
33015,OTHER,,559,"$219,400.85 ","$174,221.97 "
,TOTAL,,559,"$219,400.85 ","$174,221.97 "
33020,80'S,,36,"$3,412.07 ","$2,729.63 "
,OTHER,,313,"$181,050.36 ","$143,429.87 "
,TOTAL,,349,"$184,462.43 ","$146,159.50 "
33025,80'S,,585,"$66,155.25 ","$52,669.01 "
,OTHER,,"6,379","$4,277,284.92 ","$3,394,967.15 "
,TOTAL,,"6,964","$4,343,440.17 ","$3,447,636.16 "
33030,80'S,,149,"$25,026.19 ","$19,936.52 "
,OTHER,,704,"$674,520.38 ","$535,360.70 "
,TOTAL,,853,"$699,546.57 ","$555,297.22 "
33031,80'S,,80,"$11,019.99 ","$8,816.04 "
,OTHER,,307,"$215,179.66 ","$171,469.62 "
,TOTAL,,387,"$226,199.65 ","$180,285.66 "
33050,80'S,,21,"$1,903.94 ","$1,457.45 "
,OTHER,,91,"$52,793.87 ","$41,708.54 "
,TOTAL,,112,"$54,697.81 ","$43,165.99 "
33120,80'S,,230,"$45,644.19 ","$36,409.22 "
,OTHER,,813,"$828,908.66 ","$656,415.24 "
,TOTAL,,"1,043","$874,552.85 ","$692,824.46 "
33130,80'S,,8,"$1,012.03 ",$809.62 
,OTHER,,42,"$32,525.11 ","$25,986.10 "
,TOTAL,,50,"$33,537.14 ","$26,795.72 "
33140,80'S,,31,"$5,779.76 ","$4,608.85 "
,OTHER,,182,"$185,528.87 ","$146,457.77 "
,TOTAL,,213,"$191,308.63 ","$151,066.62 "
33141,80'S,,431,"$17,376.77 ","$13,784.56 "
,OTHER,,"2,186","$421,246.55 ","$334,545.88 "
,TOTAL,,"2,617","$438,623.32 ","$348,330.44 "
33200,OTHER,,"1,079","$768,244.48 ","$609,440.54 "
,TOTAL,,"1,079","$768,244.48 ","$609,440.54 "
33201,OTHER,,279,"$168,488.42 ","$134,283.59 "
,TOTAL,,279,"$168,488.42 ","$134,283.59 "
33206,OTHER,,"1,835","$747,590.52 ","$595,612.33 "
,TOTAL,,"1,835","$747,590.52 ","$595,612.33 "
33207,OTHER,,"35,962","$18,434,116.30 ","$14,687,070.61 "
,TOTAL,,"35,962","$18,434,116.30 ","$14,687,070.61 "
33208,80'S,,1,$78.74 ,$62.99 
,OTHER,,"133,939","$70,088,189.53 ","$55,782,554.50 "
,TOTAL,,"133,940","$70,088,268.27 ","$55,782,617.49 "
33210,OTHER,,"25,217","$3,441,097.56 ","$2,731,378.12 "
,TOTAL,,"25,217","$3,441,097.56 ","$2,731,378.12 "
33211,OTHER,,"1,715","$198,723.16 ","$157,226.23 "
,TOTAL,,"1,715","$198,723.16 ","$157,226.23 "
33212,OTHER,,"13,339","$4,997,600.54 ","$3,967,858.53 "
,TOTAL,,"13,339","$4,997,600.54 ","$3,967,858.53 "
33213,OTHER,,"26,930","$11,272,467.89 ","$8,950,328.79 "
,TOTAL,,"26,930","$11,272,467.89 ","$8,950,328.79 "
33214,80'S,,1,$87.19 ,$69.75 
,OTHER,,"1,447","$688,666.82 ","$547,172.93 "
,TOTAL,,"1,448","$688,754.01 ","$547,242.68 "
33215,OTHER,,"3,100","$792,832.89 ","$631,447.05 "
,TOTAL,,"3,100","$792,832.89 ","$631,447.05 "
33216,OTHER,,"4,801","$1,624,399.18 ","$1,287,620.58 "
,TOTAL,,"4,801","$1,624,399.18 ","$1,287,620.58 "
33217,OTHER,,"2,996","$1,061,947.23 ","$844,987.10 "
,TOTAL,,"2,996","$1,061,947.23 ","$844,987.10 "
33218,OTHER,,759,"$229,102.70 ","$182,261.62 "
,TOTAL,,759,"$229,102.70 ","$182,261.62 "
33220,OTHER,,412,"$122,273.82 ","$97,608.71 "
,TOTAL,,412,"$122,273.82 ","$97,608.71 "
33222,SG,,5,"$2,182.71 ","$1,746.16 "
,OTHER,,"3,298","$823,560.74 ","$654,879.36 "
,TOTAL,,"3,303","$825,743.45 ","$656,625.52 "
33223,80'S,,5,$358.75 ,$286.99 
,OTHER,,"2,424","$741,002.64 ","$590,355.48 "
,TOTAL,,"2,429","$741,361.39 ","$590,642.47 "
33224,OTHER,,"3,833","$1,552,284.37 ","$1,234,077.22 "
,TOTAL,,"3,833","$1,552,284.37 ","$1,234,077.22 "
33225,OTHER,,"20,691","$8,809,817.40 ","$7,002,475.38 "
,TOTAL,,"20,691","$8,809,817.40 ","$7,002,475.38 "
33226,OTHER,,835,"$360,242.12 ","$285,997.24 "
,TOTAL,,835,"$360,242.12 ","$285,997.24 "
33233,OTHER,,"39,437","$5,751,877.69 ","$4,572,885.23 "
,TOTAL,,"39,437","$5,751,877.69 ","$4,572,885.23 "
33234,OTHER,,"3,252","$1,232,697.58 ","$980,619.54 "
,TOTAL,,"3,252","$1,232,697.58 ","$980,619.54 "
33235,OTHER,,"3,192","$1,686,874.19 ","$1,345,010.36 "
,TOTAL,,"3,192","$1,686,874.19 ","$1,345,010.36 "
33236,80'S,,3,$199.23 ,$159.39 
,OTHER,,69,"$48,484.78 ","$38,134.61 "
,TOTAL,,72,"$48,684.01 ","$38,294.00 "
33237,80'S,,2,$287.74 ,$230.19 
,OTHER,,64,"$47,960.08 ","$38,161.25 "
,TOTAL,,66,"$48,247.82 ","$38,391.44 "
33238,OTHER,,88,"$59,486.82 ","$47,083.61 "
,TOTAL,,88,"$59,486.82 ","$47,083.61 "
33240,80'S,,1,$241.83 ,$193.46 
,OTHER,,"13,441","$6,593,829.07 ","$5,214,283.83 "
,TOTAL,,"13,442","$6,594,070.90 ","$5,214,477.29 "
33241,80'S,,18,$573.20 ,$458.56 
,OTHER,,"16,047","$2,239,880.39 ","$1,774,706.19 "
,TOTAL,,"16,065","$2,240,453.59 ","$1,775,164.75 "
33243,80'S,,39,"$5,451.53 ","$4,361.21 "
,OTHER,,526,"$282,565.74 ","$223,264.67 "
,TOTAL,,565,"$288,017.27 ","$227,625.88 "
33244,OTHER,,"2,521","$1,657,351.32 ","$1,310,856.72 "
,TOTAL,,"2,521","$1,657,351.32 ","$1,310,856.72 "
33245,80'S,,99,"$12,005.09 ","$9,342.44 "
,OTHER,,"1,056","$746,730.45 ","$593,080.02 "
,TOTAL,,"1,155","$758,735.54 ","$602,422.46 "
33246,80'S,,39,"$7,503.21 ","$5,820.60 "
,OTHER,,565,"$661,137.68 ","$523,130.22 "
,TOTAL,,604,"$668,640.89 ","$528,950.82 "
33249,OTHER,,"52,565","$45,437,854.64 ","$36,059,555.15 "
,TOTAL,,"52,565","$45,437,854.64 ","$36,059,555.15 "
33250,80'S,,8,"$1,026.37 ",$772.71 
,OTHER,,42,"$24,490.83 ","$18,131.08 "
,TOTAL,,50,"$25,517.20 ","$18,903.79 "
33251,80'S,,248,"$30,480.91 ","$24,277.42 "
,OTHER,,756,"$454,163.32 ","$360,895.46 "
,TOTAL,,"1,004","$484,644.23 ","$385,172.88 "
33253,80'S,,"1,908","$354,828.76 ","$281,649.87 "
,OTHER,,"6,657","$6,199,390.52 ","$4,930,185.91 "
,TOTAL,,"8,565","$6,554,219.28 ","$5,211,835.78 "
33261,80'S,,26,"$3,503.45 ","$2,802.75 "
,OTHER,,75,"$49,774.49 ","$39,819.55 "
,TOTAL,,101,"$53,277.94 ","$42,622.30 "
33282,OTHER,,"3,151","$1,037,559.13 ","$821,793.47 "
,TOTAL,,"3,151","$1,037,559.13 ","$821,793.47 "
33284,OTHER,,"1,628","$350,399.68 ","$275,891.34 "
,TOTAL,,"1,628","$350,399.68 ","$275,891.34 "
33300,80'S,,41,"$6,414.47 ","$5,113.57 "
,OTHER,,265,"$244,763.91 ","$195,722.80 "
,TOTAL,,306,"$251,178.38 ","$200,836.37 "
33305,80'S,,107,"$14,138.71 ","$11,311.03 "
,OTHER,,323,"$239,948.09 ","$190,880.77 "
,TOTAL,,430,"$254,086.80 ","$202,191.80 "
33310,80'S,,10,"$1,575.61 ","$1,260.49 "
,OTHER,,65,"$60,117.77 ","$47,444.72 "
,TOTAL,,75,"$61,693.38 ","$48,705.21 "
33315,80'S,,50,"$6,888.49 ","$5,420.18 "
,OTHER,,213,"$142,657.49 ","$112,778.41 "
,TOTAL,,263,"$149,545.98 ","$118,198.59 "
33320,80'S,,52,"$6,337.06 ","$5,069.65 "
,OTHER,,217,"$143,605.23 ","$114,269.43 "
,TOTAL,,269,"$149,942.29 ","$119,339.08 "
33321,80'S,,2,$215.20 ,$172.16 
,OTHER,,3,"$2,025.90 ","$1,620.72 "
,TOTAL,,5,"$2,241.10 ","$1,792.88 "
33322,80'S,,64,"$8,146.09 ","$6,430.47 "
,OTHER,,196,"$138,004.30 ","$109,431.04 "
,TOTAL,,260,"$146,150.39 ","$115,861.51 "
33330,80'S,,8,"$1,337.26 ","$1,069.81 "
,OTHER,,39,"$31,079.68 ","$24,301.57 "
,TOTAL,,47,"$32,416.94 ","$25,371.38 "
33332,80'S,,2,$343.41 ,$274.73 
,OTHER,,8,"$8,906.49 ","$7,125.18 "
,TOTAL,,10,"$9,249.90 ","$7,399.91 "
33335,80'S,,41,"$8,740.54 ","$6,992.43 "
,OTHER,,173,"$178,906.85 ","$142,892.75 "
,TOTAL,,214,"$187,647.39 ","$149,885.18 "
33400,80'S,,121,"$20,004.96 ","$15,996.93 "
,OTHER,,355,"$313,299.05 ","$247,128.08 "
,TOTAL,,476,"$333,304.01 ","$263,125.01 "
33401,80'S,,1,$234.77 ,
,OTHER,,2,"$2,803.40 ","$2,242.72 "
,TOTAL,,3,"$3,038.17 ","$2,242.72 "
33403,80'S,,6,$848.94 ,$679.15 
,OTHER,,14,"$10,814.71 ","$8,651.77 "
,TOTAL,,20,"$11,663.65 ","$9,330.92 "
33404,80'S,,13,"$2,548.23 ","$2,038.59 "
,OTHER,,48,"$56,630.11 ","$45,252.27 "
,TOTAL,,61,"$59,178.34 ","$47,290.86 "
33405,80'S,,"12,618","$3,999,035.19 ","$3,180,934.84 "
,OTHER,,"37,889","$61,559,504.94 ","$48,962,220.59 "
,TOTAL,,"50,507","$65,558,540.13 ","$52,143,155.43 "
33406,80'S,,237,"$78,488.31 ","$62,630.85 "
,OTHER,,988,"$1,553,343.29 ","$1,234,292.29 "
,TOTAL,,"1,225","$1,631,831.60 ","$1,296,923.14 "
33410,80'S,,523,"$138,674.98 ","$109,307.07 "
,OTHER,,"2,171","$2,865,611.02 ","$2,279,169.94 "
,TOTAL,,"2,694","$3,004,286.00 ","$2,388,477.01 "
33411,80'S,,270,"$90,516.08 ","$72,152.00 "
,OTHER,,895,"$1,501,336.00 ","$1,193,878.65 "
,TOTAL,,"1,165","$1,591,852.08 ","$1,266,030.65 "
33412,80'S,,19,"$7,060.23 ","$5,648.20 "
,OTHER,,37,"$75,732.37 ","$60,585.91 "
,TOTAL,,56,"$82,792.60 ","$66,234.11 "
33413,80'S,,12,"$4,495.04 ","$3,298.18 "
,OTHER,,26,"$48,087.72 ","$36,608.70 "
,TOTAL,,38,"$52,582.76 ","$39,906.88 "
33414,80'S,,17,"$3,139.85 ","$2,511.88 "
,OTHER,,64,"$62,052.87 ","$48,418.39 "
,TOTAL,,81,"$65,192.72 ","$50,930.27 "
33415,80'S,,32,"$5,574.48 ","$4,435.56 "
,OTHER,,92,"$75,784.79 ","$60,607.63 "
,TOTAL,,124,"$81,359.27 ","$65,043.19 "
33416,80'S,,166,"$29,136.43 ","$23,156.94 "
,OTHER,,595,"$530,059.43 ","$421,860.28 "
,TOTAL,,761,"$559,195.86 ","$445,017.22 "
33417,80'S,,60,"$9,987.91 ","$7,979.95 "
