CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99239,TOTAL,4408324.0999999996,474060719.94,367842210.47000003,,,
EVALUATION AND MANAGEMENT,99241,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99241,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99242,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99242,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99243,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99243,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99244,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99244,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99245,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99245,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99251,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99251,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99252,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99252,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99253,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99253,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99254,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99254,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99255,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99255,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99281,,78305,1594056.48,1171485.93,,,
EVALUATION AND MANAGEMENT,99281,TOTAL,78305,1594056.48,1171485.93,,,
EVALUATION AND MANAGEMENT,99282,,399816.1,16031711.960000001,11572789.58,,,
EVALUATION AND MANAGEMENT,99282,TOTAL,399816.1,16031711.960000001,11572789.58,,,
EVALUATION AND MANAGEMENT,99283,,3502903.1,211185575.12,153755741.78999999,,,
EVALUATION AND MANAGEMENT,99283,TOTAL,3502903.1,211185575.12,153755741.78999999,,,
EVALUATION AND MANAGEMENT,99284,,5876462.0999999996,683387476.29999995,509578110.32999998,,,
EVALUATION AND MANAGEMENT,99284,TOTAL,5876462.0999999996,683387476.29999995,509578110.32999998,,,
EVALUATION AND MANAGEMENT,99285,,11282337.5,1975395460.24,1512637033.05,,,
EVALUATION AND MANAGEMENT,99285,TOTAL,11282337.5,1975395460.24,1512637033.05,,,
EVALUATION AND MANAGEMENT,99288,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99288,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99291,,5330014.8,1214493068.0899999,942799324.60000002,,,
EVALUATION AND MANAGEMENT,99291,TOTAL,5330014.8,1214493068.0899999,942799324.60000002,,,
EVALUATION AND MANAGEMENT,99292,,474722.3,53291488.670000002,41589267.119999997,,,
EVALUATION AND MANAGEMENT,99292,TOTAL,474722.3,53291488.670000002,41589267.119999997,,,
EVALUATION AND MANAGEMENT,99304,,365410,33693429.68,25758045.09,,,
