CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18033,,,,,,,,
CARDIOVASCULAR,33130,OTHER,44,45209.39,34286.199999999997,,,
CARDIOVASCULAR,33130,TOTAL,64,48207.71,36634.67,,,
CARDIOVASCULAR,33140,80S,21,4784.8599999999997,3663.41,,,
CARDIOVASCULAR,33140,OTHER,35,56990.91,44680.91,,,
CARDIOVASCULAR,33140,TOTAL,56,61775.77,48344.320000000007,,,
CARDIOVASCULAR,33141,80S,317,5892.83,4619.46,,,
CARDIOVASCULAR,33141,OTHER,486,64049.120000000003,49601.33,,,
CARDIOVASCULAR,33141,TOTAL,803,69941.95,54220.79,,,
CARDIOVASCULAR,33202,80S,N/A,0,0,,,
CARDIOVASCULAR,33202,OTHER,1661,1076257.08,836063.86,,,
CARDIOVASCULAR,33202,TOTAL,1661,1076257.08,836063.86,,,
CARDIOVASCULAR,33203,80S,N/A,0,0,,,
CARDIOVASCULAR,33203,OTHER,120,89950.43,69781.070000000007,,,
CARDIOVASCULAR,33203,TOTAL,120,89950.43,69781.070000000007,,,
CARDIOVASCULAR,33206,80S,N/A,0,0,,,
CARDIOVASCULAR,33206,OTHER,1017,487988.68,379650.57,,,
CARDIOVASCULAR,33206,TOTAL,1017,487988.68,379650.57,,,
CARDIOVASCULAR,33207,80S,N/A,91.47,71.72,,,
CARDIOVASCULAR,33207,OTHER,18373,9059640.9299999997,7069400.9299999997,,,
CARDIOVASCULAR,33207,TOTAL,18374,9059732.4000000004,7069472.6499999994,,,
CARDIOVASCULAR,33208,80S,N/A,0,0,,,
CARDIOVASCULAR,33208,SG,24,194573.44,152545.51999999999,,,
CARDIOVASCULAR,33208,OTHER,104898,57655181.689999998,44935033.640000001,,,
CARDIOVASCULAR,33208,TOTAL,104922,57849755.130000003,45087579.159999996,,,
CARDIOVASCULAR,33210,80S,N/A,0,0,,,
CARDIOVASCULAR,33210,OTHER,10226,1796028.08,1392532.12,,,
CARDIOVASCULAR,33210,TOTAL,10226,1796028.08,1392532.12,,,
CARDIOVASCULAR,33211,80S,N/A,0,0,,,
CARDIOVASCULAR,33211,OTHER,218,35730.870000000003,27604.79,,,
CARDIOVASCULAR,33211,TOTAL,218,35730.870000000003,27604.79,,,
CARDIOVASCULAR,33212,80S,N/A,0,0,,,
CARDIOVASCULAR,33212,SG,N/A,18119.29,14205.53,,,
CARDIOVASCULAR,33212,OTHER,1006,336332.04,260317.78,,,
CARDIOVASCULAR,33212,TOTAL,1009,354451.33,274523.31,,,
CARDIOVASCULAR,33213,80S,N/A,0,0,,,
CARDIOVASCULAR,33213,SG,N/A,8804.84,6902.99,,,
CARDIOVASCULAR,33213,OTHER,2960,1171533.02,909844.73,,,
CARDIOVASCULAR,33213,TOTAL,2961,1180337.8600000001,916747.72,,,
CARDIOVASCULAR,33214,80S,N/A,183.11,143.57,,,
CARDIOVASCULAR,33214,OTHER,554,275472.38,213600.51,,,
CARDIOVASCULAR,33214,TOTAL,557,275655.49,213744.08,,,
CARDIOVASCULAR,33215,80S,N/A,0,0,,,
CARDIOVASCULAR,33215,SG,N/A,0,0,,,
CARDIOVASCULAR,33215,OTHER,3832,1018372.98,792678.93,,,
CARDIOVASCULAR,33215,TOTAL,3832,1018372.98,792678.93,,,
CARDIOVASCULAR,33216,80S,N/A,0,0,,,
CARDIOVASCULAR,33216,SG,N/A,5000,3920,,,
CARDIOVASCULAR,33216,OTHER,3666,1208808.3999999999,939702.24,,,
CARDIOVASCULAR,33216,TOTAL,3667,1213808.3999999999,943622.24,,,
CARDIOVASCULAR,33217,80S,N/A,0,0,,,
CARDIOVASCULAR,33217,OTHER,759,229442.33,179171.13,,,
CARDIOVASCULAR,33217,TOTAL,759,229442.33,179171.13,,,
CARDIOVASCULAR,33218,SG,N/A,0,0,,,
CARDIOVASCULAR,33218,OTHER,682,233203.88,180607.1,,,
CARDIOVASCULAR,33218,TOTAL,682,233203.88,180607.1,,,
CARDIOVASCULAR,33220,OTHER,140,50482.28,39343.06,,,
CARDIOVASCULAR,33220,TOTAL,140,50482.28,39343.06,,,
CARDIOVASCULAR,33221,80S,N/A,0,0,,,
CARDIOVASCULAR,33221,OTHER,382,175256.52,136270.70000000001,,,
CARDIOVASCULAR,33221,TOTAL,382,175256.52,136270.70000000001,,,
CARDIOVASCULAR,33222,80S,N/A,0,0,,,
CARDIOVASCULAR,33222,SG,N/A,0,0,,,
CARDIOVASCULAR,33222,OTHER,1401,428282.08,332346.68,,,
CARDIOVASCULAR,33222,TOTAL,1401,428282.08,332346.68,,,
CARDIOVASCULAR,33223,80S,N/A,531.04999999999995,416.35,,,
CARDIOVASCULAR,33223,SG,N/A,831.12,651.6,,,
CARDIOVASCULAR,33223,OTHER,1114,440267.23,341888.28,,,
CARDIOVASCULAR,33223,TOTAL,1124,441629.4,342956.23,,,
CARDIOVASCULAR,33224,80S,N/A,0,0,,,
CARDIOVASCULAR,33224,SG,N/A,8463.23,6635.17,,,
CARDIOVASCULAR,33224,OTHER,1708,758051.74,589504.34,,,
CARDIOVASCULAR,33224,TOTAL,1709,766514.97,596139.51,,,
CARDIOVASCULAR,33225,80S,N/A,0,0,,,
CARDIOVASCULAR,33225,SG,N/A,0,0,,,
CARDIOVASCULAR,33225,OTHER,33665,16151309.57,12594923.82,,,
CARDIOVASCULAR,33225,TOTAL,33665,16151309.57,12594923.82,,,
CARDIOVASCULAR,33226,80S,N/A,0,0,,,
CARDIOVASCULAR,33226,OTHER,472,226337.35,176244.6,,,
CARDIOVASCULAR,33226,TOTAL,472,226337.35,176244.6,,,
CARDIOVASCULAR,33227,80S,N/A,0,0,,,
CARDIOVASCULAR,33227,SG,N/A,0,0,,,
CARDIOVASCULAR,33227,OTHER,7015,2918541.2,2262421.7200000002,,,
CARDIOVASCULAR,33227,TOTAL,7015,2918541.2,2262421.7200000002,,,
CARDIOVASCULAR,33228,80S,N/A,0,0,,,
CARDIOVASCULAR,33228,SG,21,162756.81,127596.57,,,
CARDIOVASCULAR,33228,OTHER,39432,17866605.43,13850304.960000001,,,
CARDIOVASCULAR,33228,TOTAL,39453,18029362.239999998,13977901.529999999,,,
CARDIOVASCULAR,33229,80S,N/A,0,0,,,
CARDIOVASCULAR,33229,SG,N/A,7017.75,5501.92,,,
CARDIOVASCULAR,33229,OTHER,4205,2125235.7400000002,1656916.37,,,
CARDIOVASCULAR,33229,TOTAL,4206,2132253.4900000002,1662418.29,,,
CARDIOVASCULAR,33230,80S,N/A,0,0,,,
CARDIOVASCULAR,33230,SG,N/A,91007.16,71349.600000000006,,,
CARDIOVASCULAR,33230,OTHER,246,158733.46,123581.27,,,
CARDIOVASCULAR,33230,TOTAL,250,249740.62,194930.87,,,
CARDIOVASCULAR,33231,SG,N/A,91530.54,71759.94,,,
CARDIOVASCULAR,33231,OTHER,194,76220.070000000007,58754.77,,,
CARDIOVASCULAR,33231,TOTAL,197,167750.60999999999,130514.71,,,
CARDIOVASCULAR,33233,80S,N/A,0,0,,,
CARDIOVASCULAR,33233,SG,N/A,6336.17,4967.5600000000004,,,
CARDIOVASCULAR,33233,OTHER,9382,1474005.62,1150516.83,,,
CARDIOVASCULAR,33233,TOTAL,9383,1480341.79,1155484.3899999999,,,
CARDIOVASCULAR,33234,80S,N/A,0,0,,,
CARDIOVASCULAR,33234,SG,N/A,1386.13,1086.72,,,
CARDIOVASCULAR,33234,OTHER,2677,1062165.49,830129.94,,,
CARDIOVASCULAR,33234,TOTAL,2678,1063551.6200000001,831216.65999999992,,,
CARDIOVASCULAR,33235,80S,N/A,0,0,,,
CARDIOVASCULAR,33235,OTHER,3503,2034135.64,1586742.5,,,
CARDIOVASCULAR,33235,TOTAL,3503,2034135.64,1586742.5,,,
CARDIOVASCULAR,33236,80S,N/A,311.89999999999998,244.53,,,
CARDIOVASCULAR,33236,OTHER,29,19118.62,14932.06,,,
CARDIOVASCULAR,33236,TOTAL,32,19430.52,15176.59,,,
CARDIOVASCULAR,33237,80S,N/A,763.53,598.62,,,
CARDIOVASCULAR,33237,OTHER,45,28121.84,22043.99,,,
CARDIOVASCULAR,33237,TOTAL,53,28885.37,22642.61,,,
CARDIOVASCULAR,33238,80S,16,1447.86,1135.1099999999999,,,
CARDIOVASCULAR,33238,OTHER,116,81626.720000000001,63405.54,,,
CARDIOVASCULAR,33238,TOTAL,132,83074.58,64540.65,,,
CARDIOVASCULAR,33240,80S,N/A,0,0,,,
CARDIOVASCULAR,33240,SG,N/A,90124.45,70657.55,,,
CARDIOVASCULAR,33240,OTHER,650,269322.15999999997,209423.83,,,
CARDIOVASCULAR,33240,TOTAL,654,359446.61,280081.38,,,
CARDIOVASCULAR,33241,80S,N/A,0,0,,,
CARDIOVASCULAR,33241,SG,N/A,4158.3900000000003,3260.16,,,
CARDIOVASCULAR,33241,OTHER,7484,973965.75,756521.98,,,
CARDIOVASCULAR,33241,TOTAL,7487,978124.14,759782.14,,,
CARDIOVASCULAR,33243,80S,79,9181.32,7194.63,,,
CARDIOVASCULAR,33243,OTHER,243,230270.4,179373.69,,,
CARDIOVASCULAR,33243,TOTAL,322,239451.72,186568.32000000001,,,
CARDIOVASCULAR,33244,80S,N/A,0,0,,,
CARDIOVASCULAR,33244,OTHER,4721,3483984.15,2705939.36,,,
CARDIOVASCULAR,33244,TOTAL,4721,3483984.15,2705939.36,,,
CARDIOVASCULAR,33249,80S,N/A,0,0,,,
CARDIOVASCULAR,33249,SG,13,375289.98,294227.40999999997,,,
CARDIOVASCULAR,33249,OTHER,50098,51760517.090000004,40272918.149999999,,,
CARDIOVASCULAR,33249,TOTAL,50111,52135807.07,40567145.559999987,,,
CARDIOVASCULAR,33250,80S,N/A,389.42,305.3,,,
CARDIOVASCULAR,33250,OTHER,11,11300.27,8859.41,,,
CARDIOVASCULAR,33250,TOTAL,13,11689.69,9164.7099999999991,,,
CARDIOVASCULAR,33251,80S,30,3612.25,2832.01,,,
CARDIOVASCULAR,33251,OTHER,37,35140.519999999997,26876.09,,,
CARDIOVASCULAR,33251,TOTAL,67,38752.769999999997,29708.1,,,
CARDIOVASCULAR,33254,80S,33,6152.44,4796.7700000000004,,,
CARDIOVASCULAR,33254,OTHER,56,76946.44,60226.8,,,
CARDIOVASCULAR,33254,TOTAL,89,83098.880000000005,65023.570000000007,,,
CARDIOVASCULAR,33255,80S,12,2825.75,2045.92,,,
CARDIOVASCULAR,33255,OTHER,53,85833.54,66011.17,,,
CARDIOVASCULAR,33255,TOTAL,65,88659.29,68057.09,,,
CARDIOVASCULAR,33256,80S,37,10721.39,8202.85,,,
CARDIOVASCULAR,33256,OTHER,71,141805.18,108684.55,,,
CARDIOVASCULAR,33256,TOTAL,108,152526.57,116887.4,,,
CARDIOVASCULAR,33257,80S,2175,187724.87,146491.97,,,
CARDIOVASCULAR,33257,OTHER,3604,2151403.89,1675198.89,,,
CARDIOVASCULAR,33257,TOTAL,5779,2339128.7599999998,1821690.86,,,
CARDIOVASCULAR,33258,80S,33,3071.38,2407.94,,,
CARDIOVASCULAR,33258,OTHER,50,33681.99,26399.05,,,
CARDIOVASCULAR,33258,TOTAL,83,36753.370000000003,28806.99,,,
CARDIOVASCULAR,33259,80S,2667,335185.95,261784.25,,,
CARDIOVASCULAR,33259,OTHER,4585,4009143.27,3126414.34,,,
CARDIOVASCULAR,33259,TOTAL,7252,4344329.22,3388198.59,,,
CARDIOVASCULAR,33261,80S,N/A,1141.6099999999999,895.02,,,
CARDIOVASCULAR,33261,OTHER,27,28262.97,21470.46,,,
CARDIOVASCULAR,33261,TOTAL,33,29404.58,22365.48,,,
CARDIOVASCULAR,33262,80S,N/A,0,0,,,
CARDIOVASCULAR,33262,OTHER,5083,2636303.37,2038188.94,,,
CARDIOVASCULAR,33262,TOTAL,5083,2636303.37,2038188.94,,,
CARDIOVASCULAR,33263,80S,N/A,0,0,,,
CARDIOVASCULAR,33263,SG,N/A,100417.76,78727.5,,,
CARDIOVASCULAR,33263,OTHER,10819,7133870.1200000001,5510279.6500000004,,,
CARDIOVASCULAR,33263,TOTAL,10824,7234287.8799999999,5589007.1500000004,,,
CARDIOVASCULAR,33264,80S,N/A,0,0,,,
CARDIOVASCULAR,33264,SG,N/A,108979.38,85439.85,,,
CARDIOVASCULAR,33264,OTHER,17676,12217460.15,9492408.4399999995,,,
CARDIOVASCULAR,33264,TOTAL,17680,12326439.529999999,9577848.2899999991,,,
CARDIOVASCULAR,33265,80S,84,16004.08,12441.09,,,
CARDIOVASCULAR,33265,OTHER,152,204478.49,158395.4,,,
CARDIOVASCULAR,33265,TOTAL,236,220482.57,170836.49,,,
CARDIOVASCULAR,33266,80S,224,62131.38,48348.19,,,
CARDIOVASCULAR,33266,OTHER,460,878471.84,680945.16,,,
CARDIOVASCULAR,33266,TOTAL,684,940603.22,729293.35000000009,,,
CARDIOVASCULAR,33270,80S,N/A,0,0,,,
CARDIOVASCULAR,33270,OTHER,1458,919547.04,714345.05,,,
CARDIOVASCULAR,33270,TOTAL,1458,919547.04,714345.05,,,
CARDIOVASCULAR,33271,OTHER,44,19465.89,15257.63,,,
CARDIOVASCULAR,33271,TOTAL,44,19465.89,15257.63,,,
CARDIOVASCULAR,33272,80S,N/A,0,0,,,
CARDIOVASCULAR,33272,OTHER,89,25226.82,19681.669999999998,,,
CARDIOVASCULAR,33272,TOTAL,89,25226.82,19681.669999999998,,,
CARDIOVASCULAR,33273,OTHER,28,10960.4,8589.8700000000008,,,
CARDIOVASCULAR,33273,TOTAL,28,10960.4,8589.8700000000008,,,
CARDIOVASCULAR,33282,80S,N/A,19.97,15.66,,,
CARDIOVASCULAR,33282,SG,N/A,21888.400000000001,17160.52,,,
CARDIOVASCULAR,33282,OTHER,30952,9306462.8399999999,7205422.5999999996,,,
CARDIOVASCULAR,33282,TOTAL,30957,9328371.2100000009,7222598.7799999993,,,
CARDIOVASCULAR,33284,80S,N/A,0,0,,,
CARDIOVASCULAR,33284,SG,N/A,1384.97,970.57,,,
CARDIOVASCULAR,33284,OTHER,7271,1243720.0900000001,955855.15,,,
CARDIOVASCULAR,33284,TOTAL,7274,1245105.06,956825.72,,,
CARDIOVASCULAR,33300,80S,83,30480.09,23653.5,,,
CARDIOVASCULAR,33300,OTHER,211,492055.19,384006.35,,,
CARDIOVASCULAR,33300,TOTAL,294,522535.28,407659.85,,,
CARDIOVASCULAR,33305,80S,104,65136.89,50725,,,
CARDIOVASCULAR,33305,OTHER,220,897059.62,695082.1,,,
CARDIOVASCULAR,33305,TOTAL,324,962196.51,745807.1,,,
CARDIOVASCULAR,33310,80S,20,2892.74,2267.9,,,
CARDIOVASCULAR,33310,OTHER,54,50730.9,39705.760000000002,,,
CARDIOVASCULAR,33310,TOTAL,74,53623.64,41973.66,,,
CARDIOVASCULAR,33315,80S,209,44529.919999999998,34972.78,,,
CARDIOVASCULAR,33315,OTHER,342,508366.36,399045.34,,,
CARDIOVASCULAR,33315,TOTAL,551,552896.28,434018.12,,,
CARDIOVASCULAR,33320,80S,26,3086.21,2419.61,,,
CARDIOVASCULAR,33320,OTHER,81,71540.7,56082.42,,,
CARDIOVASCULAR,33320,TOTAL,107,74626.91,58502.03,,,
CARDIOVASCULAR,33321,80S,N/A,279.95999999999998,219.49,,,
CARDIOVASCULAR,33321,OTHER,N/A,4264.4799999999996,3343.35,,,
CARDIOVASCULAR,33321,TOTAL,N/A,4544.4399999999996,3562.84,,,
CARDIOVASCULAR,33322,80S,73,10051.9,7898.78,,,
CARDIOVASCULAR,33322,OTHER,151,134160.6,104554.68,,,
CARDIOVASCULAR,33322,TOTAL,224,144212.5,112453.46,,,
CARDIOVASCULAR,33330,80S,N/A,1463.58,1147.46,,,
CARDIOVASCULAR,33330,OTHER,20,24389.27,19106.5,,,
CARDIOVASCULAR,33330,TOTAL,29,25852.85,20253.96,,,
CARDIOVASCULAR,33335,80S,56,10066.15,7903.23,,,
CARDIOVASCULAR,33335,OTHER,88,102686.72,79754.94,,,
CARDIOVASCULAR,33335,TOTAL,144,112752.87,87658.17,,,
CARDIOVASCULAR,33361,80S,23,4114.66,3193.6,,,
CARDIOVASCULAR,33361,OTHER,25784,23122155.77,18098841.98,,,
CARDIOVASCULAR,33361,TOTAL,25807,23126270.43,18102035.579999998,,,
CARDIOVASCULAR,33362,80S,N/A,138.06,108.24,,,
CARDIOVASCULAR,33362,OTHER,7502,7122437.6799999997,5586569.4800000004,,,
CARDIOVASCULAR,33362,TOTAL,7503,7122575.7399999993,5586677.7200000007,,,
CARDIOVASCULAR,33363,80S,N/A,1088.49,846.16,,,
CARDIOVASCULAR,33363,OTHER,730,744010.17,583204.06999999995,,,
CARDIOVASCULAR,33363,TOTAL,735,745098.66,584050.23,,,
CARDIOVASCULAR,33364,80S,N/A,0,0,,,
CARDIOVASCULAR,33364,OTHER,127,123735.18,98212.25,,,
CARDIOVASCULAR,33364,TOTAL,127,123735.18,98212.25,,,
CARDIOVASCULAR,33365,80S,N/A,0,0,,,
CARDIOVASCULAR,33365,OTHER,1298,1507748.66,1181515.25,,,
CARDIOVASCULAR,33365,TOTAL,1298,1507748.66,1181515.25,,,
CARDIOVASCULAR,33366,80S,N/A,583.89,457.77,,,
CARDIOVASCULAR,33366,OTHER,2253,2789602.83,2200660.09,,,
CARDIOVASCULAR,33366,TOTAL,2255,2790186.72,2201117.86,,,
CARDIOVASCULAR,33367,80S,N/A,0,0,,,
CARDIOVASCULAR,33367,OTHER,99,63141.41,49441.78,,,
CARDIOVASCULAR,33367,TOTAL,99,63141.41,49441.78,,,
CARDIOVASCULAR,33368,80S,N/A,0,0,,,
CARDIOVASCULAR,33368,OTHER,48,36295.01,27786.83,,,
CARDIOVASCULAR,33368,TOTAL,48,36295.01,27786.83,,,
CARDIOVASCULAR,33369,80S,N/A,0,0,,,
CARDIOVASCULAR,33369,OTHER,11,11446.23,9013.92,,,
CARDIOVASCULAR,33369,TOTAL,11,11446.23,9013.92,,,
CARDIOVASCULAR,33400,80S,126,30169.37,23700.92,,,
CARDIOVASCULAR,33400,OTHER,254,407124.5,318242.46999999997,,,
CARDIOVASCULAR,33400,TOTAL,380,437293.87,341943.39,,,
CARDIOVASCULAR,33401,80S,N/A,436.26,342.02,,,
CARDIOVASCULAR,33401,OTHER,N/A,769.24,603.08000000000004,,,
CARDIOVASCULAR,33401,TOTAL,N/A,1205.5,945.1,,,
CARDIOVASCULAR,33403,80S,N/A,689.29,540.4,,,
CARDIOVASCULAR,33403,OTHER,N/A,10107.370000000001,7912.36,,,
CARDIOVASCULAR,33403,TOTAL,16,10796.66,8452.76,,,
CARDIOVASCULAR,33404,80S,N/A,238.48,186.96,,,
CARDIOVASCULAR,33404,OTHER,N/A,6958.19,5455.22,,,
CARDIOVASCULAR,33404,TOTAL,N/A,7196.6699999999992,5642.18,,,
CARDIOVASCULAR,33405,80S,17574,5397887.7300000004,4207440.0599999996,,,
CARDIOVASCULAR,33405,OTHER,28305,60685284.340000004,47275836.079999998,,,
CARDIOVASCULAR,33405,TOTAL,45879,66083172.070000008,51483276.140000001,,,
CARDIOVASCULAR,33406,80S,157,63870.82,49562.9,,,
CARDIOVASCULAR,33406,OTHER,228,643450.76,502360.8,,,
CARDIOVASCULAR,33406,TOTAL,385,707321.58,551923.69999999995,,,
CARDIOVASCULAR,33410,80S,542,184762.21,143356.69,,,
CARDIOVASCULAR,33410,OTHER,910,2208348.29,1711018.16,,,
CARDIOVASCULAR,33410,TOTAL,1452,2393110.5,1854374.85,,,
CARDIOVASCULAR,33411,80S,543,271853.63,214861.82,,,
CARDIOVASCULAR,33411,OTHER,896,3114750.26,2459251.0699999998,,,
CARDIOVASCULAR,33411,TOTAL,1439,3386603.89,2674112.89,,,
CARDIOVASCULAR,33412,80S,28,12449.71,9708.26,,,
CARDIOVASCULAR,33412,OTHER,40,119949.82,93972.32,,,
CARDIOVASCULAR,33412,TOTAL,68,132399.53,103680.58,,,
CARDIOVASCULAR,33414,80S,36,6894.36,5412.3,,,
CARDIOVASCULAR,33414,OTHER,61,79281.78,62537.73,,,
CARDIOVASCULAR,33414,TOTAL,97,86176.14,67950.03,,,
CARDIOVASCULAR,33415,80S,61,10909.06,8434.52,,,
CARDIOVASCULAR,33415,OTHER,170,213727.91,166036.29,,,
CARDIOVASCULAR,33415,TOTAL,231,224636.97,174470.81,,,
CARDIOVASCULAR,33416,80S,401,74679.37,58382.32,,,
CARDIOVASCULAR,33416,OTHER,826,1073801,836063.33,,,
CARDIOVASCULAR,33416,TOTAL,1227,1148480.3700000001,894445.64999999991,,,
CARDIOVASCULAR,33417,80S,57,7191.29,5567.74,,,
CARDIOVASCULAR,33417,OTHER,165,157786.19,121765.31,,,
CARDIOVASCULAR,33417,TOTAL,222,164977.48000000001,127333.05,,,
CARDIOVASCULAR,33418,80S,166,50181.91,39072.97,,,
CARDIOVASCULAR,33418,OTHER,2152,3418043.16,2682258.2200000002,,,
CARDIOVASCULAR,33418,TOTAL,2318,3468225.07,2721331.19,,,
CARDIOVASCULAR,33419,80S,46,3298.32,2582.65,,,
CARDIOVASCULAR,33419,OTHER,829,322112.51,253070.94,,,
CARDIOVASCULAR,33419,TOTAL,875,325410.83,255653.59,,,
CARDIOVASCULAR,33420,80S,N/A,115.8,90.79,,,
CARDIOVASCULAR,33420,OTHER,52,28591.61,22454.83,,,
CARDIOVASCULAR,33420,TOTAL,53,28707.41,22545.62,,,
CARDIOVASCULAR,33422,80S,14,2345.14,1862.8,,,
CARDIOVASCULAR,33422,OTHER,27,29204.49,23069.07,,,
CARDIOVASCULAR,33422,TOTAL,41,31549.63,24931.87,,,
CARDIOVASCULAR,33425,80S,381,151023.31,118196.31,,,
CARDIOVASCULAR,33425,OTHER,547,1469382.38,1149541.96,,,
CARDIOVASCULAR,33425,TOTAL,928,1620405.69,1267738.27,,,
CARDIOVASCULAR,33426,80S,2807,860909.83,671256.17,,,
CARDIOVASCULAR,33426,OTHER,4541,9622964.8499999996,7504651.6299999999,,,
CARDIOVASCULAR,33426,TOTAL,7348,10483874.68,8175907.7999999998,,,
CARDIOVASCULAR,33427,80S,1892,684920.61,533055,,,
CARDIOVASCULAR,33427,OTHER,3262,8084925.4100000001,6303180.7300000004,,,
CARDIOVASCULAR,33427,TOTAL,5154,8769846.0199999996,6836235.7300000004,,,
CARDIOVASCULAR,33430,80S,5057,2082479.92,1625906.13,,,
CARDIOVASCULAR,33430,OTHER,8340,23642119.879999999,18446492.75,,,
CARDIOVASCULAR,33430,TOTAL,13397,25724599.800000001,20072398.879999999,,,
CARDIOVASCULAR,33460,80S,N/A,3718.09,2914.99,,,
CARDIOVASCULAR,33460,OTHER,23,46798,36689.599999999999,,,
CARDIOVASCULAR,33460,TOTAL,33,50516.09,39604.589999999997,,,
CARDIOVASCULAR,33463,80S,280,125073.38,98174.45,,,
CARDIOVASCULAR,33463,OTHER,476,1431830.84,1123966.53,,,
CARDIOVASCULAR,33463,TOTAL,756,1556904.22,1222140.98,,,
CARDIOVASCULAR,33464,80S,1967,523008.9,408499.31,,,
CARDIOVASCULAR,33464,OTHER,3449,6363965.4699999997,4956690.59,,,
CARDIOVASCULAR,33464,TOTAL,5416,6886974.3700000001,5365189.8999999994,,,
CARDIOVASCULAR,33465,80S,232,82124.69,64177.34,,,
CARDIOVASCULAR,33465,OTHER,438,1061061.45,828702.9,,,
CARDIOVASCULAR,33465,TOTAL,670,1143186.1399999999,892880.24,,,
CARDIOVASCULAR,33468,80S,N/A,219.04,171.73,,,
CARDIOVASCULAR,33468,OTHER,N/A,7171.84,5622.72,,,
CARDIOVASCULAR,33468,TOTAL,N/A,7390.88,5794.45,,,
CARDIOVASCULAR,33474,80S,N/A,441.4,318.93,,,
CARDIOVASCULAR,33474,OTHER,N/A,5383.13,4220.37,,,
CARDIOVASCULAR,33474,TOTAL,N/A,5824.53,4539.3,,,
CARDIOVASCULAR,33475,80S,44,12797.63,10063.73,,,
CARDIOVASCULAR,33475,OTHER,112,217438.79,167795.81,,,
CARDIOVASCULAR,33475,TOTAL,156,230236.42,177859.54,,,
CARDIOVASCULAR,33476,80S,N/A,95.77,75.09,,,
CARDIOVASCULAR,33476,OTHER,N/A,5011.5200000000004,3929.04,,,
CARDIOVASCULAR,33476,TOTAL,N/A,5107.2900000000009,4004.13,,,
CARDIOVASCULAR,33478,80S,N/A,522.49,414.55,,,
CARDIOVASCULAR,33478,OTHER,24,19965.41,15737.84,,,
CARDIOVASCULAR,33478,TOTAL,28,20487.900000000001,16152.39,,,
CARDIOVASCULAR,33496,80S,14,2441.16,1912.21,,,
CARDIOVASCULAR,33496,OTHER,56,79964.899999999994,62699.199999999997,,,
CARDIOVASCULAR,33496,TOTAL,70,82406.06,64611.41,,,
CARDIOVASCULAR,33500,80S,13,1963.78,1539.59,,,
CARDIOVASCULAR,33500,OTHER,26,23801.61,18646.2,,,
CARDIOVASCULAR,33500,TOTAL,39,25765.39,20185.79,,,
CARDIOVASCULAR,33501,80S,N/A,1227.6500000000001,962.51,,,
CARDIOVASCULAR,33501,OTHER,21,21597.23,16932.240000000002,,,
CARDIOVASCULAR,33501,TOTAL,30,22824.880000000001,17894.75,,,
CARDIOVASCULAR,33502,80S,18,1754.74,1375.69,,,
CARDIOVASCULAR,33502,OTHER,48,36184.620000000003,28411.35,,,
