CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2526 ,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
RADIOLOGY,70010,GLOBL,N/A,701.06,480.62,,,
RADIOLOGY,70010,TOTAL,N/A,701.06,480.62,,,
RADIOLOGY,70015,26,65,3984.65,3100.47,,,
RADIOLOGY,70015,TC,N/A,172.24,135.04,,,
RADIOLOGY,70015,GLOBL,N/A,1171.72,917.37,,,
RADIOLOGY,70015,TOTAL,75,5328.61,4152.88,,,
RADIOLOGY,70030,26,16479,143038.74,105401.4,,,
RADIOLOGY,70030,TC,1098,20149.87,14746.42,,,
RADIOLOGY,70030,GLOBL,4441,124064.47,90655.13,,,
RADIOLOGY,70030,TOTAL,22018,287253.08,210802.95,,,
RADIOLOGY,70100,26,13255,120972.49,93094.67,,,
RADIOLOGY,70100,TC,505,11862,8743.9,,,
RADIOLOGY,70100,GLOBL,8421,264877.45,204527.35,,,
RADIOLOGY,70100,TOTAL,22181,397711.94,306365.92,,,
RADIOLOGY,70110,26,7419,95397.05,68273.08,,,
RADIOLOGY,70110,TC,644,15663.43,10823.4,,,
RADIOLOGY,70110,GLOBL,2011,76746.3,54510.73,,,
RADIOLOGY,70110,TOTAL,10074,187806.78,133607.21,,,
RADIOLOGY,70120,26,175,1622.56,1221.79,,,
RADIOLOGY,70120,TC,29,712.46,448.57,,,
RADIOLOGY,70120,GLOBL,119,3823.13,2786.22,,,
RADIOLOGY,70120,TOTAL,323,6158.15,4456.58,,,
RADIOLOGY,70130,26,233,4101.12,3031.35,,,
RADIOLOGY,70130,TC,24,873.87,613.32000000000005,,,
RADIOLOGY,70130,GLOBL,173,9304.14,6576.8,,,
RADIOLOGY,70130,TOTAL,430,14279.13,10221.469999999999,,,
RADIOLOGY,70134,26,12,222.92,160.77000000000001,,,
RADIOLOGY,70134,TC,N/A,29.83,23.38,,,
RADIOLOGY,70134,GLOBL,24,1162.74,841.57,,,
RADIOLOGY,70134,TOTAL,37,1415.49,1025.72,,,
RADIOLOGY,70140,26,4004,43146.34,31785.91,,,
RADIOLOGY,70140,TC,1189,23049.279999999999,17110.22,,,
RADIOLOGY,70140,GLOBL,3842,115352.77,85933.59,,,
RADIOLOGY,70140,TOTAL,9035,181548.39,134829.72,,,
RADIOLOGY,70150,26,12530,168697.98,121566.92,,,
RADIOLOGY,70150,TC,2483,67206.679999999993,49241.57,,,
RADIOLOGY,70150,GLOBL,6015,249555.57,177813.2,,,
RADIOLOGY,70150,TOTAL,21028,485460.23,348621.69,,,
RADIOLOGY,70160,26,12505,112421.38,80088.899999999994,,,
RADIOLOGY,70160,TC,1655,38488.339999999997,27409.91,,,
RADIOLOGY,70160,GLOBL,4865,158901.57,114473.81,,,
RADIOLOGY,70160,TOTAL,19025,309811.28999999998,221972.62,,,
RADIOLOGY,70170,26,126,2007.8,1547.19,,,
RADIOLOGY,70170,TC,N/A,41.18,32.28,,,
RADIOLOGY,70170,GLOBL,15,857.09,621.84,,,
RADIOLOGY,70170,TOTAL,142,2906.07,2201.31,,,
RADIOLOGY,70190,26,148,1731.4,1252.5899999999999,,,
RADIOLOGY,70190,TC,44,1083.1199999999999,826.45,,,
