CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2575,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
RADIOLOGY,70336,GLOBL,1628,591248.43000000005,450139.79,
RADIOLOGY,70336,TOTAL,3383,765018.2,581677.67000000004,
RADIOLOGY,70350,26,72,705.58,498.03,
RADIOLOGY,70350,TC,N/A,28.87,17.2,
RADIOLOGY,70350,GLOBL,1656,36338.19,27840.14,
RADIOLOGY,70350,TOTAL,1730,37072.639999999999,28355.37,
RADIOLOGY,70355,26,14308,155173.92000000001,115507.2,
RADIOLOGY,70355,TC,174,1906.93,1417.11,
RADIOLOGY,70355,GLOBL,20880,446053.76,328382.13,
RADIOLOGY,70355,TOTAL,35362,603134.61,445306.44,
RADIOLOGY,70360,26,55732,454813.14,337789.74,
RADIOLOGY,70360,TC,1414,28319.57,20575.810000000001,
RADIOLOGY,70360,GLOBL,11577,319272.56,243900.54,
RADIOLOGY,70360,TOTAL,68723,802405.27,602266.09,
RADIOLOGY,70370,26,3459,51850.1,39979.35,
RADIOLOGY,70370,TC,N/A,597.71,474.04,
RADIOLOGY,70370,GLOBL,1599,123585.96,96336.49,
RADIOLOGY,70370,TOTAL,5067,176033.77,136789.88,
RADIOLOGY,70371,26,7160,296176.90000000002,229558.17,
RADIOLOGY,70371,TC,114,5807.47,4418.28,
RADIOLOGY,70371,GLOBL,3106,294679.42,228614.38,
RADIOLOGY,70371,TOTAL,10380,596663.79,462590.83,
RADIOLOGY,70373,26,3212,67757.88,52841.93,
RADIOLOGY,70373,TC,554,34749.839999999997,27361.73,
RADIOLOGY,70373,GLOBL,1231,94619.46,73993.440000000002,
RADIOLOGY,70373,TOTAL,4997,197127.18,154197.1,
RADIOLOGY,70380,26,76,765.55,548.39,
RADIOLOGY,70380,TC,N/A,137.88,86.44,
RADIOLOGY,70380,GLOBL,110,4356.6000000000004,3364.05,
RADIOLOGY,70380,TOTAL,191,5260.03,3998.88,
RADIOLOGY,70390,26,196,3605.85,2751.82,
RADIOLOGY,70390,TC,N/A,335.44,263,
RADIOLOGY,70390,GLOBL,36,3759.32,2791.83,
RADIOLOGY,70390,TOTAL,236,7700.61,5806.65,
RADIOLOGY,70450,26,5216090,199993752.69,149959916.06999999,
RADIOLOGY,70450,TC,36059,4166976.18,3118032.57,
RADIOLOGY,70450,GLOBL,138064,22950742.550000001,17131204.390000001,
RADIOLOGY,70450,TOTAL,5390213,227111471.41999999,170209153.03,
RADIOLOGY,70460,26,31326,1536072.03,1169461.72,
RADIOLOGY,70460,TC,2494,256979.55,195380.16,
RADIOLOGY,70460,GLOBL,4233,848540.09,650692.02,
RADIOLOGY,70460,TOTAL,38053,2641591.67,2015533.9,
RADIOLOGY,70470,26,130402,7583386.4900000002,5723911.5800000001,
RADIOLOGY,70470,TC,9547,1270726.06,967695.2,
RADIOLOGY,70470,GLOBL,23924,4978507.2300000004,3758267.75,
RADIOLOGY,70470,TOTAL,163873,13832619.779999999,10449874.529999999,
RADIOLOGY,70480,26,38050,2352810,1776177.27,
RADIOLOGY,70480,TC,2708,455726.5,349808.63,
RADIOLOGY,70480,GLOBL,12497,2991087.27,2290758.08,
RADIOLOGY,70480,TOTAL,53255,5799623.7699999996,4416743.9800000004,
RADIOLOGY,70481,26,6833,451718.99,339867.19,
RADIOLOGY,70481,TC,279,69222.67,53680.63,
RADIOLOGY,70481,GLOBL,1264,416817.26,323098.81,
RADIOLOGY,70481,TOTAL,8376,937758.92,716646.63,
RADIOLOGY,70482,26,3612,247762.45,189182.62,
RADIOLOGY,70482,TC,304,84811.82,65729.48,
RADIOLOGY,70482,GLOBL,1749,631927.31000000006,486559.58,
RADIOLOGY,70482,TOTAL,5665,964501.58,741471.68,
RADIOLOGY,70486,26,358589,19307973.059999999,14450084.970000001,
RADIOLOGY,70486,TC,22010,3603673.05,2752876.05,
RADIOLOGY,70486,GLOBL,98522,22420783.390000001,17055245.350000001,
RADIOLOGY,70486,TOTAL,479121,45332429.5,34258206.369999997,
RADIOLOGY,70487,26,17580,1052143.99,780008.62,
RADIOLOGY,70487,TC,536,97765.42,75920.94,
RADIOLOGY,70487,GLOBL,1360,368830.93,280457.51,
RADIOLOGY,70487,TOTAL,19476,1518740.34,1136387.07,
RADIOLOGY,70488,26,2878,191053.13,143748.87,
RADIOLOGY,70488,TC,189,46662.38,35611.17,
RADIOLOGY,70488,GLOBL,1015,340389.97,259415.32,
RADIOLOGY,70488,TOTAL,4082,578105.48,438775.36,
RADIOLOGY,70490,26,53383,3210565.83,2439559.94,
RADIOLOGY,70490,TC,2995,368248.85,281469.26,
RADIOLOGY,70490,GLOBL,11024,2302091.06,1760112.47,
RADIOLOGY,70490,TOTAL,67402,5880905.7400000002,4481141.67,
