CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 01) Anesthesia (00000 - 09999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1603,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
ANESTHESIA,00170,QK,9810,1215214.73,921649.31,
ANESTHESIA,00170,QZ,4779,1019700.49,772933.45,
ANESTHESIA,00170,OTHER,11708,1411443.17,1082907.22,
ANESTHESIA,00170,TOTAL,35197,5742864.0800000001,4380411.71,
ANESTHESIA,00172,AA,20,7631.94,5763.29,
ANESTHESIA,00172,QK,15,2751.98,2064.2199999999998,
ANESTHESIA,00172,QZ,N/A,2438.1,1922.32,
ANESTHESIA,00172,OTHER,22,3630.75,2729.82,
ANESTHESIA,00172,TOTAL,65,16452.77,12479.65,
ANESTHESIA,00174,AA,11,2895.53,2272.86,
ANESTHESIA,00174,QK,N/A,2022.36,1589.83,
ANESTHESIA,00174,QZ,N/A,1520.42,1194.97,
ANESTHESIA,00174,OTHER,19,3134.59,2459.02,
ANESTHESIA,00174,TOTAL,48,9572.9,7516.68,
ANESTHESIA,00176,AA,499,329721.56,259019.67,
ANESTHESIA,00176,AD,11,1493.25,1170.7,
ANESTHESIA,00176,QK,765,310938.78000000003,243831.17,
ANESTHESIA,00176,QZ,120,68740.86,54165.46,
ANESTHESIA,00176,OTHER,749,281838.62,220594.09,
ANESTHESIA,00176,TOTAL,2144,992733.07,778781.09,
ANESTHESIA,00190,AA,3464,1030559.08,798860.63,
ANESTHESIA,00190,AD,64,7048.36,5556.72,
ANESTHESIA,00190,QK,3530,580294.97,449875.91,
ANESTHESIA,00190,QZ,1217,328824.75,254711.13,
ANESTHESIA,00190,OTHER,4056,636070.35,493628.28,
ANESTHESIA,00190,TOTAL,12331,2582797.5099999998,2002632.67,
ANESTHESIA,00192,AA,610,287533.14,223505.58,
ANESTHESIA,00192,AD,20,3705.84,2844.18,
ANESTHESIA,00192,QK,773,217484.1,168386.84,
ANESTHESIA,00192,QZ,189,74203.210000000006,58212.01,
ANESTHESIA,00192,OTHER,812,214888.89,168265.84,
ANESTHESIA,00192,TOTAL,2404,797815.18,621214.44999999995,
ANESTHESIA,00210,AA,12455,7725071.9500000002,6042041.5999999996,
ANESTHESIA,00210,AD,133,17013.759999999998,13425,
ANESTHESIA,00210,QK,9738,3015521.26,2352357.91,
ANESTHESIA,00210,QZ,2578,1407272.85,1104460.1599999999,
ANESTHESIA,00210,OTHER,10317,3076386.5,2408125.4399999999,
ANESTHESIA,00210,TOTAL,35221,15241266.32,11920410.109999999,
ANESTHESIA,00211,AA,5109,2363013.84,1850736.23,
ANESTHESIA,00211,AD,43,4482.4399999999996,3536.2,
ANESTHESIA,00211,QK,3779,878576.83,687501.61,
ANESTHESIA,00211,QZ,1490,651594.06999999995,509531.42,
ANESTHESIA,00211,OTHER,5106,1160635.6499999999,908802.03,
ANESTHESIA,00211,TOTAL,15527,5058302.83,3960107.49,
ANESTHESIA,00212,AA,37,8805.0300000000007,6920.83,
ANESTHESIA,00212,AD,N/A,85.36,66.92,
ANESTHESIA,00212,QK,28,3164.78,2490.56,
ANESTHESIA,00212,QZ,N/A,624.36,491.76,
ANESTHESIA,00212,OTHER,41,4348.6099999999997,3427.21,
ANESTHESIA,00212,TOTAL,110,17028.14,13397.28,
ANESTHESIA,00214,AA,3137,1154853.27,902939.75,
ANESTHESIA,00214,AD,31,3143.69,2471.25,
ANESTHESIA,00214,QK,2421,439202.66,343742.61,
ANESTHESIA,00214,QZ,1013,348878.56,273030.61,
ANESTHESIA,00214,OTHER,3232,583434.48,456607.03,
ANESTHESIA,00214,TOTAL,9834,2529512.66,1978791.25,
ANESTHESIA,00215,AA,550,258955.47,202003.27,
ANESTHESIA,00215,AD,N/A,744.1,592.5,
ANESTHESIA,00215,QK,543,133110.53,103427.34,
ANESTHESIA,00215,QZ,107,46385.23,36157.33,
ANESTHESIA,00215,OTHER,583,137822.14000000001,107199.63,
ANESTHESIA,00215,TOTAL,1788,577017.47,449380.07,
ANESTHESIA,00216,AA,1260,1025510.25,801470.1,
ANESTHESIA,00216,AD,N/A,1253.19,994.8,
ANESTHESIA,00216,QK,957,375233.15,292753.33,
ANESTHESIA,00216,QZ,295,206026.75,161065.38,
ANESTHESIA,00216,OTHER,919,344181.25,269585.98,
ANESTHESIA,00216,TOTAL,3440,1952204.59,1525869.59,
ANESTHESIA,00218,AA,219,152101.26999999999,119419.05,
ANESTHESIA,00218,AD,N/A,65.52,51.37,
ANESTHESIA,00218,QK,159,54595.26,42888.84,
ANESTHESIA,00218,QZ,40,22735.73,17980.419999999998,
ANESTHESIA,00218,OTHER,220,69881.14,54865.85,
ANESTHESIA,00218,TOTAL,639,299378.92,235205.53,
ANESTHESIA,00220,AA,4256,1811122.35,1416104.31,
ANESTHESIA,00220,AD,60,6378.85,5045,
ANESTHESIA,00220,QK,3855,806730.78,630969,
ANESTHESIA,00220,QZ,1273,492310.82,385773.33,
ANESTHESIA,00220,OTHER,4387,898538.5,703496.14,
ANESTHESIA,00220,TOTAL,13831,4015081.3,3141387.78,
ANESTHESIA,00222,AA,296,71554.509999999995,55505.62,
ANESTHESIA,00222,AD,N/A,298.02,233.65,
ANESTHESIA,00222,QK,207,23699.72,18391.2,
ANESTHESIA,00222,QZ,27,6297.75,4893.54,
ANESTHESIA,00222,OTHER,238,27962.13,21613.86,
ANESTHESIA,00222,TOTAL,772,129812.13,100637.87,
ANESTHESIA,00300,AA,61952,14725797.67,11442349.49,
ANESTHESIA,00300,AD,897,78729.990000000005,60809.3,
ANESTHESIA,00300,QK,68090,8202694.6799999997,6354263.7999999998,
ANESTHESIA,00300,QZ,44137,9373069.1999999993,7275909.3200000003,
ANESTHESIA,00300,OTHER,80843,9647111.5099999998,7504405.0800000001,
ANESTHESIA,00300,TOTAL,255919,42027403.049999997,32637736.989999998,
ANESTHESIA,00320,AA,46051,13614036.810000001,10621912.33,
ANESTHESIA,00320,AD,558,51717.47,40158.28,
ANESTHESIA,00320,QK,49073,7649155.9299999997,5955343.8200000003,
ANESTHESIA,00320,QZ,20067,5456204.2199999997,4259920.9400000004,
ANESTHESIA,00320,OTHER,57306,8630861.2899999991,6743199.3600000003,
ANESTHESIA,00320,TOTAL,173055,35401975.719999999,27620534.73,
ANESTHESIA,00322,AA,30,5159.33,3988.55,
ANESTHESIA,00322,AD,N/A,66.569999999999993,52.19,
ANESTHESIA,00322,QK,29,2119.91,1629.61,
ANESTHESIA,00322,QZ,28,4140.5200000000004,3258.28,
ANESTHESIA,00322,OTHER,43,3263.9,2561.85,
ANESTHESIA,00322,TOTAL,131,14750.23,11490.48,
ANESTHESIA,00326,AA,N/A,437.11,346.79,
ANESTHESIA,00326,AD,N/A,0,0,
ANESTHESIA,00326,QK,N/A,0,0,
ANESTHESIA,00326,QZ,N/A,0,0,
ANESTHESIA,00326,OTHER,N/A,117.94,92.46,
ANESTHESIA,00326,TOTAL,N/A,555.04999999999995,439.25,
ANESTHESIA,00350,AA,22154,10168899.07,7953053.8600000003,
ANESTHESIA,00350,AD,258,23561.38,18507.48,
ANESTHESIA,00350,QK,18757,4391425.5599999996,3432231.91,
ANESTHESIA,00350,QZ,8480,3687287.44,2885970.98,
ANESTHESIA,00350,OTHER,21099,4865773.8,3809778.86,
ANESTHESIA,00350,TOTAL,70748,23136947.25,18099543.09,
ANESTHESIA,00352,AA,3145,672970.11,525827.77,
ANESTHESIA,00352,AD,38,2973.68,2348.37,
ANESTHESIA,00352,QK,3576,380389.78,297450.87,
ANESTHESIA,00352,QZ,1999,405622.59,317126.68,
ANESTHESIA,00352,OTHER,4323,454821.74,355677.26,
ANESTHESIA,00352,TOTAL,13081,1916777.9,1498430.95,
ANESTHESIA,00400,AA,105089,18381237.66,14274154.18,
ANESTHESIA,00400,AD,1523,126374.14,98142.080000000002,
ANESTHESIA,00400,QK,121110,10702093.6,8279477.21,
ANESTHESIA,00400,QZ,66487,10718756.93,8303193.5499999998,
ANESTHESIA,00400,OTHER,151302,13166628.970000001,10233730.6,
ANESTHESIA,00400,TOTAL,445511,53095091.299999997,41188697.619999997,
ANESTHESIA,00402,AA,9441,3363290.69,2605258.5,
