Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 56405 - 58999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,80'S,,"3,468","$163,522","$129,270"
,OTHER,,"11,268","$3,202,963","$2,541,773"
,TOTAL,,"14,777","$3,394,756","$2,693,293"
57250,SG,,37,"$25,140","$19,845"
,80'S,,"3,152","$144,314","$113,619"
,OTHER,,"9,371","$2,654,283","$2,096,067"
,TOTAL,,"12,560","$2,823,737","$2,229,531"
57260,SG,,14,"$9,583","$7,186"
,80'S,,"7,072","$441,184","$347,924"
,OTHER,,"17,742","$6,704,916","$5,305,905"
,TOTAL,,"24,828","$7,155,683","$5,661,015"
57265,SG,,14,"$12,769","$10,095"
,80'S,,"2,639","$258,207","$203,686"
,OTHER,,"6,607","$3,913,297","$3,103,268"
,TOTAL,,"9,260","$4,184,272","$3,317,049"
57268,SG,,2,$477,$382
,80'S,,468,"$30,881","$24,315"
,OTHER,,"1,386","$544,753","$431,431"
,TOTAL,,"1,856","$576,111","$456,128"
57270,80'S,,323,"$24,703","$19,630"
,OTHER,,963,"$450,023","$354,893"
,TOTAL,,"1,286","$474,727","$374,523"
57280,80'S,,"1,449","$193,831","$153,377"
,OTHER,,"3,603","$2,923,027","$2,311,678"
,TOTAL,,"5,052","$3,116,858","$2,465,055"
57282,80'S,,"2,804","$193,039","$152,451"
,OTHER,,"7,258","$2,989,251","$2,374,537"
,TOTAL,,"10,062","$3,182,290","$2,526,988"
57284,80'S,,"1,016","$98,835","$78,275"
,OTHER,,"2,704","$1,577,825","$1,251,192"
,TOTAL,,"3,720","$1,676,660","$1,329,466"
57288,80'S,,"5,234","$670,347","$529,678"
,OTHER,,"22,105","$17,321,232","$13,708,766"
,TOTAL,,"27,339","$17,991,578","$14,238,444"
57289,80'S,,99,"$10,014","$7,958"
,OTHER,,266,"$166,825","$132,346"
,TOTAL,,365,"$176,840","$140,304"
57291,80'S,,1,$41,$32
,OTHER,,18,"$6,432","$4,843"
,TOTAL,,19,"$6,472","$4,875"
57292,80'S,,17,"$1,740","$1,392"
,OTHER,,41,"$23,233","$18,586"
,TOTAL,,58,"$24,973","$19,979"
57300,SG,,4,"$1,885","$1,508"
,80'S,,42,"$2,745","$2,196"
,OTHER,,192,"$82,974","$65,905"
,TOTAL,,238,"$87,604","$69,609"
57305,80'S,,102,"$7,635","$6,012"
,OTHER,,303,"$141,070","$112,812"
,TOTAL,,405,"$148,705","$118,824"
57307,80'S,,11,"$1,071",$857
,OTHER,,36,"$25,024","$20,003"
,TOTAL,,47,"$26,095","$20,860"
57308,80'S,,13,"$1,117",$894
,OTHER,,60,"$31,523","$25,139"
,TOTAL,,73,"$32,640","$26,032"
57310,80'S,,5,$308,$246
,OTHER,,39,"$13,423","$10,720"
